,note_name,start_time,duration,velocity,tempo
0,E-4,2.5,0.25,80,174.0
1,F#4,3.0,0.25,80,174.0
2,G#4,3.5,0.25,80,174.0
3,A4,4.0,0.75,80,174.0
4,C2,4.0,1.0,80,174.0
5,F#2,4.5,0.25,80,174.0
6,E-4,5.0,0.75,80,174.0
7,D2,5.0,1.0,80,174.0
8,C2,5.0,1.0,80,174.0
9,F#2,5.5,0.25,80,174.0
10,E-4,6.0,0.25,78,174.0
11,E-2,6.0,2.0,80,174.0
12,E-4,6.5,0.25,78,174.0
13,C2,6.5,0.5,80,174.0
14,F#2,6.5,0.25,80,174.0
15,E-4,7.0,0.25,78,174.0
16,C2,7.0,1.0,80,174.0
17,D2,7.0,1.0,80,174.0
18,E-4,7.5,0.25,78,174.0
19,F#2,7.5,0.25,80,174.0
20,E-4,8.0,0.25,78,174.0
21,E-2,8.0,3.0,80,174.0
22,C2,8.0,1.0,80,174.0
23,E-4,8.5,0.25,78,174.0
24,F#2,8.5,0.25,80,174.0
25,E-4,9.0,0.25,78,174.0
26,D2,9.0,1.0,80,174.0
27,C2,9.0,1.0,80,174.0
28,E-4,9.5,0.25,78,174.0
29,F#2,9.5,0.25,80,174.0
30,E-4,10.0,0.25,78,174.0
31,E-3,10.5,0.25,80,174.0
32,F#2,10.5,0.25,80,174.0
33,C2,10.5,0.5,80,174.0
34,F#3,11.0,0.25,80,174.0
35,F#2,11.0,1.0,80,174.0
36,D2,11.0,1.0,80,174.0
37,C2,11.0,1.0,80,174.0
38,G#3,11.5,0.25,80,174.0
39,F#2,11.5,0.25,80,174.0
40,A3,12.0,0.75,80,174.0
41,A2,12.0,1.0,80,174.0
42,C2,12.0,1.0,80,174.0
43,F#2,12.5,0.25,80,174.0
44,E-3,13.0,0.75,80,174.0
45,E-2,13.0,3.0,80,174.0
46,C2,13.0,1.0,80,174.0
47,D2,13.0,1.0,80,174.0
48,F#2,13.5,0.25,80,174.0
49,E-4,14.0,0.25,78,174.0
50,E-4,14.5,0.25,78,174.0
51,F#2,14.5,0.25,80,174.0
52,C2,14.5,0.5,80,174.0
53,E-4,15.0,0.25,78,174.0
54,C2,15.0,1.0,80,174.0
55,D2,15.0,1.0,80,174.0
56,E-4,15.5,0.25,78,174.0
57,F#2,15.5,0.25,80,174.0
58,E-4,16.0,0.25,78,174.0
59,E-2,16.0,4.0,80,174.0
60,C2,16.0,1.0,80,174.0
61,E-4,16.5,0.25,78,174.0
62,F#2,16.5,0.25,80,174.0
63,E-4,17.0,0.25,78,174.0
64,D2,17.0,1.0,80,174.0
65,C2,17.0,1.0,80,174.0
66,E-4,17.5,0.25,78,174.0
67,F#2,17.5,0.25,80,174.0
68,E-4,18.0,0.25,78,174.0
69,E-4,18.5,0.25,80,174.0
70,F#2,18.5,0.25,80,174.0
71,C2,18.5,0.5,80,174.0
72,F#4,19.0,0.25,80,174.0
73,D2,19.0,1.0,80,174.0
74,C2,19.0,1.0,80,174.0
75,G#4,19.5,0.25,80,174.0
76,F#2,19.5,0.25,80,174.0
77,A4,20.0,0.75,80,174.0
78,E-2,20.0,2.0,80,174.0
79,C2,20.0,1.0,80,174.0
80,F#2,20.5,0.25,80,174.0
81,E-4,21.0,0.75,80,174.0
82,D2,21.0,1.0,80,174.0
83,C2,21.0,1.0,80,174.0
84,F#2,21.5,0.25,80,174.0
85,E-4,22.0,0.25,78,174.0
86,E-2,22.0,2.0,80,174.0
87,E-4,22.5,0.25,78,174.0
88,F#2,22.5,0.25,80,174.0
89,C2,22.5,0.5,80,174.0
90,E-4,23.0,0.25,78,174.0
