,note_name,start_time,duration,velocity,tempo
0,F2,0.0,4.0,100,174.0
1,B-2,0.0,0.25,100,174.0
2,C2,0.0,0.25,100,174.0
3,C2,0.5,0.25,100,174.0
4,F4,1.0,0.5,100,174.0
5,C2,1.0,0.25,100,174.0
6,D2,1.5,0.5,100,174.0
7,G#4,2.0,0.5,100,174.0
8,C2,2.0,0.25,100,174.0
9,C2,2.5,0.25,100,174.0
10,E-5,3.0,0.5,100,174.0
11,C2,3.0,0.25,100,174.0
12,D2,3.0,0.5,100,174.0
13,C5,3.5,0.5,100,174.0
14,C2,3.5,0.25,100,174.0
15,C5,4.0,1.0,100,174.0
16,C#3,4.0,4.0,100,174.0
17,D2,4.0,0.5,100,174.0
18,B-2,4.0,0.25,100,174.0
19,C2,4.5,0.25,100,174.0
20,G#4,5.0,0.5,100,174.0
21,C2,5.0,0.25,100,174.0
22,D2,5.5,0.5,100,174.0
23,G4,6.0,0.5,100,174.0
24,C2,6.0,0.25,100,174.0
25,C2,6.5,0.25,100,174.0
26,F4,7.0,0.5,100,174.0
27,D2,7.0,0.5,100,174.0
28,B-4,7.5,0.5,100,174.0
29,C2,7.5,0.25,100,174.0
30,B-4,8.0,1.0,100,174.0
31,E-2,8.0,4.0,100,174.0
32,B-2,8.0,0.25,100,174.0
33,D2,8.0,0.5,100,174.0
34,C2,8.5,0.25,100,174.0
35,G#4,9.0,0.5,100,174.0
36,C2,9.0,0.25,100,174.0
37,D2,9.5,0.5,100,174.0
38,B-4,10.0,0.5,100,174.0
39,C2,10.0,0.25,100,174.0
40,C2,10.5,0.25,100,174.0
41,C5,11.0,0.5,100,174.0
42,D2,11.0,0.5,100,174.0
43,F4,11.5,0.5,100,174.0
44,C2,11.5,0.25,100,174.0
45,F4,12.0,1.5,100,174.0
46,B-2,12.0,4.0,100,174.0
47,B-2,12.0,0.25,100,174.0
48,C2,12.0,0.25,100,174.0
49,D2,12.0,0.25,100,174.0
50,C2,12.5,0.25,100,174.0
51,C2,13.0,0.25,100,174.0
52,C2,13.5,0.25,100,174.0
53,E-5,14.0,0.25,100,174.0
54,D2,14.0,0.25,100,174.0
55,E-5,14.5,0.25,100,174.0
56,C2,14.5,0.25,100,174.0
57,F5,15.0,0.5,100,174.0
58,C2,15.0,0.25,100,174.0
59,C2,15.5,0.25,100,174.0
60,F2,16.0,4.0,100,174.0
61,D2,16.0,0.5,100,174.0
62,B-2,16.0,0.25,100,174.0
63,C2,16.0,0.25,100,174.0
64,C2,16.5,0.25,100,174.0
65,F4,17.0,0.5,100,174.0
66,C2,17.0,0.25,100,174.0
67,D2,17.5,0.5,100,174.0
68,G#4,18.0,0.5,100,174.0
69,C2,18.0,0.25,100,174.0
70,C2,18.5,0.25,100,174.0
71,E-5,19.0,0.5,100,174.0
