,note_name,start_time,duration,velocity,tempo
0,B-3,0.0,0.25,98,122.0
1,C2,0.0,0.5,98,122.0
2,C#5,0.25,0.5,98,122.0
3,B-2,0.25,0.25,98,122.0
4,B-3,0.75,0.25,98,122.0
5,C#5,1.0,0.5,98,122.0
6,B-2,1.0,0.25,98,122.0
7,F#2,1.0,0.5,98,122.0
8,C2,1.0,0.5,98,122.0
9,B-3,1.5,0.25,98,122.0
10,C#5,1.75,0.5,98,122.0
11,B-2,1.75,0.25,98,122.0
12,C2,2.0,0.5,98,122.0
13,B-3,2.25,0.25,98,122.0
14,C#5,2.5,0.5,98,122.0
15,B-2,2.5,0.5,98,122.0
16,B-3,3.0,0.5,98,122.0
17,F#2,3.0,0.5,98,122.0
18,C2,3.0,0.5,98,122.0
19,E-5,3.5,0.5,98,122.0
20,F3,4.0,0.25,98,122.0
21,C2,4.0,0.5,98,122.0
22,G#4,4.25,0.5,98,122.0
23,F2,4.25,0.25,98,122.0
24,F3,4.75,0.25,98,122.0
25,G#4,5.0,0.5,98,122.0
26,F2,5.0,0.25,98,122.0
27,C2,5.0,0.5,98,122.0
28,F#2,5.0,0.5,98,122.0
29,F3,5.5,0.25,98,122.0
30,G#4,5.75,0.5,98,122.0
31,F2,5.75,0.25,98,122.0
32,C2,6.0,0.5,98,122.0
33,F3,6.25,0.25,98,122.0
34,G#4,6.5,0.5,98,122.0
35,F2,6.5,0.5,98,122.0
36,F3,7.0,0.5,98,122.0
37,F#2,7.0,0.5,98,122.0
38,C2,7.0,0.5,98,122.0
39,F4,7.5,0.5,98,122.0
40,G#3,8.0,0.25,98,122.0
41,C2,8.0,0.5,98,122.0
42,C5,8.25,0.5,98,122.0
43,G#2,8.25,0.25,98,122.0
44,G#3,8.75,0.25,98,122.0
45,C5,9.0,0.5,98,122.0
46,G#2,9.0,0.25,98,122.0
47,F#2,9.0,0.5,98,122.0
48,C2,9.0,0.5,98,122.0
49,G#3,9.5,0.25,98,122.0
50,C5,9.75,0.5,98,122.0
51,G#2,9.75,0.25,98,122.0
52,C2,10.0,0.5,98,122.0
53,G#3,10.25,0.25,98,122.0
54,C5,10.5,0.5,98,122.0
55,G#2,10.5,0.5,98,122.0
56,C2,11.0,0.5,98,122.0
57,F#2,11.0,0.5,98,122.0
58,G#3,11.25,0.25,98,122.0
59,C5,11.5,0.5,98,122.0
60,E-3,12.0,0.25,98,122.0
61,C2,12.0,0.5,98,122.0
62,G4,12.25,0.5,98,122.0
63,E-2,12.25,0.25,98,122.0
64,E-3,12.75,0.25,98,122.0
65,G4,13.0,0.5,98,122.0
66,E-2,13.0,0.25,98,122.0
67,F#2,13.0,0.5,98,122.0
68,C2,13.0,0.5,98,122.0
69,E-3,13.5,0.25,98,122.0
70,G4,13.75,0.5,98,122.0
71,E-2,13.75,0.25,98,122.0
72,C2,14.0,0.5,98,122.0
73,E-3,14.25,0.25,98,122.0
74,G4,14.5,0.5,98,122.0
75,E-2,14.5,0.5,98,122.0
76,F#2,15.0,0.5,98,122.0
77,C2,15.0,0.5,98,122.0
78,E-3,15.25,0.25,98,122.0
79,F4,15.5,0.5,98,122.0
80,B-3,16.0,0.25,98,122.0
81,C2,16.0,0.5,98,122.0
82,C#5,16.25,0.5,98,122.0
83,B-2,16.25,0.25,98,122.0
84,B-3,16.75,0.25,98,122.0
85,C#5,17.0,0.5,98,122.0
86,B-2,17.0,0.25,98,122.0
87,C2,17.0,0.5,98,122.0
88,F#2,17.0,0.5,98,122.0
89,B-3,17.5,0.25,98,122.0
90,C#5,17.75,0.5,98,122.0
91,B-2,17.75,0.25,98,122.0
92,C2,18.0,0.5,98,122.0
93,B-3,18.25,0.25,98,122.0
94,C#5,18.5,0.5,98,122.0
95,B-2,18.5,0.5,98,122.0
96,B-3,19.0,0.5,98,122.0
97,F#2,19.0,0.5,98,122.0
98,C2,19.0,0.5,98,122.0
99,E-5,19.5,0.5,98,122.0
100,F3,20.0,0.25,98,122.0
101,C2,20.0,0.5,98,122.0
102,G#4,20.25,0.5,98,122.0
103,F2,20.25,0.25,98,122.0
104,F3,20.75,0.25,98,122.0
105,G#4,21.0,0.5,98,122.0
106,F2,21.0,0.25,98,122.0
107,F#2,21.0,0.5,98,122.0
108,C2,21.0,0.5,98,122.0
109,F3,21.5,0.25,98,122.0
110,G#4,21.75,0.5,98,122.0
111,F2,21.75,0.25,98,122.0
112,C2,22.0,0.5,98,122.0
113,F3,22.25,0.25,98,122.0
114,G#4,22.5,0.5,98,122.0
115,F2,22.5,0.5,98,122.0
116,F3,23.0,0.5,98,122.0
117,F#2,23.0,0.5,98,122.0
118,C2,23.0,0.5,98,122.0
119,F4,23.5,0.5,98,122.0
120,G#3,24.0,0.25,98,122.0
121,C2,24.0,0.5,98,122.0
122,C5,24.25,0.5,98,122.0
123,G#2,24.25,0.25,98,122.0
124,G#3,24.75,0.25,98,122.0
125,C5,25.0,0.5,98,122.0
126,G#2,25.0,0.25,98,122.0
127,F#2,25.0,0.5,98,122.0
128,C2,25.0,0.5,98,122.0
129,G#3,25.5,0.25,98,122.0
130,C5,25.75,0.5,98,122.0
131,G#2,25.75,0.25,98,122.0
132,C2,26.0,0.5,98,122.0
133,G#3,26.25,0.25,98,122.0
134,C5,26.5,0.5,98,122.0
135,G#2,26.5,0.5,98,122.0
136,F#2,27.0,0.5,98,122.0
137,C2,27.0,0.5,98,122.0
138,G#3,27.25,0.25,98,122.0
139,C5,27.5,0.5,98,122.0
140,E-3,28.0,0.25,98,122.0
141,C2,28.0,0.5,98,122.0
142,G4,28.25,0.5,98,122.0
143,E-2,28.25,0.25,98,122.0
144,E-3,28.75,0.25,98,122.0
145,G4,29.0,0.5,98,122.0
146,E-2,29.0,0.25,98,122.0
147,F#2,29.0,0.5,98,122.0
148,E-3,29.5,0.25,98,122.0
149,G4,29.75,0.5,98,122.0
150,E-2,29.75,0.25,98,122.0
151,E-3,30.25,0.25,98,122.0
152,G4,30.5,0.5,98,122.0
153,E-2,30.5,0.5,98,122.0
154,F#2,31.0,0.5,98,122.0
155,E-3,31.25,0.25,98,122.0
156,F4,31.5,0.5,98,122.0
157,B-3,32.0,0.25,98,122.0
158,C2,32.0,0.5,98,122.0
159,C#5,32.25,0.5,98,122.0
160,B-2,32.25,0.25,98,122.0
161,B-3,32.75,0.25,98,122.0
162,C#5,33.0,0.5,98,122.0
163,B-2,33.0,0.25,98,122.0
164,C2,33.0,0.5,98,122.0
165,E-2,33.0,0.5,98,122.0
166,B-3,33.5,0.25,98,122.0
167,C#5,33.75,0.5,98,122.0
168,B-2,33.75,0.25,98,122.0
169,C2,34.0,0.5,98,122.0
170,B-3,34.25,0.25,98,122.0
171,C#5,34.5,0.5,98,122.0
172,B-2,34.5,0.5,98,122.0
173,B-3,35.0,0.5,98,122.0
174,C2,35.0,0.5,98,122.0
175,E-2,35.0,0.5,98,122.0
176,E-5,35.5,0.5,98,122.0
177,F3,36.0,0.25,98,122.0
178,C2,36.0,0.5,98,122.0
179,G#4,36.25,0.5,98,122.0
180,F2,36.25,0.25,98,122.0
181,F3,36.75,0.25,98,122.0
182,G#4,37.0,0.5,98,122.0
183,F2,37.0,0.25,98,122.0
184,E-2,37.0,0.5,98,122.0
185,C2,37.0,0.5,98,122.0
186,F3,37.5,0.25,98,122.0
187,G#4,37.75,0.5,98,122.0
188,F2,37.75,0.25,98,122.0
189,C2,38.0,0.5,98,122.0
