,note_name,start_time,duration,velocity,tempo
0,E4,0.0,0.75,95,83.0
1,E-3,0.0,0.062,95,83.0
2,G5,0.0,2.0,127,83.0
3,G4,0.0,2.0,127,83.0
4,E-3,0.062,0.062,95,83.0
5,E-3,0.125,0.062,95,83.0
6,E-3,0.188,0.062,95,83.0
7,E-3,0.25,0.062,95,83.0
8,E-3,0.312,0.062,95,83.0
9,E-3,0.375,0.062,95,83.0
10,E-3,0.438,0.062,95,83.0
11,E-3,0.5,0.062,95,83.0
12,E-3,0.562,0.062,95,83.0
13,E-3,0.625,0.062,95,83.0
14,E-3,0.688,0.062,95,83.0
15,E-3,0.75,0.062,95,83.0
16,E-3,0.812,0.062,95,83.0
17,E-3,0.875,0.062,95,83.0
18,E-3,0.938,0.062,95,83.0
19,E4,1.0,0.75,95,83.0
20,E4,2.0,0.75,95,83.0
21,F4,2.0,1.5,127,83.0
22,F5,2.0,1.5,127,83.0
23,E4,3.0,0.75,95,83.0
24,E5,3.5,0.5,127,83.0
25,E4,3.5,0.5,127,83.0
26,E4,4.0,0.75,95,83.0
27,E4,5.0,0.75,95,83.0
28,E4,6.0,0.75,95,83.0
29,E4,7.0,0.75,95,83.0
30,E4,8.0,0.75,95,83.0
31,E-3,8.0,0.062,95,83.0
32,E5,8.0,4.0,127,83.0
33,E4,8.0,4.0,127,83.0
34,E-3,8.062,0.062,95,83.0
35,E-3,8.125,0.062,95,83.0
36,E-3,8.188,0.062,95,83.0
37,E-3,8.25,0.062,95,83.0
38,E-3,8.312,0.062,95,83.0
39,E-3,8.375,0.062,95,83.0
40,E-3,8.438,0.062,95,83.0
41,E-3,8.5,0.062,95,83.0
42,E-3,8.562,0.062,95,83.0
43,E-3,8.625,0.062,95,83.0
44,E-3,8.688,0.062,95,83.0
45,E-3,8.75,0.062,95,83.0
46,E-3,8.812,0.062,95,83.0
47,E-3,8.875,0.062,95,83.0
48,E-3,8.938,0.062,95,83.0
49,E4,9.0,0.75,95,83.0
50,E4,10.0,0.75,95,83.0
51,E4,11.0,0.75,95,83.0
52,B1,12.0,0.25,95,83.0
53,E4,12.0,0.75,95,83.0
54,B4,12.0,0.5,95,83.0
55,B5,12.0,0.5,95,83.0
56,C5,12.5,1.5,127,83.0
57,C6,12.5,1.5,127,83.0
58,B1,12.68,0.25,95,83.0
59,B1,13.0,0.25,95,83.0
60,E4,13.0,0.75,95,83.0
61,B1,13.602,0.25,95,83.0
62,D2,14.0,0.25,95,83.0
63,E4,14.0,0.75,95,83.0
64,F4,14.0,1.5,127,83.0
65,F5,14.0,1.5,127,83.0
66,B1,14.292,0.25,95,83.0
67,B1,15.0,0.25,95,83.0
68,D4,15.0,0.75,95,83.0
69,E5,15.5,0.5,127,83.0
70,E4,15.5,0.5,127,83.0
71,F1,16.0,0.5,127,83.0
72,E4,16.0,0.75,95,83.0
73,C#3,16.0,0.25,95,83.0
74,F#3,16.0,0.25,73,83.0
75,B1,16.0,0.25,73,83.0
76,F#3,16.25,0.25,19,83.0
77,F#3,16.5,0.25,73,83.0
78,F#2,16.5,0.25,73,83.0
79,F1,16.75,0.25,127,83.0
80,B1,16.75,0.25,73,83.0
81,F#3,16.75,0.25,73,83.0
82,F1,17.0,0.25,127,83.0
83,E4,17.0,0.75,95,83.0
84,F#3,17.0,0.25,91,83.0
85,D2,17.0,0.25,91,83.0
86,B1,17.0,0.25,91,83.0
87,F#3,17.25,0.25,19,83.0
88,A1,17.5,1.0,127,83.0
89,F#2,17.5,0.25,73,83.0
90,F#3,17.5,0.25,73,83.0
91,F#3,17.75,0.25,19,83.0
92,E4,18.0,0.75,95,83.0
93,B1,18.0,0.25,73,83.0
94,F#3,18.0,0.25,73,83.0
95,F#3,18.25,0.25,19,83.0
96,D1,18.5,0.5,127,83.0
97,F#3,18.5,0.25,73,83.0
98,F#2,18.5,0.25,73,83.0
99,F#3,18.75,0.25,19,83.0
100,D1,19.0,1.0,127,83.0
101,E4,19.0,0.75,95,83.0
102,B1,19.0,0.25,91,83.0
103,F#3,19.0,0.25,91,83.0
104,D2,19.0,0.25,91,83.0
105,F#3,19.25,0.25,19,83.0
106,F#2,19.5,0.25,73,83.0
107,F#3,19.5,0.25,73,83.0
108,F#3,19.75,0.25,19,83.0
109,E4,20.0,0.75,95,83.0
110,F#3,20.0,0.25,73,83.0
111,B1,20.0,0.25,73,83.0
112,E5,20.0,4.0,127,83.0
113,E4,20.0,4.0,127,83.0
114,F#3,20.25,0.25,19,83.0
115,A1,20.5,0.25,127,83.0
116,F#2,20.5,0.25,73,83.0
117,F#3,20.5,0.25,73,83.0
118,F#3,20.75,0.25,19,83.0
119,A1,21.0,1.0,127,83.0
120,E4,21.0,0.75,95,83.0
121,F#3,21.0,0.25,91,83.0
122,D2,21.0,0.25,91,83.0
123,B1,21.0,0.25,91,83.0
124,F#3,21.25,0.25,19,83.0
125,F#2,21.5,0.25,73,83.0
126,F#3,21.5,0.25,73,83.0
127,F#3,21.75,0.25,19,83.0
128,E4,22.0,0.75,95,83.0
129,B1,22.0,0.25,73,83.0
130,F#3,22.0,0.25,73,83.0
131,F#3,22.25,0.25,19,83.0
132,A1,22.5,0.25,127,83.0
133,F#2,22.5,0.25,73,83.0
134,F#3,22.5,0.25,73,83.0
135,F#3,22.75,0.25,19,83.0
136,A1,23.0,0.75,127,83.0
137,D4,23.0,0.75,95,83.0
138,D2,23.0,0.25,91,83.0
139,F#3,23.0,0.25,91,83.0
140,B1,23.0,0.25,91,83.0
141,F#3,23.25,0.25,19,83.0
142,F#3,23.5,0.25,73,83.0
143,F#2,23.5,0.25,73,83.0
144,F#3,23.75,0.25,19,83.0
145,F1,24.0,0.5,127,83.0
146,E4,24.0,0.75,95,83.0
147,F#3,24.0,0.25,73,83.0
148,B1,24.0,0.25,73,83.0
149,F#3,24.25,0.25,19,83.0
150,F#3,24.5,0.25,73,83.0
151,F#2,24.5,0.25,73,83.0
152,F1,24.75,0.25,127,83.0
153,F#3,24.75,0.25,73,83.0
154,B1,24.75,0.25,73,83.0
155,F1,25.0,0.25,127,83.0
156,E4,25.0,0.75,95,83.0
157,F#3,25.0,0.25,91,83.0
158,D2,25.0,0.25,91,83.0
159,B1,25.0,0.25,91,83.0
160,F#3,25.25,0.25,19,83.0
161,A1,25.5,1.0,127,83.0
162,F#2,25.5,0.25,73,83.0
163,F#3,25.5,0.25,73,83.0
164,F#3,25.75,0.25,19,83.0
165,E4,26.0,0.75,95,83.0
166,B1,26.0,0.25,73,83.0
167,F#3,26.0,0.25,73,83.0
168,F#3,26.25,0.25,19,83.0
169,D1,26.5,0.5,127,83.0
170,F#3,26.5,0.25,73,83.0
171,F#2,26.5,0.25,73,83.0
172,F#3,26.75,0.25,19,83.0
173,D1,27.0,1.0,127,83.0
174,E4,27.0,0.75,95,83.0
175,F#3,27.0,0.25,91,83.0
176,B1,27.0,0.25,91,83.0
177,D2,27.0,0.25,91,83.0
178,F#3,27.25,0.25,19,83.0
179,F#3,27.5,0.25,73,83.0
180,F#2,27.5,0.25,73,83.0
