,note_name,start_time,duration,velocity,tempo
0,A3,0.0,0.5,100,120
1,A4,0.0,0.5,100,120
2,A3,1.0,0.5,100,120
3,A4,1.0,0.5,100,120
4,A3,2.0,0.5,100,120
5,A4,2.0,0.5,100,120
6,A3,3.0,0.5,100,120
7,C4,3.5,0.5,100,120
8,E5,3.5,0.5,100,120
9,C4,4.5,0.5,100,120
10,E5,4.5,0.5,100,120
11,D4,5.5,0.5,100,120
12,D5,5.5,0.5,100,120
13,A3,6.5,0.5,100,120
14,C5,6.5,0.5,100,120
15,A3,7.0,0.5,100,120
16,B4,7.0,0.5,100,120
17,A3,7.5,0.5,100,120
18,C5,7.5,0.5,100,120
19,A3,8.0,0.5,100,120
20,A4,8.0,0.5,100,120
21,A3,9.0,0.5,100,120
22,A4,9.0,0.5,100,120
23,A3,10.0,0.5,100,120
24,A4,10.0,0.5,100,120
25,A3,11.0,0.5,100,120
26,C4,11.5,0.5,100,120
27,F5,11.5,0.5,100,120
28,A3,12.5,0.5,100,120
29,F5,12.5,0.5,100,120
30,D4,13.5,0.5,100,120
31,E5,13.5,0.5,100,120
32,E4,14.5,0.5,100,120
33,D5,14.5,0.5,100,120
34,D4,15.0,0.5,100,120
35,C5,15.0,0.5,100,120
36,C4,15.5,0.5,100,120
37,D5,15.5,0.5,100,120
