,note_name,start_time,duration,velocity,tempo
0,E2,8.0,327/1000,115,185.0
1,C2,8.5,483/1000,115,185.0
2,C2,9.5,0.219,115,185.0
3,C2,10.0,0.438,115,185.0
4,A2,11.0,0.25,115,185.0
5,C4,12.0,13/125,100,185.0
6,C2,12.0,99/250,115,185.0
7,C5,13.0,13/125,100,185.0
8,C2,13.0,573/1000,115,185.0
9,C#6,14.0,167/1000,115,185.0
10,E-2,14.0,221/500,115,185.0
11,E-2,14.0,221/500,115,185.0
12,C5,15.0,167/1000,100,185.0
13,C#2,15.0,0.531,115,185.0
14,G2,15.0,671/1000,115,185.0
15,D1,15.0,671/1000,115,185.0
16,C4,15.5,0.094,100,185.0
17,C4,16.0,0.094,100,185.0
18,C2,16.0,77/200,115,185.0
19,C4,17.0,0.125,100,185.0
20,C2,17.0,427/1000,115,185.0
21,C#6,18.0,167/1000,115,185.0
22,E-2,18.0,0.406,115,185.0
23,E-2,18.0,0.406,115,185.0
24,C5,19.0,167/1000,100,185.0
25,D1,19.0,567/1000,115,185.0
26,G2,19.0,0.688,115,185.0
27,C#2,19.0,56/125,115,185.0
28,C4,20.0,13/125,100,185.0
29,C2,20.0,99/250,115,185.0
30,C5,21.0,13/125,100,185.0
31,C2,21.0,573/1000,115,185.0
32,C#6,22.0,167/1000,115,185.0
33,E-2,22.0,221/500,115,185.0
34,E-2,22.0,221/500,115,185.0
35,C5,23.0,167/1000,100,185.0
36,C#2,23.0,0.531,115,185.0
37,G2,23.0,671/1000,115,185.0
38,D1,23.0,671/1000,115,185.0
39,C4,23.5,0.094,100,185.0
40,C4,24.0,0.094,100,185.0
41,C2,24.0,77/200,115,185.0
42,C4,25.0,0.125,100,185.0
43,C2,25.0,427/1000,115,185.0
44,C#6,26.0,167/1000,115,185.0
45,E-2,26.0,0.406,115,185.0
46,E-2,26.0,0.406,115,185.0
47,C5,27.0,167/1000,100,185.0
48,G2,27.0,0.688,115,185.0
49,C#2,27.0,56/125,115,185.0
50,D1,27.0,567/1000,115,185.0
51,C4,28.0,13/125,100,185.0
52,C2,28.0,99/250,115,185.0
53,C5,29.0,13/125,100,185.0
54,C2,29.0,573/1000,115,185.0
55,C#6,30.0,167/1000,115,185.0
56,E-2,30.0,221/500,115,185.0
57,E-2,30.0,221/500,115,185.0
58,C5,31.0,167/1000,100,185.0
59,C#2,31.0,0.531,115,185.0
60,G2,31.0,671/1000,115,185.0
61,D1,31.0,671/1000,115,185.0
62,C4,31.5,0.094,100,185.0
63,C4,32.0,0.094,100,185.0
64,C2,32.0,77/200,115,185.0
65,C4,33.0,0.125,100,185.0
66,C2,33.0,427/1000,115,185.0
67,C#6,34.0,167/1000,115,185.0
68,E-2,34.0,0.406,115,185.0
69,E-2,34.0,0.406,115,185.0
70,C5,35.0,167/1000,100,185.0
71,G2,35.0,0.688,115,185.0
72,C#2,35.0,56/125,115,185.0
73,D1,35.0,567/1000,115,185.0
74,C4,36.0,13/125,100,185.0
75,C2,36.0,87/250,115,185.0
76,C5,37.0,13/125,100,185.0
77,C2,37.0,0.406,115,185.0
78,E-2,38.0,2/5,115,185.0
79,E-2,38.0,2/5,115,185.0
80,C5,39.0,167/1000,100,185.0
81,C#2,39.0,417/1000,115,185.0
82,G2,39.0,139/250,115,185.0
83,D1,39.0,139/250,115,185.0
84,C4,39.5,0.094,100,185.0
85,C4,40.0,0.094,100,185.0
86,E2,40.0,327/1000,115,185.0
87,C2,40.5,483/1000,115,185.0
88,C4,41.0,0.125,100,185.0
89,C2,41.5,0.219,115,185.0
90,C2,42.0,0.438,115,185.0
91,C5,43.0,167/1000,100,185.0
92,A2,43.0,0.25,115,185.0
93,C3,44.0,73/200,85,185.0
94,C3,44.0,1903/500,75,185.0
95,D3,44.0,73/250,110,185.0
96,E3,44.0,3.688,110,185.0
97,C2,44.0,99/250,115,185.0
98,C2,44.0,73/200,85,185.0
99,G3,44.0,39/10,75,185.0
100,C4,44.0,39/10,75,185.0
101,C3,45.0,979/1000,85,185.0
102,C2,45.0,573/1000,115,185.0
103,C2,45.0,979/1000,85,185.0
104,C4,45.0,229/500,110,185.0
105,C5,45.0,229/500,110,185.0
106,B3,46.0,431/1000,110,185.0
107,B4,46.0,73/200,110,185.0
108,C#6,46.0,167/1000,115,185.0
109,E-2,46.0,221/500,115,185.0
110,E-2,46.0,221/500,115,185.0
111,C5,46.5,99/250,110,185.0
112,C4,46.5,99/250,110,185.0
113,C#2,47.0,0.531,115,185.0
114,G2,47.0,671/1000,115,185.0
115,D1,47.0,671/1000,115,185.0
116,B4,47.513,167/1000,110,185.0
117,B3,47.513,167/1000,110,185.0
118,C3,48.0,0.5,85,185.0
119,G3,48.0,4.0,75,185.0
120,C4,48.0,4.0,75,185.0
121,C3,48.0,464/125,75,185.0
122,E3,48.0,703/200,110,185.0
123,D3,48.0,73/250,110,185.0
124,C2,48.0,77/200,115,185.0
125,C2,48.0,0.5,85,185.0
126,C4,48.0,0.438,110,185.0
127,C5,48.0,0.438,110,185.0
128,C3,49.0,132/125,85,185.0
129,C2,49.0,427/1000,115,185.0
130,C2,49.0,132/125,85,185.0
131,C4,49.0,113/250,110,185.0
132,C5,49.0,113/250,110,185.0
133,C#6,50.0,167/1000,115,185.0
134,B3,50.0,327/1000,110,185.0
135,B4,50.0,327/1000,110,185.0
136,E-2,50.0,0.406,115,185.0
137,E-2,50.0,0.406,115,185.0
138,C5,50.5,39/100,110,185.0
139,C4,50.5,39/100,110,185.0
140,G2,51.0,0.688,115,185.0
141,C#2,51.0,56/125,115,185.0
142,D1,51.0,567/1000,115,185.0
143,C6,51.042,13/50,127,185.0
144,C6,51.583,417/1000,127,185.0
145,C6,52.0,1427/1000,127,185.0
146,C3,52.0,73/200,85,185.0
147,C3,52.0,757/200,75,185.0
148,G3,52.0,4.0,75,185.0
149,C4,52.0,3.719,75,185.0
150,D3,52.0,37/125,110,185.0
151,E3,52.0,3573/1000,110,185.0
152,C2,52.0,99/250,115,185.0
153,C2,52.0,73/200,85,185.0
154,C3,53.0,979/1000,85,185.0
155,C2,53.0,573/1000,115,185.0
156,C2,53.0,979/1000,85,185.0
157,C4,53.0,229/500,110,185.0
158,C5,53.0,229/500,110,185.0
159,B3,54.0,431/1000,110,185.0
160,B4,54.0,73/200,110,185.0
161,C#6,54.0,167/1000,115,185.0
162,E-2,54.0,221/500,115,185.0
163,E-2,54.0,221/500,115,185.0
164,C5,54.5,99/250,110,185.0
165,C4,54.5,99/250,110,185.0
166,C#2,55.0,0.531,115,185.0
167,G2,55.0,671/1000,115,185.0
168,D1,55.0,671/1000,115,185.0
169,B4,55.513,167/1000,110,185.0
170,B3,55.513,167/1000,110,185.0
171,C3,56.0,0.5,85,185.0
172,G3,56.0,757/200,75,185.0
173,E3,56.0,3567/1000,110,185.0
174,D3,56.0,151/500,110,185.0
175,C2,56.0,77/200,115,185.0
176,C2,56.0,0.5,85,185.0
177,C4,56.0,0.438,110,185.0
178,C5,56.0,0.438,110,185.0
179,C4,56.0,1927/500,75,185.0
180,C3,56.0,1927/500,75,185.0
181,C3,57.0,132/125,85,185.0
182,C2,57.0,427/1000,115,185.0
183,C2,57.0,132/125,85,185.0
184,C4,57.0,113/250,110,185.0
