,note_name,start_time,duration,velocity,tempo
0,F#2,4.0,0.031,70,91.0
1,F#2,5.0,0.031,55,91.0
2,F#2,6.0,0.031,55,91.0
3,F#2,7.0,0.031,55,91.0
4,E2,8.0,0.031,74,91.0
5,F#2,8.0,0.031,74,91.0
6,B1,8.0,0.031,74,91.0
7,B1,8.25,0.031,105,91.0
8,D2,8.5,0.031,79,91.0
9,F#2,8.5,0.031,79,91.0
10,D2,9.0,0.031,94,91.0
11,F#2,9.0,0.031,94,91.0
12,E2,9.5,0.031,43,91.0
13,F#2,9.5,0.031,43,91.0
14,B1,9.75,0.031,120,91.0
15,E2,10.0,0.031,46,91.0
16,F#2,10.0,0.031,46,91.0
17,B1,10.25,0.031,112,91.0
18,D2,10.5,0.031,90,91.0
19,F#2,10.5,0.031,90,91.0
20,B1,10.75,0.031,112,91.0
21,E2,11.0,0.031,48,91.0
22,F#2,11.0,0.031,48,91.0
23,B1,11.25,0.031,112,91.0
24,D2,11.5,0.031,76,91.0
25,F#2,11.5,0.031,76,91.0
26,B1,11.75,0.031,99,91.0
27,D2,11.75,0.031,99,91.0
28,C2,12.0,479/1000,83,91.0
29,G3,12.0,479/1000,83,91.0
30,B3,12.0,479/1000,83,91.0
31,E4,12.0,479/1000,83,91.0
32,B1,12.0,0.031,92,91.0
33,F#2,12.0,0.031,92,91.0
34,G3,12.25,0.062,126,91.0
35,G3,12.375,73/1000,91,91.0
36,F#2,12.5,0.031,59,91.0
37,G3,12.5,27/200,119,91.0
38,G3,12.75,73/1000,104,91.0
39,G1,12.75,427/1000,97,91.0
40,D4,12.75,427/1000,97,91.0
41,G3,12.76,427/1000,69,91.0
42,B3,12.76,427/1000,69,91.0
43,D4,12.76,427/1000,69,91.0
44,E-2,12.958,0.031,93,91.0
45,F#2,12.958,0.031,93,91.0
46,D2,12.958,0.031,93,91.0
47,G3,13.0,0.031,122,91.0
48,D2,13.0,0.031,122,91.0
49,G3,13.25,0.062,115,91.0
50,G3,13.375,73/1000,92,91.0
51,A1,13.5,69/125,127,91.0
52,F#2,13.5,0.094,88,91.0
53,G3,13.5,0.094,88,91.0
54,A3,13.51,677/1000,71,91.0
55,C4,13.51,677/1000,71,91.0
56,E4,13.51,677/1000,71,91.0
57,G3,13.75,73/1000,112,91.0
58,B1,14.0,0.094,104,91.0
59,F#2,14.0,0.094,104,91.0
60,G3,14.0,0.094,104,91.0
61,G3,14.25,13/250,113,91.0
62,G3,14.375,0.062,88,91.0
63,A1,14.5,177/1000,127,91.0
64,F#2,14.5,73/1000,89,91.0
65,G3,14.5,73/1000,89,91.0
66,A3,14.51,49/100,71,91.0
67,C4,14.51,49/100,71,91.0
68,E4,14.51,49/100,71,91.0
69,G3,14.75,13/250,104,91.0
70,A3,14.75,0.125,49,91.0
71,C4,14.75,0.125,49,91.0
72,E4,14.75,0.125,49,91.0
73,E-2,14.958,0.031,93,91.0
74,F#2,14.958,0.031,93,91.0
75,D2,14.958,0.031,93,91.0
76,G3,15.0,323/500,109,91.0
77,A1,15.0,0.125,95,91.0
78,A3,15.0,0.125,95,91.0
79,C4,15.0,0.125,95,91.0
80,E4,15.0,0.125,95,91.0
81,B1,15.25,0.406,87,91.0
82,B3,15.25,0.406,87,91.0
83,D4,15.25,0.406,87,91.0
84,F#4,15.25,0.406,87,91.0
85,F#2,15.5,0.031,97,91.0
86,D2,15.75,0.031,27,91.0
87,D2,15.812,0.031,15,91.0
88,D2,15.885,0.031,14,91.0
89,C2,16.0,479/1000,83,91.0
90,G3,16.0,479/1000,83,91.0
91,B3,16.0,479/1000,83,91.0
92,E4,16.0,479/1000,83,91.0
93,B1,16.0,0.031,92,91.0
94,F#2,16.0,0.031,92,91.0
95,G3,16.25,0.062,113,91.0
96,G3,16.375,0.062,86,91.0
97,F#2,16.5,0.094,86,91.0
98,G3,16.5,0.094,86,91.0
99,G3,16.75,73/1000,105,91.0
100,G1,16.75,427/1000,97,91.0
101,D4,16.75,427/1000,97,91.0
102,G3,16.76,427/1000,69,91.0
103,B3,16.76,427/1000,69,91.0
104,D4,16.76,427/1000,69,91.0
105,E-2,16.958,0.031,93,91.0
106,F#2,16.958,0.031,93,91.0
107,D2,16.958,0.031,93,91.0
108,G3,17.0,0.031,122,91.0
109,D2,17.0,0.031,122,91.0
110,G3,17.25,0.062,113,91.0
111,G3,17.375,13/250,83,91.0
112,A1,17.5,69/125,127,91.0
113,F#2,17.5,83/1000,84,91.0
114,G3,17.5,83/1000,84,91.0
115,A3,17.51,677/1000,71,91.0
116,C4,17.51,677/1000,71,91.0
117,E4,17.51,677/1000,71,91.0
118,G3,17.75,73/1000,110,91.0
119,B1,18.0,73/1000,104,91.0
120,F#2,18.0,73/1000,104,91.0
121,G3,18.0,73/1000,104,91.0
122,G3,18.25,0.062,117,91.0
123,G3,18.375,73/1000,93,91.0
124,A1,18.5,177/1000,127,91.0
125,F#2,18.5,73/1000,91,91.0
126,G3,18.5,73/1000,91,91.0
127,A3,18.51,49/100,71,91.0
128,C4,18.51,49/100,71,91.0
129,E4,18.51,49/100,71,91.0
130,A3,18.75,0.062,63,91.0
131,C4,18.75,0.062,63,91.0
132,E4,18.75,0.062,63,91.0
133,G3,18.75,0.062,63,91.0
134,E-2,18.958,0.031,93,91.0
135,F#2,18.958,0.031,93,91.0
136,D2,18.958,0.031,93,91.0
137,A1,19.0,0.125,95,91.0
138,A3,19.0,0.125,95,91.0
139,C4,19.0,0.125,95,91.0
140,E4,19.0,0.125,95,91.0
141,B3,19.0,0.031,112,91.0
142,D2,19.0,0.031,112,91.0
143,G3,19.25,323/500,102,91.0
144,B1,19.25,0.406,87,91.0
145,B3,19.25,0.406,87,91.0
146,D4,19.25,0.406,87,91.0
147,F#4,19.25,0.406,87,91.0
148,F#2,19.5,0.031,97,91.0
149,C2,20.0,479/1000,83,91.0
150,G3,20.0,479/1000,83,91.0
151,B3,20.0,479/1000,83,91.0
152,E4,20.0,479/1000,83,91.0
153,B1,20.0,0.031,92,91.0
154,F#2,20.0,0.031,92,91.0
155,G3,20.25,0.062,119,91.0
156,G3,20.375,0.062,83,91.0
157,F#2,20.5,83/1000,88,91.0
158,G3,20.5,83/1000,88,91.0
159,G3,20.75,0.062,101,91.0
160,G1,20.75,427/1000,97,91.0
161,D4,20.75,427/1000,97,91.0
162,G3,20.76,427/1000,69,91.0
163,B3,20.76,427/1000,69,91.0
164,D4,20.76,427/1000,69,91.0
165,E-2,20.958,0.031,93,91.0
166,F#2,20.958,0.031,93,91.0
167,D2,20.958,0.031,93,91.0
168,G3,21.0,0.031,122,91.0
169,D2,21.0,0.031,122,91.0
170,G3,21.25,0.062,104,91.0
171,G3,21.375,0.062,86,91.0
172,A1,21.5,69/125,127,91.0
173,F#2,21.5,73/1000,89,91.0
174,G3,21.5,73/1000,89,91.0
175,A3,21.51,677/1000,71,91.0
176,C4,21.51,677/1000,71,91.0
177,E4,21.51,677/1000,71,91.0
178,G3,21.75,0.062,117,91.0
179,B1,22.0,73/1000,103,91.0
180,F#2,22.0,73/1000,103,91.0
181,G3,22.0,73/1000,103,91.0
182,G3,22.25,73/1000,107,91.0
183,G3,22.375,13/250,78,91.0
184,A1,22.5,177/1000,127,91.0
185,F#2,22.5,0.062,84,91.0
186,G3,22.5,0.062,84,91.0
187,A3,22.51,49/100,71,91.0
188,C4,22.51,49/100,71,91.0
189,E4,22.51,49/100,71,91.0
190,G3,22.75,13/250,105,91.0
191,A3,22.75,0.125,49,91.0
192,C4,22.75,0.125,49,91.0
193,E4,22.75,0.125,49,91.0
194,E-2,22.958,0.031,93,91.0
195,F#2,22.958,0.031,93,91.0
196,D2,22.958,0.031,93,91.0
197,G3,23.0,0.531,107,91.0
198,A1,23.0,0.125,95,91.0
199,A3,23.0,0.125,95,91.0
200,C4,23.0,0.125,95,91.0
201,E4,23.0,0.125,95,91.0
202,B1,23.25,0.406,87,91.0
203,B3,23.25,0.406,87,91.0
204,D4,23.25,0.406,87,91.0
205,F#4,23.25,0.406,87,91.0
206,F#2,23.5,0.031,97,91.0
207,D2,23.75,0.031,27,91.0
208,D2,23.812,0.031,15,91.0
209,D2,23.885,0.031,14,91.0
210,C2,24.0,479/1000,83,91.0
211,G3,24.0,479/1000,83,91.0
212,B3,24.0,479/1000,83,91.0
213,E4,24.0,479/1000,83,91.0
214,B1,24.0,0.031,92,91.0
215,F#2,24.0,0.031,92,91.0
216,G3,24.25,13/250,124,91.0
217,G3,24.375,0.062,85,91.0
218,F#2,24.5,83/1000,84,91.0
219,G3,24.5,83/1000,84,91.0
220,G3,24.75,0.062,99,91.0
221,G1,24.75,427/1000,97,91.0
222,D4,24.75,427/1000,97,91.0
223,G3,24.76,427/1000,69,91.0
224,B3,24.76,427/1000,69,91.0
225,D4,24.76,427/1000,69,91.0
226,E-2,24.958,0.031,93,91.0
227,F#2,24.958,0.031,93,91.0
228,D2,24.958,0.031,93,91.0
229,G3,25.0,0.031,122,91.0
230,D2,25.0,0.031,122,91.0
231,G3,25.25,0.062,99,91.0
232,G3,25.375,13/250,82,91.0
233,A1,25.5,69/125,127,91.0
234,F#2,25.5,73/1000,85,91.0
235,G3,25.5,73/1000,85,91.0
236,A3,25.51,677/1000,71,91.0
237,C4,25.51,677/1000,71,91.0
238,E4,25.51,677/1000,71,91.0
239,G3,25.75,13/250,98,91.0
240,B1,26.0,83/1000,104,91.0
241,F#2,26.0,83/1000,104,91.0
242,G3,26.0,83/1000,104,91.0
243,G3,26.25,0.062,84,91.0
244,G3,26.375,13/250,78,91.0
245,A1,26.5,177/1000,127,91.0
246,F#2,26.5,73/1000,86,91.0
247,G3,26.5,73/1000,86,91.0
248,A3,26.51,49/100,71,91.0
249,C4,26.51,49/100,71,91.0
250,E4,26.51,49/100,71,91.0
251,G3,26.75,21/500,99,91.0
252,A3,26.75,0.125,49,91.0
253,C4,26.75,0.125,49,91.0
254,E4,26.75,0.125,49,91.0
255,E-2,26.958,0.031,93,91.0
256,F#2,26.958,0.031,93,91.0
257,D2,26.958,0.031,93,91.0
258,G3,27.0,323/500,108,91.0
259,A1,27.0,0.125,95,91.0
260,A3,27.0,0.125,95,91.0
261,C4,27.0,0.125,95,91.0
262,E4,27.0,0.125,95,91.0
263,B1,27.25,0.406,87,91.0
264,B3,27.25,0.406,87,91.0
265,D4,27.25,0.406,87,91.0
266,F#4,27.25,0.406,87,91.0
267,D2,27.5,0.031,82,91.0
268,F#2,27.5,0.031,82,91.0
269,C2,28.0,479/1000,83,91.0
270,G3,28.0,479/1000,83,91.0
271,B3,28.0,479/1000,83,91.0
272,E4,28.0,479/1000,83,91.0
273,B1,28.0,0.031,92,91.0
274,F#2,28.0,0.031,92,91.0
275,G3,28.25,0.062,126,91.0
276,G3,28.375,73/1000,91,91.0
277,F#2,28.5,0.031,59,91.0
278,G3,28.5,27/200,119,91.0
279,G3,28.75,73/1000,104,91.0
280,G1,28.75,427/1000,97,91.0
281,D4,28.75,427/1000,97,91.0
282,G3,28.76,427/1000,69,91.0
283,B3,28.76,427/1000,69,91.0
284,D4,28.76,427/1000,69,91.0
285,E-2,28.958,0.031,93,91.0
286,F#2,28.958,0.031,93,91.0
287,D2,28.958,0.031,93,91.0
288,G3,29.0,0.031,122,91.0
289,D2,29.0,0.031,122,91.0
290,G3,29.25,0.062,115,91.0
291,G3,29.375,73/1000,92,91.0
292,A1,29.5,69/125,127,91.0
293,F#2,29.5,0.094,88,91.0
294,G3,29.5,0.094,88,91.0
295,A3,29.51,677/1000,71,91.0
296,C4,29.51,677/1000,71,91.0
297,E4,29.51,677/1000,71,91.0
298,G3,29.75,73/1000,112,91.0
299,B1,30.0,0.094,104,91.0
300,F#2,30.0,0.094,104,91.0
301,G3,30.0,0.094,104,91.0
302,G3,30.25,13/250,113,91.0
303,G3,30.375,0.062,88,91.0
304,A1,30.5,177/1000,127,91.0
305,F#2,30.5,73/1000,89,91.0
306,G3,30.5,73/1000,89,91.0
307,A3,30.51,49/100,71,91.0
308,C4,30.51,49/100,71,91.0
309,E4,30.51,49/100,71,91.0
310,G3,30.75,13/250,104,91.0
311,A3,30.75,0.125,49,91.0
312,C4,30.75,0.125,49,91.0
313,E4,30.75,0.125,49,91.0
314,E-2,30.958,0.031,93,91.0
315,F#2,30.958,0.031,93,91.0
316,D2,30.958,0.031,93,91.0
317,G3,31.0,323/500,106,91.0
318,A1,31.0,0.125,95,91.0
319,A3,31.0,0.125,95,91.0
320,C4,31.0,0.125,95,91.0
321,E4,31.0,0.125,95,91.0
322,B1,31.25,0.406,87,91.0
323,B3,31.25,0.406,87,91.0
324,D4,31.25,0.406,87,91.0
325,F#4,31.25,0.406,87,91.0
326,F#2,31.5,0.031,97,91.0
327,D2,31.75,0.031,27,91.0
328,D2,31.812,0.031,15,91.0
329,D2,31.885,0.031,14,91.0
330,C2,32.0,479/1000,83,91.0
331,G3,32.0,479/1000,83,91.0
332,B3,32.0,479/1000,83,91.0
333,E4,32.0,479/1000,83,91.0
334,B1,32.0,0.031,92,91.0
335,F#2,32.0,0.031,92,91.0
336,G3,32.25,0.062,126,91.0
337,G3,32.375,73/1000,91,91.0
338,F#2,32.5,0.031,59,91.0
339,G3,32.5,27/200,119,91.0
340,G3,32.75,73/1000,104,91.0
341,G1,32.75,427/1000,97,91.0
342,D4,32.75,427/1000,97,91.0
343,G3,32.76,427/1000,69,91.0
344,B3,32.76,427/1000,69,91.0
345,D4,32.76,427/1000,69,91.0
346,E-2,32.958,0.031,93,91.0
347,F#2,32.958,0.031,93,91.0
348,D2,32.958,0.031,93,91.0
349,G3,33.0,0.031,122,91.0
350,D2,33.0,0.031,122,91.0
351,G3,33.25,0.062,115,91.0
352,G3,33.375,73/1000,92,91.0
353,A1,33.5,69/125,127,91.0
354,F#2,33.5,0.094,88,91.0
355,G3,33.5,0.094,88,91.0
356,A3,33.51,677/1000,71,91.0
357,C4,33.51,677/1000,71,91.0
358,E4,33.51,677/1000,71,91.0
359,G3,33.75,73/1000,112,91.0
360,B1,34.0,0.094,104,91.0
361,F#2,34.0,0.094,104,91.0
362,G3,34.0,0.094,104,91.0
363,G3,34.25,13/250,113,91.0
364,G3,34.375,0.062,88,91.0
365,A1,34.5,177/1000,127,91.0
366,F#2,34.5,73/1000,89,91.0
367,G3,34.5,73/1000,89,91.0
368,A3,34.51,49/100,71,91.0
369,C4,34.51,49/100,71,91.0
370,E4,34.51,49/100,71,91.0
371,G3,34.75,13/250,104,91.0
372,A3,34.75,0.125,49,91.0
373,C4,34.75,0.125,49,91.0
374,E4,34.75,0.125,49,91.0
375,E-2,34.958,0.031,93,91.0
376,F#2,34.958,0.031,93,91.0
377,D2,34.958,0.031,93,91.0
378,G3,35.0,323/500,109,91.0
379,A1,35.0,0.125,95,91.0
380,A3,35.0,0.125,95,91.0
381,C4,35.0,0.125,95,91.0
382,E4,35.0,0.125,95,91.0
383,B1,35.25,0.406,87,91.0
384,B3,35.25,0.406,87,91.0
385,D4,35.25,0.406,87,91.0
386,F#4,35.25,0.406,87,91.0
387,F#2,35.5,0.031,97,91.0
388,C2,36.0,479/1000,83,91.0
389,G3,36.0,479/1000,83,91.0
390,B3,36.0,479/1000,83,91.0
391,E4,36.0,479/1000,83,91.0
392,B1,36.0,0.031,92,91.0
393,F#2,36.0,0.031,92,91.0
394,G3,36.25,0.062,126,91.0
395,G3,36.375,73/1000,91,91.0
396,F#2,36.5,0.031,59,91.0
397,G3,36.5,27/200,119,91.0
398,G3,36.75,73/1000,104,91.0
399,G1,36.75,427/1000,97,91.0
400,D4,36.75,427/1000,97,91.0
401,G3,36.76,427/1000,69,91.0
402,B3,36.76,427/1000,69,91.0
403,D4,36.76,427/1000,69,91.0
404,E-2,36.958,0.031,93,91.0
405,F#2,36.958,0.031,93,91.0
406,D2,36.958,0.031,93,91.0
407,G3,37.0,0.031,122,91.0
408,D2,37.0,0.031,122,91.0
409,G3,37.25,0.062,115,91.0
410,G3,37.375,73/1000,92,91.0
411,A1,37.5,69/125,127,91.0
412,F#2,37.5,0.094,88,91.0
413,G3,37.5,0.094,88,91.0
414,A3,37.51,677/1000,71,91.0
415,C4,37.51,677/1000,71,91.0
416,E4,37.51,677/1000,71,91.0
417,G3,37.75,73/1000,112,91.0
418,B1,38.0,0.094,104,91.0
419,F#2,38.0,0.094,104,91.0
420,G3,38.0,0.094,104,91.0
421,G3,38.25,13/250,113,91.0
422,G3,38.375,0.062,88,91.0
423,A1,38.5,177/1000,127,91.0
424,F#2,38.5,73/1000,89,91.0
425,G3,38.5,73/1000,89,91.0
426,A3,38.51,49/100,71,91.0
427,C4,38.51,49/100,71,91.0
428,E4,38.51,49/100,71,91.0
429,G3,38.75,13/250,104,91.0
430,A3,38.75,0.125,49,91.0
431,C4,38.75,0.125,49,91.0
432,E4,38.75,0.125,49,91.0
433,E-2,38.958,0.031,93,91.0
434,F#2,38.958,0.031,93,91.0
435,D2,38.958,0.031,93,91.0
436,G3,39.0,323/500,109,91.0
437,A1,39.0,0.125,95,91.0
438,A3,39.0,0.125,95,91.0
439,C4,39.0,0.125,95,91.0
440,E4,39.0,0.125,95,91.0
441,B1,39.25,0.406,87,91.0
442,B3,39.25,0.406,87,91.0
443,D4,39.25,0.406,87,91.0
444,F#4,39.25,0.406,87,91.0
445,F#2,39.5,0.031,97,91.0
446,D2,39.75,0.031,27,91.0
447,D2,39.812,0.031,15,91.0
448,D2,39.885,0.031,14,91.0
449,C2,40.0,479/1000,83,91.0
450,G3,40.0,479/1000,83,91.0
451,B3,40.0,479/1000,83,91.0
452,E4,40.0,479/1000,83,91.0
453,B1,40.0,0.031,92,91.0
454,F#2,40.0,0.031,92,91.0
455,G3,40.25,0.062,113,91.0
456,G3,40.375,0.062,86,91.0
457,F#2,40.5,0.094,86,91.0
458,G3,40.5,0.094,86,91.0
459,G3,40.75,73/1000,105,91.0
460,G1,40.75,427/1000,97,91.0
461,D4,40.75,427/1000,97,91.0
462,G3,40.76,427/1000,69,91.0
463,B3,40.76,427/1000,69,91.0
464,D4,40.76,427/1000,69,91.0
465,E-2,40.958,0.031,93,91.0
466,F#2,40.958,0.031,93,91.0
467,D2,40.958,0.031,93,91.0
468,G3,41.0,0.031,122,91.0
469,D2,41.0,0.031,122,91.0
470,G3,41.25,0.062,113,91.0
471,G3,41.375,13/250,83,91.0
472,A1,41.5,69/125,127,91.0
473,F#2,41.5,83/1000,84,91.0
474,G3,41.5,83/1000,84,91.0
