,note_name,start_time,duration,velocity,tempo
0,E4,4.0,3083/1000,109,172.0
1,A3,4.0,677/200,111,172.0
2,A1,4.0,127/200,106,172.0
3,E3,4.0,3.062,109,172.0
4,C5,4.0,1651/500,107,172.0
5,A4,4.0,1651/500,107,172.0
6,E4,4.0,763/250,113,172.0
7,C4,4.0,763/250,113,172.0
8,A3,4.0,763/250,113,172.0
9,E5,4.0,3323/1000,98,172.0
10,C5,4.0,3323/1000,98,172.0
11,A4,4.0,3323/1000,98,172.0
12,B-2,4.0,0.031,90,172.0
13,B1,4.0,0.031,90,172.0
14,A1,5.0,0.625,112,172.0
15,B-2,5.0,0.031,104,172.0
16,E2,5.0,0.031,104,172.0
17,A1,6.0,69/125,103,172.0
18,B-2,6.0,21/1000,82,172.0
19,B1,6.0,21/1000,82,172.0
20,E2,6.99,21/1000,104,172.0
21,B-2,6.99,21/1000,104,172.0
22,A1,7.0,0.656,116,172.0
23,D3,7.604,99/250,78,172.0
24,D5,7.646,177/500,103,172.0
25,A4,7.646,177/500,103,172.0
26,F5,7.646,177/500,103,172.0
27,A4,7.656,0.344,119,172.0
28,F4,7.656,0.344,111,172.0
29,A3,7.656,0.344,113,172.0
30,A2,7.656,0.344,110,172.0
31,D4,7.656,0.344,121,172.0
32,C5,7.656,0.344,121,172.0
33,F3,7.677,323/1000,109,172.0
34,A3,7.833,167/1000,96,172.0
35,D4,7.833,167/1000,96,172.0
36,B-2,7.99,1/100,92,172.0
37,B1,7.99,1/100,92,172.0
38,A4,8.0,3.125,119,172.0
39,F4,8.0,3.406,111,172.0
40,A3,8.0,3479/1000,113,172.0
41,A2,8.0,99/100,110,172.0
42,D3,8.0,737/250,78,172.0
43,F3,8.0,2.969,109,172.0
44,D4,8.0,401/125,121,172.0
45,C5,8.0,401/125,121,172.0
46,A3,8.0,2927/1000,96,172.0
47,D4,8.0,2927/1000,96,172.0
48,D5,8.0,2979/1000,103,172.0
49,A4,8.0,2979/1000,103,172.0
50,F5,8.0,2979/1000,103,172.0
51,B-2,8.0,21/1000,92,172.0
52,B1,8.0,21/1000,92,172.0
53,B-2,8.99,0.031,106,172.0
54,E2,8.99,0.031,106,172.0
55,A1,9.0,0.656,112,172.0
56,B-2,9.99,21/1000,82,172.0
57,B1,9.99,21/1000,82,172.0
58,A1,10.0,677/1000,98,172.0
59,E2,10.99,0.031,102,172.0
60,B-2,10.99,0.031,102,172.0
61,A1,11.0,583/1000,116,172.0
62,E3,11.635,73/200,93,172.0
63,G#4,11.646,177/500,74,172.0
64,G#4,11.656,0.344,117,172.0
65,E4,11.656,0.344,113,172.0
66,G1,11.656,323/1000,105,172.0
67,G#3,11.656,0.344,97,172.0
68,E5,11.656,0.344,104,172.0
69,B4,11.656,0.344,104,172.0
70,B4,11.667,333/1000,113,172.0
71,A3,11.667,333/1000,111,172.0
72,B3,11.75,0.25,74,172.0
73,E4,11.854,73/500,95,172.0
74,A1,11.99,1/100,105,172.0
75,B1,11.99,1/100,90,172.0
76,B-2,11.99,1/100,90,172.0
77,G#4,12.0,4.0,117,172.0
78,E4,12.0,4.0,113,172.0
79,B4,12.0,4.0,113,172.0
80,A3,12.0,4.0,111,172.0
81,A1,12.0,0.625,105,172.0
82,E3,12.0,4.0,93,172.0
83,G#3,12.0,4.0,97,172.0
84,B3,12.0,4.0,74,172.0
85,E4,12.0,4.0,95,172.0
86,G#4,12.0,4.0,74,172.0
87,E5,12.0,4.0,104,172.0
88,B4,12.0,4.0,104,172.0
89,B1,12.0,21/1000,90,172.0
90,B-2,12.0,21/1000,90,172.0
91,A1,12.99,151/250,112,172.0
92,E2,12.99,21/1000,102,172.0
93,B-2,12.99,21/1000,102,172.0
94,A1,13.99,151/250,102,172.0
95,B1,13.99,0.031,94,172.0
96,B-2,13.99,0.031,94,172.0
97,B-2,14.99,21/1000,102,172.0
98,E2,14.99,21/1000,102,172.0
99,A1,15.0,127/200,114,172.0
100,A2,15.656,0.344,106,172.0
101,B-2,15.99,1/100,88,172.0
102,B1,15.99,1/100,88,172.0
103,G#4,16.0,263/250,117,172.0
104,E4,16.0,0.938,113,172.0
105,B4,16.0,1.188,113,172.0
106,A3,16.0,1.406,111,172.0
107,A2,16.0,1.156,106,172.0
108,E3,16.0,323/1000,93,172.0
109,G#3,16.0,229/1000,97,172.0
110,B3,16.0,73/250,74,172.0
111,E4,16.0,271/1000,95,172.0
112,G#4,16.0,51/100,74,172.0
113,E5,16.0,583/1000,104,172.0
114,B4,16.0,583/1000,104,172.0
115,B-2,16.0,1/100,88,172.0
116,B1,16.0,1/100,88,172.0
117,A1,16.99,677/1000,112,172.0
118,E2,16.99,0.031,104,172.0
119,B-2,16.99,0.031,104,172.0
120,F5,17.573,99/250,103,172.0
121,F3,17.573,51/100,112,172.0
122,A3,17.573,51/100,112,172.0
123,C4,17.573,51/100,112,172.0
124,A4,17.573,0.281,104,172.0
125,C5,17.573,0.281,104,172.0
126,C4,17.656,0.562,107,172.0
127,F4,17.656,677/1000,117,172.0
128,B1,17.677,0.031,107,172.0
129,B-2,17.99,0.031,64,172.0
130,A1,18.0,0.594,101,172.0
131,G5,18.542,0.594,107,172.0
132,B4,18.542,667/1000,107,172.0
133,D5,18.542,667/1000,107,172.0
134,B3,18.562,0.625,116,172.0
135,G3,18.562,0.625,116,172.0
136,D4,18.562,0.625,116,172.0
137,D4,18.656,151/125,121,172.0
138,G4,18.656,1.062,126,172.0
139,E2,18.677,0.031,121,172.0
140,B-2,18.99,0.031,85,172.0
141,A1,19.0,677/1000,113,172.0
