,note_name,start_time,duration,velocity,tempo
0,D5,0.0,1.0,100,70.0
1,D3,0.0,4.0,60,70.0
2,C0,0.0,333/1000,73,70.0
3,C-1,0.0,333/1000,73,70.0
4,C-1,0.0,333/1000,73,70.0
5,D4,0.0,0.5,80,70.0
6,A5,0.0,0.5,80,70.0
7,A3,0.0,4.0,60,70.0
8,A4,0.0,4.0,60,70.0
9,F4,0.5,0.5,80,70.0
10,F5,0.5,0.5,80,70.0
11,A4,1.0,0.5,80,70.0
12,D5,1.0,0.5,80,70.0
13,F4,1.5,0.5,80,70.0
14,A5,1.5,0.5,80,70.0
15,C5,2.0,1.0,100,70.0
16,C4,2.0,0.5,80,70.0
17,G5,2.0,0.5,80,70.0
18,E4,2.5,0.5,80,70.0
19,E5,2.5,0.5,80,70.0
20,G4,3.0,0.5,87,70.0
21,C6,3.0,0.5,87,70.0
22,C5,3.0,0.5,87,70.0
23,E4,3.5,0.5,80,70.0
24,G5,3.5,0.5,80,70.0
25,B-4,4.0,1.0,100,70.0
26,B-3,4.0,0.5,80,70.0
27,A5,4.0,0.5,80,70.0
28,D4,4.5,0.5,80,70.0
29,F5,4.5,0.5,80,70.0
30,D5,5.0,1.0,100,70.0
31,F4,5.0,0.5,80,70.0
32,B-4,5.0,0.5,80,70.0
33,D4,5.5,0.5,60,70.0
34,B-3,6.0,0.5,60,70.0
35,D4,6.5,0.5,60,70.0
36,F4,7.0,0.5,80,70.0
37,C6,7.0,0.5,80,70.0
38,B-5,7.25,167/1000,100,70.0
39,D4,7.5,0.5,60,70.0
40,A5,7.5,167/1000,100,70.0
41,F5,7.75,167/1000,100,70.0
42,D5,8.0,1.0,100,70.0
43,D4,8.0,0.5,80,70.0
44,A5,8.0,0.5,80,70.0
45,F4,8.5,0.5,80,70.0
46,F5,8.5,0.5,80,70.0
47,D5,9.0,0.5,100,70.0
48,F4,9.5,0.5,80,70.0
49,A5,9.5,0.5,80,70.0
50,C5,10.0,1.0,100,70.0
51,C4,10.0,0.5,80,70.0
52,G5,10.0,0.5,80,70.0
53,E4,10.5,0.5,80,70.0
54,E5,10.5,0.5,80,70.0
55,G4,11.0,0.5,80,70.0
56,C5,11.0,0.5,80,70.0
57,E4,11.5,0.5,80,70.0
58,G5,11.5,0.5,80,70.0
59,B-4,12.0,1.0,100,70.0
60,B-3,12.0,0.5,80,70.0
61,A5,12.0,0.5,80,70.0
62,D4,12.5,0.5,80,70.0
63,F5,12.5,0.5,80,70.0
64,D5,13.0,3.0,100,70.0
65,F4,13.0,0.5,80,70.0
66,B-4,13.0,0.5,80,70.0
67,D4,13.5,0.5,60,70.0
68,B-3,14.0,0.5,60,70.0
69,D4,14.5,0.5,60,70.0
70,F4,15.0,0.5,60,70.0
71,D4,15.5,0.5,60,70.0
72,G4,16.0,1.0,100,70.0
73,G3,16.0,0.5,80,70.0
74,D5,16.0,0.5,80,70.0
75,B-3,16.5,0.5,80,70.0
76,B-4,16.5,0.5,80,70.0
77,D4,17.0,0.5,80,70.0
78,G4,17.0,0.5,80,70.0
79,B-3,17.5,0.5,80,70.0
80,D5,17.5,0.5,80,70.0
81,F4,18.0,1.0,100,70.0
82,F3,18.0,0.5,80,70.0
83,C5,18.0,0.5,80,70.0
84,A3,18.5,0.5,60,70.0
85,C4,19.0,0.5,60,70.0
86,B-3,19.5,0.5,60,70.0
87,B-4,19.5,167/1000,100,70.0
88,A4,19.75,167/1000,100,70.0
89,E-3,20.0,4.0,60,70.0
90,G4,20.0,3.0,100,70.0
91,A4,23.0,0.5,100,70.0
92,B-4,23.469,0.5,100,70.0
93,C#5,24.0,573/500,100,70.0
94,G4,24.5,0.5,100,70.0
95,A4,25.0,0.5,100,70.0
96,B-4,25.5,0.5,100,70.0
97,C#5,26.0,0.5,100,70.0
98,G5,26.5,0.5,100,70.0
99,A5,27.0,0.5,100,70.0
100,B6,27.5,0.5,100,70.0
101,C#7,28.0,3.5,100,70.0
102,D3,31.0,4.0,60,70.0
103,A3,31.0,4.0,60,70.0
104,A4,31.0,4.0,60,70.0
105,D3,32.0,333/1000,73,70.0
