,note_name,start_time,duration,velocity,tempo
0,A4,5.773,227/500,45,120.0
1,B4,6.142,63/250,58,120.0
2,F#3,6.583,173/200,45,120.0
3,C#5,6.59,433/1000,60,120.0
4,E4,6.59,433/1000,60,120.0
5,E5,7.219,31/125,82,120.0
6,C#4,7.279,127/250,37,120.0
7,E5,7.879,121/1000,68,120.0
8,F#4,7.879,121/1000,68,120.0
9,A4,7.9,1/10,66,120.0
10,E4,7.91,9/100,64,120.0
11,A4,8.0,11/250,66,120.0
12,E4,8.0,3/500,64,120.0
13,E5,8.0,23/250,68,120.0
14,F#4,8.0,23/250,68,120.0
15,A5,8.569,127/500,88,120.0
16,A5,9.298,111/250,78,120.0
17,E5,9.298,111/250,78,120.0
18,A4,9.298,111/250,76,120.0
19,E5,9.298,111/250,76,120.0
20,D3,9.306,47/50,65,120.0
21,A3,10.094,3/10,53,120.0
22,B5,10.096,279/1000,81,120.0
23,B5,10.956,261/250,86,120.0
24,E5,10.956,261/250,86,120.0
25,B4,10.969,1.031,76,120.0
26,E3,10.994,503/500,60,120.0
27,B3,11.992,1/125,24,120.0
28,B4,12.0,373/1000,76,120.0
29,E3,12.0,37/250,60,120.0
30,B3,12.0,623/500,24,120.0
31,B5,12.0,273/1000,86,120.0
32,E5,12.0,273/1000,86,120.0
33,E5,13.179,221/1000,52,120.0
34,B4,13.179,221/1000,52,120.0
35,G#4,13.196,9/40,49,120.0
36,A5,16.083,419/1000,80,120.0
37,B5,16.429,9/40,87,120.0
38,E5,16.852,0.781,72,120.0
39,B5,16.852,329/1000,84,120.0
40,A3,16.871,931/500,73,120.0
41,C#6,17.052,279/500,86,120.0
42,D6,17.562,129/500,90,120.0
43,E4,17.583,599/500,59,120.0
44,D6,18.217,119/500,91,120.0
45,A5,18.217,119/500,91,120.0
46,A4,18.221,17/40,48,120.0
47,E6,18.875,269/1000,102,120.0
48,E6,19.608,49/125,91,120.0
49,E5,19.61,39/100,68,120.0
50,A5,19.61,39/100,88,120.0
51,F#3,19.625,0.375,60,120.0
52,E6,20.0,169/500,91,120.0
53,E5,20.0,347/500,68,120.0
54,A5,20.0,1/25,88,120.0
55,F#3,20.0,97/200,60,120.0
56,A5,20.381,9/40,59,120.0
57,C#4,20.387,447/250,32,120.0
58,A4,21.142,27/200,41,120.0
59,G#5,21.158,329/1000,58,120.0
60,A5,21.985,26/125,74,120.0
61,F#4,21.992,14/125,40,120.0
62,A5,22.873,329/500,54,120.0
63,D5,22.873,329/500,54,120.0
64,E5,22.885,139/250,49,120.0
65,D3,22.887,931/1000,44,120.0
66,A3,23.569,431/1000,31,120.0
67,A3,24.0,69/500,31,120.0
68,D5,24.188,251/500,69,120.0
69,A4,24.217,983/1000,40,120.0
70,D4,24.242,301/500,29,120.0
71,F#4,24.779,11/100,43,120.0
72,C#5,25.413,57/200,70,120.0
73,A4,26.944,527/1000,46,120.0
74,B4,28.581,721/1000,72,120.0
75,A4,28.581,231/1000,60,120.0
76,E3,28.608,527/500,46,120.0
77,G#4,29.083,2917/1000,61,120.0
78,E4,29.542,283/1000,44,120.0
79,B3,30.019,671/1000,52,120.0
80,A3,30.492,21/40,62,120.0
81,G#3,30.967,19/125,46,120.0
82,E3,31.498,61/250,45,120.0
83,G#4,32.0,4.0,61,120.0
84,B2,32.033,273/1000,41,120.0
85,A2,32.656,77/500,38,120.0
86,G#2,33.356,179/1000,52,120.0
87,E2,34.169,1831/1000,68,120.0
88,G#4,36.0,151/250,61,120.0
89,E2,36.0,1653/500,68,120.0
90,A3,43.373,9/20,49,120.0
91,B3,43.756,121/500,49,120.0
92,C#4,44.208,619/1000,59,120.0
93,E3,44.215,817/1000,47,120.0
94,F#2,44.221,2123/1000,58,120.0
95,E4,44.869,123/500,70,120.0
96,C#3,44.9,59/100,46,120.0
97,F#3,45.531,181/500,42,120.0
98,A3,45.531,183/1000,73,120.0
99,E4,45.533,129/500,84,120.0
100,E3,45.54,11/125,57,120.0
101,A4,46.181,123/500,83,120.0
102,C#3,46.192,0.156,48,120.0
103,A4,46.929,101/250,72,120.0
104,E4,46.929,101/250,72,120.0
105,D2,46.938,177/200,62,120.0
106,A3,46.948,101/250,68,120.0
107,E4,46.948,101/250,68,120.0
108,B4,47.677,32/125,86,120.0
109,A2,47.685,19/100,57,120.0
110,B4,48.544,1.344,68,120.0
111,B3,48.544,1.344,68,120.0
112,E2,48.554,1233/1000,59,120.0
113,E4,48.556,299/250,63,120.0
114,B2,49.513,821/500,24,120.0
115,E4,50.783,67/200,44,120.0
116,B3,50.788,53/200,47,120.0
117,G#3,50.8,101/250,34,120.0
118,A4,52.9,2/5,77,120.0
119,B4,53.254,73/500,79,120.0
120,B4,53.698,6/25,72,120.0
121,E4,53.708,681/1000,56,120.0
122,A2,53.715,33/20,68,120.0
123,C#5,53.879,327/500,84,120.0
124,D5,54.465,283/1000,87,120.0
125,E3,54.479,1131/1000,50,120.0
126,D5,55.138,63/250,90,120.0
127,A4,55.138,63/250,90,120.0
128,A3,55.158,327/1000,60,120.0
129,E5,55.842,79/500,93,120.0
130,E5,56.0,49/250,93,120.0
131,F#2,56.675,397/200,61,120.0
132,E5,56.677,1129/1000,70,120.0
133,A4,56.702,823/1000,49,120.0
134,E4,56.702,499/500,59,120.0
135,C#3,57.487,44/25,29,120.0
136,E5,58.29,51/40,67,120.0
137,F#3,58.304,121/500,41,120.0
138,G#4,58.315,427/500,61,120.0
139,E2,59.144,9/40,59,120.0
140,E5,60.175,153/40,67,120.0
141,D2,60.19,1.781,68,120.0
142,F#4,60.192,1451/500,59,120.0
143,A2,61.04,26/25,32,120.0
144,D3,61.992,1071/1000,30,120.0
145,E4,63.056,118/125,47,120.0
146,A3,63.06,47/50,34,120.0
147,F#3,63.077,923/1000,25,120.0
148,E5,64.0,603/500,67,120.0
149,E4,64.0,53/40,47,120.0
150,F#3,64.0,74/125,25,120.0
151,A3,64.0,421/1000,34,120.0
152,A4,66.846,181/500,40,120.0
153,B4,67.175,11/100,63,120.0
154,A4,67.631,227/1000,63,120.0
