,note_name,start_time,duration,velocity,tempo
0,G5,3.504,93/200,62,120.0
1,B-3,3.837,81/500,54,120.0
2,D4,3.921,79/1000,54,120.0
3,B-3,4.0,4.0,54,120.0
4,D4,4.0,4.0,54,120.0
5,F4,4.004,999/250,68,120.0
6,D5,4.004,41/40,66,120.0
7,A5,4.004,41/40,66,120.0
8,G5,5.029,99/100,63,120.0
9,D5,6.019,124/125,65,120.0
10,G5,7.01,99/100,63,120.0
11,C4,7.838,81/500,59,120.0
12,E4,7.921,79/1000,59,120.0
13,C4,8.0,2019/1000,59,120.0
14,E4,8.0,2019/1000,59,120.0
15,G4,8.004,403/200,73,120.0
16,C5,8.004,771/1000,66,120.0
17,A5,8.004,771/1000,66,120.0
18,G5,8.775,373/500,62,120.0
19,D5,9.521,1983/1000,61,120.0
20,B-5,9.521,1983/1000,61,120.0
21,B-4,10.019,1981/1000,65,120.0
22,A5,11.504,93/200,62,120.0
23,C4,11.838,81/500,54,120.0
24,E4,11.921,79/1000,54,120.0
25,C4,12.0,4.0,54,120.0
26,E4,12.0,4.0,54,120.0
27,A4,12.004,999/250,68,120.0
28,G5,12.004,527/1000,67,120.0
29,G5,12.531,0.469,62,120.0
30,F5,13.029,123/250,63,120.0
31,F5,13.521,0.469,62,120.0
32,E5,14.021,99/100,65,120.0
33,C5,15.01,99/100,63,120.0
34,F3,16.004,249/500,67,120.0
35,A4,16.004,2483/1000,67,120.0
36,C4,16.533,467/1000,44,120.0
37,F4,17.029,231/500,45,120.0
38,A4,17.523,2477/1000,62,120.0
39,D5,18.519,123/250,62,120.0
40,D5,19.01,93/200,63,120.0
41,E5,19.504,93/200,62,120.0
42,B-3,20.004,771/1000,61,120.0
43,B-4,20.004,771/1000,61,120.0
44,F5,20.004,771/1000,61,120.0
45,F4,20.775,373/500,58,120.0
46,E5,20.775,373/500,58,120.0
47,B-4,21.521,2479/1000,54,120.0
48,B-4,21.521,249/250,57,120.0
49,F5,21.521,249/250,57,120.0
50,E5,22.517,93/200,62,120.0
51,F5,23.012,231/500,63,120.0
52,A5,23.504,93/200,62,120.0
53,C4,24.004,249/500,57,120.0
54,C5,24.004,41/40,66,120.0
