,note_name,start_time,duration,velocity,tempo
0,F3,0.0,2.01,66,126.0
1,E-2,0.0,2.01,66,126.0
2,G3,0.0,2.01,66,126.0
3,B-3,0.0,2.01,66,126.0
4,E-3,0.0,2.01,66,126.0
5,E-4,1.854,1.115,57,126.0
6,E-3,1.854,1.115,57,126.0
7,F4,1.938,1.073,57,126.0
8,B-4,2.021,0.99,71,126.0
9,E-4,2.021,0.99,71,126.0
10,F5,2.846,1.154,55,126.0
11,E-4,2.846,1.154,55,126.0
12,G5,2.929,1.071,55,126.0
13,B-5,3.012,0.988,69,126.0
14,E-5,3.012,0.988,69,126.0
15,G5,4.0,3.999,55,126.0
16,B-5,4.0,3.999,69,126.0
17,E-5,4.0,3.999,69,126.0
18,F5,4.0,3.958,55,126.0
19,E-4,4.0,3.958,55,126.0
20,B-4,8.004,1.518,67,126.0
21,C3,8.004,2.016,66,126.0
22,E-4,8.004,2.016,66,126.0
23,G4,9.522,0.995,62,126.0
24,E-4,10.021,1.979,65,126.0
25,G4,10.519,0.463,62,126.0
26,D5,11.012,0.463,63,126.0
27,E-5,11.505,0.495,62,126.0
28,E-5,12.0,2.02,62,126.0
29,G#2,12.004,2.484,67,126.0
30,B-4,14.021,0.99,65,126.0
31,G#3,14.519,0.985,62,126.0
32,C5,15.012,0.987,63,126.0
33,B-4,16.004,2.016,67,126.0
34,B-2,16.004,1.024,67,126.0
35,F3,17.029,0.463,63,126.0
36,B-3,17.522,2.477,62,126.0
37,B-4,18.021,0.99,65,126.0
38,B-4,19.012,0.988,63,126.0
39,B-4,20.0,1.521,63,126.0
40,E-3,20.004,0.499,67,126.0
41,B-3,20.533,0.466,62,126.0
42,E-4,21.029,0.99,63,126.0
43,G#4,21.522,0.995,62,126.0
44,E-4,22.021,1.979,65,126.0
45,G#4,22.519,0.463,62,126.0
46,G4,23.012,0.463,63,126.0
47,F4,23.505,0.465,62,126.0
48,B-4,24.004,1.518,67,126.0
49,C3,24.004,0.499,67,126.0
50,G3,24.533,0.466,62,126.0
51,C4,25.029,2.97,63,126.0
52,G4,25.522,0.995,62,126.0
53,G4,26.519,0.463,62,126.0
54,D5,27.012,0.463,63,126.0
55,E-5,27.505,0.495,62,126.0
56,E-5,28.0,2.02,62,126.0
57,G#2,28.004,0.499,67,126.0
58,E-3,28.533,0.466,62,126.0
59,G#3,29.029,0.463,63,126.0
60,C4,29.522,2.477,62,126.0
61,B-4,30.021,0.99,65,126.0
62,C5,31.012,0.987,63,126.0
63,B-4,32.004,2.016,67,126.0
64,B-2,32.004,0.499,67,126.0
65,F3,32.533,0.466,62,126.0
66,B-3,33.029,0.463,63,126.0
67,E-4,33.522,2.477,62,126.0
68,F5,34.021,1.483,65,126.0
69,E-5,35.505,0.495,62,126.0
70,E-5,36.0,3.999,62,126.0
71,E-2,36.004,0.499,66,126.0
72,B-2,36.533,0.466,62,126.0
73,E-3,37.029,0.463,63,126.0
74,F3,37.522,2.477,62,126.0
75,E-2,40.004,0.499,66,126.0
76,B-2,40.533,0.466,62,126.0
77,E-3,41.029,0.99,63,126.0
78,G3,41.522,0.995,62,126.0
79,E-3,42.021,1.979,65,126.0
80,B-3,42.519,0.463,62,126.0
81,G#3,43.012,0.463,63,126.0
82,G3,43.505,0.465,62,126.0
83,F3,44.004,1.518,67,126.0
84,E-2,44.004,0.499,66,126.0
85,B-2,44.533,0.466,62,126.0
86,E-3,45.029,1.981,63,126.0
87,G3,45.522,1.981,62,126.0
88,E-3,47.012,0.987,63,126.0
89,G3,48.004,1.518,67,126.0
90,E-2,48.004,0.499,66,126.0
91,B-2,48.533,0.466,62,126.0
92,E-3,49.029,1.488,63,126.0
93,D4,49.522,1.488,62,126.0
94,E-3,50.519,1.48,62,126.0
95,D4,51.012,0.987,63,126.0
96,E-4,52.004,1.518,67,126.0
97,E-2,52.004,0.499,66,126.0
