,note_name,start_time,duration,velocity,tempo
0,D5,0.01,0.238,52,72.0
1,E5,0.264,0.221,49,72.0
2,F#5,0.504,2.013,49,72.0
3,G2,0.504,0.557,42,72.0
4,D3,1.031,0.523,37,72.0
5,G3,1.525,0.526,38,72.0
6,A3,2.022,0.524,37,72.0
7,E5,2.518,0.119,52,72.0
8,D4,2.518,0.519,40,72.0
9,F#5,2.645,0.114,49,72.0
10,E5,2.767,0.112,49,72.0
11,D5,2.887,0.583,49,72.0
12,E5,3.504,2.013,49,72.0
13,A2,3.504,0.557,42,72.0
14,E3,4.031,0.523,37,72.0
15,A3,4.525,0.526,38,72.0
16,D4,5.022,0.524,37,72.0
17,D5,5.518,0.119,52,72.0
18,E5,5.645,0.114,49,72.0
19,D5,5.767,0.112,49,72.0
20,C#5,5.887,0.583,49,72.0
21,B2,6.504,0.497,54,72.0
22,D4,6.504,1.518,53,72.0
23,A4,6.504,1.518,53,72.0
24,F#3,7.031,0.464,49,72.0
25,B3,7.525,0.467,50,72.0
26,D4,8.022,0.465,49,72.0
27,A4,8.518,0.459,52,72.0
28,D5,9.007,0.463,49,72.0
29,C#5,9.504,0.497,54,72.0
30,F#2,9.504,0.497,54,72.0
31,A4,10.031,0.464,49,72.0
32,C#3,10.031,0.464,49,72.0
33,E4,10.525,0.467,50,72.0
34,F#3,10.525,0.991,50,72.0
35,D4,11.022,0.465,49,72.0
36,C#4,11.518,0.459,52,72.0
37,F#3,11.518,0.981,52,72.0
38,B4,12.007,0.225,49,72.0
39,C#5,12.247,0.237,49,72.0
40,D5,12.504,2.013,49,72.0
41,G2,12.504,0.497,54,72.0
42,D3,13.031,0.464,49,72.0
43,G3,13.525,0.467,50,72.0
44,A3,14.022,0.465,49,72.0
45,D4,14.518,0.981,52,72.0
46,C#5,15.007,0.225,49,72.0
47,D5,15.247,0.237,49,72.0
48,E5,15.504,2.996,49,72.0
49,A2,15.504,2.995,49,72.0
50,E5,18.5,5.999,49,72.0
51,C#4,18.504,2.995,41,72.0
52,A2,18.504,2.996,44,72.0
53,E3,18.504,2.996,44,72.0
54,A3,18.504,2.996,44,72.0
55,A2,24.499,2.999,44,72.0
56,E3,24.499,2.999,44,72.0
57,A3,24.499,2.999,44,72.0
58,D3,27.503,0.557,42,72.0
59,A4,27.503,2.995,48,72.0
60,D5,27.503,2.995,48,72.0
61,A2,28.03,0.523,37,72.0
62,D3,28.524,0.526,38,72.0
63,A3,29.021,0.524,37,72.0
64,D4,29.517,0.519,40,72.0
65,A4,30.006,0.493,37,72.0
66,A4,30.499,0.029,37,72.0
