,note_name,start_time,duration,velocity,tempo
0,G4,6.569,1181/1000,41,120.0
1,C5,6.665,6/5,65,120.0
2,E-5,6.829,1171/1000,60,120.0
3,C3,6.896,138/125,63,120.0
4,G5,6.933,1067/1000,86,120.0
5,G3,7.796,51/250,53,120.0
6,G3,8.0,677/1000,53,120.0
7,C3,8.0,323/500,63,120.0
8,G5,8.0,7/20,86,120.0
9,C4,8.704,37/40,70,120.0
10,C5,9.131,113/250,73,120.0
11,E-5,9.596,2/5,87,120.0
12,E-4,9.617,77/1000,65,120.0
13,G5,10.025,103/500,80,120.0
14,G#5,10.562,64/125,85,120.0
15,C#5,10.565,331/500,79,120.0
16,C#3,10.577,1423/1000,76,120.0
17,G#3,11.438,0.562,56,120.0
18,G5,11.465,319/1000,80,120.0
19,F5,11.915,17/200,89,120.0
20,G#3,12.0,138/125,56,120.0
21,F5,12.0,1/5,89,120.0
22,C#3,12.0,37/40,76,120.0
23,C#4,12.356,37/125,59,120.0
24,E-5,12.802,38/125,81,120.0
25,G#4,13.998,1001/500,66,120.0
26,C5,14.125,187/125,70,120.0
27,E-5,14.285,343/200,83,120.0
28,G#2,14.306,847/500,81,120.0
29,E-3,15.192,101/125,63,120.0
30,G#4,16.0,171/1000,66,120.0
31,E-5,16.0,277/1000,83,120.0
32,G#2,16.0,1.438,81,120.0
33,E-3,16.0,1571/1000,63,120.0
34,G#3,16.092,1783/1000,81,120.0
35,C5,16.981,201/500,81,120.0
36,E-5,17.427,183/1000,73,120.0
37,F4,17.756,1231/1000,54,120.0
38,B-4,17.91,119/125,67,120.0
39,B-2,18.083,1917/1000,61,120.0
40,E-5,18.087,189/250,90,120.0
41,F3,18.992,126/125,61,120.0
42,F5,19.983,17/1000,86,120.0
43,B-4,19.983,17/1000,86,120.0
44,F4,19.992,1/125,82,120.0
45,B-4,19.992,1/125,82,120.0
46,B-3,19.998,1/500,70,120.0
47,F3,20.0,481/1000,61,120.0
48,B-2,20.0,57/125,61,120.0
49,B-3,20.0,117/200,70,120.0
50,F5,20.0,0.219,86,120.0
51,B-4,20.0,0.219,86,120.0
52,F4,20.0,227/1000,82,120.0
53,B-4,20.0,227/1000,82,120.0
54,F#5,22.194,1169/1000,87,120.0
55,E-3,22.202,899/500,79,120.0
56,F#4,22.206,113/125,79,120.0
57,B-4,22.212,247/250,81,120.0
58,B-3,23.135,173/200,53,120.0
