,note_name,start_time,duration,velocity,tempo
0,F5,0.0,237/250,80,97.0
1,C5,0.0,1.5,64,97.0
2,D4,0.0,949/500,64,97.0
3,A4,0.0,949/500,64,97.0
4,C6,1.0,473/1000,80,97.0
5,C5,1.5,973/1000,80,97.0
6,G5,1.565,0.906,80,97.0
7,C4,2.0,949/500,64,97.0
8,G4,2.0,949/500,64,97.0
9,F5,2.5,473/1000,80,97.0
10,C6,3.0,473/1000,80,97.0
11,C5,3.5,0.5,80,97.0
12,F5,3.5,0.5,80,97.0
13,G5,3.565,87/200,80,97.0
14,G5,4.0,471/1000,80,97.0
15,C5,4.0,221/500,80,97.0
16,F5,4.0,221/500,80,97.0
17,B-3,4.0,473/1000,74,97.0
18,B-4,4.0,473/1000,74,97.0
19,F5,4.5,473/1000,80,97.0
20,F4,4.5,2373/1000,74,97.0
21,C6,5.0,473/1000,80,97.0
22,C5,5.5,47/50,80,97.0
23,F5,5.5,47/50,80,97.0
24,G5,5.581,89/100,80,97.0
25,F5,6.5,56/125,80,97.0
26,C5,6.5,56/125,80,97.0
27,C5,7.0,473/1000,80,97.0
28,E5,7.0,473/1000,80,97.0
29,C4,7.0,237/250,64,97.0
30,G4,7.0,237/250,64,97.0
31,F5,7.5,473/1000,80,97.0
32,F5,8.0,237/250,80,97.0
33,D4,8.0,473/1000,64,97.0
34,A4,8.0,473/1000,64,97.0
35,C5,8.0,473/1000,64,97.0
36,A4,8.5,1423/1000,64,97.0
37,C6,9.0,473/1000,80,97.0
38,C5,9.5,237/250,80,97.0
39,F5,9.5,237/250,80,97.0
40,G5,9.5,237/250,80,97.0
41,C4,10.0,949/500,64,97.0
42,E4,10.0,949/500,64,97.0
43,G4,10.0,949/500,64,97.0
44,F5,10.5,473/1000,80,97.0
45,C6,11.0,473/1000,80,97.0
46,C5,11.5,0.5,80,97.0
47,F5,11.5,0.5,80,97.0
48,G5,11.5,0.5,80,97.0
49,C5,12.0,56/125,80,97.0
50,F5,12.0,56/125,80,97.0
51,G5,12.0,56/125,80,97.0
52,B-3,12.0,1899/500,64,97.0
53,D4,12.0,1899/500,64,97.0
54,F4,12.0,1899/500,64,97.0
55,B-4,12.0,1899/500,64,97.0
56,F5,12.5,473/1000,80,97.0
57,C6,13.0,473/1000,80,97.0
58,C5,13.5,949/500,80,97.0
59,F5,13.5,949/500,80,97.0
60,G5,13.5,949/500,80,97.0
61,A4,15.75,0.25,64,97.0
62,C5,15.875,0.125,64,97.0
63,F5,16.0,949/500,64,97.0
64,A4,16.0,377/200,64,97.0
65,C5,16.0,473/250,64,97.0
66,D4,16.0,949/500,64,97.0
67,C4,18.0,949/500,64,97.0
