,note_name,start_time,duration,velocity,tempo
0,A7,0.0,7/200,96,132.0
1,C8,0.0,7/200,96,132.0
2,B7,0.0,7/200,96,132.0
3,G7,0.0,7/200,96,132.0
4,F7,0.081,7/200,96,132.0
5,E7,0.081,7/200,96,132.0
6,D7,0.165,7/200,96,132.0
7,C7,0.165,7/200,96,132.0
8,B6,0.25,7/200,96,132.0
9,A6,0.25,7/200,96,132.0
10,G6,0.331,7/200,96,132.0
11,F6,0.331,7/200,96,132.0
12,E6,0.415,7/200,96,132.0
13,D6,0.415,7/200,96,132.0
14,C6,0.5,7/200,96,132.0
15,B5,0.5,7/200,96,132.0
16,A5,0.581,7/200,96,132.0
17,G5,0.581,7/200,96,132.0
18,F5,0.665,7/200,96,132.0
19,E5,0.665,7/200,96,132.0
20,D5,0.75,7/200,96,132.0
21,C5,0.75,7/200,96,132.0
22,B4,0.831,7/200,96,132.0
23,A4,0.831,7/200,96,132.0
24,G4,0.915,3/40,96,132.0
25,F4,1.0,473/1000,96,132.0
26,F1,1.0,473/1000,96,132.0
27,F2,1.0,473/1000,96,132.0
28,C3,1.5,473/1000,96,132.0
29,F3,1.5,473/1000,96,132.0
30,F2,2.0,47/200,96,132.0
31,G#4,2.0,47/200,112,132.0
32,G#5,2.0,47/200,112,132.0
33,G#4,2.25,47/200,112,132.0
34,G#5,2.25,47/200,112,132.0
35,C3,2.25,473/1000,96,132.0
36,F3,2.25,473/1000,96,132.0
37,G#4,2.5,473/1000,112,132.0
38,G#5,2.5,473/1000,112,132.0
39,F2,2.75,47/200,96,132.0
40,G#4,3.0,473/1000,112,132.0
41,C5,3.0,473/1000,112,132.0
42,G#5,3.0,473/1000,112,132.0
43,C3,3.0,473/1000,96,132.0
44,F3,3.0,473/1000,96,132.0
45,C3,3.5,47/200,96,132.0
46,F4,3.5,473/1000,112,132.0
47,F5,3.5,473/1000,112,132.0
48,F3,3.75,0.25,96,132.0
49,G#3,3.75,0.25,96,132.0
50,F3,4.0,223/1000,96,132.0
51,G#3,4.0,223/1000,96,132.0
52,F2,4.25,47/200,96,132.0
53,E-4,4.5,473/1000,112,132.0
54,G#4,4.5,473/1000,112,132.0
55,E-5,4.5,473/1000,112,132.0
56,C3,4.5,473/1000,96,132.0
57,F3,4.5,473/1000,96,132.0
58,G#1,5.0,473/1000,96,132.0
59,G#2,5.0,473/1000,96,132.0
60,F4,5.5,473/1000,112,132.0
61,F5,5.5,473/1000,112,132.0
62,E-3,5.5,473/1000,96,132.0
63,G#3,5.5,473/1000,96,132.0
64,G#2,6.0,47/200,96,132.0
65,E-4,6.0,473/1000,112,132.0
66,G#4,6.0,473/1000,112,132.0
67,E-5,6.0,473/1000,112,132.0
68,E-3,6.25,473/1000,96,132.0
69,G#3,6.25,473/1000,96,132.0
70,F4,6.5,473/1000,112,132.0
71,F5,6.5,473/1000,112,132.0
72,G#2,6.75,47/200,96,132.0
73,G#4,7.0,949/500,112,132.0
74,C5,7.0,949/500,112,132.0
75,G#5,7.0,949/500,112,132.0
76,E-3,7.0,473/1000,96,132.0
77,G#3,7.0,473/1000,96,132.0
78,E-3,7.5,47/200,96,132.0
79,G#3,7.75,0.25,96,132.0
80,C4,7.75,0.25,96,132.0
81,G#3,8.0,223/1000,96,132.0
82,C4,8.0,223/1000,96,132.0
83,G#2,8.25,47/200,96,132.0
84,E-3,8.5,473/1000,96,132.0
85,G#3,8.5,473/1000,96,132.0
86,C#2,9.0,473/1000,96,132.0
87,C#3,9.0,473/1000,96,132.0
88,G#3,9.5,473/1000,96,132.0
89,C#4,9.5,473/1000,96,132.0
90,C#3,10.0,47/200,96,132.0
91,G#4,10.0,47/200,112,132.0
92,G#5,10.0,47/200,112,132.0
93,G#4,10.25,47/200,112,132.0
94,G#5,10.25,47/200,112,132.0
95,G#3,10.25,473/1000,96,132.0
96,C#4,10.25,473/1000,96,132.0
97,G#4,10.5,473/1000,112,132.0
98,G#5,10.5,473/1000,112,132.0
99,C#3,10.75,47/200,96,132.0
100,G#4,11.0,473/1000,112,132.0
101,C#5,11.0,473/1000,112,132.0
102,G#5,11.0,473/1000,112,132.0
103,G#3,11.0,473/1000,96,132.0
104,C#4,11.0,473/1000,96,132.0
105,F4,11.5,0.25,112,132.0
