,note_name,start_time,duration,velocity,tempo
0,G#5,0.01,0.49,80,120.0
1,C#4,0.01,2.99,72,120.0
2,F4,0.01,2.99,72,120.0
3,G#4,0.01,2.99,72,120.0
4,C#6,0.53,0.23,75,120.0
5,C#5,0.776,0.229,75,120.0
6,G#5,1.021,0.231,75,120.0
7,E-6,1.269,0.238,75,120.0
8,E-5,1.522,0.238,75,120.0
9,G#5,1.776,0.229,75,120.0
10,C#6,2.021,0.225,75,120.0
11,C#5,2.261,0.225,75,120.0
12,G#5,2.501,0.229,75,120.0
13,C6,2.746,0.238,75,120.0
14,C#5,3.0,0.268,80,120.0
15,C#4,3.0,0.775,72,120.0
16,F4,3.0,0.775,72,120.0
17,G#4,3.0,0.775,72,120.0
18,C#6,3.283,0.231,75,120.0
19,C#5,3.53,0.23,75,120.0
20,G#5,3.776,0.229,75,120.0
21,E-4,3.776,2.224,72,120.0
22,F#4,3.776,2.224,72,120.0
23,B-4,3.776,2.224,72,120.0
24,C#5,4.021,0.231,75,120.0
25,C#6,4.269,0.238,75,120.0
26,C#5,4.522,0.238,75,120.0
27,G#5,4.776,0.229,75,120.0
28,E-6,5.021,0.225,75,120.0
29,E-5,5.261,0.225,75,120.0
30,G#5,5.501,0.229,75,120.0
31,C#6,5.746,0.238,75,120.0
32,C#5,6.0,0.268,80,120.0
33,E-4,6.0,1.521,72,120.0
34,F#4,6.0,1.521,72,120.0
35,B-4,6.0,1.521,72,120.0
36,G#5,6.283,0.231,75,120.0
37,C6,6.53,0.23,75,120.0
38,C#5,6.776,0.229,75,120.0
39,C#6,7.021,0.231,75,120.0
40,C#5,7.269,0.238,75,120.0
41,G#5,7.522,0.238,75,120.0
42,F4,7.522,1.478,72,120.0
43,G#4,7.522,1.478,72,120.0
44,C5,7.522,1.478,72,120.0
45,C#5,7.776,0.229,75,120.0
46,C#6,8.021,0.225,75,120.0
47,C#5,8.261,0.225,75,120.0
48,G#5,8.501,0.229,75,120.0
49,E-6,8.746,0.238,75,120.0
50,E-5,9.0,0.268,80,120.0
51,F4,9.0,2.26,72,120.0
52,G#4,9.0,2.26,72,120.0
53,C5,9.0,2.26,72,120.0
54,G#5,9.283,0.231,75,120.0
55,C#6,9.53,0.23,75,120.0
56,C#5,9.776,0.229,75,120.0
57,G#5,10.021,0.231,75,120.0
58,C6,10.269,0.238,75,120.0
59,C#5,10.522,0.238,75,120.0
60,C#6,10.776,0.229,75,120.0
61,C#5,11.021,0.225,75,120.0
62,G#5,11.261,0.225,75,120.0
63,F#4,11.261,0.739,74,120.0
64,B-4,11.261,0.739,74,120.0
65,C#5,11.501,0.229,75,120.0
66,C#6,11.746,0.238,75,120.0
67,C#5,12.0,0.268,80,120.0
68,F#4,12.0,2.999,74,120.0
69,B-4,12.0,2.999,74,120.0
70,G#5,12.283,0.231,75,120.0
71,E-6,12.53,0.23,75,120.0
72,E-5,12.776,0.229,75,120.0
73,G#5,13.021,0.231,75,120.0
74,C#6,13.269,0.238,75,120.0
75,C#5,13.522,0.238,75,120.0
76,G#5,13.776,0.229,75,120.0
77,C6,14.021,0.225,75,120.0
78,C#5,14.261,0.225,75,120.0
79,C#6,14.501,0.229,75,120.0
80,C#5,14.746,0.238,75,120.0
81,G#5,15.0,0.268,80,120.0
82,C#3,15.0,3.0,74,120.0
83,E-4,15.0,3.0,74,120.0
84,C#5,15.283,0.231,75,120.0
85,C#6,15.53,0.23,75,120.0
86,C#5,15.776,0.229,75,120.0
87,G#5,16.021,0.231,75,120.0
88,E-6,16.269,0.238,75,120.0
89,E-5,16.522,0.238,75,120.0
90,G#5,16.776,0.229,75,120.0
91,C#6,17.021,0.225,75,120.0
92,C#5,17.261,0.225,75,120.0
93,G#5,17.501,0.229,75,120.0
94,C6,17.746,0.238,75,120.0
95,C#5,18.775,0.268,80,120.0
96,C#3,18.775,0.775,74,120.0
97,E-4,18.775,0.775,74,120.0
98,C#6,19.059,0.231,75,120.0
99,C#5,19.306,0.23,75,120.0
100,G#5,19.552,0.229,75,120.0
101,E-3,19.552,2.224,74,120.0
102,F#4,19.552,2.224,74,120.0
103,C#5,19.797,0.231,75,120.0
104,C#6,20.044,0.238,75,120.0
105,C#5,20.298,0.238,75,120.0
106,G#5,20.552,0.229,75,120.0
107,E-6,20.796,0.225,75,120.0
108,E-5,21.036,0.225,75,120.0
109,G#5,21.276,0.229,75,120.0
110,C#6,21.521,0.238,75,120.0
111,C#5,21.775,0.268,80,120.0
112,E-3,21.775,1.521,74,120.0
113,F#4,21.775,1.521,74,120.0
114,G#5,22.059,0.231,75,120.0
115,C6,22.306,0.23,75,120.0
116,C#5,22.552,0.229,75,120.0
117,C#6,22.797,0.231,75,120.0
118,C#5,23.044,0.238,75,120.0
119,G#5,23.298,0.238,75,120.0
120,F3,23.298,1.478,74,120.0
121,G#4,23.298,1.478,74,120.0
122,C#5,23.552,0.229,75,120.0
123,C#6,23.796,0.225,75,120.0
124,C#5,24.036,0.225,75,120.0
125,G#5,24.276,0.229,75,120.0
126,E-6,24.521,0.238,75,120.0
127,E-5,24.775,0.268,80,120.0
128,F3,24.775,2.26,74,120.0
129,G#4,24.775,2.26,74,120.0
130,G#5,25.059,0.231,75,120.0
131,C#6,25.306,0.23,75,120.0
132,C#5,25.552,0.229,75,120.0
133,G#5,25.797,0.231,75,120.0
134,C6,26.044,0.238,75,120.0
135,C#5,26.298,0.238,75,120.0
136,C#6,26.552,0.229,75,120.0
137,C#5,26.796,0.225,75,120.0
138,G#5,27.036,0.225,75,120.0
139,F#3,27.036,0.739,74,120.0
140,B-4,27.036,0.739,74,120.0
141,C#5,27.276,0.229,75,120.0
142,C#6,27.521,0.238,75,120.0
143,C#5,27.775,0.268,80,120.0
144,F#3,27.775,2.999,74,120.0
145,B-4,27.775,2.999,74,120.0
146,G#5,28.059,0.231,75,120.0
147,E-6,28.306,0.23,75,120.0
148,E-5,28.552,0.229,75,120.0
149,G#5,28.797,0.231,75,120.0
150,C#6,29.044,0.238,75,120.0
151,C#5,29.298,0.238,75,120.0
152,G#5,29.552,0.229,75,120.0
153,C6,29.796,0.225,75,120.0
154,C#5,30.036,0.225,75,120.0
155,C#6,30.276,0.229,75,120.0
156,C#5,30.521,0.238,75,120.0
157,G#6,30.779,0.271,80,120.0
158,C#3,30.779,0.771,80,120.0
159,G#5,31.065,0.228,75,120.0
160,C#6,31.309,0.228,75,120.0
161,G#6,31.552,0.237,75,120.0
162,G#3,31.552,0.745,75,120.0
163,G#5,31.805,0.236,76,120.0
164,C#6,32.057,0.226,75,120.0
165,G#6,32.298,0.227,75,120.0
166,C#4,32.298,0.468,75,120.0
167,G#5,32.54,0.24,75,120.0
168,C#6,32.796,0.241,78,120.0
169,E-3,32.796,0.739,78,120.0
170,C#5,33.053,0.226,75,120.0
171,G#5,33.294,0.227,75,120.0
172,C#6,33.536,0.235,75,120.0
173,B-3,33.536,0.743,75,120.0
174,C#5,33.787,0.235,76,120.0
175,G#5,34.038,0.227,75,120.0
176,C#6,34.28,0.227,75,120.0
177,E-4,34.28,0.465,75,120.0
178,C#5,34.522,0.237,75,120.0
179,G#6,34.779,0.271,80,120.0
180,F3,34.779,0.771,80,120.0
181,G#5,35.065,0.228,75,120.0
182,C#6,35.309,0.228,75,120.0
183,G#6,35.552,0.237,75,120.0
184,C4,35.552,0.745,75,120.0
185,G#5,35.805,0.236,76,120.0
186,C#6,36.057,0.226,75,120.0
187,G#6,36.298,0.227,75,120.0
188,F4,36.298,0.468,75,120.0
189,G#5,36.54,0.24,75,120.0
190,C#6,36.796,0.241,78,120.0
191,F#3,36.796,0.739,78,120.0
192,C#5,37.053,0.226,75,120.0
193,G#5,37.294,0.227,75,120.0
194,E-6,37.536,0.235,75,120.0
195,C#4,37.536,0.743,75,120.0
196,E-5,37.787,0.235,76,120.0
197,G#5,38.038,0.227,75,120.0
198,F6,38.28,0.227,75,120.0
199,F#4,38.28,0.465,75,120.0
200,F5,38.522,0.237,75,120.0
201,G#6,38.779,0.271,80,120.0
202,C#3,38.779,0.771,80,120.0
203,G#5,39.065,0.228,75,120.0
204,C#6,39.309,0.228,75,120.0
205,G#6,39.552,0.237,75,120.0
206,G#3,39.552,0.745,75,120.0
207,G#5,39.805,0.236,76,120.0
208,C#6,40.057,0.226,75,120.0
209,G#6,40.298,0.227,75,120.0
210,C#4,40.298,0.468,75,120.0
211,G#5,40.54,0.24,75,120.0
212,C#6,40.796,0.241,78,120.0
213,E-3,40.796,0.739,78,120.0
214,C#5,41.053,0.226,75,120.0
215,G#5,41.294,0.227,75,120.0
216,C#6,41.536,0.235,75,120.0
217,B-3,41.536,0.743,75,120.0
218,C#5,41.787,0.235,76,120.0
219,G#5,42.038,0.227,75,120.0
220,C#6,42.28,0.227,75,120.0
221,E-4,42.28,0.465,75,120.0
222,C#5,42.522,0.237,75,120.0
223,F6,42.779,0.271,80,120.0
224,F3,42.779,1.024,80,120.0
225,E-6,43.065,0.228,75,120.0
226,C#6,43.309,0.228,75,120.0
227,G#5,43.552,0.237,75,120.0
228,F#6,43.805,0.236,76,120.0
229,F4,43.805,0.99,76,120.0
