,note_name,start_time,duration,velocity,tempo
0,A2,4.0,24/125,80,150.0
1,A1,4.0,24/125,80,150.0
2,A2,4.75,37/100,80,150.0
3,E3,5.0,507/1000,80,150.0
4,A3,5.0,379/1000,80,150.0
5,A2,5.5,11/20,80,150.0
6,A3,6.0,97/250,80,150.0
7,E3,6.0,47/100,80,150.0
8,A2,6.5,0.516,80,150.0
9,A3,7.0,23/40,80,150.0
10,E3,7.0,23/40,80,150.0
11,A2,7.5,0.25,80,150.0
12,A1,8.0,11/40,80,150.0
13,A2,8.0,97/250,80,150.0
14,E5,8.0,611/1000,100,150.0
15,G5,8.0,611/1000,100,150.0
16,D5,8.5,529/1000,100,150.0
17,F#5,8.5,529/1000,100,150.0
18,A2,8.75,383/1000,80,150.0
19,A3,9.0,361/1000,80,150.0
20,E3,9.0,233/500,80,150.0
21,B4,9.0,529/1000,100,150.0
22,D5,9.0,529/1000,100,150.0
23,A2,9.5,503/1000,80,150.0
24,C5,9.5,1153/1000,100,150.0
25,E5,9.5,1153/1000,100,150.0
26,A3,10.0,461/1000,80,150.0
27,E3,10.0,553/1000,80,150.0
28,A2,10.5,21/40,80,150.0
29,G4,10.5,833/1000,100,150.0
30,B4,10.5,833/1000,100,150.0
31,E3,11.0,553/1000,80,150.0
32,A3,11.0,553/1000,80,150.0
33,A2,11.5,9/40,80,150.0
34,B4,11.5,0.5,100,150.0
35,D5,11.5,0.5,100,150.0
36,A1,12.0,0.266,80,150.0
37,A2,12.0,183/500,80,150.0
38,A4,12.0,783/500,100,150.0
39,C5,12.0,783/500,100,150.0
40,B4,12.0,12/125,100,150.0
41,D5,12.0,12/125,100,150.0
42,A2,12.75,403/1000,80,150.0
43,A3,13.0,52/125,80,150.0
44,E3,13.0,479/1000,80,150.0
45,A2,13.5,273/500,80,150.0
46,G4,13.5,0.938,100,150.0
47,B4,13.5,0.938,100,150.0
48,A3,14.0,49/125,80,150.0
49,E3,14.0,0.516,80,150.0
50,A2,14.5,11/20,80,150.0
51,E4,14.5,417/1000,100,150.0
52,G4,14.5,417/1000,100,150.0
53,E4,15.0,1.0,100,150.0
54,A4,15.0,1.0,100,150.0
55,A3,15.0,607/1000,80,150.0
56,E3,15.0,607/1000,80,150.0
57,A2,15.5,123/500,80,150.0
58,A1,16.0,0.188,80,150.0
59,A2,16.0,257/1000,80,150.0
60,E4,16.0,823/250,100,150.0
61,A4,16.0,823/250,100,150.0
62,A2,16.75,429/1000,80,150.0
63,E3,17.0,11/50,80,150.0
64,A3,17.0,11/50,80,150.0
65,E2,17.5,529/1000,80,150.0
66,E3,17.5,529/1000,80,150.0
67,C3,18.5,607/1000,80,150.0
68,C2,18.5,607/1000,80,150.0
69,B1,19.5,49/250,80,150.0
70,B2,19.5,49/250,80,150.0
71,C5,20.0,187/125,100,150.0
72,A4,20.0,187/125,100,150.0
73,E5,20.0,187/125,100,150.0
74,A2,20.0,0.188,80,150.0
75,A1,20.0,0.188,80,150.0
76,A2,20.75,183/500,80,150.0
77,E3,21.0,479/1000,80,150.0
78,A3,21.0,0.375,80,150.0
79,G5,21.5,1533/1000,100,150.0
80,A2,21.5,607/1000,80,150.0
81,A3,22.0,17/40,80,150.0
82,E3,22.0,269/500,80,150.0
83,A2,22.5,533/1000,80,150.0
84,A5,23.0,661/1000,100,150.0
85,A3,23.0,579/1000,80,150.0
86,E3,23.0,579/1000,80,150.0
87,A2,23.5,49/250,80,150.0
88,D5,23.5,0.5,100,150.0
89,A4,23.5,0.5,100,150.0
90,F#5,23.5,0.5,100,150.0
91,D5,24.0,83/25,100,150.0
92,A4,24.0,83/25,100,150.0
93,F#5,24.0,83/25,100,150.0
94,A1,24.0,229/1000,80,150.0
95,A2,24.0,229/1000,80,150.0
96,A2,24.75,353/1000,80,150.0
97,A3,25.0,169/500,80,150.0
98,F#3,25.0,233/500,80,150.0
99,A2,25.5,483/1000,80,150.0
100,A3,26.0,171/500,80,150.0
101,F#3,26.0,583/1000,80,150.0
102,A2,26.5,533/1000,80,150.0
103,A3,27.0,483/1000,80,150.0
104,F#3,27.0,557/1000,80,150.0
105,A2,27.5,207/1000,80,150.0
106,B-1,28.0,211/1000,80,150.0
107,B-2,28.0,79/250,80,150.0
108,D5,28.0,157/1000,100,150.0
109,F5,28.0,157/1000,100,150.0
110,D5,28.5,583/1000,100,150.0
111,F5,28.5,583/1000,100,150.0
112,B-2,28.75,97/250,80,150.0
113,E5,29.0,0.5,100,150.0
114,B-3,29.0,383/1000,80,150.0
115,F3,29.0,383/1000,80,150.0
