,note_name,start_time,duration,velocity,tempo
0,A4,4.0,151/1000,82,178.0
1,A5,4.0,37/200,76,178.0
2,E5,4.0,37/200,76,178.0
3,D5,4.0,37/200,76,178.0
4,G1,4.0,159/1000,102,178.0
5,G2,4.0,159/1000,102,178.0
6,A4,4.5,83/500,85,178.0
7,D5,4.5,83/500,85,178.0
8,A5,4.5,83/500,85,178.0
9,E5,4.5,83/500,85,178.0
10,G2,4.5,179/500,116,178.0
11,G1,4.5,179/500,116,178.0
12,A4,4.976,37/200,64,178.0
13,D5,5.184,0.125,62,178.0
14,E5,5.343,51/500,52,178.0
15,A5,5.57,57/500,79,178.0
16,D6,5.74,7/40,68,178.0
17,E6,5.867,143/1000,67,178.0
18,A6,6.015,31/125,75,178.0
19,E6,6.242,1/5,48,178.0
20,D6,6.393,4/25,66,178.0
21,A5,6.568,19/125,78,178.0
22,E5,6.804,257/1000,77,178.0
23,D5,7.008,509/1000,70,178.0
24,A4,7.5,3/25,70,178.0
25,A4,8.0,7/40,112,178.0
26,A5,8.0,7/40,112,178.0
27,F#4,8.5,161/1000,103,178.0
28,F#5,8.5,161/1000,103,178.0
29,G4,9.0,97/1000,108,178.0
30,G5,9.0,169/1000,103,178.0
31,A5,9.5,207/500,112,178.0
32,A4,9.5,207/500,112,178.0
33,F#4,10.5,89/1000,96,178.0
34,F#5,10.5,89/1000,96,178.0
35,G4,11.0,41/250,106,178.0
36,G5,11.0,41/250,106,178.0
37,A4,11.5,18/125,106,178.0
38,A5,11.5,18/125,106,178.0
39,C#5,12.0,61/500,98,178.0
40,A5,12.0,61/500,98,178.0
41,A4,12.0,61/500,98,178.0
42,E5,12.0,61/500,98,178.0
43,A2,12.0,0.156,100,178.0
44,A1,12.0,0.156,100,178.0
45,A5,12.5,79/500,102,178.0
46,A4,12.5,79/500,102,178.0
47,C#5,12.5,79/500,102,178.0
48,E5,12.5,79/500,102,178.0
49,A2,12.5,47/125,121,178.0
50,A1,12.5,47/125,121,178.0
51,A4,13.004,191/1000,77,178.0
52,C#5,13.12,0.156,73,178.0
53,E5,13.312,37/500,61,178.0
54,A5,13.506,111/1000,96,178.0
55,C#6,13.728,21/250,36,178.0
56,E6,13.828,109/500,71,178.0
57,A6,14.036,32/125,77,178.0
58,E6,14.236,23/100,57,178.0
59,C#6,14.403,0.172,75,178.0
60,A5,14.609,97/1000,73,178.0
61,E5,14.848,27/100,69,178.0
62,C#5,15.053,46/125,69,178.0
63,A4,15.398,19/100,100,178.0
64,G#5,16.5,13/200,120,178.0
