,note_name,start_time,duration,velocity,tempo
0,D5,4.0,101/125,73,188.0
1,D4,4.0,4.0,58,188.0
2,D3,4.0,4.0,58,188.0
3,A3,4.0,4.0,57,188.0
4,D3,4.0,4.0,57,188.0
5,F#3,4.0,4.0,57,188.0
6,A4,5.0,127/250,47,188.0
7,E5,5.5,843/1000,68,188.0
8,A4,6.5,551/1000,44,188.0
9,D5,7.0,111/125,73,188.0
10,A4,8.0,579/1000,50,188.0
11,G4,8.5,439/500,66,188.0
12,A4,9.5,523/1000,55,188.0
13,D5,10.0,439/1000,63,188.0
14,D4,10.277,1121/500,58,188.0
15,D3,10.277,1121/500,58,188.0
16,A3,10.277,2277/1000,57,188.0
17,D3,10.277,2277/1000,57,188.0
18,F#3,10.277,2277/1000,57,188.0
19,A4,10.5,533/1000,51,188.0
20,E5,11.0,87/200,64,188.0
21,A4,11.5,0.5,44,188.0
22,D5,12.0,112/125,46,188.0
23,A4,12.0,6/125,44,188.0
24,D4,12.777,347/1000,64,188.0
25,A4,13.0,133/250,54,188.0
26,A3,13.277,77/500,66,188.0
27,E5,13.5,393/500,64,188.0
28,D3,13.777,0.5,77,188.0
29,D2,14.277,0.266,103,188.0
30,D3,14.277,69/1000,77,188.0
31,A4,14.5,293/500,76,188.0
32,D5,15.0,827/1000,93,188.0
33,A4,16.0,76/125,98,188.0
34,G4,16.5,1011/1000,110,188.0
35,A4,17.5,111/200,110,188.0
36,D5,18.0,523/1000,108,188.0
37,D3,18.277,63/250,86,188.0
38,D2,18.277,63/250,86,188.0
39,A4,18.5,109/200,108,188.0
40,D2,18.777,137/500,67,188.0
41,D3,18.777,137/500,67,188.0
42,E5,19.0,78/125,108,188.0
43,D3,19.277,57/200,70,188.0
44,D2,19.277,57/200,70,188.0
45,D5,19.5,77/200,100,188.0
46,D2,19.777,27/125,78,188.0
47,D3,19.777,27/125,78,188.0
48,D5,20.0,131/1000,105,188.0
49,D6,20.0,131/1000,105,188.0
50,D3,20.277,229/1000,80,188.0
51,D2,20.277,229/1000,80,188.0
52,E5,20.5,0.109,103,188.0
53,E6,20.5,0.109,103,188.0
54,D3,20.777,51/200,86,188.0
55,D2,20.777,51/200,86,188.0
56,F#5,21.0,13/125,100,188.0
57,F#6,21.0,13/125,100,188.0
58,D3,21.277,0.25,70,188.0
59,D2,21.277,0.141,58,188.0
60,B6,21.5,0.141,100,188.0
61,B5,21.5,0.141,100,188.0
62,D3,21.777,247/1000,72,188.0
63,D2,21.777,247/1000,72,188.0
64,A5,22.0,627/1000,110,188.0
65,A6,22.0,2/5,110,188.0
66,G2,22.277,201/1000,122,188.0
67,G1,22.277,49/500,113,188.0
68,G2,22.777,13/40,70,188.0
69,F#5,23.0,23/200,115,188.0
70,F#6,23.0,23/200,115,188.0
71,G3,23.277,179/500,100,188.0
72,D3,23.277,61/125,82,188.0
73,A6,23.5,59/500,115,188.0
74,A5,23.5,59/500,115,188.0
75,G2,23.777,37/250,77,188.0
76,B5,24.0,239/1000,115,188.0
77,B6,24.0,49/500,115,188.0
78,A1,24.277,23/200,100,188.0
79,A2,24.277,53/250,123,188.0
80,A5,24.5,29/125,113,188.0
81,A6,24.5,101/1000,113,188.0
82,A2,24.777,48/125,63,188.0
83,F#6,25.0,23/200,108,188.0
84,F#5,25.0,227/1000,108,188.0
85,E3,25.277,111/200,86,188.0
86,A3,25.277,11/25,91,188.0
87,A2,25.777,0.188,79,188.0
88,B6,26.0,149/1000,108,188.0
89,B5,26.0,149/1000,108,188.0
90,B1,26.277,49/500,108,188.0
91,B2,26.277,179/1000,123,188.0
92,A5,26.5,227/1000,110,188.0
93,A6,26.5,14/125,110,188.0
94,B3,26.777,479/1000,110,188.0
95,F#5,27.0,41/200,115,188.0
96,F#6,27.0,41/200,115,188.0
97,F#3,27.277,103/200,71,188.0
98,D3,27.777,7/25,79,188.0
99,D5,28.0,143/1000,113,188.0
100,D6,28.0,143/1000,113,188.0
101,B2,28.277,277/500,108,188.0
102,E5,28.5,191/1000,108,188.0
103,E6,28.5,49/500,108,188.0
104,F#2,28.777,629/1000,86,188.0
