,note_name,start_time,duration,velocity,tempo
0,B4,4.0,139/500,110,165.0
1,A5,4.0,139/500,110,165.0
2,D5,4.0,139/500,110,165.0
3,B2,4.0,64/125,80,165.0
4,B3,4.0,64/125,80,165.0
5,F#3,4.5,467/1000,80,165.0
6,B4,4.5,113/125,110,165.0
7,A5,4.5,113/125,110,165.0
8,D5,4.5,113/125,110,165.0
9,B2,5.0,509/1000,80,165.0
10,B3,5.0,509/1000,80,165.0
11,F#3,5.5,97/200,80,165.0
12,B4,5.5,429/500,110,165.0
13,E5,5.5,429/500,110,165.0
14,B3,6.0,233/500,80,165.0
15,B2,6.0,233/500,80,165.0
16,F#3,6.5,259/500,80,165.0
17,D5,6.5,36/25,110,165.0
18,B4,6.5,36/25,110,165.0
19,B3,7.0,107/200,80,165.0
20,B2,7.0,0.453,80,165.0
21,F#3,7.5,113/250,80,165.0
22,A2,8.0,471/1000,80,165.0
23,A3,8.0,549/1000,80,165.0
24,A4,8.0,321/1000,110,165.0
25,A5,8.0,321/1000,110,165.0
26,C#5,8.0,321/1000,110,165.0
27,E3,8.5,499/1000,80,165.0
28,A4,8.5,457/500,110,165.0
29,A5,8.5,457/500,110,165.0
30,C#5,8.5,457/500,110,165.0
31,A2,9.0,113/250,80,165.0
32,A3,9.0,261/500,80,165.0
33,E3,9.5,249/500,80,165.0
34,A4,9.5,853/1000,110,165.0
35,E5,9.5,853/1000,110,165.0
36,A2,10.0,371/1000,80,165.0
37,A3,10.0,0.547,80,165.0
38,A4,10.483,1.172,110,165.0
39,D5,10.483,1.172,110,165.0
40,E3,10.5,471/1000,80,165.0
41,A3,11.0,143/250,80,165.0
42,A2,11.0,97/250,80,165.0
43,E3,11.5,249/500,80,165.0
44,A5,12.0,3/10,110,165.0
45,B4,12.0,3/10,110,165.0
46,D5,12.0,3/10,110,165.0
47,G2,12.0,529/1000,80,165.0
48,G3,12.0,529/1000,80,165.0
49,D3,12.5,481/1000,80,165.0
50,A5,12.5,187/200,110,165.0
51,B4,12.5,187/200,110,165.0
52,D5,12.5,187/200,110,165.0
53,G2,13.0,177/500,80,165.0
54,G3,13.0,259/500,80,165.0
55,D3,13.5,483/1000,80,165.0
56,E5,13.5,173/200,110,165.0
57,G4,13.5,173/200,110,165.0
58,B4,13.5,173/200,110,165.0
59,G3,14.0,543/1000,80,165.0
60,G2,14.0,403/1000,80,165.0
61,D3,14.5,293/500,80,165.0
62,B4,14.5,227/250,110,165.0
63,D5,14.5,227/250,110,165.0
64,G4,14.5,227/250,110,165.0
65,G2,15.0,283/1000,80,165.0
66,G3,15.0,283/1000,80,165.0
67,E3,15.5,0.5,80,165.0
68,E2,15.5,217/500,80,165.0
69,G4,15.5,0.5,110,165.0
70,E5,15.5,0.5,110,165.0
71,B4,15.5,0.5,110,165.0
72,E3,16.0,0.141,80,165.0
73,G4,16.0,231/500,110,165.0
74,E5,16.0,231/500,110,165.0
75,B4,16.0,231/500,110,165.0
76,G4,16.5,127/250,110,165.0
77,D5,16.5,127/250,110,165.0
78,B4,16.5,127/250,110,165.0
79,E2,16.5,243/1000,80,165.0
80,E3,16.5,243/1000,80,165.0
81,G4,17.0,12/25,110,165.0
82,E5,17.0,12/25,110,165.0
83,B4,17.0,12/25,110,165.0
84,E2,17.0,239/1000,80,165.0
85,E3,17.0,239/1000,80,165.0
86,G5,17.5,617/1000,110,165.0
87,B4,17.5,617/1000,110,165.0
88,G4,17.5,617/1000,110,165.0
89,E2,17.5,0.234,80,165.0
90,E3,17.5,0.234,80,165.0
91,C#5,18.0,0.938,110,165.0
92,F#5,18.0,0.938,110,165.0
93,F#4,18.0,0.938,110,165.0
94,F#2,18.0,439/1000,80,165.0
95,F#3,18.0,439/1000,80,165.0
96,B4,19.0,141/500,110,165.0
97,F#5,19.0,729/1000,110,165.0
98,F#3,19.0,167/500,80,165.0
99,F#2,19.0,227/1000,80,165.0
100,C#5,19.25,73/250,110,165.0
101,D5,19.5,137/500,110,165.0
102,E5,19.75,0.25,110,165.0
103,E5,20.0,23/500,110,165.0
104,B4,20.0,2.078,110,165.0
105,F#5,20.0,2.078,110,165.0
106,G2,20.0,97/200,80,165.0
107,G1,20.0,97/200,80,165.0
108,D3,20.5,411/1000,80,165.0
109,G3,21.0,17/40,80,165.0
110,D3,21.5,473/1000,80,165.0
111,E5,22.0,63/125,110,165.0
112,B3,22.0,569/1000,80,165.0
113,F#5,22.5,207/200,110,165.0
114,D3,22.5,481/1000,80,165.0
115,G3,23.0,147/250,80,165.0
116,A2,23.5,0.5,80,165.0
117,A1,23.5,0.5,80,165.0
118,A4,23.5,0.5,110,165.0
119,C#5,23.5,0.5,110,165.0
120,E5,23.5,0.5,110,165.0
121,A2,24.0,189/1000,80,165.0
122,A1,24.0,121/1000,80,165.0
123,A4,24.0,557/500,110,165.0
124,C#5,24.0,557/500,110,165.0
125,E5,24.0,557/500,110,165.0
126,E3,24.5,127/250,80,165.0
127,F#5,25.0,117/250,110,165.0
128,A3,25.0,14/25,80,165.0
129,A4,25.5,117/250,80,165.0
130,E3,25.5,56/125,80,165.0
131,A5,26.0,261/500,110,165.0
132,C#4,26.0,66/125,80,165.0
133,A4,26.5,261/500,80,165.0
134,E3,26.5,93/250,80,165.0
135,C#6,27.0,66/125,110,165.0
136,G1,27.0,559/1000,80,165.0
137,E5,27.5,0.5,80,165.0
138,G2,27.5,211/1000,80,165.0
139,D6,28.0,14/25,110,165.0
140,E5,28.0,7/250,80,165.0
141,F#2,28.0,431/1000,80,165.0
142,F#1,28.0,431/1000,80,165.0
143,F#5,28.5,14/25,80,165.0
144,C#3,28.5,63/125,80,165.0
