,note_name,start_time,duration,velocity,tempo
0,G4,3.0,83/500,110,91.0
1,D4,3.166,41/250,110,91.0
2,B3,3.332,41/250,110,91.0
3,G3,3.5,41/250,110,91.0
4,D3,3.666,41/250,110,91.0
5,B2,3.832,41/250,110,91.0
6,G4,3.906,47/500,110,91.0
7,C5,3.906,47/500,110,91.0
8,E5,3.906,47/500,110,91.0
9,G5,4.0,499/500,110,91.0
10,G4,4.0,113/125,110,91.0
11,C5,4.0,113/125,110,91.0
12,E5,4.0,113/125,110,91.0
13,C3,4.0,0.5,110,91.0
14,C2,4.0,0.5,110,91.0
15,C4,4.5,0.25,110,91.0
16,G3,4.5,0.25,110,91.0
17,E3,4.5,0.25,110,91.0
18,C3,4.75,0.25,110,91.0
19,G4,5.0,0.5,110,91.0
20,C3,5.0,0.25,110,91.0
21,C3,5.25,0.25,110,91.0
22,C5,5.5,0.5,110,91.0
23,E3,5.5,0.25,110,91.0
24,G3,5.5,0.25,110,91.0
25,C4,5.5,0.25,110,91.0
26,C3,5.75,0.25,110,91.0
27,F5,6.0,0.5,110,91.0
28,C3,6.0,0.5,110,91.0
29,C2,6.0,0.5,110,91.0
30,E5,6.5,0.25,110,91.0
31,G3,6.5,0.25,110,91.0
32,C4,6.5,0.25,110,91.0
33,E3,6.5,0.25,110,91.0
34,D5,6.75,0.5,110,91.0
35,C3,6.75,0.25,110,91.0
36,C3,7.0,0.25,110,91.0
37,C5,7.25,0.5,110,91.0
38,C3,7.25,0.25,110,91.0
39,C4,7.5,0.25,110,91.0
40,G3,7.5,0.25,110,91.0
41,E3,7.5,0.25,110,91.0
42,C5,7.75,0.25,110,91.0
43,C3,7.75,0.25,110,91.0
44,D5,8.0,1.25,110,91.0
45,B2,8.0,0.5,110,91.0
46,B1,8.0,0.5,110,91.0
47,F3,8.5,0.25,110,91.0
48,B3,8.5,0.25,110,91.0
49,D3,8.5,0.25,110,91.0
50,B2,8.75,0.25,110,91.0
51,B2,9.0,0.25,110,91.0
52,E5,9.25,0.25,110,91.0
53,B2,9.25,0.25,110,91.0
54,F5,9.5,0.25,110,91.0
55,B3,9.5,0.25,110,91.0
56,F3,9.5,0.25,110,91.0
57,D3,9.5,0.25,110,91.0
58,E5,9.75,31/250,110,91.0
59,B2,9.75,0.25,110,91.0
60,F5,9.874,63/500,110,91.0
61,E5,10.0,1.0,110,91.0
62,E3,10.0,0.5,110,91.0
63,E2,10.0,0.5,110,91.0
64,B3,10.5,0.25,110,91.0
65,E4,10.5,0.25,110,91.0
66,G#3,10.5,0.25,110,91.0
67,E3,10.75,0.25,110,91.0
68,D5,11.0,0.75,110,91.0
69,E3,11.0,0.25,110,91.0
70,E3,11.25,0.25,110,91.0
71,E4,11.5,0.25,110,91.0
72,B3,11.5,0.25,110,91.0
73,G#3,11.5,0.25,110,91.0
74,E5,11.75,31/250,110,91.0
75,E3,11.75,0.25,110,91.0
76,D5,11.874,63/500,110,91.0
77,C5,12.0,1.0,110,91.0
78,F2,12.0,0.25,110,91.0
79,F3,12.0,0.25,110,91.0
80,F3,12.25,0.25,110,91.0
81,A3,12.5,0.25,110,91.0
82,C4,12.5,0.25,110,91.0
83,F4,12.5,0.25,110,91.0
84,F3,12.75,0.25,110,91.0
85,A5,13.0,437/500,110,91.0
86,F4,13.0,0.25,110,91.0
87,C4,13.0,0.25,110,91.0
88,A3,13.0,0.25,110,91.0
89,F3,13.25,0.25,110,91.0
90,F4,13.5,0.25,110,91.0
91,C4,13.5,0.25,110,91.0
92,A3,13.5,0.25,110,91.0
93,F3,13.75,0.25,110,91.0
94,G5,13.874,3/50,110,91.0
95,A5,13.936,8/125,110,91.0
96,G5,14.0,53/50,110,91.0
97,G4,14.0,0.25,110,91.0
98,D4,14.0,0.25,110,91.0
99,B3,14.0,0.25,110,91.0
100,G3,14.25,0.25,110,91.0
101,D4,14.5,0.25,110,91.0
102,B3,14.5,0.25,110,91.0
103,G4,14.5,0.25,110,91.0
104,G3,14.75,0.25,110,91.0
105,D4,15.0,0.25,110,91.0
106,F4,15.0,0.25,110,91.0
107,B3,15.0,0.25,110,91.0
108,G3,15.25,0.25,110,91.0
109,B3,15.5,0.25,110,91.0
110,D4,15.5,0.25,110,91.0
111,F4,15.5,0.25,110,91.0
112,G3,15.75,0.25,110,91.0
113,C3,16.0,1.5,88,91.0
114,C2,16.0,2.0,88,91.0
115,E4,16.0,1.0,97,91.0
116,G4,16.0,1.0,97,91.0
117,C4,16.0,1.0,97,91.0
118,E4,17.0,0.5,88,91.0
119,C4,17.0,1.0,88,91.0
120,G4,17.0,1.0,88,91.0
121,E4,17.5,0.5,101,91.0
122,C3,17.5,0.5,88,91.0
123,G#4,18.0,0.5,101,91.0
124,E2,18.0,2.0,88,91.0
125,E3,18.0,1.5,88,91.0
126,D4,18.0,1.0,88,91.0
127,B3,18.0,1.0,88,91.0
128,A4,18.5,0.5,101,91.0
129,B4,19.0,0.5,101,91.0
130,B3,19.0,1.0,88,91.0
131,D4,19.0,1.0,88,91.0
132,C5,19.5,0.5,101,91.0
133,E3,19.5,0.5,88,91.0
134,C4,20.0,1.0,88,91.0
135,B4,20.0,0.5,101,91.0
136,E4,20.0,0.75,88,91.0
137,A3,20.0,1.5,88,91.0
138,A2,20.0,2.0,88,91.0
139,A4,20.5,0.25,101,91.0
140,E4,20.75,0.5,101,91.0
141,C4,21.0,0.5,88,91.0
142,D4,21.25,0.25,101,91.0
143,C4,21.5,0.5,101,91.0
144,A3,21.5,0.5,88,91.0
145,G3,22.0,1.5,88,91.0
146,G2,22.0,2.0,88,91.0
147,B-4,22.0,1.0,88,91.0
148,C4,22.0,1.0,88,91.0
149,E4,22.0,1.0,88,91.0
150,G4,22.0,1.0,88,91.0
151,C4,23.0,0.5,88,91.0
152,E4,23.0,1.0,88,91.0
153,B-4,23.0,1.0,88,91.0
154,G4,23.0,1.0,88,91.0
155,C4,23.5,0.5,101,91.0
156,G3,23.5,0.5,88,91.0
157,F3,24.0,1.5,88,91.0
158,F2,24.0,2.0,88,91.0
159,F4,24.0,1.0,92,91.0
160,C4,24.0,1.0,92,91.0
161,A4,24.0,1.0,92,91.0
162,A4,25.0,0.5,88,91.0
163,F4,25.0,1.0,88,91.0
164,C4,25.0,1.0,88,91.0
165,B4,25.5,0.5,101,91.0
166,F3,25.5,0.5,88,91.0
167,C5,26.0,0.5,101,91.0
168,F3,26.0,1.5,88,91.0
169,F2,26.0,2.0,88,91.0
170,G4,26.0,1.0,88,91.0
171,D4,26.0,1.0,88,91.0
172,D5,26.5,0.25,101,91.0
173,B4,26.75,0.5,101,91.0
174,D4,27.0,1.0,88,91.0
175,G4,27.0,0.5,88,91.0
176,A4,27.25,0.25,101,91.0
177,G4,27.5,0.5,101,91.0
178,F3,27.5,0.5,88,91.0
179,E3,28.0,1.5,88,91.0
180,E2,28.0,2.0,88,91.0
181,B3,28.0,1.0,88,91.0
182,D4,28.0,1.0,88,91.0
183,G4,28.0,1.0,88,91.0
184,G4,29.0,0.5,88,91.0
185,D4,29.0,1.0,88,91.0
186,B3,29.0,1.0,88,91.0
187,G4,29.5,0.5,101,91.0
188,E3,29.5,0.5,88,91.0
189,B-4,30.0,0.5,101,91.0
190,A3,30.0,1.5,88,91.0
191,A2,30.0,2.0,88,91.0
192,C#4,30.0,1.0,88,91.0
193,E4,30.0,1.0,88,91.0
194,B-4,30.5,0.25,101,91.0
195,A4,30.75,0.25,101,91.0
196,C#4,31.0,1.0,88,91.0
197,E4,31.0,1.0,88,91.0
198,G4,31.25,0.25,101,91.0
199,F4,31.5,0.5,101,91.0
200,A3,31.5,0.5,88,91.0
201,D3,32.0,1.5,88,91.0
202,D2,32.0,2.0,88,91.0
203,D4,32.0,1.0,88,91.0
204,A3,32.0,1.0,88,91.0
205,F4,32.0,1.0,88,91.0
206,A3,33.0,1.0,88,91.0
207,D4,33.0,0.5,101,91.0
208,E4,33.5,0.5,101,91.0
209,D3,33.5,0.5,88,91.0
210,F4,34.0,0.5,101,91.0
211,E3,34.0,1.5,88,91.0
212,E2,34.0,2.0,88,91.0
213,B3,34.0,1.0,88,91.0
