,note_name,start_time,duration,velocity,tempo
0,C6,0.0,401/1000,53,70.0
1,C#3,0.0,157/500,51,70.0
2,G#3,0.25,199/1000,59,70.0
3,F5,0.5,34/125,42,70.0
4,C#4,0.5,71/1000,49,70.0
5,C6,0.75,37/500,55,70.0
6,E-4,0.75,27/100,55,70.0
7,C6,1.0,153/1000,60,70.0
8,F4,1.0,289/1000,61,70.0
9,B-5,1.25,13/200,60,70.0
10,G#4,1.25,57/250,65,70.0
11,C5,1.5,69/40,69,70.0
12,F5,1.5,1669/1000,77,70.0
13,B-5,1.5,1669/1000,77,70.0
14,G5,4.0,431/1000,55,70.0
15,F3,4.0,149/500,53,70.0
16,C4,4.25,111/500,52,70.0
17,C5,4.5,63/200,44,70.0
18,F4,4.5,3/20,68,70.0
19,E-5,4.75,221/1000,60,70.0
20,G4,4.75,261/1000,62,70.0
21,G5,5.0,73/1000,58,70.0
22,G#4,5.0,33/125,59,70.0
23,G#5,5.25,17/250,67,70.0
24,F4,5.25,49/250,57,70.0
25,C5,5.5,237/250,71,70.0
26,G#4,5.5,421/500,69,70.0
27,F5,5.5,357/250,75,70.0
28,G#5,5.5,357/250,75,70.0
29,E-5,7.0,177/500,62,70.0
30,C5,7.0,177/500,62,70.0
31,C6,8.0,91/200,62,70.0
32,C#3,8.0,151/500,63,70.0
33,G#3,8.25,233/1000,53,70.0
34,F5,8.5,63/250,46,70.0
35,C#4,8.5,57/500,59,70.0
36,C6,8.75,17/250,57,70.0
37,E-4,8.75,57/250,59,70.0
38,C6,9.0,14/125,70,70.0
39,F4,9.0,13/50,53,70.0
40,B-5,9.25,71/1000,70,70.0
41,G#4,9.25,253/1000,62,70.0
42,C5,9.5,347/200,67,70.0
43,F5,9.5,19/250,79,70.0
44,B-5,9.5,19/250,79,70.0
45,G5,12.0,423/1000,52,70.0
46,F3,12.0,293/1000,48,70.0
47,C4,12.25,57/250,53,70.0
48,C5,12.5,171/500,47,70.0
49,F4,12.5,127/1000,63,70.0
50,E-5,12.75,141/500,65,70.0
51,G4,12.75,227/1000,53,70.0
52,G5,13.0,243/1000,57,70.0
53,G#4,13.0,259/1000,52,70.0
54,G#5,13.25,97/1000,70,70.0
55,F4,13.25,49/250,46,70.0
56,F5,13.5,2.5,67,70.0
57,G#5,13.5,2.5,67,70.0
58,C5,13.5,509/500,70,70.0
59,G#4,13.5,509/500,70,70.0
60,C5,15.0,7/25,62,70.0
61,E-5,15.0,7/25,62,70.0
62,C#2,16.0,121/500,76,70.0
63,C#3,16.0,311/1000,79,70.0
64,F5,16.0,33/1000,67,70.0
65,G#5,16.0,33/1000,67,70.0
66,C5,16.75,37/125,50,70.0
67,C#3,16.75,53/200,61,70.0
68,G#5,17.0,751/1000,66,70.0
69,F3,17.0,527/1000,59,70.0
70,C4,17.0,89/200,67,70.0
71,G#3,17.0,89/200,67,70.0
72,C#3,17.5,51/200,61,70.0
73,F3,17.75,579/1000,66,70.0
74,C#5,17.75,767/1000,69,70.0
75,G5,17.75,767/1000,69,70.0
76,C4,17.75,51/100,64,70.0
77,G#3,17.75,51/100,64,70.0
78,C#3,18.25,259/1000,62,70.0
79,E-5,18.5,19/100,62,70.0
80,G#3,18.5,126/125,64,70.0
81,C4,18.5,126/125,64,70.0
82,F3,18.5,126/125,64,70.0
83,C5,18.75,98/125,66,70.0
84,C#5,19.5,27/100,55,70.0
85,C#3,19.5,3/40,67,70.0
86,C5,19.75,0.25,63,70.0
87,G#4,19.75,0.25,63,70.0
88,E-5,19.75,0.25,63,70.0
89,C5,20.0,1553/1000,63,70.0
90,G#4,20.0,1553/1000,63,70.0
91,E-5,20.0,1553/1000,63,70.0
92,F2,20.0,0.547,73,70.0
93,F3,20.0,0.547,73,70.0
94,F3,20.75,249/1000,61,70.0
95,E-4,21.0,421/1000,67,70.0
96,G#3,21.0,421/1000,67,70.0
97,C4,21.0,421/1000,67,70.0
