,note_name,start_time,duration,velocity,tempo
0,D5,0.0,2.5,78,158.0
1,C3,0.0,751/500,78,158.0
2,B3,1.502,749/500,78,158.0
3,D5,2.5,0.5,78,158.0
4,D5,3.0,0.5,78,158.0
5,C4,3.0,1.0,78,158.0
6,D5,3.5,0.5,78,158.0
7,D5,4.0,1.0,78,158.0
8,G4,4.0,1.5,78,158.0
9,C5,5.0,0.5,78,158.0
10,B4,5.5,1.0,78,158.0
11,C4,5.5,1.5,78,158.0
12,C5,6.5,1.0,78,158.0
13,G3,7.0,1.0,78,158.0
14,C5,7.5,0.5,78,158.0
15,B2,8.0,1.5,78,158.0
16,B4,8.0,2.5,78,158.0
17,D5,8.0,2.5,78,158.0
18,B3,9.5,1.5,78,158.0
19,B4,10.5,0.5,78,158.0
20,D5,10.5,0.5,78,158.0
21,D4,11.0,1.0,78,158.0
22,B4,11.0,0.5,78,158.0
23,D5,11.0,0.5,78,158.0
24,B4,11.5,0.5,78,158.0
25,D5,11.5,0.5,78,158.0
26,G4,12.0,1.5,78,158.0
27,B4,12.0,1.0,78,158.0
28,D5,12.0,1.0,78,158.0
29,G5,13.0,0.5,78,158.0
30,F#5,13.5,1.0,78,158.0
31,D4,13.5,1.5,78,158.0
32,D5,14.5,1.0,78,158.0
33,G3,15.0,1.0,78,158.0
34,C5,15.5,0.5,78,158.0
35,C3,16.0,1.5,78,158.0
36,G4,16.0,2.5,78,158.0
37,D5,16.0,2.5,78,158.0
38,G3,17.5,1.5,78,158.0
39,G4,18.5,0.5,78,158.0
40,D5,18.5,0.5,78,158.0
41,C4,19.0,1.0,78,158.0
42,G4,19.0,0.5,78,158.0
43,D5,19.0,0.5,78,158.0
44,G4,19.5,0.5,78,158.0
45,D5,19.5,0.5,78,158.0
46,G4,20.0,1.5,78,158.0
47,G4,20.0,1.0,78,158.0
48,D5,20.0,1.0,78,158.0
49,C5,21.0,0.5,78,158.0
50,B4,21.5,1.0,78,158.0
51,C4,21.5,1.5,78,158.0
52,C5,22.5,1.0,78,158.0
53,G3,23.0,1.0,78,158.0
54,C5,23.5,0.5,78,158.0
55,B4,24.0,1.5,78,158.0
56,G2,24.0,1.5,78,158.0
57,G3,25.5,1.5,78,158.0
58,G4,25.5,1.5,78,158.0
59,D4,25.5,1.5,78,158.0
60,D4,27.0,0.5,78,158.0
61,B4,27.0,1.0,78,158.0
62,D4,27.0,1.0,78,158.0
63,G4,27.0,1.0,78,158.0
64,G3,27.5,0.5,78,158.0
65,G2,28.0,0.5,78,158.0
66,C5,28.0,0.5,78,158.0
67,D4,28.0,0.5,78,158.0
68,G4,28.0,0.5,78,158.0
69,G3,28.5,0.5,78,158.0
70,G4,28.5,0.5,78,158.0
71,D4,28.5,0.5,78,158.0
72,G2,29.0,0.5,78,158.0
73,A4,29.0,0.5,78,158.0
74,D4,29.0,0.5,78,158.0
75,G3,29.5,0.5,78,158.0
76,C5,29.5,0.5,78,158.0
77,D4,29.5,0.5,78,158.0
78,G2,30.0,0.5,78,158.0
79,B4,30.0,0.5,78,158.0
80,D4,30.0,0.5,78,158.0
81,G3,30.5,0.5,78,158.0
82,G4,30.5,0.5,78,158.0
83,D4,30.5,0.5,78,158.0
84,G2,31.0,0.5,78,158.0
85,B4,31.0,0.5,78,158.0
86,D4,31.0,0.5,78,158.0
87,G4,31.5,0.5,78,158.0
88,G3,31.5,0.5,78,158.0
89,C2,32.0,0.5,78,158.0
90,G4,32.0,2.5,78,158.0
91,D5,32.0,2.5,78,158.0
92,G2,32.5,0.5,78,158.0
93,C3,33.0,0.5,78,158.0
94,D3,33.5,0.5,78,158.0
95,E3,34.0,0.5,78,158.0
96,C3,34.5,0.5,78,158.0
97,G4,34.5,0.5,78,158.0
98,D5,34.5,0.5,78,158.0
99,E3,35.0,0.5,78,158.0
100,G4,35.0,0.5,78,158.0
101,D5,35.0,0.5,78,158.0
102,G3,35.5,0.5,78,158.0
103,G4,35.5,0.5,78,158.0
104,D5,35.5,0.5,78,158.0
105,C4,36.0,0.5,78,158.0
106,G4,36.0,1.0,78,158.0
107,D5,36.0,1.0,78,158.0
108,G3,36.5,0.5,78,158.0
109,C5,37.0,0.5,78,158.0
110,E3,37.0,0.5,78,158.0
111,B4,37.5,1.0,78,158.0
112,C3,37.5,0.5,78,158.0
113,G2,38.0,0.5,78,158.0
114,C5,38.5,1.0,78,158.0
115,C2,38.5,0.5,78,158.0
116,G1,39.0,0.5,78,158.0
117,C5,39.5,0.5,78,158.0
118,C2,39.5,0.5,78,158.0
119,B1,40.0,0.5,78,158.0
120,B4,40.0,2.5,78,158.0
121,D5,40.0,2.5,78,158.0
122,G2,40.5,251/500,78,158.0
123,B2,41.002,249/500,78,158.0
124,D3,41.5,0.5,78,158.0
125,G3,42.0,0.5,78,158.0
126,B3,42.5,0.5,78,158.0
127,B4,42.5,0.5,78,158.0
128,D5,42.5,0.5,78,158.0
129,D4,43.0,0.5,78,158.0
130,B4,43.0,0.5,78,158.0
131,D5,43.0,0.5,78,158.0
132,G3,43.5,0.5,78,158.0
133,B4,43.5,0.5,78,158.0
134,D5,43.5,0.5,78,158.0
135,G4,44.0,0.5,78,158.0
136,B4,44.0,1.0,78,158.0
137,D5,44.0,1.0,78,158.0
138,D4,44.5,0.5,78,158.0
139,G5,45.0,0.5,78,158.0
140,B3,45.0,0.5,78,158.0
141,F#5,45.5,1.0,78,158.0
142,G3,45.5,0.5,78,158.0
143,D3,46.0,0.5,78,158.0
144,A5,46.5,1.0,78,158.0
145,B2,46.5,0.5,78,158.0
146,G2,47.0,0.5,78,158.0
147,A5,47.5,0.5,78,158.0
148,G1,47.5,0.5,78,158.0
149,G5,48.0,4.0,78,158.0
150,A1,48.0,1.5,78,158.0
151,E1,49.5,1.0,78,158.0
152,A1,50.5,0.5,78,158.0
153,E2,51.0,1.0,78,158.0
154,G5,52.0,1.5,78,158.0
155,D2,52.0,1.5,78,158.0
156,F#5,53.5,1.0,78,158.0
157,A1,53.5,1.5,78,158.0
158,A5,54.5,1.0,78,158.0
159,F#1,55.0,1.0,78,158.0
160,A5,55.5,0.5,78,158.0
161,A5,56.0,0.5,78,158.0
162,G1,56.0,0.5,78,158.0
163,G5,56.5,3.5,78,158.0
164,D2,56.5,0.5,78,158.0
165,G2,57.0,0.5,78,158.0
166,A2,57.5,0.5,78,158.0
167,B2,58.0,0.5,78,158.0
168,D3,58.5,0.5,78,158.0
169,G3,59.0,0.5,78,158.0
170,A3,59.5,0.5,78,158.0
171,D5,60.0,0.5,78,158.0
172,B3,60.0,0.5,78,158.0
173,C5,60.5,0.5,78,158.0
174,A3,60.5,0.5,78,158.0
175,B4,61.0,0.5,78,158.0
176,G3,61.0,0.5,78,158.0
177,G4,61.5,0.5,78,158.0
178,D3,61.5,0.5,78,158.0
179,C5,62.0,0.5,78,158.0
180,B2,62.0,0.5,78,158.0
181,G4,62.5,0.5,78,158.0
182,A2,62.5,0.5,78,158.0
183,C5,63.0,0.5,78,158.0
184,G2,63.0,0.5,78,158.0
185,B4,63.5,0.5,78,158.0
186,D2,63.5,0.5,78,158.0
187,G4,64.0,1.0,78,158.0
188,C3,64.0,0.5,78,158.0
189,C2,64.0,0.5,78,158.0
190,G3,64.5,0.5,78,158.0
191,C4,65.0,0.5,78,158.0
192,G4,65.0,0.5,78,158.0
193,D5,65.0,0.5,78,158.0
194,G3,65.5,0.5,78,158.0
195,G4,65.5,0.5,78,158.0
196,D5,65.5,0.5,78,158.0
197,E4,66.0,0.5,78,158.0
198,G4,66.0,0.5,78,158.0
199,D5,66.0,0.5,78,158.0
200,G3,66.5,0.5,78,158.0
201,G4,66.5,0.5,78,158.0
202,D5,66.5,0.5,78,158.0
203,C4,67.0,0.5,78,158.0
204,G4,67.0,0.5,78,158.0
205,D5,67.0,0.5,78,158.0
206,G3,67.5,0.5,78,158.0
207,G4,67.5,0.5,78,158.0
208,D5,67.5,0.5,78,158.0
209,G4,68.0,1.0,78,158.0
210,D5,68.0,1.0,78,158.0
211,C3,68.0,0.5,78,158.0
212,C2,68.0,0.5,78,158.0
213,G3,68.5,0.5,78,158.0
214,C5,69.0,0.5,78,158.0
215,C4,69.0,0.5,78,158.0
216,B4,69.5,1.5,78,158.0
217,G3,69.5,0.5,78,158.0
218,E4,70.0,0.5,78,158.0
219,G3,70.5,0.5,78,158.0
220,A4,71.0,1.0,78,158.0
221,C4,71.0,0.5,78,158.0
222,G3,71.5,0.5,78,158.0
223,A4,72.0,1.0,78,158.0
224,B2,72.0,0.5,78,158.0
225,B1,72.0,0.5,78,158.0
226,G3,72.5,0.5,78,158.0
227,B4,73.0,0.5,78,158.0
228,B3,73.0,0.5,78,158.0
229,A4,73.5,1.5,78,158.0
230,G3,73.5,0.5,78,158.0
231,D4,74.0,0.5,78,158.0
232,G3,74.5,0.5,78,158.0
233,B4,75.0,0.5,78,158.0
234,B3,75.0,0.5,78,158.0
235,A4,75.5,0.5,78,158.0
236,G3,75.5,0.5,78,158.0
237,A4,76.0,0.5,78,158.0
238,B1,76.0,0.5,78,158.0
239,B2,76.0,0.5,78,158.0
240,G3,76.5,0.5,78,158.0
241,D4,76.5,1.5,78,158.0
242,G4,76.5,1.5,78,158.0
243,B3,77.0,0.5,78,158.0
244,G3,77.5,0.5,78,158.0
245,D4,78.0,0.5,78,158.0
246,G4,78.0,0.5,78,158.0
247,D4,78.0,0.5,78,158.0
248,A4,78.5,0.5,78,158.0
249,G3,78.5,0.5,78,158.0
250,B4,79.0,0.5,78,158.0
251,B3,79.0,0.5,78,158.0
252,B4,79.5,0.5,78,158.0
253,G3,79.5,0.5,78,158.0
254,C5,80.0,1.0,78,158.0
255,A1,80.0,251/500,78,158.0
256,A2,80.0,251/500,78,158.0
257,E3,80.502,249/500,78,158.0
258,B4,81.0,0.5,78,158.0
259,A3,81.0,0.5,78,158.0
260,A4,81.5,1.0,78,158.0
261,E3,81.5,0.5,78,158.0
262,C4,82.0,0.5,78,158.0
263,G4,82.5,1.0,78,158.0
264,E3,82.5,0.5,78,158.0
265,A3,83.0,0.5,78,158.0
266,B4,83.5,0.5,78,158.0
267,E3,83.5,0.5,78,158.0
268,C5,84.0,1.0,78,158.0
269,A4,84.0,1.0,78,158.0
270,F#4,84.0,1.0,78,158.0
271,D3,84.0,0.5,78,158.0
272,D2,84.0,0.5,78,158.0
273,A3,84.5,0.5,78,158.0
274,B4,85.0,0.5,78,158.0
275,D4,85.0,0.5,78,158.0
276,A4,85.5,1.0,78,158.0
277,A3,85.5,0.5,78,158.0
278,F#4,86.0,0.5,78,158.0
279,G4,86.5,1.0,78,158.0
280,A3,86.5,0.5,78,158.0
281,D4,87.0,0.5,78,158.0
282,G4,87.5,0.5,78,158.0
283,A3,87.5,0.5,78,158.0
284,A4,88.0,1.0,78,158.0
285,G1,88.0,0.5,78,158.0
286,G2,88.5,0.5,78,158.0
287,D5,89.0,0.5,78,158.0
288,B2,89.0,0.5,78,158.0
289,A4,89.5,0.5,78,158.0
290,D3,89.5,0.5,78,158.0
291,B4,90.0,2.0,78,158.0
292,G3,90.0,0.5,78,158.0
293,B3,90.5,0.5,78,158.0
294,D4,91.0,0.5,78,158.0
295,G3,91.5,0.5,78,158.0
296,C6,92.0,0.5,78,158.0
297,G4,92.0,0.5,78,158.0
298,B5,92.5,1.0,78,158.0
299,D4,92.5,0.5,78,158.0
300,B3,93.0,0.5,78,158.0
301,A5,93.5,1.0,78,158.0
302,G3,93.5,0.5,78,158.0
303,D3,94.0,0.5,78,158.0
304,B5,94.5,1.5,78,158.0
305,B2,94.5,0.5,78,158.0
306,G2,95.0,0.5,78,158.0
307,G1,95.5,0.5,78,158.0
308,C4,96.0,1.0,78,158.0
309,E4,96.0,1.0,78,158.0
310,G4,96.0,1.0,78,158.0
311,C2,96.0,0.5,78,158.0
312,C3,96.0,0.5,78,158.0
313,G3,96.5,0.5,78,158.0
314,D5,97.0,0.5,78,158.0
315,C4,97.0,0.5,78,158.0
316,D5,97.5,0.5,78,158.0
317,G3,97.5,0.5,78,158.0
318,D5,98.0,0.5,78,158.0
319,E4,98.0,0.5,78,158.0
320,D5,98.5,0.5,78,158.0
321,G3,98.5,0.5,78,158.0
322,D5,99.0,0.5,78,158.0
323,C4,99.0,0.5,78,158.0
324,D5,99.5,0.5,78,158.0
325,G3,99.5,0.5,78,158.0
326,D5,100.0,1.0,78,158.0
327,C3,100.0,0.5,78,158.0
328,C2,100.0,0.5,78,158.0
329,G3,100.5,0.5,78,158.0
330,C5,101.0,0.5,78,158.0
331,C4,101.0,0.5,78,158.0
332,B4,101.5,1.0,78,158.0
333,G3,101.5,0.5,78,158.0
334,E4,102.0,0.5,78,158.0
335,A4,102.5,1.0,78,158.0
336,G3,102.5,0.5,78,158.0
337,C4,103.0,0.5,78,158.0
338,A4,103.5,0.5,78,158.0
339,G3,103.5,0.5,78,158.0
340,A4,104.0,1.0,78,158.0
341,B2,104.0,0.5,78,158.0
342,B1,104.0,0.5,78,158.0
343,G3,104.5,0.5,78,158.0
344,B4,105.0,0.5,78,158.0
345,B3,105.0,0.5,78,158.0
346,A4,105.5,1.0,78,158.0
347,G3,105.5,0.5,78,158.0
348,D4,106.0,0.5,78,158.0
349,A4,106.5,0.5,78,158.0
350,G3,106.5,0.5,78,158.0
351,B4,107.0,0.5,78,158.0
352,B3,107.0,0.5,78,158.0
353,A4,107.5,0.5,78,158.0
354,G3,107.5,0.5,78,158.0
355,A4,108.0,0.5,78,158.0
356,B1,108.0,0.5,78,158.0
357,B2,108.0,0.5,78,158.0
358,G4,108.5,0.5,78,158.0
359,G3,108.5,0.5,78,158.0
360,G4,109.0,1.0,78,158.0
361,B3,109.0,0.5,78,158.0
362,G3,109.5,0.5,78,158.0
363,G4,110.0,0.5,78,158.0
364,D4,110.0,0.5,78,158.0
365,A4,110.5,0.5,78,158.0
366,G3,110.5,0.5,78,158.0
367,B4,111.0,0.5,78,158.0
368,B3,111.0,0.5,78,158.0
369,C5,111.5,0.5,78,158.0
370,G3,111.5,0.5,78,158.0
371,C5,112.0,1.0,78,158.0
372,A2,112.0,0.5,78,158.0
373,A1,112.0,0.5,78,158.0
374,E3,112.5,0.5,78,158.0
375,B4,113.0,0.5,78,158.0
376,A3,113.0,0.5,78,158.0
377,A4,113.5,1.0,78,158.0
378,E3,113.5,0.5,78,158.0
379,C4,114.0,0.5,78,158.0
380,G4,114.5,0.5,78,158.0
381,E3,114.5,0.5,78,158.0
382,G4,115.0,0.5,78,158.0
383,A3,115.0,0.5,78,158.0
384,E3,115.5,0.5,78,158.0
385,F#4,115.5,0.5,78,158.0
386,C5,115.5,0.5,78,158.0
387,A4,115.5,0.5,78,158.0
388,D2,116.0,0.5,78,158.0
389,D3,116.0,0.5,78,158.0
390,A3,116.5,0.5,78,158.0
391,D4,117.0,0.5,78,158.0
392,F#4,117.0,1.0,78,158.0
393,C5,117.0,1.0,78,158.0
394,A4,117.0,1.0,78,158.0
395,A3,117.5,0.5,78,158.0
396,D5,118.0,0.5,78,158.0
397,F#4,118.0,0.5,78,158.0
398,A4,118.5,1.0,78,158.0
399,A3,118.5,0.5,78,158.0
400,D4,119.0,0.5,78,158.0
401,G4,119.5,1.0,78,158.0
402,A3,119.5,0.5,78,158.0
403,A3,120.0,1/500,78,158.0
404,G1,120.002,249/500,78,158.0
405,G2,120.5,0.5,78,158.0
406,D4,120.5,0.5,78,158.0
407,G4,120.5,0.5,78,158.0
408,B2,121.0,0.5,78,158.0
409,D3,121.5,0.5,78,158.0
410,G3,122.0,0.5,78,158.0
411,B3,122.5,0.5,78,158.0
412,D4,123.0,0.5,78,158.0
413,G3,123.5,0.5,78,158.0
414,D4,123.5,2.5,78,158.0
415,G4,123.5,2.5,78,158.0
416,G4,124.0,0.5,78,158.0
417,D4,124.5,0.5,78,158.0
418,B3,125.0,0.5,78,158.0
419,G3,125.5,0.5,78,158.0
420,B5,126.0,1.0,78,158.0
421,D3,126.0,0.5,78,158.0
422,B2,126.5,0.5,78,158.0
423,G5,127.0,0.5,78,158.0
424,G2,127.0,1.0,78,158.0
425,C6,127.5,0.5,78,158.0
426,G5,128.0,0.5,78,158.0
427,C3,128.0,1.5,78,158.0
428,C2,128.0,1.5,78,158.0
429,D5,128.5,0.5,78,158.0
430,B5,129.0,0.5,78,158.0
431,G4,129.5,1.0,78,158.0
432,C3,129.5,0.5,78,158.0
433,E3,130.0,1.0,78,158.0
434,G3,130.0,1.0,78,158.0
435,C4,130.0,1.0,78,158.0
436,G5,130.5,1.0,78,158.0
437,C3,131.0,0.5,78,158.0
438,C2,131.0,0.5,78,158.0
439,F#5,131.5,3.0,78,158.0
440,B2,131.5,0.5,78,158.0
441,B1,131.5,0.5,78,158.0
442,B2,132.5,0.5,78,158.0
443,B1,132.5,0.5,78,158.0
444,G2,133.0,0.5,78,158.0
445,D3,133.5,0.5,78,158.0
446,G3,134.0,0.5,78,158.0
447,E5,134.5,0.5,78,158.0
448,B3,134.5,0.5,78,158.0
449,E5,135.0,0.5,78,158.0
450,G3,135.0,0.5,78,158.0
451,D3,135.5,0.5,78,158.0
452,B4,135.5,2.0,78,158.0
453,D5,135.5,2.0,78,158.0
454,G2,136.0,0.5,78,158.0
455,A1,136.5,0.5,78,158.0
456,A2,136.5,0.5,78,158.0
457,E3,137.0,0.5,78,158.0
458,G4,137.5,1.0,78,158.0
459,A3,137.5,0.5,78,158.0
460,C4,138.0,0.5,78,158.0
461,E5,138.5,1.0,78,158.0
462,D3,138.5,0.5,78,158.0
463,D2,138.5,0.5,78,158.0
464,D3,139.0,0.5,78,158.0
465,D5,139.5,1.0,78,158.0
466,F#3,139.5,0.5,78,158.0
467,A3,139.5,0.5,78,158.0
468,G1,140.0,0.5,78,158.0
469,G2,140.0,0.5,78,158.0
470,C5,140.5,0.5,78,158.0
471,B4,141.0,1.0,78,158.0
472,G1,141.0,0.5,78,158.0
473,G2,141.0,0.5,78,158.0
474,G2,141.5,0.5,78,158.0
475,A4,142.0,1.0,78,158.0
476,D3,142.0,0.5,78,158.0
477,G3,142.5,0.5,78,158.0
478,A4,143.0,0.5,78,158.0
479,B3,143.0,0.5,78,158.0
480,G3,143.5,0.5,78,158.0
481,G4,143.5,2.5,78,158.0
482,B4,143.5,2.5,78,158.0
483,D3,144.0,0.5,78,158.0
484,G2,144.5,0.5,78,158.0
485,A1,145.0,1.5,78,158.0
486,A2,145.0,1.5,78,158.0
487,B4,146.0,0.5,78,158.0
488,B4,146.5,0.5,78,158.0
489,A2,146.5,0.5,78,158.0
490,B4,147.0,0.5,78,158.0
491,A3,147.0,1.0,78,158.0
492,E3,147.0,1.0,78,158.0
493,C3,147.0,1.0,78,158.0
494,A4,147.5,1.0,78,158.0
495,C5,147.5,1.0,78,158.0
496,A2,148.0,0.5,78,158.0
497,B4,148.5,0.5,78,158.0
498,A1,148.5,0.5,78,158.0
499,A4,149.0,1.0,78,158.0
500,A1,149.0,0.5,78,158.0
501,A2,149.5,0.5,78,158.0
502,E3,150.0,0.5,78,158.0
503,E4,150.0,1.0,78,158.0
504,G4,150.0,1.0,78,158.0
505,A3,150.5,0.5,78,158.0
506,C4,151.0,0.5,78,158.0
507,G4,151.0,0.5,78,158.0
508,E4,151.0,0.5,78,158.0
509,A3,151.5,0.5,78,158.0
510,A4,151.5,1.0,78,158.0
511,C5,151.5,1.0,78,158.0
512,E3,152.0,0.5,78,158.0
513,B4,152.5,0.5,78,158.0
514,A2,152.5,0.5,78,158.0
515,C5,153.0,1.0,78,158.0
516,D2,153.0,0.5,78,158.0
517,D3,153.0,0.5,78,158.0
518,D4,153.5,0.5,78,158.0
519,D5,154.0,1.0,78,158.0
520,A3,154.0,0.5,78,158.0
521,F#3,154.5,0.5,78,158.0
522,D3,155.0,0.5,78,158.0
523,D5,155.0,0.5,78,158.0
524,A4,155.0,0.5,78,158.0
525,A2,155.5,0.5,78,158.0
526,G4,156.0,1.5,78,158.0
527,F#2,156.0,0.5,78,158.0
528,D5,156.0,0.5,78,158.0
529,A4,156.0,0.5,78,158.0
530,D2,156.5,0.5,78,158.0
531,D2,157.0,0.5,78,158.0
532,D1,157.0,0.5,78,158.0
533,F#4,157.5,1.5,78,158.0
534,D2,157.5,0.5,78,158.0
535,D1,157.5,0.5,78,158.0
536,D1,158.0,0.5,73,158.0
