,note_name,start_time,duration,velocity,tempo
0,C5,1.5,473/1000,49,148.0
1,F5,2.0,473/1000,49,148.0
2,C5,2.5,473/1000,49,148.0
3,F5,3.0,473/1000,49,148.0
4,G5,3.5,473/1000,49,148.0
5,B-2,4.0,473/1000,49,148.0
6,C5,4.0,1423/1000,49,148.0
7,F5,4.0,1423/1000,49,148.0
8,C6,4.0,1423/1000,49,148.0
9,F3,4.5,473/1000,49,148.0
10,B-3,5.0,473/1000,49,148.0
11,C4,5.5,473/1000,49,148.0
12,C5,5.5,237/250,49,148.0
13,F5,5.5,237/250,49,148.0
14,B-3,6.0,473/1000,49,148.0
15,C5,6.5,237/250,49,148.0
16,F3,6.5,473/1000,49,148.0
17,C4,7.0,473/1000,49,148.0
18,B-3,7.5,473/1000,49,148.0
19,C5,7.5,0.5,49,148.0
20,G5,7.5,0.5,49,148.0
21,F3,8.0,473/1000,49,148.0
22,C5,8.0,56/125,49,148.0
23,G5,8.0,56/125,49,148.0
24,C5,8.5,237/250,49,148.0
25,C4,8.5,473/1000,49,148.0
26,B-3,9.0,473/1000,49,148.0
27,E5,9.5,237/250,49,148.0
28,F3,9.5,473/1000,49,148.0
29,C4,10.0,473/1000,49,148.0
30,B-3,10.5,473/1000,49,148.0
31,C5,10.5,237/250,49,148.0
32,F5,10.5,237/250,49,148.0
33,F3,11.0,473/1000,49,148.0
34,C5,11.5,473/1000,49,148.0
35,B-3,11.5,473/1000,49,148.0
36,B-2,12.0,473/1000,49,148.0
37,C5,12.0,237/250,49,148.0
38,F5,12.0,237/250,49,148.0
39,C6,12.0,237/250,49,148.0
40,F3,12.5,473/1000,49,148.0
41,C5,13.0,473/1000,49,148.0
42,B-3,13.0,473/1000,49,148.0
43,C4,13.5,473/1000,49,148.0
44,C5,13.5,237/250,49,148.0
45,F5,13.5,237/250,49,148.0
46,B-3,14.0,473/1000,49,148.0
47,C5,14.5,237/250,49,148.0
48,F3,14.5,473/1000,49,148.0
49,C4,15.0,473/1000,49,148.0
50,B-3,15.5,473/1000,49,148.0
51,C5,15.5,473/1000,49,148.0
52,G5,15.5,473/1000,49,148.0
53,B-2,16.0,473/1000,49,148.0
54,C3,16.5,47/200,52,148.0
55,D3,16.75,47/200,54,148.0
56,E3,17.0,47/200,56,148.0
57,F3,17.25,47/200,58,148.0
58,G3,17.5,47/200,60,148.0
