,note_name,start_time,duration,velocity,tempo
0,D4,0.0,71/100,80,92.0
1,A4,0.0,71/100,80,92.0
2,D5,0.0,71/100,80,92.0
3,D2,0.0,71/100,80,92.0
4,A2,0.0,71/100,80,92.0
5,D3,0.0,71/100,80,92.0
6,F4,0.75,71/100,80,92.0
7,C5,0.75,71/100,80,92.0
8,F5,0.75,71/100,80,92.0
9,F2,0.75,71/100,80,92.0
10,C3,0.75,71/100,80,92.0
11,F3,0.75,71/100,80,92.0
12,C4,1.5,473/1000,80,92.0
13,G4,1.5,473/1000,80,92.0
14,C5,1.5,473/1000,80,92.0
15,C2,1.5,473/1000,80,92.0
16,G2,1.5,473/1000,80,92.0
17,C3,1.5,473/1000,80,92.0
18,B3,4.0,71/100,80,92.0
19,F4,4.0,71/100,80,92.0
20,B4,4.0,71/100,80,92.0
21,B1,4.0,71/100,80,92.0
22,F2,4.0,71/100,80,92.0
23,B2,4.0,71/100,80,92.0
24,D4,4.75,71/100,80,92.0
25,A4,4.75,71/100,80,92.0
26,D5,4.75,71/100,80,92.0
27,D2,4.75,71/100,80,92.0
28,A2,4.75,71/100,80,92.0
29,D3,4.75,71/100,80,92.0
30,A3,5.5,473/1000,80,92.0
31,E4,5.5,473/1000,80,92.0
32,A4,5.5,473/1000,80,92.0
33,A1,5.5,473/1000,80,92.0
34,E2,5.5,473/1000,80,92.0
35,A2,5.5,473/1000,80,92.0
36,D4,8.0,47/200,80,92.0
37,D5,8.0,47/200,80,92.0
38,D2,8.0,71/100,80,92.0
39,A2,8.0,71/100,80,92.0
40,D3,8.0,71/100,80,92.0
41,E4,8.25,47/200,80,92.0
42,E5,8.25,47/200,80,92.0
43,F4,8.5,47/200,80,92.0
44,F5,8.5,47/200,80,92.0
45,G4,8.75,47/200,80,92.0
46,G5,8.75,47/200,80,92.0
47,F2,8.75,71/100,80,92.0
48,C3,8.75,71/100,80,92.0
49,F3,8.75,71/100,80,92.0
50,C5,9.0,47/200,80,92.0
51,C6,9.0,47/200,80,92.0
52,E5,9.25,473/1000,80,92.0
53,E6,9.25,473/1000,80,92.0
54,C2,9.5,473/1000,80,92.0
55,G2,9.5,473/1000,80,92.0
56,C3,9.5,473/1000,80,92.0
57,D4,9.75,47/200,80,92.0
58,F5,10.0,47/200,80,92.0
59,D4,10.25,47/200,80,92.0
60,B-4,10.5,47/200,80,92.0
61,F5,10.75,47/200,80,92.0
62,D4,11.0,47/200,80,92.0
63,B-4,11.25,47/200,80,92.0
64,F5,11.5,47/200,80,92.0
65,D4,11.75,47/200,80,92.0
66,A4,12.0,47/200,80,92.0
67,A5,12.0,47/200,80,92.0
68,B1,12.0,71/100,80,92.0
69,F2,12.0,71/100,80,92.0
70,B2,12.0,71/100,80,92.0
