,note_name,start_time,duration,velocity,tempo
0,C#4,8.01,521/1000,93,181.0
1,C#2,8.01,251/125,92,181.0
2,C#3,8.01,251/125,92,181.0
3,C#4,8.531,0.469,88,181.0
4,E4,9.029,231/500,89,181.0
5,E-4,9.523,497/500,88,181.0
6,G#3,10.019,297/200,91,181.0
7,B3,10.517,247/500,88,181.0
8,B3,11.01,93/200,89,181.0
9,A2,11.504,93/200,88,181.0
10,A3,11.504,62/125,85,181.0
11,C#4,11.504,62/125,85,181.0
12,A3,12.0,0.531,85,181.0
13,C#4,12.0,0.531,85,181.0
14,E3,12.004,1503/500,88,181.0
15,C#4,12.531,0.469,88,181.0
16,E4,13.029,231/500,89,181.0
17,E-4,13.523,497/500,88,181.0
18,B3,14.517,1483/1000,88,181.0
19,C#2,15.01,247/500,88,181.0
20,C#3,15.01,247/500,88,181.0
21,G#2,15.504,93/200,88,181.0
22,C#4,16.004,527/1000,90,181.0
23,C#5,16.004,527/1000,90,181.0
24,C#2,16.004,403/200,92,181.0
25,C#3,16.004,403/200,92,181.0
26,C#4,16.531,249/500,87,181.0
27,C#5,16.531,249/500,87,181.0
28,E4,17.029,123/250,88,181.0
29,E5,17.029,123/250,88,181.0
30,E-4,17.521,249/250,87,181.0
31,E-5,17.521,249/250,87,181.0
32,C#3,18.019,297/200,91,181.0
33,B3,18.517,247/500,87,181.0
34,B4,18.517,247/500,87,181.0
35,B3,19.01,247/500,88,181.0
36,B4,19.01,247/500,88,181.0
37,A1,19.504,93/200,85,181.0
38,C#4,19.504,62/125,87,181.0
39,C#5,19.504,62/125,87,181.0
40,C#4,20.0,0.531,87,181.0
41,C#5,20.0,0.531,87,181.0
42,A2,20.004,1503/500,88,181.0
43,C#4,20.531,249/500,87,181.0
44,C#5,20.531,249/500,87,181.0
45,E4,21.029,123/250,88,181.0
46,E5,21.029,123/250,88,181.0
47,E-4,21.521,249/250,87,181.0
48,E-5,21.521,249/250,87,181.0
49,B3,22.517,1483/1000,87,181.0
50,B4,22.517,1483/1000,87,181.0
51,C#2,23.01,247/500,88,181.0
52,C#3,23.01,247/500,88,181.0
53,G#2,23.504,93/200,88,181.0
54,C#5,24.004,527/1000,92,181.0
55,C#6,24.004,527/1000,92,181.0
56,C#2,24.004,403/200,92,181.0
57,C#3,24.004,403/200,92,181.0
58,C#5,24.531,249/500,87,181.0
59,C#6,24.531,249/500,87,181.0
60,E5,25.029,123/250,88,181.0
61,E6,25.029,123/250,88,181.0
62,E-5,25.521,249/250,87,181.0
63,E-6,25.521,249/250,87,181.0
64,C#3,26.019,297/200,91,181.0
65,B4,26.517,247/500,87,181.0
66,B5,26.517,247/500,87,181.0
67,B4,27.01,247/500,88,181.0
68,B5,27.01,247/500,88,181.0
69,A1,27.504,93/200,85,181.0
70,C#5,27.504,62/125,87,181.0
71,C#6,27.504,62/125,87,181.0
72,C#5,28.0,0.531,87,181.0
73,C#6,28.0,0.531,87,181.0
74,A2,28.004,1517/1000,93,181.0
75,C#5,28.531,249/500,87,181.0
76,C#6,28.531,249/500,87,181.0
77,E5,29.029,123/250,88,181.0
78,E6,29.029,123/250,88,181.0
79,E-5,29.521,249/250,87,181.0
80,E-6,29.521,249/250,87,181.0
81,A1,29.521,249/500,86,181.0
82,A2,29.521,249/500,86,181.0
83,G#1,30.019,249/500,88,181.0
84,G#2,30.019,249/500,88,181.0
85,B4,30.517,1483/1000,87,181.0
86,B5,30.517,1483/1000,87,181.0
87,F#1,30.517,247/500,85,181.0
88,F#2,30.517,247/500,85,181.0
89,E1,31.01,247/500,86,181.0
90,E2,31.01,247/500,86,181.0
91,E-1,31.504,62/125,84,181.0
92,E-2,31.504,62/125,84,181.0
93,G#5,32.004,41/40,92,181.0
94,G#6,32.004,41/40,92,181.0
95,C#1,32.004,403/200,89,181.0
96,C#2,32.004,403/200,89,181.0
97,E4,33.029,231/500,89,181.0
98,F#4,33.523,497/500,88,181.0
99,G#3,34.019,124/125,91,181.0
100,E-4,34.517,247/250,88,181.0
101,C#3,35.01,99/100,89,181.0
102,C#4,35.504,62/125,85,181.0
103,E4,35.504,62/125,85,181.0
104,C#4,36.0,0.531,85,181.0
105,E4,36.0,0.531,85,181.0
106,G#3,36.004,41/40,93,181.0
107,C#4,36.531,99/100,88,181.0
108,G#3,37.029,99/100,89,181.0
109,E-4,37.521,249/250,88,181.0
110,G#3,38.019,124/125,91,181.0
111,B3,38.517,1483/1000,88,181.0
112,G#3,39.01,93/200,89,181.0
113,C#3,39.504,93/200,88,181.0
114,A2,40.004,249/500,93,181.0
115,G#4,40.004,41/40,90,181.0
116,C#5,40.004,41/40,90,181.0
117,G#5,40.004,41/40,90,181.0
118,E3,40.533,467/1000,88,181.0
119,E4,41.029,231/500,89,181.0
120,A3,41.029,231/500,89,181.0
121,F#4,41.523,497/500,88,181.0
122,E3,41.523,467/1000,88,181.0
123,A3,42.021,99/100,91,181.0
124,E-4,42.517,247/250,88,181.0
125,A3,43.01,99/100,89,181.0
126,C#4,43.504,62/125,85,181.0
127,E4,43.504,62/125,85,181.0
128,C#4,44.0,0.531,85,181.0
129,E4,44.0,0.531,85,181.0
130,A2,44.004,41/40,93,181.0
131,E-4,44.531,99/100,88,181.0
132,E3,45.029,99/100,89,181.0
133,C#4,45.521,249/250,88,181.0
134,A3,46.019,124/125,91,181.0
135,B3,46.517,1483/1000,88,181.0
