,note_name,start_time,duration,velocity,tempo
0,E4,0.75,0.25,80,86.0
1,G#4,0.75,0.25,80,86.0
2,B4,0.75,0.25,80,86.0
3,E2,0.75,473/1000,64,86.0
4,E3,0.75,473/1000,64,86.0
5,E4,1.0,223/1000,80,86.0
6,G#4,1.0,223/1000,80,86.0
7,B4,1.0,223/1000,80,86.0
8,B4,1.25,47/200,80,86.0
9,E3,1.25,47/200,64,86.0
10,B4,1.5,47/200,80,86.0
11,B3,1.5,473/1000,64,86.0
12,E4,1.5,473/1000,64,86.0
13,B4,1.75,47/200,80,86.0
14,E3,2.0,473/1000,64,86.0
15,B4,2.25,47/200,80,86.0
16,B4,2.5,47/200,80,86.0
17,E3,2.5,47/200,64,86.0
18,B4,2.75,47/200,80,86.0
19,G#3,2.75,473/1000,64,86.0
20,B3,2.75,473/1000,64,86.0
21,E4,2.75,473/1000,64,86.0
22,B4,3.0,47/200,80,86.0
23,E3,3.25,47/200,64,86.0
24,B4,3.5,47/200,80,86.0
25,G#3,3.5,473/1000,64,86.0
26,B3,3.5,473/1000,64,86.0
27,E4,3.5,473/1000,64,86.0
28,B4,3.75,47/200,80,86.0
29,B4,4.0,47/200,80,86.0
30,E3,4.0,47/200,64,86.0
31,B4,4.25,47/200,80,86.0
32,E2,4.25,473/1000,64,86.0
33,C#5,4.5,47/200,80,86.0
34,E-4,4.75,0.25,80,86.0
35,F#4,4.75,0.25,80,86.0
36,B4,4.75,0.25,80,86.0
37,B2,4.75,473/1000,64,86.0
38,B3,4.75,473/1000,64,86.0
39,E-4,5.0,223/1000,80,86.0
40,F#4,5.0,223/1000,80,86.0
41,B4,5.0,223/1000,80,86.0
42,G#4,5.25,47/200,80,86.0
43,F#3,5.25,47/200,64,86.0
44,F#4,5.5,47/200,80,86.0
45,B3,5.5,473/1000,64,86.0
46,E-4,5.5,473/1000,64,86.0
47,E4,5.75,47/200,80,86.0
48,B2,6.0,47/200,64,86.0
49,F#3,6.25,473/1000,64,86.0
50,B3,6.25,473/1000,64,86.0
51,C#5,6.5,47/200,80,86.0
52,B4,6.75,47/200,80,86.0
53,E-3,6.75,47/200,64,86.0
54,B3,7.0,473/1000,64,86.0
55,E-4,7.0,473/1000,64,86.0
