,note_name,start_time,duration,velocity,tempo
0,G3,4.0,124/125,69,60.0
1,D5,4.0,32/125,85,60.0
2,B-5,4.0,32/125,85,60.0
3,D4,4.287,21/25,52,60.0
4,G4,4.531,0.375,63,60.0
5,A5,4.76,1/10,80,60.0
6,C5,4.76,1/10,80,60.0
7,G5,5.55,13/125,79,60.0
8,B-4,5.55,13/125,79,60.0
9,F5,6.05,171/500,78,60.0
10,A4,6.05,171/500,78,60.0
11,F3,6.052,731/1000,61,60.0
12,C4,6.321,139/250,54,60.0
13,F4,6.56,69/500,56,60.0
14,G4,6.81,3/20,76,60.0
15,E-5,6.81,3/20,76,60.0
16,F5,7.523,27/250,74,60.0
17,G3,8.021,1627/1000,71,60.0
18,B-4,8.021,433/1000,84,60.0
19,D5,8.021,433/1000,84,60.0
20,D4,8.281,176/125,59,60.0
21,G4,8.537,1071/1000,59,60.0
22,A4,8.777,49/250,64,60.0
23,B-4,9.017,0.219,74,60.0
24,A4,9.252,51/250,76,60.0
25,B-4,9.5,49/250,78,60.0
26,C5,9.733,14/125,78,60.0
27,G3,9.992,203/200,69,60.0
28,D5,9.992,179/500,76,60.0
29,G4,9.992,381/1000,74,60.0
30,B-4,9.992,381/1000,74,60.0
31,C5,10.371,169/500,81,60.0
32,B-4,10.738,69/500,76,60.0
33,D4,11.006,0.844,75,60.0
34,G4,11.008,323/1000,84,60.0
35,D5,11.008,323/1000,84,60.0
36,C5,11.381,333/1000,85,60.0
37,B-4,11.75,67/1000,76,60.0
38,B-5,12.021,319/1000,84,60.0
39,D5,12.021,319/1000,84,60.0
40,E-3,12.035,727/500,79,60.0
41,B-3,12.277,1227/1000,57,60.0
42,E-4,12.531,39/40,62,60.0
43,A5,12.767,1/10,86,60.0
44,C5,12.767,1/10,86,60.0
45,B-4,13.458,17/200,80,60.0
46,G5,13.458,17/200,80,60.0
47,F3,13.927,303/200,62,60.0
48,F5,13.927,1/5,87,60.0
49,A4,13.938,23/200,68,60.0
50,C4,14.183,1.281,61,60.0
51,F4,14.431,139/125,62,60.0
52,C6,14.665,117/1000,83,60.0
53,E-5,14.665,117/1000,83,60.0
54,C6,15.392,129/1000,87,60.0
55,C5,15.725,11/40,53,60.0
56,F5,15.796,51/250,65,60.0
57,G3,15.875,0.125,69,60.0
58,C6,15.894,53/500,85,60.0
59,C5,16.0,33/1000,53,60.0
60,F5,16.0,6/125,65,60.0
61,G3,16.0,51/125,69,60.0
62,C6,16.0,49/500,85,60.0
63,D4,16.131,153/500,60,60.0
64,G4,16.354,53/500,72,60.0
65,D6,16.354,53/500,72,60.0
66,B-4,16.617,1/10,73,60.0
67,D5,16.617,106/125,84,60.0
68,G5,16.617,681/1000,90,60.0
69,D6,16.617,681/1000,90,60.0
70,B-4,17.1,33/200,69,60.0
71,A4,17.342,43/200,67,60.0
72,F4,17.579,11/250,69,60.0
73,G3,17.837,1.469,67,60.0
74,B-5,17.842,21/100,82,60.0
75,A5,18.206,0.312,74,60.0
76,F5,18.558,13/50,79,60.0
77,D4,18.833,56/125,62,60.0
78,B-5,18.833,79/500,88,60.0
79,A5,19.194,3/10,87,60.0
80,F5,19.538,0.094,72,60.0
81,B-4,19.781,0.219,54,60.0
82,E-5,19.848,19/125,71,60.0
83,E-2,19.952,6/125,64,60.0
84,B-5,19.952,6/125,83,60.0
85,B-4,20.0,6/25,54,60.0
86,E-5,20.0,21/100,71,60.0
87,E-2,20.0,377/1000,64,60.0
88,B-5,20.0,131/500,83,60.0
89,B-2,20.196,217/1000,57,60.0
90,E-3,20.417,131/1000,53,60.0
91,A5,20.658,21/100,88,60.0
92,D5,20.658,21/100,88,60.0
93,B-3,20.669,0.625,59,60.0
94,A4,20.669,21/100,86,60.0
95,D5,20.669,21/100,86,60.0
96,E-4,21.152,9/100,64,60.0
97,G5,21.39,49/500,86,60.0
98,G4,21.39,49/500,86,60.0
99,F4,21.721,327/1000,64,60.0
100,B-4,21.792,0.281,65,60.0
101,F2,21.863,331/1000,68,60.0
102,F5,21.879,77/500,93,60.0
103,C3,22.108,217/1000,64,60.0
104,F3,22.35,71/500,61,60.0
105,E-4,22.581,0.156,83,60.0
106,G4,22.581,0.156,83,60.0
107,E-5,22.581,0.156,83,60.0
