,note_name,start_time,duration,velocity,tempo
0,G4,0.0,573/1000,112,200.0
1,G5,0.0,573/1000,112,200.0
2,G4,0.6,471/500,112,200.0
3,G5,0.6,471/500,112,200.0
4,G#4,1.6,2/5,112,200.0
5,G#5,1.6,2/5,112,200.0
6,G#4,2.0,927/1000,112,200.0
7,G#5,2.0,927/1000,112,200.0
8,E1,2.0,2.0,112,200.0
9,E2,2.0,2.0,112,200.0
10,E-5,3.0,237/250,112,200.0
11,E-6,3.0,237/250,112,200.0
12,D5,4.0,237/250,112,200.0
13,D6,4.0,237/250,112,200.0
14,E1,4.0,899/500,112,200.0
15,E2,4.0,899/500,112,200.0
16,C#5,5.0,237/250,112,200.0
17,C#6,5.0,237/250,112,200.0
18,B4,6.0,237/250,112,200.0
19,B5,6.0,237/250,112,200.0
20,E-1,6.0,2.0,112,200.0
21,E-2,6.0,2.0,112,200.0
22,F#4,7.0,573/1000,112,200.0
23,F#5,7.0,573/1000,112,200.0
24,F#4,7.6,119/125,112,200.0
25,F#5,7.6,119/125,112,200.0
26,E-1,8.0,899/500,112,200.0
27,E-2,8.0,899/500,112,200.0
28,G#4,8.6,471/500,112,200.0
29,G#5,8.6,471/500,112,200.0
30,G#4,9.6,2/5,112,200.0
31,G#5,9.6,2/5,112,200.0
32,G#4,10.0,927/1000,112,200.0
33,G#5,10.0,927/1000,112,200.0
34,G#1,10.0,2.0,112,200.0
35,G#2,10.0,2.0,112,200.0
36,E-5,11.0,237/250,112,200.0
37,E-6,11.0,237/250,112,200.0
38,D5,12.0,237/250,112,200.0
39,D6,12.0,237/250,112,200.0
40,G#1,12.0,899/500,112,200.0
41,G#2,12.0,899/500,112,200.0
42,C#5,13.0,237/250,112,200.0
43,C#6,13.0,237/250,112,200.0
44,B4,14.0,573/1000,112,200.0
45,B5,14.0,573/1000,112,200.0
46,C#2,14.0,2.0,112,200.0
47,C#3,14.0,2.0,112,200.0
48,F#4,14.6,471/500,112,200.0
49,F#5,14.6,471/500,112,200.0
50,F#4,15.6,119/125,112,200.0
51,F#5,15.6,119/125,112,200.0
52,C#2,16.0,899/500,112,200.0
53,C#3,16.0,899/500,112,200.0
54,G#4,16.598,1327/1000,112,200.0
55,G#5,16.598,1327/1000,112,200.0
56,G#1,18.0,237/250,96,200.0
57,G#2,18.0,237/250,96,200.0
58,E-4,19.0,237/250,96,200.0
59,G#4,20.0,237/250,96,200.0
60,B-4,21.0,237/250,96,200.0
61,B4,22.0,237/250,96,200.0
62,B1,22.0,2.0,96,200.0
63,B2,22.0,2.0,96,200.0
64,C#5,23.0,237/250,96,200.0
65,B4,24.0,237/250,96,200.0
66,B1,24.0,899/500,96,200.0
67,B2,24.0,899/500,96,200.0
68,B-4,25.0,237/250,96,200.0
69,B-1,26.0,949/500,96,200.0
70,B-2,26.0,949/500,96,200.0
71,G#4,27.0,237/250,96,200.0
72,E-4,28.0,237/250,96,200.0
73,G#4,29.0,237/250,96,200.0
74,B4,30.0,237/250,96,200.0
75,A1,30.0,573/1000,96,200.0
76,A2,30.0,573/1000,96,200.0
77,G#4,31.0,237/250,96,200.0
78,A2,31.0,573/1000,96,200.0
79,E-4,32.0,237/250,96,200.0
80,A2,32.0,573/1000,96,200.0
81,B4,33.0,237/250,96,200.0
82,A2,33.0,573/1000,96,200.0
83,B-4,34.0,1899/500,112,200.0
84,E-2,34.0,31/125,96,200.0
85,G#2,34.0,573/1000,112,200.0
86,G#3,34.0,573/1000,112,200.0
87,E-2,34.6,99/500,96,200.0
88,E-3,35.0,31/125,96,200.0
89,E-2,35.6,99/500,96,200.0
90,G#2,35.6,377/1000,112,200.0
91,G#3,35.6,377/1000,112,200.0
92,E-2,36.0,31/125,96,200.0
93,E-2,36.6,99/500,96,200.0
94,E-3,37.0,31/125,96,200.0
95,B-2,37.0,1.0,112,200.0
96,B-3,37.0,1.0,112,200.0
97,E-2,37.6,99/500,96,200.0
98,E-2,38.0,31/125,96,200.0
99,B-2,38.0,523/1000,112,200.0
100,B-3,38.0,523/1000,112,200.0
101,A2,38.598,1327/1000,112,200.0
102,A3,38.598,1327/1000,112,200.0
103,E-2,38.6,99/500,96,200.0
104,E-3,39.0,31/125,96,200.0
105,E-2,39.6,99/500,96,200.0
106,E-2,40.0,31/125,96,200.0
107,E3,40.0,573/1000,112,200.0
108,E4,40.0,573/1000,112,200.0
109,E-2,40.6,99/500,96,200.0
110,E-3,41.0,0.0,112,200.0
111,E-4,41.0,573/1000,112,200.0
112,E-3,41.0,573/1000,96,200.0
113,E-2,41.6,99/500,96,200.0
114,E-2,42.0,31/125,96,200.0
115,G#2,42.0,573/1000,112,200.0
116,G#3,42.0,573/1000,112,200.0
117,E-2,42.6,99/500,96,200.0
118,E-3,43.0,31/125,96,200.0
119,E-2,43.6,99/500,96,200.0
120,G#2,43.6,377/1000,112,200.0
121,G#3,43.6,377/1000,112,200.0
122,E-2,44.0,31/125,96,200.0
123,E-2,44.6,99/500,96,200.0
124,E-3,45.0,31/125,96,200.0
125,B-2,45.0,1.0,112,200.0
126,B-3,45.0,1.0,112,200.0
127,E-2,45.6,99/500,96,200.0
128,E-2,46.0,31/125,96,200.0
129,B-2,46.0,523/1000,112,200.0
130,B-3,46.0,523/1000,112,200.0
131,A2,46.598,1327/1000,112,200.0
132,A3,46.598,1327/1000,112,200.0
133,E-2,46.6,99/500,96,200.0
134,E-3,47.0,31/125,96,200.0
135,E-2,47.6,99/500,96,200.0
136,E-2,48.0,31/125,96,200.0
137,E3,48.0,573/1000,112,200.0
138,E4,48.0,573/1000,112,200.0
139,E-2,48.6,99/500,96,200.0
140,E-3,49.0,0.0,112,200.0
141,E-4,49.0,573/1000,112,200.0
142,E-3,49.0,573/1000,96,200.0
143,E-2,49.6,99/500,96,200.0
144,E-2,50.0,31/125,96,200.0
145,G#2,50.0,573/1000,112,200.0
146,G#3,50.0,573/1000,112,200.0
147,E-2,50.6,99/500,96,200.0
148,E-3,51.0,31/125,96,200.0
149,E-2,51.6,99/500,96,200.0
150,G#2,51.6,377/1000,112,200.0
151,G#3,51.6,377/1000,112,200.0
152,E-2,52.0,31/125,96,200.0
153,E-2,52.6,99/500,96,200.0
154,E-3,53.0,31/125,96,200.0
155,B-2,53.0,1.0,112,200.0
156,B-3,53.0,1.0,112,200.0
157,E-2,53.6,99/500,96,200.0
158,E-2,54.0,31/125,96,200.0
159,B-2,54.0,523/1000,112,200.0
160,B-3,54.0,523/1000,112,200.0
161,A2,54.598,1327/1000,112,200.0
162,A3,54.598,1327/1000,112,200.0
163,E-2,54.6,99/500,96,200.0
