,note_name,start_time,duration,velocity,tempo
0,G4,3.0,0.25,73,137.0
1,E-4,3.0,0.25,73,137.0
2,B-4,3.0,0.25,73,137.0
3,E-5,3.0,0.25,73,137.0
4,E-3,3.0,0.25,73,137.0
5,E-2,3.0,0.25,73,137.0
6,B-4,3.25,0.25,73,137.0
7,G4,3.25,0.25,73,137.0
8,E-5,3.25,0.25,73,137.0
9,E-4,3.25,0.25,73,137.0
10,E-2,3.25,0.25,73,137.0
11,E-3,3.25,0.25,73,137.0
12,E-5,3.5,0.5,73,137.0
13,E-4,3.5,0.5,73,137.0
14,B-4,3.5,0.5,73,137.0
15,G4,3.5,0.5,73,137.0
16,E-3,3.5,0.5,73,137.0
17,E-2,3.5,0.5,73,137.0
18,F4,4.0,0.25,73,137.0
19,C5,4.0,0.25,73,137.0
20,F5,4.0,0.25,73,137.0
21,A4,4.0,0.25,73,137.0
22,F3,4.0,0.25,73,137.0
23,F2,4.0,0.25,73,137.0
24,C5,4.5,0.25,73,137.0
25,A4,4.5,0.25,73,137.0
26,F4,4.5,0.25,73,137.0
27,F5,4.5,0.25,73,137.0
28,F3,4.5,0.25,73,137.0
29,F2,4.5,0.25,73,137.0
30,F4,5.0,0.25,73,137.0
31,F#4,5.25,0.25,73,137.0
32,G4,5.5,0.25,73,137.0
33,G#4,5.75,0.25,73,137.0
34,A4,6.0,0.25,73,137.0
35,B-4,6.25,0.25,73,137.0
36,B4,6.5,0.25,73,137.0
37,C5,6.75,0.25,73,137.0
38,C#5,7.0,0.25,73,137.0
39,D5,7.25,0.25,73,137.0
40,E-5,7.5,0.5,73,137.0
41,B-4,7.5,0.5,73,137.0
42,G4,7.5,0.5,73,137.0
43,E-4,7.5,0.5,73,137.0
44,E-3,7.5,0.5,73,137.0
45,E-2,7.5,0.5,73,137.0
46,F5,8.0,0.25,73,137.0
47,A4,8.0,0.25,73,137.0
48,F4,8.0,0.25,73,137.0
49,C5,8.0,0.25,73,137.0
50,F2,8.0,0.25,73,137.0
51,F3,8.0,0.25,73,137.0
52,F5,8.5,0.25,73,137.0
53,C5,8.5,0.25,73,137.0
54,F4,8.5,0.25,73,137.0
55,A4,8.5,0.25,73,137.0
56,F2,8.5,0.25,73,137.0
57,F3,8.5,0.25,73,137.0
58,F4,9.0,0.25,73,137.0
59,F#4,9.25,0.25,73,137.0
60,G4,9.5,0.25,73,137.0
61,G#4,9.75,0.25,73,137.0
62,A4,10.0,0.25,73,137.0
63,B-4,10.25,0.25,73,137.0
64,B4,10.5,0.25,73,137.0
65,C5,10.75,0.25,73,137.0
66,C#5,11.0,0.25,73,137.0
67,D5,11.25,0.25,73,137.0
68,E-4,11.5,0.5,73,137.0
69,E-5,11.5,0.5,73,137.0
