,note_name,start_time,duration,velocity,tempo
0,C#3,0.0,0.5,127,80.0
1,C#2,0.0,3.0,127,80.0
2,F#2,0.0,167/1000,127,80.0
3,B1,0.0,167/1000,127,80.0
4,C#4,0.0,3.0,127,80.0
5,G#3,0.0,3.0,127,80.0
6,F#2,0.167,167/1000,127,80.0
7,F#2,0.333,167/1000,127,80.0
8,C#4,0.5,0.5,127,80.0
9,C#4,0.5,0.5,127,80.0
10,F#2,0.5,0.25,127,80.0
11,C#5,0.5,0.5,127,80.0
12,C#4,0.5,0.5,127,80.0
13,F#2,0.75,0.25,127,80.0
14,E4,1.0,0.5,127,80.0
15,E4,1.0,0.5,127,80.0
16,B-2,1.0,0.5,127,80.0
17,E5,1.0,0.5,127,80.0
18,E4,1.0,0.5,127,80.0
19,G4,1.5,0.5,127,80.0
20,G4,1.5,0.5,127,80.0
21,F#2,1.5,0.5,127,80.0
22,G5,1.5,0.5,127,80.0
23,G4,1.5,0.5,127,80.0
24,E-5,2.0,0.5,127,80.0
25,E-5,2.0,0.5,127,80.0
26,F#2,2.0,0.5,127,80.0
27,E-6,2.0,0.5,127,80.0
28,E-5,2.0,0.5,127,80.0
29,B-4,2.5,0.5,127,80.0
30,B-4,2.5,0.5,127,80.0
31,F#2,2.5,0.5,127,80.0
32,B-5,2.5,0.5,127,80.0
33,B-4,2.5,0.5,127,80.0
34,C5,3.0,3.0,127,80.0
35,C5,3.0,3.0,127,80.0
36,C3,3.0,3.0,127,80.0
37,F#2,3.0,0.5,127,80.0
38,C6,3.0,3.0,127,80.0
39,C5,3.0,3.0,127,80.0
40,E-4,3.0,0.125,127,80.0
41,G#3,3.0,0.125,127,80.0
42,E-4,3.125,0.125,127,80.0
43,G#3,3.125,0.125,127,80.0
44,E-4,3.25,0.125,127,80.0
45,G#3,3.25,0.125,127,80.0
46,E-4,3.375,0.125,127,80.0
47,G#3,3.375,0.125,127,80.0
48,F#2,3.5,0.5,127,80.0
49,E-4,3.5,0.125,127,80.0
50,G#3,3.5,0.125,127,80.0
51,E-4,3.625,0.125,127,80.0
52,G#3,3.625,0.125,127,80.0
53,E-4,3.75,0.125,127,80.0
54,G#3,3.75,0.125,127,80.0
55,E-4,3.875,0.125,127,80.0
56,G#3,3.875,0.125,127,80.0
57,F#2,4.0,0.5,127,80.0
58,E-4,4.0,0.125,127,80.0
59,G#3,4.0,0.125,127,80.0
60,E-4,4.125,0.125,127,80.0
