,note_name,start_time,duration,velocity,tempo
0,C#2,0.0,0.125,50,100.0
1,C#2,1.0,0.125,50,100.0
2,E2,2.0,0.125,12,100.0
3,E2,2.167,0.125,18,100.0
4,E2,2.333,0.125,33,100.0
5,E2,2.5,0.125,80,100.0
6,E2,2.833,0.125,86,100.0
7,E2,3.0,0.125,100,100.0
8,A2,3.333,0.125,72,100.0
9,E-3,3.833,0.125,87,100.0
10,C2,3.833,0.125,87,100.0
11,F1,4.0,77/250,80,100.0
12,F3,4.0,77/250,104,100.0
13,A3,4.0,0.125,83,100.0
14,C2,4.0,0.125,83,100.0
15,E-3,4.0,0.125,83,100.0
16,F2,4.308,1/5,80,100.0
17,F4,4.308,1/5,104,100.0
18,B1,4.5,2/5,80,100.0
19,B3,4.5,0.5,104,100.0
20,B-1,5.0,2/5,80,100.0
21,B-3,5.0,0.5,104,100.0
22,E2,5.0,0.125,100,100.0
23,E-3,5.0,0.125,100,100.0
24,G#1,5.5,2/5,80,100.0
25,G#3,5.5,0.5,104,100.0
26,F1,6.0,417/1000,80,100.0
27,F3,6.0,417/1000,104,100.0
28,C2,6.0,0.125,100,100.0
29,E-3,6.0,0.125,100,100.0
30,F1,6.808,1/5,80,100.0
31,F3,6.808,1/5,104,100.0
32,C2,6.808,0.125,55,100.0
33,E-3,6.808,0.125,55,100.0
34,E2,7.0,0.125,100,100.0
35,E-3,7.0,0.125,100,100.0
36,C2,7.833,0.125,78,100.0
37,E-3,7.833,0.125,78,100.0
38,E2,8.333,0.125,28,100.0
39,E-3,8.5,0.125,50,100.0
40,E2,8.833,0.125,27,100.0
41,E2,9.0,0.125,100,100.0
42,E-3,9.0,0.125,100,100.0
43,E-3,9.5,0.125,26,100.0
44,E2,9.833,0.125,27,100.0
45,E-3,10.0,0.125,100,100.0
46,E2,10.333,0.125,27,100.0
47,E-3,10.5,0.125,27,100.0
48,E-3,10.833,0.125,31,100.0
49,E2,10.833,0.125,31,100.0
50,E2,11.0,0.125,100,100.0
51,E-3,11.5,0.125,50,100.0
52,F1,12.0,77/250,80,100.0
53,F3,12.0,77/250,104,100.0
54,C2,12.0,0.125,100,100.0
55,E-3,12.0,0.125,100,100.0
56,F2,12.308,1/5,80,100.0
57,F4,12.308,1/5,104,100.0
58,B1,12.5,2/5,80,100.0
59,B3,12.5,0.5,104,100.0
60,B-1,13.0,2/5,80,100.0
61,B-3,13.0,0.5,104,100.0
62,E2,13.0,0.125,100,100.0
63,E-3,13.0,0.125,100,100.0
64,G#1,13.5,2/5,80,100.0
65,G#3,13.5,0.5,104,100.0
66,E-3,14.0,0.125,80,100.0
67,C2,14.0,0.125,80,100.0
68,C2,14.5,0.125,100,100.0
69,F1,14.5,0.375,80,100.0
70,F3,14.5,0.375,104,100.0
71,E-3,14.833,0.125,43,100.0
72,E-3,15.0,0.125,100,100.0
73,E2,15.5,0.125,100,100.0
74,E-3,15.833,0.125,80,100.0
75,E2,16.333,0.125,36,100.0
76,E-3,16.5,0.125,62,100.0
77,C2,16.5,0.125,62,100.0
78,E2,16.833,0.125,34,100.0
79,E-3,17.0,0.125,100,100.0
80,E-3,17.5,0.125,70,100.0
81,E2,17.5,0.125,70,100.0
82,E-3,18.0,0.125,100,100.0
83,E2,18.333,0.125,35,100.0
84,C2,18.5,0.125,53,100.0
85,E-3,18.5,0.125,53,100.0
86,E2,18.5,0.125,53,100.0
87,E-3,18.833,0.125,44,100.0
88,E2,19.0,0.125,100,100.0
89,E2,19.333,0.125,37,100.0
90,E-3,19.5,0.125,44,100.0
91,C2,19.833,0.125,48,100.0
92,F1,20.0,77/250,80,100.0
93,F3,20.0,77/250,104,100.0
94,A3,20.0,0.125,83,100.0
95,C2,20.0,0.125,83,100.0
96,E-3,20.0,0.125,83,100.0
97,F2,20.308,1/5,80,100.0
98,F4,20.308,1/5,104,100.0
99,B1,20.5,2/5,80,100.0
100,B3,20.5,0.5,104,100.0
101,B-1,21.0,2/5,80,100.0
102,B-3,21.0,0.5,104,100.0
103,E2,21.0,0.125,100,100.0
104,E-3,21.0,0.125,100,100.0
105,G#1,21.5,2/5,80,100.0
106,G#3,21.5,0.5,104,100.0
107,F1,22.0,417/1000,80,100.0
108,F3,22.0,417/1000,104,100.0
109,C2,22.0,0.125,100,100.0
110,E-3,22.0,0.125,100,100.0
111,F1,22.808,1/5,80,100.0
112,F3,22.808,1/5,104,100.0
113,C2,22.808,0.125,55,100.0
114,E-3,22.808,0.125,55,100.0
115,E2,23.0,0.125,100,100.0
116,E-3,23.0,0.125,100,100.0
117,C2,23.833,0.125,78,100.0
118,E-3,23.833,0.125,78,100.0
119,E2,24.333,0.125,33,100.0
120,E-3,24.5,0.125,50,100.0
121,E2,24.833,0.125,34,100.0
122,E2,25.0,0.125,100,100.0
123,E-3,25.0,0.125,100,100.0
124,E-3,25.5,0.125,35,100.0
125,E2,25.833,0.125,35,100.0
126,E-3,26.0,0.125,100,100.0
127,E2,26.333,0.125,37,100.0
128,E-3,26.5,0.125,36,100.0
129,E-3,26.833,0.125,45,100.0
130,E2,26.833,0.125,45,100.0
131,E2,27.0,0.125,100,100.0
132,E-3,27.5,0.125,46,100.0
133,F1,28.0,77/250,80,100.0
134,F3,28.0,77/250,104,100.0
135,C2,28.0,0.125,100,100.0
136,E-3,28.0,0.125,100,100.0
137,F2,28.308,1/5,80,100.0
138,F4,28.308,1/5,104,100.0
139,B1,28.5,2/5,80,100.0
140,B3,28.5,0.5,104,100.0
141,B-1,29.0,2/5,80,100.0
142,B-3,29.0,0.5,104,100.0
143,E2,29.0,0.125,100,100.0
144,E-3,29.0,0.125,100,100.0
145,G#1,29.5,2/5,80,100.0
146,G#3,29.5,0.5,104,100.0
147,E-3,30.0,0.125,80,100.0
148,C2,30.0,0.125,80,100.0
149,C2,30.5,0.125,100,100.0
150,F1,30.5,2/5,80,100.0
151,F3,30.5,2/5,104,100.0
152,E-3,30.833,0.125,50,100.0
153,E-3,31.0,0.125,100,100.0
154,E2,31.5,0.125,100,100.0
155,G1,32.5,12/5,80,100.0
156,E2,32.5,0.125,58,100.0
157,A3,32.5,0.125,58,100.0
158,C2,32.5,0.125,58,100.0
159,B3,32.5,2.5,104,100.0
160,B-4,32.5,2.5,104,100.0
161,F4,32.5,2.5,104,100.0
162,G3,32.5,2.5,104,100.0
163,E-3,33.5,0.125,40,100.0
164,E2,34.0,0.125,13,100.0
165,E2,34.167,0.125,33,100.0
166,E2,34.333,0.125,30,100.0
167,E2,34.5,0.125,80,100.0
168,E2,34.833,0.125,89,100.0
169,E2,35.0,0.125,100,100.0
170,F#4,35.308,24/125,68,100.0
