,note_name,start_time,duration,velocity,tempo
0,D5,4.0,4.0,121,104.0
1,A4,4.0,9/10,55,104.0
2,D2,4.0,4/5,103,104.0
3,F#4,4.0,4/5,99,104.0
4,A4,4.0,4/5,99,104.0
5,D2,4.0,4/5,99,104.0
6,D3,4.0,917/1000,53,104.0
7,A3,4.0,917/1000,53,104.0
8,D4,4.0,917/1000,53,104.0
9,F#4,4.0,917/1000,53,104.0
10,D4,4.0,39/40,38,104.0
11,F#3,4.0,39/40,38,104.0
12,B1,4.0,26/125,65,104.0
13,F#2,4.0,26/125,65,104.0
14,F#2,4.667,26/125,40,104.0
15,E3,4.992,917/1000,53,104.0
16,B3,4.992,917/1000,53,104.0
17,E4,4.992,917/1000,53,104.0
18,G4,4.992,917/1000,53,104.0
19,E2,5.0,4/5,96,104.0
20,G4,5.0,4/5,96,104.0
21,B4,5.0,4/5,96,104.0
22,E2,5.0,4/5,96,104.0
23,B3,5.0,39/40,38,104.0
24,E3,5.0,39/40,38,104.0
25,D2,5.0,26/125,70,104.0
26,F#2,5.0,26/125,70,104.0
27,B4,5.058,9/10,55,104.0
28,B1,5.667,26/125,45,104.0
29,F#2,5.667,26/125,45,104.0
30,D3,5.992,917/1000,53,104.0
31,A3,5.992,917/1000,53,104.0
32,D4,5.992,917/1000,53,104.0
33,F#4,5.992,917/1000,53,104.0
34,D2,6.0,4/5,78,104.0
35,F#4,6.0,4/5,87,104.0
36,A4,6.0,4/5,87,104.0
37,D2,6.0,4/5,87,104.0
38,D4,6.0,39/40,38,104.0
39,F#3,6.0,39/40,38,104.0
40,B1,6.0,26/125,65,104.0
41,F#2,6.0,26/125,65,104.0
42,A4,6.058,9/10,55,104.0
43,F#2,6.667,26/125,40,104.0
44,E3,6.992,917/1000,53,104.0
45,B3,6.992,917/1000,53,104.0
46,E4,6.992,917/1000,53,104.0
47,G4,6.992,917/1000,53,104.0
48,E2,7.0,4/5,83,104.0
49,E2,7.0,4/5,83,104.0
50,B3,7.0,39/40,38,104.0
51,E3,7.0,39/40,38,104.0
52,D2,7.0,26/125,75,104.0
53,F#2,7.0,26/125,75,104.0
54,B4,7.058,9/10,55,104.0
55,B1,7.667,26/125,45,104.0
56,F#2,7.667,26/125,45,104.0
57,D5,8.0,4/5,121,104.0
58,D2,8.0,4/5,89,104.0
59,F#4,8.0,4/5,94,104.0
60,A4,8.0,4/5,94,104.0
61,D2,8.0,4/5,94,104.0
62,D4,8.0,39/40,38,104.0
63,F#3,8.0,39/40,38,104.0
64,B1,8.0,26/125,70,104.0
65,F#2,8.0,26/125,70,104.0
66,D3,8.008,227/250,50,104.0
67,A3,8.008,123/250,64,104.0
68,D4,8.008,123/250,64,104.0
69,F#4,8.008,123/250,64,104.0
