,note_name,start_time,duration,velocity,tempo
0,G#4,0.0,667/1000,100,180.0
1,G#4,0.0,667/1000,103,180.0
2,A5,0.0,667/1000,100,180.0
3,E2,0.0,2677/1000,100,180.0
4,G#2,0.0,2677/1000,100,180.0
5,B2,0.0,2677/1000,100,180.0
6,G#4,1.0,333/1000,100,180.0
7,G#4,1.0,333/1000,103,180.0
8,C4,1.0,667/1000,100,180.0
9,G#4,1.5,333/1000,100,180.0
10,G#4,1.5,333/1000,103,180.0
11,C4,1.5,667/1000,100,180.0
12,G#4,2.0,333/1000,100,180.0
13,G#4,2.0,333/1000,103,180.0
14,E3,2.0,1333/1000,100,180.0
15,B2,2.0,1333/1000,100,180.0
16,G#2,2.0,1333/1000,100,180.0
17,A4,2.5,333/1000,100,180.0
18,A4,2.5,333/1000,103,180.0
19,D5,2.5,667/1000,100,180.0
20,B4,3.0,667/1000,100,180.0
21,B4,3.0,667/1000,103,180.0
22,E5,3.0,667/1000,100,180.0
23,G#4,4.0,667/1000,100,180.0
24,G#4,4.0,667/1000,103,180.0
25,A5,4.0,667/1000,100,180.0
26,E2,4.0,2677/1000,100,180.0
27,G#2,4.0,2677/1000,100,180.0
28,B2,4.0,2677/1000,100,180.0
29,G#4,5.0,333/1000,100,180.0
30,G#4,5.0,333/1000,103,180.0
31,C4,5.0,667/1000,100,180.0
32,G#4,5.5,333/1000,100,180.0
33,G#4,5.5,333/1000,103,180.0
34,C4,5.5,667/1000,100,180.0
35,G#4,6.0,333/1000,100,180.0
36,G#4,6.0,333/1000,103,180.0
37,G#2,6.0,1333/1000,100,180.0
38,B2,6.0,1333/1000,100,180.0
39,E3,6.0,1333/1000,100,180.0
40,A4,6.5,333/1000,100,180.0
41,A4,6.5,333/1000,103,180.0
42,D5,6.5,667/1000,100,180.0
43,B4,7.0,667/1000,100,180.0
44,B4,7.0,667/1000,103,180.0
45,E5,7.0,667/1000,100,180.0
46,F#4,8.0,667/1000,100,180.0
47,F#4,8.0,667/1000,103,180.0
48,A5,8.0,667/1000,100,180.0
49,D2,8.0,2677/1000,100,180.0
50,F#2,8.0,2677/1000,100,180.0
51,A2,8.0,2677/1000,100,180.0
52,G#4,9.0,167/1000,100,180.0
53,G#4,9.0,167/1000,103,180.0
54,F#4,9.25,167/1000,100,180.0
55,F#4,9.25,167/1000,103,180.0
56,E4,9.5,167/1000,100,180.0
57,E4,9.5,167/1000,103,180.0
58,F#4,10.0,667/1000,100,180.0
59,F#4,10.0,667/1000,103,180.0
60,A5,10.0,667/1000,100,180.0
61,G#4,11.0,83/1000,100,180.0
62,G#4,11.0,83/1000,103,180.0
63,F#4,11.25,83/1000,100,180.0
64,F#4,11.25,83/1000,103,180.0
65,E4,11.5,83/1000,100,180.0
66,E4,11.5,83/1000,103,180.0
67,F#4,12.0,667/1000,100,180.0
68,F#4,12.0,667/1000,103,180.0
69,A5,12.0,667/1000,100,180.0
70,D3,12.0,1333/1000,100,180.0
71,F#3,12.0,1333/1000,100,180.0
72,A3,12.0,1333/1000,100,180.0
73,G#4,13.0,83/1000,100,180.0
74,G#4,13.0,83/1000,103,180.0
75,F#4,13.25,83/1000,100,180.0
76,F#4,13.25,83/1000,103,180.0
77,E4,13.5,83/1000,100,180.0
78,E4,13.5,83/1000,103,180.0
79,F#4,14.0,1333/1000,100,180.0
80,F#4,14.0,1333/1000,103,180.0
81,A5,14.0,667/1000,100,180.0
82,D2,14.0,1333/1000,100,180.0
83,F#2,14.0,1333/1000,100,180.0
84,A2,14.0,1333/1000,100,180.0
85,G#4,16.0,667/1000,100,180.0
86,G#4,16.0,667/1000,103,180.0
87,A5,16.0,667/1000,100,180.0
88,E2,16.0,2677/1000,100,180.0
89,G#2,16.0,2677/1000,100,180.0
90,B2,16.0,2677/1000,100,180.0
91,G#4,17.0,333/1000,100,180.0
92,G#4,17.0,333/1000,103,180.0
93,C4,17.0,667/1000,100,180.0
94,G#4,17.5,333/1000,100,180.0
95,G#4,17.5,333/1000,103,180.0
96,C4,17.5,667/1000,100,180.0
97,G#4,18.0,333/1000,100,180.0
98,G#4,18.0,333/1000,103,180.0
99,E3,18.0,1333/1000,100,180.0
100,B2,18.0,1333/1000,100,180.0
101,G#2,18.0,1333/1000,100,180.0
