,note_name,start_time,duration,velocity,tempo
0,E-4,0.0,4.0,54,133.0
1,E-5,0.0,4.0,54,133.0
2,E-4,24.0,4.0,54,133.0
3,E-5,24.0,4.0,54,133.0
4,E-4,44.0,4.0,54,133.0
5,E-5,44.0,4.0,54,133.0
6,G#5,44.158,1537/1000,56,133.0
7,C6,45.585,1159/1000,57,133.0
8,E-6,46.849,1151/1000,58,133.0
9,G5,47.85,3/20,57,133.0
10,E-6,48.0,3/50,58,133.0
11,G5,48.0,126/125,57,133.0
12,E-4,48.0,12.0,54,133.0
13,E-5,48.0,12.0,54,133.0
14,B-5,48.903,158/125,57,133.0
15,E-6,50.272,59/40,58,133.0
16,D6,51.326,337/500,57,133.0
17,D6,60.0,4/5,57,133.0
18,F5,60.369,3631/1000,61,133.0
19,F5,64.0,149/500,61,133.0
20,E-4,68.0,4.0,61,133.0
21,E-5,68.0,4.0,61,133.0
22,E-4,76.0,4.0,61,133.0
23,E-5,76.0,4.0,61,133.0
24,C4,80.0,4.0,57,133.0
25,E-4,80.0,3757/1000,57,133.0
26,E-4,84.0,4.0,61,133.0
27,B-3,84.0,4.0,58,133.0
28,E-2,85.968,401/200,95,133.0
29,E-3,86.0,0.5,98,133.0
30,B1,86.0,1.0,112,133.0
31,C#3,86.0,1.0,112,133.0
32,E-4,86.5,0.25,98,133.0
33,E-4,87.0,0.25,98,133.0
34,B-3,87.5,0.5,98,133.0
35,D4,88.0,4.0,61,133.0
36,B-3,88.0,46.0,58,133.0
37,E-3,88.0,0.5,98,133.0
38,E-4,88.5,0.25,98,133.0
39,E-4,89.0,0.25,98,133.0
40,B-3,89.5,0.5,98,133.0
41,F4,90.0,2.0,61,133.0
42,E-3,90.0,0.5,98,133.0
43,E-4,90.5,0.25,98,133.0
44,E-4,91.0,0.25,98,133.0
45,B-3,91.5,0.5,98,133.0
46,E-3,92.0,0.5,98,133.0
47,E-4,92.5,0.25,98,133.0
48,E-4,93.0,0.25,98,133.0
49,B-3,93.5,0.5,98,133.0
50,E-4,94.0,319/1000,103,133.0
51,E-3,94.0,0.5,98,133.0
52,B-4,94.0,441/1000,103,133.0
53,E-5,94.0,441/1000,103,133.0
54,G5,94.0,441/1000,103,133.0
55,E-5,94.0,441/1000,103,133.0
56,G5,94.003,417/500,105,133.0
57,B-4,94.003,417/500,105,133.0
58,E-5,94.003,417/500,105,133.0
59,E-3,94.022,989/500,105,133.0
60,E-4,94.5,0.25,98,133.0
61,E-5,94.997,497/1000,105,133.0
62,G5,94.997,497/1000,105,133.0
63,B-4,94.997,497/1000,105,133.0
64,E-4,95.0,0.25,98,133.0
65,B-4,95.0,403/1000,103,133.0
66,G5,95.0,403/1000,103,133.0
67,E-4,95.0,403/1000,103,133.0
68,E-5,95.0,403/1000,103,133.0
69,B-3,95.5,0.5,98,133.0
70,E-5,96.0,27/40,105,133.0
71,G#5,96.0,1003/1000,105,133.0
72,C5,96.0,143/250,105,133.0
73,E-3,96.0,141/40,105,133.0
74,E-3,96.0,0.5,98,133.0
75,C5,96.0,319/500,103,133.0
76,G#5,96.0,319/500,103,133.0
77,E-5,96.0,319/500,103,133.0
78,E-4,96.5,0.25,98,133.0
79,E-5,96.984,253/500,105,133.0
80,B-4,96.984,253/500,105,133.0
81,G5,96.984,253/500,105,133.0
82,B-4,97.0,3/10,103,133.0
83,E-4,97.0,0.25,98,133.0
84,G5,97.0,0.5,103,133.0
