,note_name,start_time,duration,velocity,tempo
0,F#2,0.0,1.0,127,53.0
1,F#2,1.0,1.0,111,53.0
2,F#2,2.0,1.0,127,53.0
3,G1,3.0,0.25,63,53.0
4,G1,3.25,0.25,79,53.0
5,F#2,4.0,0.75,127,53.0
6,G4,4.0,1.0,103,53.0
7,C4,4.0,1.0,103,53.0
8,B-5,4.5,0.25,90,53.0
9,F5,4.5,0.25,90,53.0
10,D5,4.5,0.25,90,53.0
11,F#2,4.75,0.25,111,53.0
12,G5,4.75,0.25,95,53.0
13,D5,4.75,0.25,95,53.0
14,B-4,4.75,0.25,95,53.0
15,B-2,5.0,0.25,111,53.0
16,F5,5.0,3.0,100,53.0
17,C5,5.0,3.0,100,53.0
18,B-4,5.0,3.0,100,53.0
19,G#4,5.0,3.0,87,53.0
20,D4,5.0,3.0,87,53.0
21,D2,5.25,0.5,127,53.0
22,F#2,5.25,0.5,127,53.0
23,F#2,5.75,0.25,127,53.0
24,B-2,6.0,0.25,111,53.0
25,F#2,6.25,0.25,127,53.0
26,B-2,6.5,0.25,127,53.0
27,F#2,6.75,0.25,127,53.0
28,B-2,7.0,0.25,111,53.0
29,D2,7.25,0.25,127,53.0
30,F#2,7.5,0.25,127,53.0
31,F#2,8.0,1.0,127,53.0
32,G4,8.0,0.5,103,53.0
33,C4,8.0,0.5,103,53.0
34,D6,8.25,0.25,103,53.0
35,B-5,8.25,0.25,103,53.0
36,B-5,8.5,3.5,106,53.0
37,G5,8.5,3.5,106,53.0
38,D5,8.5,3.5,106,53.0
39,D2,9.0,0.75,111,53.0
40,F#2,10.0,0.25,127,53.0
41,F#2,10.5,0.25,127,53.0
42,D2,10.75,0.125,111,53.0
43,D2,10.875,0.125,111,53.0
44,D2,11.0,0.25,111,53.0
45,D2,11.25,0.25,111,53.0
46,F#2,12.0,1.0,111,53.0
47,G4,12.0,0.25,95,53.0
48,C4,12.0,0.25,95,53.0
49,B-5,12.25,0.25,87,53.0
50,F5,12.25,0.25,87,53.0
51,D5,12.25,0.25,87,53.0
52,B-4,12.25,0.25,87,53.0
53,G5,12.5,0.25,95,53.0
54,C5,12.5,0.25,95,53.0
55,G4,12.5,0.25,95,53.0
56,D5,12.75,3.0,100,53.0
57,B-4,12.75,3.0,100,53.0
58,F4,12.75,3.0,100,53.0
59,G#4,12.75,3.25,103,53.0
60,D4,12.75,3.25,103,53.0
61,D2,13.0,0.25,127,53.0
62,F#2,13.25,0.5,111,53.0
63,B-2,13.75,0.25,111,53.0
64,F#2,14.0,0.5,111,53.0
65,F#2,14.5,0.25,127,53.0
66,B-2,14.75,0.25,111,53.0
67,D2,15.0,667/1000,111,53.0
68,F#2,15.0,667/1000,111,53.0
