,note_name,start_time,duration,velocity,tempo
0,A4,3.0,123/250,125,80.0
1,D5,3.0,373/250,125,80.0
2,G2,3.0,124/125,125,80.0
3,G2,3.0,374/125,125,80.0
4,G4,3.5,123/250,125,80.0
5,D4,4.0,249/125,125,80.0
6,D3,4.0,124/125,125,80.0
7,B-4,4.5,123/250,125,80.0
8,D5,5.0,123/250,125,80.0
9,B-3,5.0,124/125,125,80.0
10,C5,5.5,123/250,125,80.0
11,A4,6.0,249/125,125,80.0
12,C2,6.0,123/250,125,80.0
13,G2,6.5,123/250,125,80.0
14,C3,7.0,123/250,125,80.0
15,C4,7.0,249/125,125,80.0
16,E-4,7.0,249/125,125,80.0
17,E-3,7.5,123/250,125,80.0
18,B-4,8.0,124/125,125,80.0
19,G3,8.0,124/125,125,80.0
20,G4,9.0,123/250,125,80.0
21,C5,9.0,373/250,125,80.0
22,D2,9.0,124/125,125,80.0
23,D2,9.0,374/125,125,80.0
24,F4,9.5,123/250,125,80.0
25,C4,10.0,249/125,125,80.0
26,A2,10.0,124/125,125,80.0
27,A4,10.5,123/250,125,80.0
28,C5,11.0,123/250,125,80.0
29,F3,11.0,124/125,125,80.0
30,B-4,11.5,123/250,125,80.0
31,G4,12.0,124/125,125,80.0
32,G2,12.0,123/250,125,80.0
33,G2,12.0,374/125,125,80.0
34,D3,12.5,123/250,125,80.0
35,G3,13.0,249/125,125,80.0
36,B-3,13.0,249/125,125,80.0
37,D4,13.0,249/125,125,80.0
38,D3,15.0,124/125,125,80.0
39,F2,15.0,123/250,125,80.0
40,F2,15.0,374/125,125,80.0
41,D2,15.0,374/125,125,80.0
42,C2,15.0,124/125,125,80.0
43,F#3,15.0,123/250,125,80.0
44,C#3,15.0,3.0,125,80.0
45,D3,15.5,123/250,125,80.0
46,F#3,15.5,123/250,125,80.0
47,A3,16.0,249/125,125,80.0
48,F#3,16.0,123/250,125,80.0
49,A3,16.0,124/125,125,80.0
50,F4,16.0,124/125,125,80.0
51,D4,16.0,124/125,125,80.0
52,C#2,16.0,124/125,125,80.0
53,C#6,16.0,124/125,125,80.0
54,F#3,16.5,123/250,125,80.0
55,F#3,17.0,123/250,125,80.0
56,D4,17.0,124/125,125,80.0
57,A3,17.0,124/125,125,80.0
58,F4,17.0,124/125,125,80.0
59,C#2,17.0,124/125,125,80.0
60,C#6,17.0,124/125,125,80.0
61,F#3,17.5,0.5,125,80.0
62,E-3,18.0,124/125,125,80.0
63,D4,18.0,123/250,125,80.0
64,E-2,18.0,374/125,125,80.0
65,E-2,18.0,374/125,125,80.0
66,C2,18.0,124/125,125,80.0
67,F#3,18.0,123/250,125,80.0
68,C#3,18.0,624/125,125,80.0
69,C4,18.5,123/250,125,80.0
70,F#3,18.5,123/250,125,80.0
71,G3,19.0,249/125,125,80.0
72,B-2,19.0,249/125,125,80.0
73,F#3,19.0,123/250,125,80.0
74,B-3,19.0,124/125,125,80.0
75,E-4,19.0,124/125,125,80.0
76,G4,19.0,124/125,125,80.0
77,C#6,19.0,124/125,125,80.0
78,C#2,19.0,124/125,125,80.0
79,F#3,19.5,123/250,125,80.0
80,F#3,20.0,123/250,125,80.0
81,G4,20.0,124/125,125,80.0
82,E-4,20.0,124/125,125,80.0
83,B-3,20.0,124/125,125,80.0
84,C#2,20.0,124/125,125,80.0
85,C#6,20.0,124/125,125,80.0
86,F#3,20.5,0.5,125,80.0
87,B-2,21.0,124/125,125,80.0
88,C4,21.0,123/250,125,80.0
89,D2,21.0,374/125,125,80.0
90,B-1,21.0,374/125,125,80.0
91,B-3,21.5,123/250,125,80.0
92,F3,22.0,249/125,125,80.0
93,B-2,22.0,249/125,125,80.0
94,D4,22.0,124/125,125,80.0
95,B-3,22.0,124/125,125,80.0
96,F4,22.0,124/125,125,80.0
97,F#3,22.992,123/250,125,80.0
98,C2,22.992,124/125,125,80.0
99,F4,23.0,124/125,125,80.0
100,B-3,23.0,124/125,125,80.0
101,D4,23.0,124/125,125,80.0
102,F#3,23.492,123/250,125,80.0
103,F#3,23.992,123/250,125,80.0
104,C#2,23.992,124/125,125,80.0
105,C#6,23.992,124/125,125,80.0
106,C3,24.0,124/125,125,80.0
107,B-3,24.0,123/250,125,80.0
108,C2,24.0,374/125,125,80.0
109,C2,24.0,374/125,125,80.0
110,F#3,24.492,123/250,125,80.0
111,A3,24.5,123/250,125,80.0
112,F#3,24.992,123/250,125,80.0
113,C#6,24.992,124/125,125,80.0
114,C#2,24.992,124/125,125,80.0
115,E-3,25.0,249/125,125,80.0
116,G2,25.0,249/125,125,80.0
117,C4,25.0,124/125,125,80.0
118,E-4,25.0,124/125,125,80.0
119,G3,25.0,124/125,125,80.0
120,F#3,25.492,123/250,125,80.0
121,C2,25.992,124/125,125,80.0
122,F#3,25.992,123/250,125,80.0
123,C4,26.0,124/125,125,80.0
124,E-4,26.0,124/125,125,80.0
125,G3,26.0,124/125,125,80.0
126,F#3,26.492,123/250,125,80.0
127,F#3,26.992,123/250,125,80.0
128,C#6,26.992,124/125,125,80.0
129,C#2,26.992,124/125,125,80.0
130,G2,27.0,124/125,125,80.0
131,B-3,27.0,373/250,125,80.0
132,A3,27.0,123/250,125,80.0
133,G2,27.0,374/125,125,80.0
134,G1,27.0,374/125,125,80.0
135,F#3,27.492,123/250,125,80.0
136,G3,27.5,123/250,125,80.0
137,F#3,27.992,123/250,125,80.0
138,C#2,27.992,124/125,125,80.0
139,C#6,27.992,124/125,125,80.0
140,D3,28.0,249/125,125,80.0
141,D4,28.0,124/125,125,80.0
142,G3,28.0,124/125,125,80.0
143,B-3,28.0,124/125,125,80.0
144,F#3,28.492,123/250,125,80.0
145,C2,28.992,124/125,125,80.0
146,F#3,28.992,123/250,125,80.0
147,D4,29.0,124/125,125,80.0
148,G3,29.0,124/125,125,80.0
149,B-3,29.0,124/125,125,80.0
150,F#3,29.492,123/250,125,80.0
151,F#3,29.992,123/250,125,80.0
152,C#6,29.992,124/125,125,80.0
153,C#2,29.992,124/125,125,80.0
154,D3,30.0,124/125,125,80.0
155,F2,30.0,123/250,125,80.0
156,F2,30.0,374/125,125,80.0
157,D2,30.0,374/125,125,80.0
158,F#3,30.492,123/250,125,80.0
159,D3,30.5,123/250,125,80.0
160,F#3,30.992,123/250,125,80.0
161,C#2,30.992,124/125,125,80.0
162,C#6,30.992,124/125,125,80.0
163,A3,31.0,249/125,125,80.0
164,A3,31.0,124/125,125,80.0
165,D4,31.0,124/125,125,80.0
166,F4,31.0,124/125,125,80.0
167,F#3,31.492,123/250,125,80.0
168,F#3,31.992,123/250,125,80.0
169,C2,31.992,124/125,125,80.0
170,D4,32.0,124/125,125,80.0
171,A3,32.0,124/125,125,80.0
172,F4,32.0,124/125,125,80.0
173,F#3,32.492,123/250,125,80.0
174,F#3,32.992,123/250,125,80.0
