,note_name,start_time,duration,velocity,tempo
0,G6,8.0,4.0,9,95.0
1,A5,8.0,4.0,9,95.0
2,D6,8.0,4.0,10,95.0
3,A5,8.0,29/500,25,95.0
4,E-3,8.25,29/500,26,95.0
5,A5,8.25,29/500,26,95.0
6,A5,8.5,29/500,27,95.0
7,D4,8.5,467/1000,14,95.0
8,F3,8.75,29/500,29,95.0
9,A5,8.75,29/500,29,95.0
10,A5,9.0,29/500,31,95.0
11,G4,9.0,467/1000,17,95.0
12,A5,9.25,29/500,33,95.0
13,E-3,9.25,29/500,33,95.0
14,A5,9.5,29/500,34,95.0
15,C5,9.5,127/250,18,95.0
16,A5,9.75,29/500,35,95.0
17,F3,9.75,29/500,35,95.0
18,A5,10.0,29/500,38,95.0
19,A4,10.0,2.0,21,95.0
20,A5,10.25,29/500,39,95.0
21,E-3,10.25,29/500,39,95.0
22,D5,10.5,0.5,20,95.0
23,A5,10.5,29/500,40,95.0
24,F3,10.75,29/500,41,95.0
25,A5,10.75,29/500,41,95.0
26,G5,11.0,433/1000,25,95.0
27,A5,11.0,29/500,44,95.0
28,A5,11.25,29/500,45,95.0
29,E-3,11.25,29/500,45,95.0
30,C6,11.5,483/1000,25,95.0
31,A5,11.5,29/500,46,95.0
32,F3,11.75,29/500,48,95.0
33,A5,11.75,29/500,48,95.0
34,C2,12.0,567/1000,40,95.0
35,G6,12.0,4.0,9,95.0
36,A5,12.0,4.0,9,95.0
37,D6,12.0,2017/1000,10,95.0
38,A5,12.0,473/250,28,95.0
39,A5,12.0,29/500,50,95.0
40,A4,12.0,83/1000,21,95.0
41,A5,12.25,29/500,52,95.0
42,E-3,12.25,29/500,52,95.0
43,A5,12.5,29/500,53,95.0
44,C#4,12.5,229/500,23,95.0
45,C2,12.75,26/125,44,95.0
46,A5,12.75,29/500,54,95.0
47,F3,12.75,29/500,54,95.0
48,C2,13.0,483/1000,47,95.0
49,A5,13.0,29/500,57,95.0
50,F#4,13.0,0.5,25,95.0
51,E-3,13.25,29/500,58,95.0
52,A5,13.25,29/500,58,95.0
53,G1,13.5,0.5,51,95.0
54,B4,13.5,21/40,31,95.0
55,F#3,13.5,29/500,59,95.0
56,A5,13.5,29/500,59,95.0
57,F3,13.75,29/500,60,95.0
58,A5,13.75,29/500,60,95.0
59,C2,14.0,321/500,57,95.0
60,C6,14.0,979/500,23,95.0
61,A5,14.0,29/500,63,95.0
62,G#4,14.0,2.0,33,95.0
63,A5,14.25,29/500,64,95.0
64,E-3,14.25,29/500,64,95.0
65,C5,14.5,483/1000,36,95.0
66,A5,14.5,29/500,66,95.0
67,C2,14.75,183/1000,60,95.0
68,F3,14.75,29/500,67,95.0
69,A5,14.75,29/500,67,95.0
70,C2,15.0,127/250,64,95.0
71,F5,15.0,127/250,37,95.0
72,A5,15.0,29/500,69,95.0
73,C3,15.0,217/1000,1,95.0
74,A5,15.25,29/500,71,95.0
75,E-3,15.25,29/500,71,95.0
76,G1,15.5,0.5,68,95.0
77,B-5,15.5,221/500,31,95.0
78,G2,15.5,83/1000,2,95.0
79,F#3,15.5,29/500,72,95.0
80,A5,15.5,29/500,72,95.0
81,F3,15.75,29/500,73,95.0
82,A5,15.75,29/500,73,95.0
83,C2,16.0,11/20,76,95.0
84,G1,16.0,1/125,68,95.0
85,B5,16.0,523/250,20,95.0
86,G6,16.0,1967/1000,9,95.0
87,A5,16.0,4.0,9,95.0
88,G5,16.0,0.5,36,95.0
89,A5,16.0,29/500,76,95.0
90,C3,16.0,7/20,6,95.0
91,E-3,16.25,29/500,77,95.0
92,A5,16.25,29/500,77,95.0
93,D6,16.5,0.5,42,95.0
94,A5,16.5,29/500,78,95.0
95,C2,16.75,167/1000,79,95.0
96,C3,16.75,23/250,5,95.0
97,F3,16.75,29/500,80,95.0
98,A5,16.75,29/500,80,95.0
99,C2,17.0,483/1000,82,95.0
100,C6,17.0,127/250,42,95.0
101,A5,17.0,29/500,82,95.0
102,C3,17.0,233/1000,9,95.0
103,A5,17.25,29/500,83,95.0
104,E-3,17.25,29/500,83,95.0
105,G1,17.5,0.5,85,95.0
106,G6,17.5,1983/1000,46,95.0
107,G2,17.5,26/125,14,95.0
