,note_name,start_time,duration,velocity,tempo
0,B1,4.0,4.0,63,116.0
1,E-3,4.0,1321/500,84,116.0
2,C#4,4.0,4.0,79,116.0
3,E-4,4.0,4.0,79,116.0
4,B-3,4.0,4.0,79,116.0
5,F#3,4.0,4.0,79,116.0
6,F#4,6.5,333/1000,79,116.0
7,F#5,7.0,333/1000,79,116.0
8,F#5,7.5,0.5,79,116.0
9,C#5,7.5,167/1000,79,116.0
10,E-5,7.75,0.25,79,116.0
11,B1,8.0,3333/1000,63,116.0
12,F#5,9.992,124/125,79,116.0
13,E-5,9.992,39/40,79,116.0
14,C#4,9.992,73/40,79,116.0
15,E-4,9.992,73/40,79,116.0
16,B-3,9.992,249/125,79,116.0
17,F#3,9.992,249/125,79,116.0
18,B-4,11.492,833/1000,79,116.0
19,F#2,11.5,333/1000,63,116.0
20,B1,12.0,4.0,63,116.0
21,E-3,12.0,1321/500,84,116.0
22,F#4,12.492,1.5,79,116.0
23,C#5,12.5,333/1000,122,116.0
24,B-4,12.5,333/1000,79,116.0
25,B-4,13.0,124/125,122,116.0
26,F#5,13.0,333/1000,79,116.0
27,C#4,13.492,123/250,79,116.0
28,B-4,13.5,333/1000,79,116.0
29,F#4,13.992,617/1000,79,116.0
30,B-3,13.992,4.0,79,116.0
31,F#3,13.992,4.0,79,116.0
32,E-4,13.992,4.0,79,116.0
33,G#4,14.0,333/1000,79,116.0
34,G#4,14.5,833/1000,122,116.0
35,F5,14.5,833/1000,79,116.0
36,F#4,15.5,0.5,123,116.0
37,G#4,15.5,333/1000,79,116.0
38,F4,16.0,373/250,126,116.0
39,F#4,16.0,123/250,123,116.0
40,G#4,16.0,333/1000,79,116.0
41,B1,16.0,79/40,63,116.0
42,F5,16.5,333/1000,79,116.0
43,F#4,17.0,333/1000,79,116.0
44,E-4,17.5,226/125,127,116.0
45,E-5,17.5,226/125,79,116.0
46,B-3,17.992,1321/500,79,116.0
47,F#3,17.992,1321/500,79,116.0
48,E-4,17.992,1321/500,79,116.0
49,F#1,19.0,667/1000,63,116.0
50,B1,20.0,4.0,63,116.0
51,E-3,20.0,1321/500,84,116.0
52,F#1,20.458,533/1000,82,116.0
53,F#2,20.992,817/1000,95,116.0
54,F#1,21.492,0.5,89,116.0
55,F#1,21.992,133/1000,89,116.0
56,C#4,21.992,499/125,79,116.0
57,B-3,21.992,499/125,79,116.0
58,F#3,21.992,499/125,79,116.0
59,E-4,21.992,499/125,79,116.0
60,B1,24.0,3333/1000,63,116.0
61,F#5,24.492,833/1000,79,116.0
62,C#5,25.492,1/10,79,116.0
63,C5,25.658,1/10,79,116.0
64,B4,25.825,1/10,79,116.0
65,B-4,25.992,1.0,79,116.0
66,F#4,27.492,333/1000,79,116.0
67,F#2,27.5,333/1000,63,116.0
68,F#4,27.992,329/500,79,116.0
69,C#4,27.992,329/500,79,116.0
70,B1,28.0,4.0,63,116.0
71,E-3,28.0,0.625,84,116.0
72,C#5,28.5,333/1000,122,116.0
73,B-4,28.5,333/1000,79,116.0
74,E-4,28.658,329/500,79,116.0
75,F#4,28.658,329/500,79,116.0
76,B-4,29.0,124/125,122,116.0
77,F#5,29.0,333/1000,79,116.0
78,G#3,29.492,417/1000,79,116.0
79,B-4,29.5,333/1000,79,116.0
80,B-3,29.992,4.0,79,116.0
81,G#4,30.0,333/1000,79,116.0
82,G#4,30.5,833/1000,122,116.0
83,F5,30.5,833/1000,79,116.0
84,F#4,31.5,0.5,123,116.0
85,G#4,31.5,333/1000,79,116.0
86,F4,32.0,373/250,126,116.0
87,F#4,32.0,123/250,123,116.0
88,G#4,32.0,333/1000,79,116.0
89,B1,32.0,2333/1000,63,116.0
90,F5,32.5,333/1000,79,116.0
91,F#4,33.0,333/1000,79,116.0
92,E-4,33.5,226/125,127,116.0
93,E-5,33.5,226/125,79,116.0
94,B-3,33.992,327/250,79,116.0
95,F#1,34.5,333/1000,63,116.0
96,F#1,35.5,333/1000,63,116.0
97,C2,35.5,0.5,84,116.0
98,E-3,35.5,0.5,84,116.0
99,B-3,36.0,333/1000,79,116.0
100,B1,36.0,1.0,79,116.0
101,C2,36.0,667/1000,84,116.0
102,E-3,36.0,0.5,84,116.0
103,F#1,36.467,567/1000,95,116.0
104,F#3,36.492,333/1000,79,116.0
105,B3,36.5,333/1000,79,116.0
106,E-3,36.5,0.5,84,116.0
107,F#2,36.992,667/1000,111,116.0
108,F#4,36.992,333/1000,79,116.0
109,B-3,37.0,333/1000,79,116.0
110,G#2,37.0,667/1000,84,116.0
111,E-3,37.0,0.5,84,116.0
112,F#1,37.492,9/20,92,116.0
113,F#3,37.492,333/1000,79,116.0
114,G#3,37.5,1.5,79,116.0
115,F#2,37.5,1167/1000,79,116.0
116,E-3,37.5,0.5,84,116.0
117,B-3,37.992,129/500,75,116.0
118,E-4,37.992,129/500,75,116.0
119,B-1,37.992,129/500,75,116.0
120,E-3,38.0,0.5,84,116.0
121,B3,38.492,333/1000,79,116.0
122,E-3,38.5,0.5,84,116.0
123,B-3,38.992,333/1000,79,116.0
124,F#1,39.0,333/1000,79,116.0
125,G#2,39.0,667/1000,84,116.0
126,E-3,39.0,0.5,84,116.0
127,G#3,39.492,1.5,79,116.0
128,E-4,39.492,1.5,79,116.0
129,B-3,39.5,0.5,79,116.0
130,B1,39.5,0.5,79,116.0
131,E-3,39.5,0.5,84,116.0
132,B-3,40.0,667/1000,79,116.0
133,B1,40.0,1.0,79,116.0
134,C2,40.0,667/1000,84,116.0
135,E-3,40.0,0.5,84,116.0
136,E-3,40.5,0.5,84,116.0
137,B3,41.0,667/1000,79,116.0
138,G#2,41.0,667/1000,84,116.0
139,E-3,41.0,0.5,84,116.0
140,B-3,41.492,0.5,79,116.0
141,E-4,41.492,0.5,79,116.0
142,F#2,41.5,333/1000,79,116.0
143,E-3,41.5,0.5,84,116.0
144,B-3,41.992,667/1000,79,116.0
145,E-4,41.992,667/1000,79,116.0
146,C#4,42.0,333/1000,79,116.0
147,B2,42.0,667/1000,79,116.0
148,E-3,42.0,0.5,84,116.0
149,E-4,42.5,367/1000,79,116.0
150,E-3,42.5,0.5,84,116.0
151,B3,42.992,667/1000,79,116.0
152,E-4,42.992,667/1000,79,116.0
153,F#2,43.0,333/1000,79,116.0
154,G#2,43.0,667/1000,84,116.0
155,E-3,43.0,0.5,84,116.0
156,E4,43.5,0.5,79,116.0
157,B1,43.5,0.5,79,116.0
158,E-3,43.5,0.5,84,116.0
159,C#4,43.992,333/1000,79,116.0
160,E4,44.0,327/250,79,116.0
161,B1,44.0,1.0,79,116.0
162,C2,44.0,667/1000,84,116.0
163,E-3,44.0,0.5,84,116.0
164,E-4,44.492,333/1000,79,116.0
165,E6,44.5,1/10,95,116.0
166,E-3,44.5,0.5,84,116.0
167,D6,44.667,1/10,95,116.0
168,C#6,44.833,1/10,95,116.0
169,A5,45.0,577/250,95,116.0
170,G#2,45.0,667/1000,84,116.0
171,E-3,45.0,0.5,84,116.0
172,D4,45.492,0.5,79,116.0
173,F#3,45.492,0.5,79,116.0
174,A3,45.492,0.5,79,116.0
175,C#4,45.492,0.5,79,116.0
176,E4,45.492,0.5,79,116.0
177,F#2,45.5,333/1000,79,116.0
178,E-3,45.5,0.5,84,116.0
179,D4,45.992,79/40,79,116.0
180,F#3,45.992,79/40,79,116.0
181,A3,45.992,79/40,79,116.0
182,C#4,45.992,79/40,79,116.0
183,E4,45.992,79/40,79,116.0
184,B2,46.0,667/1000,79,116.0
185,E-3,46.0,0.5,84,116.0
186,E-3,46.5,0.5,84,116.0
187,E4,47.0,667/1000,79,116.0
188,B1,47.0,667/1000,79,116.0
189,G#2,47.0,667/1000,84,116.0
190,E-3,47.0,0.5,84,116.0
191,E-3,47.5,0.5,84,116.0
192,E-4,48.0,327/250,79,116.0
193,F#2,48.0,327/250,79,116.0
194,C2,48.0,667/1000,84,116.0
195,E-3,48.0,0.5,84,116.0
196,E-3,48.5,0.5,84,116.0
197,C#4,48.992,667/1000,79,116.0
198,A3,48.992,667/1000,79,116.0
199,E4,48.992,667/1000,79,116.0
200,G#2,49.0,667/1000,84,116.0
201,E-3,49.0,0.5,84,116.0
202,E-3,49.5,0.5,84,116.0
203,F#3,49.992,327/250,79,116.0
204,B3,49.992,327/250,79,116.0
205,E-4,49.992,327/250,79,116.0
206,B3,50.0,327/250,79,116.0
207,E2,50.0,667/1000,79,116.0
208,E-3,50.0,0.5,84,116.0
209,E-3,50.5,0.5,84,116.0
210,E1,51.0,667/1000,79,116.0
211,G#2,51.0,667/1000,84,116.0
212,E-3,51.0,0.5,84,116.0
213,E-3,51.5,0.5,84,116.0
214,F#3,51.992,327/250,79,116.0
215,G#3,51.992,327/250,79,116.0
216,B3,51.992,327/250,79,116.0
217,E4,52.0,79/40,79,116.0
218,B1,52.0,4.0,63,116.0
219,C2,52.0,667/1000,84,116.0
220,E-3,52.0,0.5,84,116.0
221,E-3,52.5,0.5,84,116.0
222,G#2,53.0,667/1000,84,116.0
223,E-3,53.0,0.5,84,116.0
224,E6,53.5,2317/1000,57,116.0
225,E-3,53.5,0.5,84,116.0
226,D6,53.667,274/125,95,116.0
227,C#6,53.833,43/20,108,116.0
228,D4,53.992,4.0,79,116.0
229,F#3,53.992,4.0,79,116.0
230,E4,53.992,4.0,79,116.0
231,A3,53.992,4.0,79,116.0
232,C#4,53.992,4.0,79,116.0
233,A5,54.0,2.0,88,116.0
234,E-3,54.0,0.5,84,116.0
235,E-3,54.5,0.5,84,116.0
236,E5,54.542,327/250,40,116.0
237,D5,54.667,323/250,71,116.0
238,C#5,54.833,571/500,79,116.0
239,A4,55.0,1.0,106,116.0
240,G#2,55.0,667/1000,84,116.0
241,E-3,55.0,0.5,84,116.0
242,E-3,55.5,0.5,84,116.0
243,E4,55.625,0.375,76,116.0
244,D4,55.775,9/40,78,116.0
245,C#4,55.775,9/40,78,116.0
246,A3,55.925,3/40,104,116.0
247,A3,56.0,1321/500,79,116.0
248,A3,56.0,2017/1000,104,116.0
249,A5,56.0,17/1000,88,116.0
250,A4,56.0,1/125,106,116.0
251,E4,56.0,1917/1000,76,116.0
252,B1,56.0,479/500,63,116.0
253,C2,56.0,667/1000,84,116.0
254,E-3,56.0,0.5,84,116.0
255,D4,56.0,19/10,78,116.0
256,C#4,56.0,19/10,78,116.0
257,E-3,56.5,0.5,84,116.0
258,G#2,57.0,667/1000,84,116.0
259,E-3,57.0,0.5,84,116.0
260,B2,57.5,0.25,95,116.0
261,E-3,57.5,0.5,84,116.0
262,C#3,57.75,0.25,95,116.0
263,B2,58.0,667/1000,95,116.0
264,E-3,58.0,0.5,84,116.0
265,E-3,58.5,0.5,84,116.0
266,B1,59.0,667/1000,63,116.0
267,G#2,59.0,667/1000,84,116.0
268,E-3,59.0,0.5,84,116.0
269,E-3,59.5,0.5,84,116.0
270,D4,59.967,79/40,79,116.0
271,F#3,59.967,79/40,79,116.0
272,E4,59.967,79/40,79,116.0
273,A3,59.967,79/40,79,116.0
274,C#4,59.967,79/40,79,116.0
275,C2,60.0,4.0,63,116.0
276,C2,60.0,667/1000,84,116.0
277,E-3,60.0,0.5,84,116.0
278,E-3,60.5,0.5,84,116.0
279,E4,61.0,333/1000,79,116.0
280,G#2,61.0,667/1000,84,116.0
281,E-3,61.0,0.5,84,116.0
282,A5,61.5,83/1000,95,116.0
283,D4,61.5,333/1000,79,116.0
284,E-3,61.5,0.5,84,116.0
285,G5,61.625,83/1000,95,116.0
286,F#5,61.75,83/1000,95,116.0
287,E5,61.875,83/1000,95,116.0
288,B5,62.0,1.0,95,116.0
289,B3,62.0,333/1000,79,116.0
290,E-3,62.0,0.5,84,116.0
291,A3,62.5,833/1000,79,116.0
292,E-3,62.5,0.5,84,116.0
293,D4,62.967,124/125,79,116.0
294,G#2,63.0,667/1000,84,116.0
295,E-3,63.0,0.5,84,116.0
296,A4,63.5,83/1000,95,116.0
297,B3,63.5,333/1000,79,116.0
298,E-3,63.5,0.5,84,116.0
299,G4,63.625,83/1000,95,116.0
300,F#4,63.75,83/1000,95,116.0
301,E4,63.875,83/1000,95,116.0
302,B3,63.967,4.0,79,116.0
303,G3,63.967,4.0,79,116.0
304,E4,63.967,4.0,79,116.0
305,B4,64.0,1321/500,79,116.0
306,C2,64.0,1.0,63,116.0
307,G3,64.0,667/1000,79,116.0
308,C2,64.0,667/1000,84,116.0
309,E-3,64.0,0.5,84,116.0
310,E-3,64.5,0.5,84,116.0
311,D3,65.0,577/250,79,116.0
312,G#2,65.0,667/1000,84,116.0
313,E-3,65.0,0.5,84,116.0
314,G2,65.5,0.25,95,116.0
315,E-3,65.5,0.5,84,116.0
316,A2,65.75,0.25,95,116.0
317,G2,66.0,667/1000,95,116.0
318,E-3,66.0,0.5,84,116.0
319,E-3,66.5,0.5,84,116.0
320,C2,67.0,667/1000,63,116.0
321,G#2,67.0,667/1000,84,116.0
322,E-3,67.0,0.5,84,116.0
323,E-3,67.5,0.5,84,116.0
324,D2,68.0,4.0,79,116.0
325,E4,68.0,3/40,7,116.0
326,C2,68.0,667/1000,84,116.0
327,E-3,68.0,0.5,84,116.0
328,D4,68.083,3/40,7,116.0
329,B3,68.167,3/40,7,116.0
330,E4,68.25,3/40,7,116.0
331,D4,68.333,3/40,7,116.0
332,B3,68.417,3/40,7,116.0
333,E4,68.5,3/40,7,116.0
