,note_name,start_time,duration,velocity,tempo
0,F#2,0.0,0.406,127,120.0
1,F#2,1.0,0.406,127,120.0
2,F#2,2.0,417/1000,127,120.0
3,F#2,3.0,177/1000,127,120.0
4,B1,3.667,0.094,127,120.0
5,F3,3.688,0.312,96,120.0
6,F5,3.969,0.031,127,120.0
7,F5,4.0,123/200,127,120.0
8,F3,4.0,177/250,96,120.0
9,B-2,4.0,1.156,121,120.0
10,E-3,4.0,99/250,127,120.0
11,F5,4.01,73/200,127,120.0
12,B-3,4.01,99/250,127,120.0
13,D4,4.01,0.531,127,120.0
14,F4,4.01,667/1000,127,120.0
15,F4,4.021,667/1000,118,120.0
16,B-2,4.021,99/100,127,120.0
17,B-3,4.021,0.969,124,120.0
18,F3,4.021,0.969,124,120.0
19,D4,4.031,0.594,123,120.0
20,D4,4.667,151/500,120,120.0
21,D5,4.667,151/500,120,120.0
22,B-3,4.677,23/200,105,120.0
23,B-4,4.99,0.125,124,120.0
24,F5,4.99,0.125,124,120.0
25,D5,4.99,0.125,124,120.0
26,D4,4.99,0.125,124,120.0
27,F5,5.0,323/500,127,120.0
28,F4,5.0,0.719,118,120.0
29,D2,5.0,99/250,127,120.0
30,E-3,5.0,99/250,127,120.0
31,B-3,5.01,229/1000,127,120.0
32,D4,5.01,0.375,127,120.0
33,F4,5.01,0.375,127,120.0
34,F3,5.021,73/500,127,120.0
35,B-2,5.667,6/25,121,120.0
36,D5,5.667,323/1000,120,120.0
37,D4,5.667,323/1000,120,120.0
38,B-4,5.677,0.062,92,120.0
39,F4,5.677,0.594,109,120.0
40,D4,5.677,599/500,92,120.0
41,F3,5.677,229/1000,116,120.0
42,B-3,5.708,31/25,83,120.0
43,G3,5.885,227/200,12,120.0
44,G5,5.99,1177/1000,127,120.0
45,D5,5.99,0.5,127,120.0
46,B-4,5.99,0.5,127,120.0
47,B-3,6.0,323/1000,127,120.0
48,G2,6.0,1229/1000,125,120.0
49,E-3,6.0,333/1000,127,120.0
50,G5,6.0,0.656,124,120.0
51,G4,6.0,0.656,124,120.0
52,G4,6.0,583/1000,127,120.0
53,D4,6.0,583/1000,127,120.0
54,D3,6.021,979/1000,99,120.0
55,G2,6.021,173/200,101,120.0
56,F4,6.625,177/1000,101,120.0
57,A5,6.656,177/500,124,120.0
58,A4,6.656,177/500,124,120.0
59,B-3,6.667,13/250,101,120.0
60,B-4,6.969,27/200,127,120.0
61,D5,6.969,27/200,127,120.0
62,G5,6.979,0.688,124,120.0
63,G4,6.979,0.688,124,120.0
64,D2,7.0,333/1000,127,120.0
65,E-3,7.0,0.188,127,120.0
66,B-3,7.01,0.281,127,120.0
67,G4,7.01,127/200,127,120.0
68,D4,7.01,99/250,127,120.0
69,F#4,7.635,13/50,122,120.0
70,F#5,7.635,13/50,122,120.0
71,D4,7.656,0.344,78,120.0
72,B-3,7.656,73/1000,85,120.0
73,F3,7.656,0.344,107,120.0
74,G2,7.667,229/1000,125,120.0
75,F5,7.958,21/500,122,120.0
76,F4,7.958,21/500,122,120.0
77,B-3,7.979,21/1000,127,120.0
78,D5,7.99,1/100,127,120.0
79,F4,7.99,1/100,127,120.0
80,D4,7.99,1/100,127,120.0
81,B-2,7.99,1/100,114,120.0
82,B-4,7.99,1/100,116,120.0
83,F5,7.99,1/100,116,120.0
84,F3,7.99,1/100,94,120.0
85,B-3,7.99,1/100,94,120.0
86,D4,8.0,223/200,78,120.0
87,D5,8.0,0.312,127,120.0
88,B-3,8.0,0.312,127,120.0
89,F3,8.0,0.938,107,120.0
90,F4,8.0,123/200,127,120.0
91,D4,8.0,0.531,127,120.0
92,B-2,8.0,927/1000,114,120.0
93,B-2,8.0,0.938,121,120.0
94,E-3,8.0,229/1000,127,120.0
95,B-4,8.0,0.469,116,120.0
96,F5,8.0,0.469,116,120.0
97,F3,8.0,237/250,94,120.0
98,B-3,8.0,237/250,94,120.0
99,F5,8.0,0.625,122,120.0
100,F4,8.0,0.625,122,120.0
101,D4,8.656,333/1000,115,120.0
102,D5,8.667,26/125,125,120.0
103,B-3,8.667,13/250,69,120.0
104,B-3,8.99,229/1000,127,120.0
105,F4,8.99,56/125,127,120.0
106,D4,8.99,56/125,127,120.0
107,A2,9.0,917/1000,121,120.0
108,D2,9.0,333/1000,127,120.0
109,E-3,9.0,0.531,127,120.0
110,F5,9.021,323/500,122,120.0
111,F4,9.021,323/500,122,120.0
112,B-4,9.042,0.156,127,120.0
113,D5,9.042,73/250,122,120.0
114,F5,9.042,73/250,122,120.0
115,D4,9.656,333/1000,115,120.0
116,D5,9.656,6/25,125,120.0
117,F3,9.667,13/50,97,120.0
118,B-3,9.667,21/500,80,120.0
119,E-3,9.667,73/500,127,120.0
120,F4,9.688,401/250,109,120.0
121,B-3,9.99,0.25,127,120.0
122,G4,9.99,19/25,124,120.0
123,G5,9.99,19/25,124,120.0
124,G4,9.99,0.562,124,120.0
125,D4,9.99,0.562,124,120.0
126,G2,10.0,1.0,125,120.0
127,E-3,10.0,0.281,127,120.0
128,D5,10.01,151/500,127,120.0
129,G2,10.01,177/200,121,120.0
130,B-4,10.021,77/200,127,120.0
131,G5,10.021,1229/1000,127,120.0
132,D4,10.031,1729/1000,74,120.0
133,G3,10.042,1.625,83,120.0
134,B-3,10.042,1.625,83,120.0
135,B-3,10.667,73/1000,114,120.0
136,D2,10.667,333/1000,127,120.0
137,A5,10.677,271/1000,127,120.0
138,A4,10.688,0.344,121,120.0
139,B-5,10.99,0.656,124,120.0
140,B-4,10.99,0.656,124,120.0
141,D2,11.0,979/1000,127,120.0
142,D2,11.0,333/1000,127,120.0
143,E-3,11.0,69/125,127,120.0
144,B-3,11.01,6/25,127,120.0
145,B-4,11.01,167/1000,127,120.0
146,D5,11.01,167/1000,127,120.0
147,D4,11.01,0.531,127,120.0
148,G4,11.01,0.531,127,120.0
149,G5,11.656,73/250,124,120.0
150,G4,11.656,73/250,124,120.0
151,B-3,11.667,83/1000,96,120.0
152,G3,11.667,333/1000,90,120.0
153,E-3,11.667,0.125,127,120.0
154,F4,11.677,83/1000,90,120.0
155,C6,12.0,1.469,127,120.0
156,C3,12.0,521/500,105,120.0
157,C2,12.0,1.188,127,120.0
158,E-3,12.0,151/500,127,120.0
159,B1,12.0,26/125,127,120.0
160,G4,12.0,177/500,127,120.0
161,B-3,12.0,177/500,127,120.0
162,E4,12.0,177/500,127,120.0
163,B-5,12.01,0.469,127,120.0
164,G5,12.01,0.469,127,120.0
165,E5,12.01,0.469,127,120.0
166,C5,12.01,2573/1000,125,120.0
167,C6,12.01,2573/1000,125,120.0
168,E4,12.021,223/200,70,120.0
169,G3,12.021,223/200,70,120.0
170,B-3,12.031,151/125,76,120.0
171,C4,12.042,1.844,76,120.0
172,D2,13.0,73/200,127,120.0
173,E-3,13.0,73/200,127,120.0
174,B-3,13.01,229/1000,127,120.0
175,E4,13.01,69/125,127,120.0
176,G4,13.01,349/500,127,120.0
177,B-5,13.052,27/200,127,120.0
178,E5,13.052,27/200,127,120.0
179,G5,13.052,27/200,127,120.0
180,B-3,13.667,0.062,105,120.0
181,E-3,13.667,0.5,111,120.0
182,C2,13.667,6/25,127,120.0
183,F4,13.698,323/250,107,120.0
184,F2,14.0,1167/1000,127,120.0
185,F4,14.0,0.344,127,120.0
186,E-4,14.0,0.344,127,120.0
187,A3,14.0,0.344,127,120.0
188,E-3,14.0,73/200,127,120.0
189,B1,14.0,73/200,127,120.0
190,F2,14.021,771/1000,120,120.0
191,E-5,14.042,0.562,127,120.0
192,A5,14.042,49/100,127,120.0
193,C6,14.042,417/1000,120,120.0
194,A3,14.042,1.125,76,120.0
195,E-4,14.042,1.125,76,120.0
196,C4,14.042,1.125,76,120.0
197,B5,14.667,271/1000,125,120.0
198,B4,14.667,271/1000,125,120.0
199,B5,14.677,271/1000,87,120.0
200,E-3,14.688,0.25,102,120.0
201,C5,14.938,0.969,125,120.0
202,C6,14.938,0.969,125,120.0
203,B5,14.99,0.062,127,120.0
204,C6,15.0,56/125,127,120.0
205,E-5,15.0,0.312,127,120.0
206,D2,15.0,333/1000,127,120.0
207,E-3,15.0,69/125,127,120.0
208,E-4,15.01,99/250,127,120.0
209,F4,15.01,99/250,127,120.0
210,A3,15.021,0.375,127,120.0
211,F3,15.646,177/500,86,120.0
212,F4,15.656,0.344,90,120.0
213,F2,15.667,6/25,127,120.0
214,B-5,15.979,21/1000,116,120.0
215,F5,15.979,21/1000,116,120.0
216,D5,15.979,21/1000,116,120.0
217,B-3,15.979,21/1000,116,120.0
218,D4,15.979,21/1000,116,120.0
219,B-3,15.99,1/100,127,120.0
220,F4,15.99,1/100,127,120.0
221,D4,15.99,1/100,127,120.0
222,F4,16.0,0.062,90,120.0
223,B-2,16.0,229/1000,116,120.0
224,F3,16.0,0.062,86,120.0
225,B-1,16.0,667/1000,127,120.0
226,B1,16.0,26/125,127,120.0
227,B-5,16.0,83/1000,116,120.0
228,F5,16.0,83/1000,116,120.0
229,D5,16.0,83/1000,116,120.0
230,B-3,16.0,83/1000,116,120.0
231,D4,16.0,83/1000,116,120.0
232,B-4,16.0,0.344,124,120.0
233,B-5,16.0,0.344,124,120.0
234,B-3,16.0,177/500,127,120.0
235,F4,16.0,177/500,127,120.0
236,D4,16.0,177/500,127,120.0
237,F3,16.656,0.156,91,120.0
238,D2,16.667,333/1000,127,120.0
239,A4,16.958,1.0,124,120.0
240,A5,16.958,1.0,124,120.0
241,A3,16.99,927/1000,125,120.0
242,F4,16.99,927/1000,125,120.0
243,F2,16.99,927/1000,125,120.0
244,F1,17.0,177/200,127,120.0
245,B1,17.0,23/200,127,120.0
246,D2,17.0,333/1000,127,120.0
247,F3,17.01,177/200,112,120.0
248,F5,17.01,177/200,112,120.0
249,E-4,17.01,1083/1000,106,120.0
250,A5,17.01,1083/1000,106,120.0
251,C5,17.021,0.844,107,120.0
252,B1,17.667,0.094,127,120.0
253,G5,17.979,101/100,124,120.0
254,G4,17.979,101/100,124,120.0
255,G1,18.0,979/1000,127,120.0
256,A2,18.0,333/1000,127,120.0
257,E4,18.0,323/1000,125,120.0
258,C#4,18.0,323/1000,125,120.0
259,E-5,18.031,73/250,112,120.0
260,G5,18.031,73/250,112,120.0
261,G3,18.031,73/250,112,120.0
262,A2,18.333,333/1000,127,120.0
263,A2,18.667,333/1000,127,120.0
264,E-5,18.99,177/1000,122,120.0
265,F#5,18.99,177/1000,122,120.0
266,A1,19.0,729/1000,127,120.0
267,F2,19.0,333/1000,127,120.0
268,E-4,19.0,99/250,127,120.0
269,C4,19.0,99/250,127,120.0
270,A4,19.01,229/1000,80,120.0
271,A3,19.01,229/1000,80,120.0
272,F#5,19.021,917/1000,122,120.0
273,F#4,19.021,917/1000,122,120.0
274,F3,19.656,333/1000,107,120.0
275,F2,19.667,333/1000,127,120.0
276,B1,19.667,0.125,127,120.0
277,F5,19.958,21/500,122,120.0
278,F4,19.958,21/500,122,120.0
279,F5,19.99,1/100,93,120.0
280,F4,19.99,1/100,127,120.0
281,D4,19.99,1/100,127,120.0
282,B-3,19.99,1/100,127,120.0
283,F5,20.0,651/500,93,120.0
284,B-2,20.0,151/125,120,120.0
285,B-1,20.0,1.188,127,120.0
286,C#3,20.0,167/1000,127,120.0
287,D5,20.0,0.531,108,120.0
288,B-4,20.0,0.531,108,120.0
289,F5,20.0,99/100,122,120.0
290,F4,20.0,99/100,122,120.0
291,F4,20.0,151/500,127,120.0
292,D4,20.0,151/500,127,120.0
293,B-3,20.0,151/500,127,120.0
294,B-3,20.031,823/500,90,120.0
295,D4,20.042,1.094,49,120.0
296,D2,21.0,333/1000,127,120.0
297,E-3,21.0,0.438,127,120.0
298,F4,21.0,123/200,127,120.0
299,D4,21.0,123/200,127,120.0
300,B-3,21.01,26/125,127,120.0
301,B-4,21.031,167/1000,127,120.0
302,D5,21.031,167/1000,127,120.0
303,B-3,21.667,177/1000,105,120.0
304,B-1,21.667,0.219,127,120.0
305,E-3,21.667,0.062,127,120.0
306,D4,21.677,181/125,55,120.0
307,A4,21.99,0.5,58,120.0
308,F2,22.0,181/125,127,120.0
309,B-3,22.0,583/1000,117,120.0
310,F4,22.0,583/1000,117,120.0
311,D4,22.0,583/1000,117,120.0
312,E-3,22.0,99/250,127,120.0
313,B1,22.0,99/250,127,120.0
314,F5,22.01,1.344,83,120.0
315,A3,22.01,151/500,111,120.0
316,A3,22.01,224/125,84,120.0
317,F3,22.01,224/125,84,120.0
318,D5,22.021,0.656,96,120.0
319,A3,22.688,0.062,63,120.0
320,D2,23.0,333/1000,127,120.0
321,E-3,23.0,271/500,127,120.0
322,A3,23.01,13/50,127,120.0
323,F4,23.01,99/100,127,120.0
324,D4,23.01,323/500,127,120.0
325,B-3,23.01,0.5,127,120.0
326,A4,23.01,23/200,127,120.0
327,D5,23.01,23/200,127,120.0
328,A3,23.656,0.156,74,120.0
329,E-3,23.667,0.156,127,120.0
330,D4,23.677,323/1000,66,120.0
331,B-3,23.99,1/100,67,120.0
332,G3,23.99,1/100,102,120.0
333,B-3,23.99,1/100,121,120.0
334,D4,23.99,1/100,121,120.0
335,D4,24.0,1083/1000,66,120.0
336,B-3,24.0,573/500,67,120.0
337,G3,24.0,73/250,102,120.0
338,F4,24.0,0.562,127,120.0
339,B-1,24.0,1.125,127,120.0
340,E-3,24.0,0.469,127,120.0
341,B-3,24.0,69/125,121,120.0
342,D4,24.0,69/125,121,120.0
343,F5,24.01,1.25,76,120.0
344,D5,24.01,69/125,101,120.0
345,G4,24.01,271/500,103,120.0
346,B-4,24.01,271/500,103,120.0
347,G3,24.042,101/100,49,120.0
348,D2,25.0,333/1000,127,120.0
349,E-3,25.0,0.562,127,120.0
350,F4,25.01,0.812,127,120.0
351,G3,25.01,6/25,111,120.0
352,D4,25.01,0.531,127,120.0
353,B-3,25.01,0.531,127,120.0
354,B-4,25.031,99/500,125,120.0
355,G4,25.031,99/500,125,120.0
356,D5,25.031,99/500,125,120.0
357,G3,25.646,0.125,92,120.0
358,B-1,25.667,0.219,127,120.0
359,E-3,25.667,0.156,127,120.0
360,D4,25.677,1479/1000,66,120.0
361,G#3,25.99,0.344,127,120.0
362,F4,25.99,151/250,119,120.0
363,D4,25.99,151/250,119,120.0
364,B3,25.99,151/250,119,120.0
365,B1,26.0,31/25,127,120.0
366,E-3,26.0,73/200,127,120.0
367,G#4,26.021,73/200,111,120.0
368,F5,26.031,1229/1000,93,120.0
369,B4,26.031,177/1000,102,120.0
370,D5,26.031,177/1000,102,120.0
371,G#3,26.031,237/250,86,120.0
372,B3,26.031,237/250,86,120.0
373,G#3,26.667,23/200,104,120.0
374,D2,27.0,333/1000,127,120.0
375,E-3,27.0,0.562,127,120.0
376,F4,27.01,0.781,127,120.0
377,G#3,27.01,13/50,127,120.0
378,G#4,27.01,0.156,126,120.0
379,D5,27.01,0.156,126,120.0
380,B4,27.01,0.156,126,120.0
381,D4,27.01,123/200,127,120.0
382,B3,27.01,123/200,127,120.0
383,B1,27.667,73/500,127,120.0
384,E-3,27.667,167/1000,127,120.0
385,E-4,27.677,323/1000,81,120.0
386,G#3,27.677,13/125,102,120.0
387,B-3,27.969,0.031,60,120.0
388,C4,27.969,0.031,60,120.0
389,G3,27.969,0.031,60,120.0
390,F4,27.99,1/100,127,120.0
391,E-4,27.99,1/100,127,120.0
392,B-3,27.99,1/100,127,120.0
393,E-4,28.0,1.312,81,120.0
394,C2,28.0,1323/1000,127,120.0
395,E-3,28.0,333/1000,127,120.0
396,B-3,28.0,1177/1000,60,120.0
397,C4,28.0,1177/1000,60,120.0
398,G3,28.0,1177/1000,60,120.0
399,F4,28.0,177/500,127,120.0
400,E-4,28.0,177/500,127,120.0
401,B-3,28.0,177/500,127,120.0
402,F5,28.01,2427/1000,96,120.0
403,B-4,28.021,26/125,121,120.0
404,G4,28.021,73/200,90,120.0
405,B-3,29.0,56/125,127,120.0
406,F4,29.0,771/1000,127,120.0
407,E-4,29.0,771/1000,127,120.0
408,D2,29.0,333/1000,127,120.0
409,E-3,29.0,333/1000,127,120.0
410,B-4,29.042,151/100,117,120.0
411,G4,29.042,151/100,117,120.0
412,B-3,29.635,0.156,34,120.0
413,C2,30.0,1.5,127,120.0
414,E-3,30.0,77/200,127,120.0
415,B-3,30.01,0.562,127,120.0
416,E-4,30.01,677/1000,127,120.0
417,F4,30.01,677/1000,127,120.0
418,E-4,30.031,573/500,68,120.0
419,B-3,30.031,521/500,73,120.0
420,G3,30.031,521/500,73,120.0
421,C4,30.031,521/500,73,120.0
422,E5,30.688,271/1000,78,120.0
423,D2,31.0,333/1000,127,120.0
424,E-3,31.0,521/1000,127,120.0
425,F4,31.01,833/1000,127,120.0
426,B-4,31.01,99/500,123,120.0
427,F5,31.01,99/500,123,120.0
428,G4,31.01,99/500,123,120.0
429,E-4,31.01,0.344,127,120.0
430,B-3,31.01,0.344,127,120.0
431,E-3,31.667,167/1000,127,120.0
432,E-5,31.677,323/1000,127,120.0
433,A3,31.677,83/1000,63,120.0
434,A4,31.677,323/1000,115,120.0
435,F4,31.677,323/1000,115,120.0
436,F3,32.0,1.125,114,120.0
437,E-5,32.0,1479/500,127,120.0
438,F2,32.0,1229/1000,127,120.0
439,E-3,32.0,0.312,127,120.0
440,E-4,32.0,323/250,94,120.0
441,C4,32.0,323/250,94,120.0
442,A4,32.0,73/200,115,120.0
443,F4,32.0,73/200,115,120.0
444,E-4,32.0,521/1000,127,120.0
445,C4,32.0,521/1000,127,120.0
446,A3,32.0,521/1000,127,120.0
447,C4,32.0,521/1000,127,120.0
448,D2,33.0,333/1000,127,120.0
449,E-3,33.0,0.469,127,120.0
450,C4,33.01,521/1000,127,120.0
451,A4,33.021,677/500,120,120.0
452,E-4,33.021,1.625,127,120.0
453,A3,33.021,0.375,127,120.0
454,F4,33.031,573/500,121,120.0
455,F2,33.667,6/25,127,120.0
456,A3,33.677,73/500,66,120.0
457,A3,34.0,271/1000,93,120.0
458,C4,34.0,0.531,107,120.0
459,C2,34.0,927/1000,127,120.0
460,E-3,34.0,0.438,127,120.0
461,F3,34.01,223/200,123,120.0
462,A3,34.677,73/1000,92,120.0
463,F4,34.688,177/1000,68,120.0
464,C4,34.708,417/1000,78,120.0
465,F2,35.0,0.562,127,120.0
466,D2,35.0,0.312,127,120.0
467,E-3,35.0,0.312,127,120.0
468,A4,35.01,73/200,127,120.0
469,C5,35.01,0.531,115,120.0
470,E-4,35.01,0.75,127,120.0
471,A3,35.01,99/500,127,120.0
472,C4,35.01,51/100,127,120.0
473,E-4,35.042,771/1000,127,120.0
474,B1,35.667,0.125,127,120.0
475,G3,35.677,323/1000,114,120.0
476,C4,35.75,0.25,86,120.0
477,G5,35.99,1/100,127,120.0
478,E-4,35.99,1/100,127,120.0
479,G4,35.99,1/100,127,120.0
480,C4,35.99,1/100,115,120.0
481,C5,35.99,1/100,127,120.0
482,E-5,35.99,1/100,127,120.0
483,C4,36.0,1.0,86,120.0
484,G5,36.0,2.875,127,120.0
485,E-4,36.0,56/125,127,120.0
486,G3,36.0,167/1000,114,120.0
487,G4,36.0,123/200,127,120.0
488,C4,36.0,229/1000,115,120.0
489,C2,36.0,1.188,127,120.0
490,C-1,36.0,3/25,100,120.0
491,E-3,36.0,427/1000,127,120.0
492,C5,36.0,127/200,127,120.0
493,E-5,36.0,127/200,127,120.0
494,G4,36.01,49/100,102,120.0
495,C3,36.01,1083/1000,83,120.0
496,C4,36.667,83/1000,36,120.0
497,C-1,37.0,3/25,100,120.0
498,D2,37.0,333/1000,127,120.0
499,E-3,37.0,229/500,127,120.0
500,E-4,37.01,73/250,111,120.0
501,G4,37.01,0.188,121,120.0
502,C5,37.01,0.5,120,120.0
503,E-5,37.01,19/25,127,120.0
504,E-4,37.01,229/1000,127,120.0
505,C4,37.01,13/125,105,120.0
506,G3,37.01,13/125,105,120.0
507,G4,37.021,73/250,127,120.0
508,E-4,37.635,99/250,96,120.0
509,C2,37.667,99/500,127,120.0
510,E-3,37.667,0.125,127,120.0
511,G4,37.698,99/500,73,120.0
512,E-5,37.99,0.75,114,120.0
513,B4,37.99,127/200,105,120.0
514,B3,38.0,0.406,127,120.0
515,G2,38.0,277/200,125,120.0
516,C-1,38.0,3/25,100,120.0
517,E-3,38.0,151/500,127,120.0
518,E-4,38.0,677/1000,127,120.0
519,G4,38.0,677/1000,127,120.0
520,B3,38.031,521/500,109,120.0
521,G4,38.677,0.188,60,120.0
522,B3,38.688,73/1000,97,120.0
523,C-1,39.0,3/25,100,120.0
524,D2,39.0,333/1000,127,120.0
525,E-3,39.0,49/100,127,120.0
526,G5,39.01,99/100,127,120.0
527,B3,39.01,73/500,127,120.0
528,B4,39.01,123/200,127,120.0
529,E-5,39.01,123/200,127,120.0
530,E-4,39.01,6/25,127,120.0
531,G4,39.01,6/25,127,120.0
532,E-4,39.031,0.969,109,120.0
533,E-3,39.667,0.125,127,120.0
534,G4,39.677,0.25,50,120.0
535,G3,39.688,177/1000,48,120.0
536,C3,39.99,1/100,99,120.0
537,G4,39.99,1/100,127,120.0
538,E-4,39.99,1/100,127,120.0
539,B-3,39.99,1/100,127,120.0
540,G5,40.0,427/500,127,120.0
541,E-4,40.0,23/200,109,120.0
542,C3,40.0,1073/1000,99,120.0
543,G4,40.0,49/100,127,120.0
544,C2,40.0,1.156,127,120.0
545,E-3,40.0,0.344,127,120.0
546,E-4,40.0,0.656,127,120.0
547,B-3,40.0,0.656,127,120.0
548,B-4,40.01,151/250,115,120.0
549,E-5,40.01,177/250,107,120.0
550,B-3,40.042,1083/1000,109,120.0
551,G4,40.708,0.125,73,120.0
552,D2,41.0,333/1000,127,120.0
553,E-3,41.0,49/100,127,120.0
554,G5,41.01,1.688,127,120.0
555,B-3,41.01,271/1000,127,120.0
556,E-4,41.01,0.531,127,120.0
557,G4,41.01,0.531,127,120.0
558,E-5,41.021,667/1000,127,120.0
559,B-4,41.021,573/1000,127,120.0
560,E-4,41.042,99/500,99,120.0
561,G4,41.656,0.156,83,120.0
