,note_name,start_time,duration,velocity,tempo
0,F#2,0.0,1333/1000,110,94.0
1,F#1,0.0,1333/1000,110,94.0
2,B2,0.0,833/1000,110,94.0
3,B-3,0.0,1.5,110,94.0
4,C#4,0.0,1.5,110,94.0
5,F#4,0.0,1.5,110,94.0
6,B-3,0.0,1333/1000,110,94.0
7,C#4,0.0,1333/1000,110,94.0
8,F#4,0.0,1333/1000,110,94.0
9,B3,0.0,49/100,110,94.0
10,E4,0.0,49/100,110,94.0
11,G4,0.0,49/100,110,94.0
12,A4,0.0,49/100,110,94.0
13,A5,0.0,49/100,110,94.0
14,A4,0.5,49/100,110,94.0
15,C4,1.0,833/1000,110,94.0
16,B2,1.0,833/1000,110,94.0
17,G#2,1.5,49/100,110,94.0
18,G#1,1.5,49/100,110,94.0
19,A4,1.5,49/100,110,94.0
20,B3,1.5,2.5,110,94.0
21,E-4,1.5,2.5,110,94.0
22,G#4,1.5,2.5,110,94.0
23,B3,1.5,2.25,110,94.0
24,E-4,1.5,2.25,110,94.0
25,G#4,1.5,2.25,110,94.0
26,B-2,2.0,49/100,110,94.0
27,B-1,2.0,49/100,110,94.0
28,B2,2.0,833/1000,110,94.0
29,C#3,2.5,49/100,110,94.0
30,C#2,2.5,49/100,110,94.0
31,A4,2.5,49/100,110,94.0
32,C4,3.0,833/1000,110,94.0
33,B2,3.0,833/1000,110,94.0
34,A4,3.5,49/100,110,94.0
35,E-3,4.0,1333/1000,110,94.0
36,E-2,4.0,1333/1000,110,94.0
37,B2,4.0,833/1000,110,94.0
38,E-4,4.0,1333/1000,110,94.0
39,F#4,4.0,1333/1000,110,94.0
40,B-4,4.0,1333/1000,110,94.0
41,E-4,4.0,1333/1000,110,94.0
42,F#4,4.0,1333/1000,110,94.0
43,B-4,4.0,1333/1000,110,94.0
44,B3,4.0,49/100,110,94.0
45,E4,4.0,49/100,110,94.0
46,G4,4.0,49/100,110,94.0
47,A4,4.0,49/100,110,94.0
48,A5,4.0,49/100,110,94.0
49,A4,4.5,49/100,110,94.0
50,C4,5.0,833/1000,110,94.0
51,B2,5.0,833/1000,110,94.0
52,C#3,5.5,2.25,110,94.0
53,C#2,5.5,2.25,110,94.0
54,A4,5.5,49/100,110,94.0
55,B3,5.5,2.25,110,94.0
56,E-4,5.5,2.25,110,94.0
57,G#4,5.5,2.25,110,94.0
58,B3,5.5,2.25,110,94.0
59,E-4,5.5,2.25,110,94.0
60,G#4,5.5,2.25,110,94.0
61,B2,6.0,833/1000,110,94.0
62,A4,6.5,49/100,110,94.0
63,C4,7.0,833/1000,110,94.0
64,B2,7.0,833/1000,110,94.0
65,A4,7.5,49/100,110,94.0
66,F#2,8.0,1333/1000,110,94.0
67,F#1,8.0,1333/1000,110,94.0
68,B2,8.0,833/1000,110,94.0
69,B-3,8.0,1333/1000,110,94.0
70,C#4,8.0,1333/1000,110,94.0
71,F#4,8.0,1333/1000,110,94.0
72,B-3,8.0,1333/1000,110,94.0
73,C#4,8.0,1333/1000,110,94.0
74,F#4,8.0,1333/1000,110,94.0
75,B3,8.0,49/100,110,94.0
76,E4,8.0,49/100,110,94.0
77,G4,8.0,49/100,110,94.0
78,A4,8.0,49/100,110,94.0
79,A5,8.0,49/100,110,94.0
80,A4,8.5,49/100,110,94.0
81,C4,9.0,833/1000,110,94.0
82,B2,9.0,833/1000,110,94.0
83,G#2,9.5,49/100,110,94.0
84,G#1,9.5,49/100,110,94.0
85,A4,9.5,49/100,110,94.0
86,B3,9.5,2.25,110,94.0
87,E-4,9.5,2.25,110,94.0
88,G#4,9.5,2.25,110,94.0
89,B3,9.5,2.25,110,94.0
90,E-4,9.5,2.25,110,94.0
91,G#4,9.5,2.25,110,94.0
92,B-2,10.0,49/100,110,94.0
93,B-1,10.0,49/100,110,94.0
94,B2,10.0,833/1000,110,94.0
95,C#3,10.5,49/100,110,94.0
96,C#2,10.5,49/100,110,94.0
97,A4,10.5,49/100,110,94.0
98,C4,11.0,833/1000,110,94.0
99,B2,11.0,833/1000,110,94.0
100,A4,11.5,49/100,110,94.0
101,E-3,12.0,1333/1000,110,94.0
102,E-2,12.0,1333/1000,110,94.0
103,B2,12.0,833/1000,110,94.0
104,E-4,12.0,1333/1000,110,94.0
105,F#4,12.0,1333/1000,110,94.0
106,B-4,12.0,1333/1000,110,94.0
107,E-4,12.0,1333/1000,110,94.0
108,F#4,12.0,1333/1000,110,94.0
109,B-4,12.0,1333/1000,110,94.0
110,B3,12.0,49/100,110,94.0
111,E4,12.0,49/100,110,94.0
112,G4,12.0,49/100,110,94.0
113,A4,12.0,49/100,110,94.0
114,A5,12.0,49/100,110,94.0
115,A4,12.5,49/100,110,94.0
116,C4,13.0,833/1000,110,94.0
117,B2,13.0,833/1000,110,94.0
118,C#3,13.5,2.25,110,94.0
119,C#2,13.5,2.25,110,94.0
120,A4,13.5,49/100,110,94.0
121,B3,13.5,2.25,110,94.0
122,E-4,13.5,2.25,110,94.0
123,G#4,13.5,2.25,110,94.0
124,B3,13.5,2.25,110,94.0
125,E-4,13.5,2.25,110,94.0
126,G#4,13.5,2.25,110,94.0
127,B2,14.0,833/1000,110,94.0
128,A4,14.5,49/100,110,94.0
129,C4,15.0,833/1000,110,94.0
130,B2,15.0,833/1000,110,94.0
131,A4,15.5,49/100,110,94.0
132,F#2,16.0,1333/1000,110,94.0
133,F#1,16.0,1333/1000,110,94.0
134,B2,16.0,833/1000,110,94.0
135,B-3,16.0,1333/1000,110,94.0
136,C#4,16.0,1333/1000,110,94.0
137,F#4,16.0,1333/1000,110,94.0
138,B-3,16.0,1333/1000,110,94.0
139,C#4,16.0,1333/1000,110,94.0
140,F#4,16.0,1333/1000,110,94.0
141,B3,16.0,49/100,110,94.0
142,E4,16.0,49/100,110,94.0
143,G4,16.0,49/100,110,94.0
144,A4,16.0,49/100,110,94.0
145,A5,16.0,49/100,110,94.0
146,A4,16.5,49/100,110,94.0
147,C4,17.0,833/1000,110,94.0
148,B2,17.0,833/1000,110,94.0
149,G#2,17.5,49/100,110,94.0
150,G#1,17.5,49/100,110,94.0
151,A4,17.5,49/100,110,94.0
152,B3,17.5,2.25,110,94.0
153,E-4,17.5,2.25,110,94.0
154,G#4,17.5,2.25,110,94.0
155,B3,17.5,2.25,110,94.0
156,E-4,17.5,2.25,110,94.0
157,G#4,17.5,2.25,110,94.0
158,B-2,18.0,49/100,110,94.0
159,B-1,18.0,49/100,110,94.0
160,B2,18.0,833/1000,110,94.0
161,C#3,18.5,49/100,110,94.0
162,C#2,18.5,49/100,110,94.0
163,A4,18.5,49/100,110,94.0
164,C4,19.0,833/1000,110,94.0
165,B2,19.0,833/1000,110,94.0
166,A4,19.5,49/100,110,94.0
167,E-3,20.0,1333/1000,110,94.0
168,E-2,20.0,1333/1000,110,94.0
169,B2,20.0,833/1000,110,94.0
170,E-4,20.0,1333/1000,110,94.0
171,F#4,20.0,1333/1000,110,94.0
172,B-4,20.0,1333/1000,110,94.0
173,E-4,20.0,1333/1000,110,94.0
174,F#4,20.0,1333/1000,110,94.0
175,B-4,20.0,1333/1000,110,94.0
176,B3,20.0,49/100,110,94.0
177,E4,20.0,49/100,110,94.0
178,G4,20.0,49/100,110,94.0
179,A4,20.0,49/100,110,94.0
180,A5,20.0,49/100,110,94.0
181,A4,20.5,49/100,110,94.0
182,C4,21.0,833/1000,110,94.0
183,B2,21.0,833/1000,110,94.0
184,C#3,21.5,2.25,110,94.0
185,C#2,21.5,2.25,110,94.0
186,A4,21.5,49/100,110,94.0
187,B3,21.5,2.25,110,94.0
188,E-4,21.5,2.25,110,94.0
189,G#4,21.5,2.25,110,94.0
190,B3,21.5,2.25,110,94.0
191,E-4,21.5,2.25,110,94.0
192,G#4,21.5,2.25,110,94.0
193,B2,22.0,833/1000,110,94.0
194,A4,22.5,49/100,110,94.0
195,C4,23.0,833/1000,110,94.0
196,B2,23.0,833/1000,110,94.0
197,A4,23.5,49/100,110,94.0
198,F#2,24.0,1333/1000,110,94.0
199,F#1,24.0,1333/1000,110,94.0
200,B2,24.0,833/1000,110,94.0
201,B-3,24.0,1333/1000,110,94.0
202,C#4,24.0,1333/1000,110,94.0
203,F#4,24.0,1333/1000,110,94.0
204,B-3,24.0,1333/1000,110,94.0
205,C#4,24.0,1333/1000,110,94.0
206,F#4,24.0,1333/1000,110,94.0
207,B3,24.0,49/100,110,94.0
208,E4,24.0,49/100,110,94.0
209,G4,24.0,49/100,110,94.0
210,A4,24.0,49/100,110,94.0
211,A5,24.0,49/100,110,94.0
212,A4,24.5,49/100,110,94.0
213,C4,25.0,833/1000,110,94.0
214,B2,25.0,833/1000,110,94.0
215,G#2,25.5,49/100,110,94.0
216,G#1,25.5,49/100,110,94.0
217,A4,25.5,49/100,110,94.0
218,B3,25.5,2.25,110,94.0
219,E-4,25.5,2.25,110,94.0
220,G#4,25.5,2.25,110,94.0
221,B3,25.5,2.25,110,94.0
222,E-4,25.5,2.25,110,94.0
223,G#4,25.5,2.25,110,94.0
224,B-2,26.0,49/100,110,94.0
225,B-1,26.0,49/100,110,94.0
226,B2,26.0,833/1000,110,94.0
227,C#3,26.5,49/100,110,94.0
228,C#2,26.5,49/100,110,94.0
229,A4,26.5,49/100,110,94.0
230,C4,27.0,833/1000,110,94.0
231,B2,27.0,833/1000,110,94.0
232,A4,27.5,49/100,110,94.0
233,E-3,28.0,1333/1000,110,94.0
234,E-2,28.0,1333/1000,110,94.0
235,B2,28.0,833/1000,110,94.0
236,E-4,28.0,1333/1000,110,94.0
237,F#4,28.0,1333/1000,110,94.0
238,B-4,28.0,1333/1000,110,94.0
239,E-4,28.0,1333/1000,110,94.0
240,F#4,28.0,1333/1000,110,94.0
241,B-4,28.0,1333/1000,110,94.0
242,B3,28.0,49/100,110,94.0
243,E4,28.0,49/100,110,94.0
244,G4,28.0,49/100,110,94.0
245,A4,28.0,49/100,110,94.0
246,A5,28.0,49/100,110,94.0
247,A4,28.5,49/100,110,94.0
248,C4,29.0,833/1000,110,94.0
249,B2,29.0,833/1000,110,94.0
250,C#3,29.5,2.25,110,94.0
251,C#2,29.5,2.25,110,94.0
252,A4,29.5,49/100,110,94.0
253,B3,29.5,1333/1000,110,94.0
254,E-4,29.5,1333/1000,110,94.0
255,G#4,29.5,1333/1000,110,94.0
256,B3,29.5,1333/1000,110,94.0
257,E-4,29.5,1333/1000,110,94.0
258,G#4,29.5,1333/1000,110,94.0
259,B2,30.0,833/1000,110,94.0
260,A4,30.5,49/100,110,94.0
261,F#4,31.0,49/100,110,94.0
262,F#4,31.0,49/100,110,94.0
263,F#4,31.0,49/100,110,94.0
264,F#4,31.0,49/100,110,94.0
265,C4,31.0,833/1000,110,94.0
266,B2,31.0,833/1000,110,94.0
267,F#4,31.5,49/100,110,94.0
268,F#4,31.5,49/100,110,94.0
269,F#4,31.5,49/100,110,94.0
270,F#4,31.5,49/100,110,94.0
271,A4,31.5,49/100,110,94.0
272,C#5,32.0,833/1000,110,94.0
273,C#5,32.0,833/1000,110,94.0
274,F#2,32.0,1333/1000,110,94.0
275,C#5,32.0,833/1000,110,94.0
276,F#1,32.0,1333/1000,110,94.0
277,C#5,32.0,833/1000,110,94.0
278,B2,32.0,833/1000,110,94.0
279,F#4,32.0,1.75,110,94.0
280,B-4,32.0,1.75,110,94.0
281,F#4,32.0,1.75,110,94.0
282,B-4,32.0,1.75,110,94.0
283,B3,32.0,49/100,110,94.0
284,E4,32.0,49/100,110,94.0
285,G4,32.0,49/100,110,94.0
286,A4,32.0,49/100,110,94.0
287,A5,32.0,49/100,110,94.0
288,A4,32.5,49/100,110,94.0
289,E-5,33.0,833/1000,110,94.0
290,E-5,33.0,833/1000,110,94.0
291,E-5,33.0,833/1000,110,94.0
292,E-5,33.0,833/1000,110,94.0
293,C4,33.0,833/1000,110,94.0
294,B2,33.0,833/1000,110,94.0
295,G#2,33.5,49/100,110,94.0
296,G#1,33.5,49/100,110,94.0
297,A4,33.5,49/100,110,94.0
