,note_name,start_time,duration,velocity,tempo
0,B5,4.0,4.0,70,68.0
1,B5,8.0,4.0,70,68.0
2,B1,8.0,3417/1000,90,68.0
3,B3,8.0,3979/1000,90,68.0
4,B2,8.0,3979/1000,90,68.0
5,F#4,8.5,3479/1000,90,68.0
6,F#3,8.5,3479/1000,90,68.0
7,C#5,9.0,2979/1000,90,68.0
8,C#4,9.0,2979/1000,90,68.0
9,C6,9.5,13/250,100,68.0
10,B4,9.5,2.438,80,68.0
11,B3,9.5,2.438,80,68.0
12,E-4,9.5,2.438,80,68.0
13,E-5,9.5,2.438,80,68.0
14,F#4,9.5,2.438,80,68.0
15,F#5,9.583,2417/1000,80,68.0
16,B6,11.333,323/500,110,68.0
17,F#2,11.5,0.25,90,68.0
18,B-6,11.667,0.312,110,68.0
19,F#6,12.0,3.812,100,68.0
20,E2,12.0,3.375,90,68.0
21,B5,12.0,11979/1000,70,68.0
22,F#5,12.0,21/1000,80,68.0
23,E4,12.0,3979/1000,90,68.0
24,E3,12.0,3979/1000,90,68.0
25,B4,12.5,3479/1000,90,68.0
26,B3,12.5,3479/1000,90,68.0
27,F#5,13.0,2979/1000,90,68.0
28,F#4,13.0,2979/1000,90,68.0
29,C6,13.5,13/250,100,68.0
30,E5,13.5,2.438,80,68.0
31,E4,13.5,2.438,80,68.0
32,G#4,13.5,2.438,80,68.0
33,G#5,13.5,2.438,80,68.0
34,B4,13.5,2.438,80,68.0
35,B5,13.583,2417/1000,80,68.0
36,E-6,14.667,979/1000,110,68.0
37,E6,15.667,73/500,110,68.0
38,F#6,15.833,73/500,110,68.0
39,B3,23.979,4.0,50,68.0
40,B1,23.979,3417/1000,90,68.0
41,B5,23.979,21/1000,80,68.0
42,B3,23.979,3979/1000,76,68.0
43,F#3,23.979,3979/1000,76,68.0
44,E-3,23.979,3979/1000,76,68.0
45,B2,23.979,3979/1000,76,68.0
46,B5,23.979,3979/1000,76,68.0
47,F#4,24.479,3479/1000,90,68.0
48,F#3,24.479,3479/1000,90,68.0
49,C#5,24.979,2979/1000,90,68.0
50,C#4,24.979,2979/1000,90,68.0
51,C6,25.479,13/250,100,68.0
52,B4,25.479,2.438,80,68.0
53,B3,25.479,2.438,80,68.0
54,E-4,25.479,2.438,80,68.0
55,E-5,25.479,2.438,80,68.0
56,F#4,25.479,2.438,80,68.0
57,F#5,25.562,2417/1000,80,68.0
58,F#5,26.979,479/1000,110,68.0
59,E5,27.479,0.25,100,68.0
60,B1,27.479,0.25,100,68.0
61,E-5,27.729,229/1000,110,68.0
62,E2,27.979,1.25,90,68.0
63,B3,27.979,3979/1000,50,68.0
64,F#5,27.979,21/1000,80,68.0
65,E3,27.979,3979/1000,76,68.0
66,E3,27.979,3979/1000,76,68.0
67,G#3,27.979,3979/1000,76,68.0
68,E2,27.979,3979/1000,76,68.0
69,B4,27.979,3979/1000,76,68.0
70,B3,28.479,3479/1000,90,68.0
71,B2,28.479,3479/1000,90,68.0
72,F#4,28.979,2979/1000,90,68.0
73,F#3,28.979,2979/1000,90,68.0
74,E2,29.479,2333/1000,90,68.0
75,E4,29.479,2.438,80,68.0
76,E3,29.479,2.438,80,68.0
77,G#3,29.479,2.438,80,68.0
78,G#4,29.479,2.438,80,68.0
79,B3,29.479,2.438,80,68.0
80,B4,29.562,2417/1000,80,68.0
81,B1,31.979,3417/1000,90,68.0
82,B3,31.979,13/250,80,68.0
83,B4,31.979,21/1000,80,68.0
84,B3,31.979,3979/1000,80,68.0
85,B2,31.979,3979/1000,80,68.0
86,F#4,32.479,3479/1000,80,68.0
87,F#3,32.479,3479/1000,80,68.0
88,C#5,32.979,2979/1000,70,68.0
89,C#4,32.979,2979/1000,70,68.0
90,C6,33.479,13/250,100,68.0
91,B5,33.479,2.438,67,68.0
92,E-4,33.479,2.438,67,68.0
93,C#6,33.479,2.438,67,68.0
94,E-6,33.562,1177/500,70,68.0
95,F#6,33.562,1177/500,70,68.0
96,F#1,35.479,167/1000,90,68.0
97,B1,35.979,3.375,90,68.0
98,B3,35.979,13/250,80,68.0
99,B3,35.979,3979/1000,80,68.0
100,B2,35.979,3979/1000,80,68.0
101,F#4,36.479,3479/1000,80,68.0
102,F#3,36.479,3479/1000,80,68.0
103,C#5,36.979,2979/1000,70,68.0
104,B-3,36.979,2979/1000,70,68.0
105,C6,37.479,13/250,100,68.0
106,B-5,37.479,2.438,67,68.0
107,C#4,37.479,2.438,67,68.0
108,C#6,37.479,2.438,67,68.0
109,E-6,37.562,1177/500,70,68.0
110,F#6,37.562,1177/500,70,68.0
111,B1,39.979,1667/1000,90,68.0
112,B3,39.979,3979/1000,80,68.0
113,B2,39.979,3979/1000,80,68.0
114,B2,39.979,3979/1000,80,68.0
115,B-3,39.979,1979/1000,60,68.0
116,E-4,39.979,1979/1000,60,68.0
117,F#4,40.479,3479/1000,80,68.0
118,F#3,40.479,3479/1000,80,68.0
119,B-4,40.979,979/1000,70,68.0
120,B-3,40.979,979/1000,70,68.0
121,C#4,41.979,2.0,60,68.0
122,B1,41.979,1667/1000,90,68.0
123,G#4,41.979,1979/1000,60,68.0
124,G#3,41.979,1979/1000,60,68.0
125,G#3,41.979,1979/1000,60,68.0
126,C#4,43.979,3979/1000,60,68.0
