,note_name,start_time,duration,velocity,tempo
0,C5,4.0,233/1000,91,115.0
1,C4,4.008,273/250,64,115.0
2,E5,4.008,267/1000,84,115.0
3,C5,4.008,267/1000,84,115.0
4,C2,4.017,583/1000,110,115.0
5,C5,4.025,567/1000,76,115.0
6,G4,4.025,567/1000,76,115.0
7,E5,4.025,567/1000,76,115.0
8,E3,4.05,633/1000,60,115.0
9,E4,4.05,0.5,53,115.0
10,C4,4.05,0.5,53,115.0
11,C5,4.25,233/1000,109,115.0
12,C5,4.5,233/1000,104,115.0
13,E-4,4.625,11/40,89,115.0
14,C5,4.75,233/1000,114,115.0
15,E5,4.883,9/40,81,115.0
16,G5,4.883,9/40,81,115.0
17,E4,4.883,9/40,81,115.0
18,C5,4.883,9/40,81,115.0
19,G5,4.892,567/1000,88,115.0
20,E5,4.892,567/1000,88,115.0
21,C5,4.892,567/1000,88,115.0
22,G4,4.917,467/1000,56,115.0
23,G3,4.917,467/1000,56,115.0
24,E4,4.917,467/1000,56,115.0
25,C4,4.917,467/1000,56,115.0
26,E4,4.975,583/1000,52,115.0
27,G#2,4.975,27/250,96,115.0
28,D2,4.975,27/250,96,115.0
29,E-3,4.975,27/250,96,115.0
30,C5,5.0,233/1000,95,115.0
31,C5,5.25,233/1000,80,115.0
32,C5,5.5,233/1000,95,115.0
33,G4,5.592,129/500,79,115.0
34,E-3,5.625,133/1000,88,115.0
35,C5,5.75,233/1000,114,115.0
36,G4,5.892,1167/1000,67,115.0
37,E4,5.892,1167/1000,67,115.0
38,C4,5.892,1167/1000,67,115.0
39,A4,5.9,74/125,55,115.0
40,G5,5.925,277/250,84,115.0
41,E5,5.925,277/250,84,115.0
42,C5,5.925,277/250,84,115.0
43,C5,5.933,49/40,92,115.0
44,G5,5.933,49/40,92,115.0
45,E5,5.933,49/40,92,115.0
46,G3,5.958,1017/1000,61,115.0
47,E-3,5.958,27/250,89,115.0
48,C2,5.958,27/250,89,115.0
49,G3,5.967,273/250,61,115.0
50,C5,6.0,0.25,100,115.0
51,G2,6.008,127/250,100,115.0
52,B4,6.25,0.25,100,115.0
53,G4,6.517,0.25,61,115.0
54,A4,6.775,321/500,69,115.0
55,E4,6.858,167/1000,54,115.0
56,G#2,6.967,1/10,97,115.0
57,D2,6.967,1/10,97,115.0
58,E-3,6.967,1/10,97,115.0
59,G4,7.475,233/1000,69,115.0
60,G5,7.517,71/500,85,115.0
61,E5,7.517,71/500,85,115.0
62,C5,7.517,71/500,85,115.0
63,G4,7.55,0.125,69,115.0
64,E4,7.55,0.125,69,115.0
65,C4,7.55,0.125,69,115.0
66,G5,7.6,1/10,75,115.0
67,C5,7.6,1/10,75,115.0
68,E5,7.6,1/10,75,115.0
69,G3,7.608,9/40,44,115.0
70,E-3,7.633,27/250,80,115.0
71,C5,7.808,24/125,90,115.0
72,C5,7.842,79/500,93,115.0
73,G5,7.842,79/500,93,115.0
74,C6,7.842,79/500,93,115.0
75,E5,7.842,79/500,93,115.0
76,C5,7.883,117/1000,64,115.0
77,C4,7.883,117/1000,66,115.0
78,G4,7.883,117/1000,66,115.0
79,E4,7.883,117/1000,66,115.0
80,C4,7.9,1/10,72,115.0
81,C2,7.933,67/1000,115,115.0
82,C6,7.933,67/1000,83,115.0
83,C5,7.933,67/1000,85,115.0
84,E5,7.933,67/1000,85,115.0
85,G5,7.933,67/1000,85,115.0
86,E-3,7.958,21/500,88,115.0
87,C2,7.958,21/500,88,115.0
88,C2,8.0,417/1000,115,115.0
89,C4,8.0,967/1000,72,115.0
90,C6,8.0,333/1000,83,115.0
91,C5,8.0,19/40,90,115.0
92,C5,8.0,49/125,64,115.0
93,C5,8.0,71/500,85,115.0
94,E5,8.0,71/500,85,115.0
95,G5,8.0,71/500,85,115.0
96,C5,8.0,179/500,93,115.0
97,G5,8.0,179/500,93,115.0
98,C6,8.0,179/500,93,115.0
99,E5,8.0,179/500,93,115.0
100,E-3,8.0,23/250,88,115.0
101,C2,8.0,23/250,88,115.0
102,C4,8.0,267/1000,66,115.0
103,G4,8.0,267/1000,66,115.0
104,E4,8.0,267/1000,66,115.0
105,C4,8.475,126/125,56,115.0
106,E4,8.475,126/125,56,115.0
107,G4,8.475,126/125,56,115.0
108,E4,8.508,9/40,47,115.0
109,G5,8.808,21/40,88,115.0
110,C5,8.808,21/40,88,115.0
111,E5,8.808,21/40,88,115.0
112,A4,8.833,0.5,88,115.0
113,E4,8.875,233/1000,71,115.0
114,E5,8.875,233/1000,71,115.0
115,G5,8.917,0.25,79,115.0
116,C5,8.917,0.25,79,115.0
117,G#2,8.975,27/250,96,115.0
118,D2,8.975,27/250,96,115.0
119,E-3,8.975,27/250,96,115.0
120,G#4,9.425,11/40,77,115.0
121,E-3,9.625,133/1000,88,115.0
122,G4,9.75,77/250,56,115.0
123,G4,9.833,1.0,76,115.0
124,E4,9.833,1.0,76,115.0
125,C4,9.842,479/500,66,115.0
126,E5,9.858,521/500,94,115.0
127,G5,9.858,521/500,94,115.0
128,C5,9.858,521/500,94,115.0
129,G2,9.875,127/250,98,115.0
130,E5,9.9,9/40,78,115.0
131,G5,9.9,9/40,78,115.0
132,C5,9.9,9/40,78,115.0
133,G3,9.958,37/40,52,115.0
134,E-3,9.958,27/250,89,115.0
135,C2,9.958,27/250,89,115.0
136,A4,10.058,9/40,57,115.0
137,G4,10.258,171/500,58,115.0
138,E4,10.667,74/125,83,115.0
139,E4,10.85,27/250,26,115.0
140,C4,10.85,7/40,59,115.0
141,G#2,10.967,1/10,97,115.0
142,D2,10.967,1/10,97,115.0
143,E-3,10.967,1/10,97,115.0
144,D4,11.35,13/20,64,115.0
145,E-4,11.383,0.25,77,115.0
146,G5,11.483,71/500,58,115.0
147,E5,11.483,71/500,58,115.0
148,C5,11.517,83/1000,33,115.0
149,F4,11.558,221/500,52,115.0
150,E-3,11.633,27/250,80,115.0
151,A4,11.675,13/40,60,115.0
152,D4,11.758,121/500,68,115.0
153,D5,11.808,24/125,73,115.0
154,D6,11.833,167/1000,96,115.0
155,A5,11.833,167/1000,96,115.0
156,F5,11.833,167/1000,96,115.0
157,D5,11.842,79/500,93,115.0
158,A3,11.892,27/250,72,115.0
159,D4,11.892,27/250,72,115.0
160,D6,11.892,27/250,72,115.0
161,D5,11.892,27/250,72,115.0
162,F3,11.925,3/40,80,115.0
163,A5,11.925,3/40,80,115.0
164,F5,11.925,3/40,80,115.0
165,D5,11.925,3/40,80,115.0
166,D2,11.942,29/500,113,115.0
167,E-3,11.958,21/500,88,115.0
168,C2,11.958,21/500,88,115.0
169,D2,12.0,171/500,113,115.0
170,D5,12.0,617/1000,93,115.0
171,D4,12.0,383/1000,68,115.0
172,D4,12.0,429/500,64,115.0
173,F4,12.0,833/1000,52,115.0
174,A4,12.0,33/40,60,115.0
175,D5,12.0,0.75,73,115.0
176,A3,12.0,71/500,72,115.0
177,D4,12.0,71/500,72,115.0
178,D6,12.0,71/500,72,115.0
179,D5,12.0,71/500,72,115.0
180,F3,12.0,7/40,80,115.0
181,A5,12.0,7/40,80,115.0
182,F5,12.0,7/40,80,115.0
183,D5,12.0,7/40,80,115.0
184,D6,12.0,3/5,96,115.0
185,A5,12.0,3/5,96,115.0
186,F5,12.0,3/5,96,115.0
187,E-3,12.0,23/250,88,115.0
188,C2,12.0,23/250,88,115.0
189,F4,12.442,129/500,92,115.0
190,A4,12.8,271/500,69,115.0
191,G#2,12.975,27/250,96,115.0
192,E-3,12.975,27/250,96,115.0
193,D2,12.975,27/250,96,115.0
194,C5,13.433,73/250,75,115.0
195,B3,13.542,629/500,58,115.0
196,E-3,13.625,133/1000,88,115.0
197,D4,13.708,23/20,58,115.0
198,B4,13.817,279/500,78,115.0
199,F4,13.858,273/250,52,115.0
200,G4,13.875,23/20,63,115.0
201,B3,13.917,19/40,67,115.0
202,G3,13.917,19/40,67,115.0
203,G5,13.917,19/40,67,115.0
204,F5,13.917,19/40,67,115.0
205,D4,13.917,19/40,67,115.0
206,B4,13.925,37/40,92,115.0
207,G5,13.925,37/40,92,115.0
208,F5,13.925,37/40,92,115.0
209,D5,13.925,37/40,92,115.0
210,B4,13.933,7/20,71,115.0
211,G5,13.933,7/20,71,115.0
212,F5,13.933,7/20,71,115.0
213,D5,13.933,7/20,71,115.0
214,E-3,13.958,27/250,89,115.0
215,C2,13.958,27/250,89,115.0
216,G2,13.967,19/40,108,115.0
217,F4,14.475,73/250,54,115.0
218,G4,14.8,567/1000,83,115.0
219,G#2,14.967,1/10,97,115.0
220,D2,14.967,1/10,97,115.0
221,E-3,14.967,1/10,97,115.0
222,C4,15.458,271/500,33,115.0
223,B4,15.525,267/1000,60,115.0
224,C5,15.6,2/5,80,115.0
225,E4,15.6,2/5,52,115.0
226,E-3,15.633,27/250,80,115.0
227,C2,15.717,283/1000,115,115.0
228,G4,15.725,11/40,35,115.0
229,E5,15.767,233/1000,72,115.0
230,A4,15.817,183/1000,48,115.0
231,C5,15.817,183/1000,48,115.0
232,C5,15.833,167/1000,71,115.0
233,G5,15.85,3/20,92,115.0
234,A5,15.85,3/20,92,115.0
235,C4,15.858,71/500,65,115.0
236,G5,15.892,27/250,68,115.0
237,C6,15.892,27/250,68,115.0
238,E5,15.892,27/250,68,115.0
239,C5,15.892,27/250,68,115.0
240,C6,15.958,21/500,86,115.0
241,E-3,15.958,21/500,88,115.0
242,C2,15.958,21/500,88,115.0
243,C2,16.0,1/125,115,115.0
244,C4,16.0,67/1000,65,115.0
245,C5,16.0,0.875,80,115.0
246,E5,16.0,429/500,72,115.0
247,C6,16.0,37/40,86,115.0
248,C5,16.0,433/1000,71,115.0
249,C4,16.0,2183/1000,33,115.0
250,E4,16.0,43/20,52,115.0
251,G4,16.0,43/20,35,115.0
252,G5,16.0,667/1000,68,115.0
253,C6,16.0,667/1000,68,115.0
254,E5,16.0,667/1000,68,115.0
255,C5,16.0,667/1000,68,115.0
256,G5,16.0,33/40,92,115.0
257,A5,16.0,33/40,92,115.0
258,E-3,16.0,23/250,88,115.0
259,C2,16.0,23/250,88,115.0
260,A4,16.0,2083/1000,48,115.0
261,C5,16.0,2083/1000,48,115.0
262,E4,16.567,3/20,51,115.0
263,G2,16.625,77/250,108,115.0
264,D2,16.642,1/10,88,115.0
265,A4,16.85,11/20,76,115.0
266,G3,16.875,29/10,69,115.0
267,F2,16.892,667/1000,113,115.0
268,G#2,16.958,27/250,91,115.0
269,C2,16.958,27/250,91,115.0
270,D2,17.292,27/250,43,115.0
271,D2,17.625,0.125,88,115.0
272,E2,17.858,583/1000,106,115.0
273,G4,17.883,127/250,88,115.0
274,D2,17.967,1/10,98,115.0
275,C3,18.3,1/10,75,115.0
276,A4,18.4,26/125,66,115.0
277,G4,18.608,24/125,60,115.0
278,A2,18.633,1/10,80,115.0
279,F4,18.817,583/1000,55,115.0
280,D2,18.833,633/1000,110,115.0
281,A2,18.967,23/250,88,115.0
282,G#2,18.967,23/250,88,115.0
283,C2,18.967,23/250,88,115.0
284,F2,19.3,1/10,90,115.0
285,C4,19.467,533/1000,48,115.0
286,E-4,19.508,233/1000,76,115.0
287,E4,19.592,51/125,65,115.0
288,D2,19.633,23/250,98,115.0
289,A3,19.667,333/1000,23,115.0
290,C4,19.733,267/1000,37,115.0
291,G4,19.75,0.25,66,115.0
292,E4,19.808,24/125,57,115.0
293,G3,19.817,183/1000,32,115.0
294,A4,19.842,79/500,66,115.0
295,C5,19.842,79/500,66,115.0
296,C3,19.883,117/1000,55,115.0
297,E4,19.892,27/250,98,115.0
298,G4,19.9,1/10,31,115.0
299,E4,19.917,83/1000,60,115.0
300,G4,19.917,83/1000,60,115.0
301,E4,19.933,67/1000,35,115.0
