,note_name,start_time,duration,velocity,tempo
0,E-5,4.0,99/100,100,125.0
1,G#5,4.0,99/100,100,125.0
2,F5,5.0,49/100,98,125.0
3,B-5,5.0,49/100,98,125.0
4,C#5,5.5,99/100,97,125.0
5,F5,5.5,99/100,97,125.0
6,E-5,6.5,49/100,95,125.0
7,G#5,6.5,49/100,95,125.0
8,C5,7.0,99/100,96,125.0
9,E-5,7.0,99/100,96,125.0
10,C#5,8.0,49/100,94,125.0
11,F5,8.0,49/100,94,125.0
12,B-4,8.5,99/100,93,125.0
13,C#5,8.5,99/100,93,125.0
14,C5,9.5,49/100,92,125.0
15,E-5,9.5,49/100,92,125.0
16,G#4,10.0,99/100,98,125.0
17,C5,10.0,99/100,98,125.0
18,B-4,11.0,49/100,94,125.0
19,C#5,11.0,49/100,94,125.0
20,F#4,11.5,0.5,93,125.0
21,B-4,11.5,0.5,100,125.0
22,E-3,12.0,1911/1000,110,125.0
23,E-4,12.0,1677/1000,109,125.0
24,F#5,12.0,599/1000,110,125.0
25,F#4,12.0,3573/1000,93,125.0
26,B-4,12.0,1177/1000,100,125.0
27,B-4,12.5,1659/500,99,125.0
28,E-5,13.0,0.562,104,125.0
29,F#5,13.5,51/100,102,125.0
30,C#3,14.0,2.0,98,125.0
31,C#4,14.0,1.906,95,125.0
32,F5,14.0,263/500,119,125.0
33,G#4,14.5,1.312,99,125.0
34,C#5,15.0,51/100,94,125.0
35,F5,15.5,73/200,117,125.0
36,G#4,16.0,227/200,100,125.0
37,C5,16.0,2599/1000,108,125.0
38,E-5,16.0,277/200,101,125.0
39,C#3,16.0,21/1000,98,125.0
40,G#3,16.0,4.0,102,125.0
41,C4,16.0,4.0,102,125.0
42,G#4,17.5,1143/500,95,125.0
43,G#5,18.0,1057/1000,115,125.0
44,C#5,19.0,69/125,106,125.0
45,E-5,19.5,99/250,102,125.0
46,C#3,20.042,47/25,102,125.0
47,C#4,20.042,1667/1000,105,125.0
48,F5,20.042,583/1000,115,125.0
49,G#3,20.042,21/500,102,125.0
50,C4,20.042,21/500,102,125.0
51,G#4,20.542,151/100,106,125.0
52,C#5,21.042,271/500,112,125.0
53,F5,21.542,557/1000,114,125.0
54,C3,22.042,2.0,112,125.0
55,C4,22.042,2.0,110,125.0
56,E-5,22.042,151/250,102,125.0
57,G#4,22.542,1.469,100,125.0
58,C5,23.042,0.922,114,125.0
59,E-5,23.542,229/500,103,125.0
60,F4,24.042,3833/1000,107,125.0
61,G#4,24.042,2.953,107,125.0
62,C#5,24.042,2.016,100,125.0
63,C3,24.042,161/1000,112,125.0
64,C4,24.042,83/1000,110,125.0
65,B-2,24.042,3917/1000,98,125.0
66,B-3,24.042,3917/1000,98,125.0
67,E-5,26.0,2.0,104,125.0
68,C#5,26.542,0.578,109,125.0
69,E-5,27.042,479/1000,109,125.0
70,F5,27.542,56/125,119,125.0
71,E-5,28.0,4.0,104,125.0
72,E-3,28.042,1911/1000,110,125.0
73,E-4,28.042,1677/1000,109,125.0
74,F#5,28.042,599/1000,110,125.0
75,B-4,28.542,677/1000,99,125.0
76,E-5,29.042,0.562,104,125.0
77,F#5,29.542,51/100,102,125.0
78,C#3,30.042,2.0,98,125.0
79,C#4,30.042,1.906,95,125.0
80,F5,30.042,263/500,119,125.0
81,G#4,30.542,1.312,99,125.0
82,C#5,31.042,51/100,94,125.0
83,F5,31.542,73/200,117,125.0
