,note_name,start_time,duration,velocity,tempo
0,C#2,4.0,0.5,100,130.0
1,C2,4.0,0.5,3,130.0
2,C2,4.0,0.5,3,130.0
3,C2,4.0,0.5,3,130.0
4,C2,4.0,0.5,3,130.0
5,C2,4.0,0.5,3,130.0
6,C2,4.0,0.5,3,130.0
7,C2,4.0,0.5,3,130.0
8,C2,4.0,0.5,3,130.0
9,C2,4.0,0.5,3,130.0
10,C2,4.0,0.5,3,130.0
11,C2,4.0,0.5,3,130.0
12,C2,4.0,0.5,3,130.0
13,C2,4.0,0.5,3,130.0
14,C#2,6.0,0.5,100,130.0
15,C#2,8.0,0.5,100,130.0
16,C#2,9.0,0.5,100,130.0
17,C#2,10.0,0.5,100,130.0
18,C#2,11.0,0.5,100,130.0
19,D4,11.921,79/1000,106,130.0
20,F4,11.933,67/1000,106,130.0
21,C5,11.933,67/1000,106,130.0
22,A3,11.944,7/125,106,130.0
23,C5,11.948,13/250,106,130.0
24,A3,11.967,33/1000,106,130.0
25,A5,11.975,1/40,106,130.0
26,E5,11.983,17/1000,106,130.0
27,C4,11.996,1/250,106,130.0
28,C5,12.0,24/25,106,130.0
29,F4,12.0,983/1000,106,130.0
30,A3,12.0,0.938,106,130.0
31,D4,12.0,0.938,106,130.0
32,A5,12.0,113/125,106,130.0
33,E5,12.0,501/500,106,130.0
34,C5,12.0,927/1000,106,130.0
35,C4,12.0,0.938,106,130.0
36,A3,12.0,0.875,106,130.0
37,C#3,12.0,333/1000,87,130.0
38,E-3,12.0,333/1000,87,130.0
39,B1,12.0,333/1000,87,130.0
40,C6,12.004,197/200,106,130.0
41,C4,12.012,923/1000,106,130.0
42,D3,12.012,177/200,106,130.0
43,D3,12.019,213/250,105,130.0
44,C#3,12.904,829/1000,105,130.0
45,G#3,12.921,319/500,106,130.0
46,C#3,12.95,61/100,106,130.0
47,B3,12.954,633/1000,106,130.0
48,E4,12.956,117/200,106,130.0
49,E5,12.969,0.625,106,130.0
50,B3,12.969,0.562,106,130.0
51,G4,12.979,327/500,106,130.0
52,F3,12.979,581/1000,106,130.0
53,G#4,12.979,0.594,106,130.0
54,C#4,12.99,23/40,106,130.0
55,G5,12.998,61/100,106,130.0
56,E-3,13.0,333/1000,108,130.0
57,F#2,13.0,333/1000,108,130.0
58,B4,13.048,529/1000,106,130.0
59,B3,13.56,369/1000,106,130.0
60,C3,13.588,0.375,106,130.0
61,G3,13.592,89/250,106,130.0
62,E3,13.598,38/125,106,130.0
63,B3,13.598,169/500,106,130.0
64,G4,13.61,44/125,106,130.0
65,C4,13.613,169/500,106,130.0
66,G3,13.617,67/200,106,130.0
67,E4,13.625,383/1000,106,130.0
68,D5,13.646,171/500,106,130.0
69,E5,13.65,77/250,106,130.0
70,E-3,13.667,333/1000,55,130.0
71,B4,13.671,53/200,106,130.0
72,C3,13.74,97/250,105,130.0
73,E-3,14.0,333/1000,100,130.0
74,C#4,14.521,349/250,106,130.0
75,B3,14.527,349/250,106,130.0
76,G4,14.535,293/200,106,130.0
77,A3,14.546,67/50,106,130.0
78,F#3,14.552,701/500,106,130.0
79,E-5,14.562,347/250,106,130.0
80,B3,14.562,339/250,106,130.0
81,C5,14.567,697/500,106,130.0
82,C5,14.577,141/100,106,130.0
83,C6,14.588,353/250,106,130.0
84,E-4,14.588,1383/1000,106,130.0
85,G5,14.6,273/200,106,130.0
86,B2,14.727,1273/1000,105,130.0
87,E-3,15.0,333/1000,108,130.0
88,F#2,15.0,333/1000,108,130.0
89,E-3,15.667,333/1000,60,130.0
90,B-3,15.946,27/500,106,130.0
91,G#3,15.95,1/20,106,130.0
92,C4,15.969,0.031,106,130.0
93,B-3,15.979,21/1000,106,130.0
94,G4,15.988,3/250,106,130.0
95,C5,15.998,1/500,106,130.0
96,B2,16.0,27/1000,105,130.0
97,E-3,16.0,333/1000,100,130.0
98,G4,16.0,733/1000,106,130.0
99,G4,16.0,3/500,106,130.0
100,C4,16.0,137/200,106,130.0
101,G#3,16.0,303/500,106,130.0
102,B-3,16.0,301/500,106,130.0
103,C6,16.0,1/125,106,130.0
104,C5,16.0,617/1000,106,130.0
105,B-3,16.0,629/1000,106,130.0
106,E5,16.006,319/500,106,130.0
107,F3,16.01,149/250,106,130.0
108,D4,16.027,151/250,106,130.0
109,G#4,16.031,59/100,106,130.0
110,D4,16.035,0.594,106,130.0
111,G5,16.035,581/1000,106,130.0
112,B-2,16.062,633/1000,105,130.0
113,E3,16.64,197/500,106,130.0
114,E4,16.644,73/200,106,130.0
115,G3,16.646,3/10,106,130.0
116,C4,16.654,39/100,106,130.0
117,E5,16.663,329/1000,106,130.0
118,C4,16.663,89/250,106,130.0
119,G4,16.673,77/250,106,130.0
120,A3,16.673,89/250,106,130.0
121,A3,16.683,267/1000,106,130.0
122,B4,16.685,57/200,106,130.0
123,B3,16.696,319/1000,106,130.0
124,C5,16.7,63/200,106,130.0
125,A2,16.74,199/500,105,130.0
126,E-3,17.0,333/1000,108,130.0
127,F#2,17.0,333/1000,108,130.0
128,G#5,17.562,347/250,106,130.0
129,C6,17.577,297/200,106,130.0
130,E-4,17.587,1317/1000,106,130.0
131,C5,17.59,287/200,106,130.0
132,B-3,17.59,347/250,106,130.0
133,F#3,17.6,36/25,106,130.0
134,F5,17.61,677/500,106,130.0
135,G#3,17.619,327/250,106,130.0
136,G#3,17.629,129/100,106,130.0
137,C4,17.629,27/20,106,130.0
138,B-4,17.642,1331/1000,106,130.0
139,E-3,17.648,51/40,106,130.0
140,G#2,17.658,677/500,105,130.0
141,E-3,17.7,3/10,90,130.0
142,E-3,18.0,333/1000,100,130.0
143,D4,18.946,321/500,106,130.0
144,G3,18.96,149/250,106,130.0
145,G3,18.969,573/1000,106,130.0
146,D3,18.979,299/500,106,130.0
147,D5,18.99,617/1000,106,130.0
148,A2,19.0,333/1000,95,130.0
149,E-3,19.0,333/1000,95,130.0
150,F#2,19.0,333/1000,95,130.0
151,B-3,19.002,567/1000,106,130.0
152,B-4,19.021,153/250,106,130.0
153,G4,19.021,151/250,106,130.0
154,G4,19.033,583/1000,106,130.0
155,G5,19.046,0.594,106,130.0
156,G2,19.054,571/1000,105,130.0
157,F3,19.054,619/1000,106,130.0
158,B-3,19.067,247/500,106,130.0
159,F#3,19.598,333/1000,106,130.0
160,C#4,19.617,171/500,106,130.0
161,F#3,19.617,329/1000,106,130.0
162,C#3,19.617,331/1000,106,130.0
163,E4,19.635,3/10,106,130.0
164,B-3,19.644,329/1000,106,130.0
165,E4,19.654,173/500,106,130.0
166,E5,19.663,169/500,106,130.0
167,B-3,19.665,319/1000,106,130.0
168,C#3,19.669,331/1000,106,130.0
169,A4,19.681,6/25,106,130.0
170,C#5,19.683,57/200,106,130.0
171,F#2,19.688,0.312,105,130.0
172,A2,19.7,3/10,70,130.0
173,E-3,19.7,3/10,70,130.0
174,F#2,20.0,71/1000,105,130.0
175,E-3,20.0,333/1000,90,130.0
176,E4,20.0,3/200,106,130.0
177,C#3,20.0,1/500,106,130.0
178,E5,20.0,1/500,106,130.0
179,E-3,20.527,1.438,106,130.0
180,A3,20.531,73/50,106,130.0
181,F5,20.533,339/250,106,130.0
182,A3,20.552,1327/1000,106,130.0
183,F4,20.562,647/500,106,130.0
184,F3,20.565,1.344,106,130.0
185,C5,20.573,681/500,106,130.0
186,C5,20.577,1.344,106,130.0
187,C6,20.581,1417/1000,106,130.0
188,C3,20.585,699/500,106,130.0
189,A5,20.606,129/100,106,130.0
190,F2,20.633,1317/1000,105,130.0
191,E-4,20.64,627/500,106,130.0
192,E-3,21.0,333/1000,108,130.0
193,F#2,21.0,333/1000,108,130.0
194,E-3,21.7,3/10,55,130.0
195,D4,21.894,163/250,106,130.0
196,E3,21.915,13/20,106,130.0
197,G3,21.927,13/20,106,130.0
198,B4,21.942,127/200,106,130.0
199,G4,21.954,667/1000,106,130.0
200,B3,21.96,633/1000,106,130.0
201,D5,21.969,629/1000,106,130.0
202,B2,21.975,123/200,106,130.0
203,E3,21.979,581/1000,106,130.0
204,E2,21.988,3/5,105,130.0
205,G5,21.988,619/1000,106,130.0
206,E-3,22.0,333/1000,100,130.0
207,G4,22.002,319/500,106,130.0
208,G#3,22.002,629/1000,106,130.0
209,C#4,22.583,73/250,106,130.0
210,E-3,22.617,3/10,106,130.0
211,F#3,22.621,38/125,106,130.0
212,E-3,22.621,331/1000,106,130.0
213,A4,22.625,73/250,106,130.0
214,E4,22.635,323/1000,106,130.0
215,B-2,22.64,9/25,106,130.0
216,C#5,22.646,267/1000,106,130.0
217,E5,22.65,333/1000,106,130.0
218,B-3,22.654,44/125,106,130.0
219,E-2,22.663,17/50,105,130.0
220,E4,22.663,47/200,106,130.0
221,G3,22.685,333/1000,106,130.0
222,E-3,22.7,3/10,80,130.0
223,E-3,23.0,333/1000,108,130.0
224,F#2,23.0,333/1000,108,130.0
225,F#3,23.469,0.531,106,130.0
226,G#4,23.525,19/40,106,130.0
227,C5,23.54,23/50,106,130.0
228,D3,23.54,23/50,106,130.0
229,G#5,23.546,227/500,106,130.0
230,C6,23.55,9/20,106,130.0
231,E-5,23.552,56/125,106,130.0
232,D3,23.552,56/125,106,130.0
233,C4,23.554,223/500,106,130.0
