,note_name,start_time,duration,velocity,tempo
0,A1,8.0,721/500,76,112.0
1,E4,8.0,4.0,60,112.0
2,C4,8.0,4.0,60,112.0
3,A4,8.0,4.0,60,112.0
4,A3,8.0,4.0,60,112.0
5,B1,8.0,26/125,65,112.0
6,F#2,8.0,26/125,65,112.0
7,E4,8.05,79/20,105,112.0
8,A3,9.0,129/500,60,112.0
9,C3,9.0,129/500,60,112.0
10,F#2,9.0,26/125,80,112.0
11,C#2,9.0,26/125,80,112.0
12,A1,9.733,417/1000,84,112.0
13,F#2,9.733,26/125,40,112.0
14,E2,10.0,7/5,68,112.0
15,B1,10.0,26/125,70,112.0
16,F#2,10.0,26/125,70,112.0
17,A3,11.0,77/250,61,112.0
18,C3,11.0,77/250,61,112.0
19,F#2,11.0,26/125,85,112.0
20,C#2,11.0,26/125,85,112.0
21,E2,11.733,9/40,65,112.0
22,F#2,11.733,26/125,50,112.0
23,A1,12.0,2117/1000,76,112.0
24,E4,12.0,833/1000,105,112.0
25,G#3,12.0,3.625,60,112.0
26,B4,12.0,3.625,60,112.0
27,C4,12.0,3.625,60,112.0
28,E4,12.0,3.625,60,112.0
29,B1,12.0,26/125,65,112.0
30,F#2,12.0,26/125,65,112.0
31,E4,12.742,1167/1000,106,112.0
32,G#3,13.0,129/500,60,112.0
33,C3,13.0,129/500,60,112.0
34,F#2,13.0,26/125,80,112.0
35,C#2,13.0,26/125,80,112.0
36,F#2,13.733,26/125,40,112.0
37,E2,14.0,2.0,61,112.0
38,B1,14.0,26/125,70,112.0
39,F#2,14.0,26/125,70,112.0
40,E4,14.058,371/500,101,112.0
41,F4,14.783,683/1000,98,112.0
42,G#3,15.0,77/250,61,112.0
43,C3,15.0,77/250,61,112.0
44,F#2,15.0,26/125,85,112.0
45,C#2,15.0,26/125,85,112.0
46,C4,15.467,533/1000,80,112.0
47,E4,15.708,73/250,60,112.0
48,C4,15.708,73/250,60,112.0
49,B4,15.708,73/250,60,112.0
50,G3,15.708,73/250,60,112.0
51,F#2,15.733,26/125,50,112.0
52,A1,16.0,83/40,82,112.0
53,C4,16.0,83/1000,80,112.0
54,E4,16.0,3983/1000,60,112.0
55,C4,16.0,3983/1000,60,112.0
56,B4,16.0,3983/1000,60,112.0
57,G3,16.0,3983/1000,60,112.0
58,B1,16.0,26/125,65,112.0
59,F#2,16.0,26/125,65,112.0
60,E4,16.092,977/250,98,112.0
61,G3,17.0,129/500,60,112.0
62,C3,17.0,129/500,60,112.0
63,F#2,17.0,26/125,75,112.0
64,C#2,17.0,26/125,75,112.0
65,F#2,17.733,26/125,40,112.0
66,E2,18.0,1733/1000,85,112.0
67,B1,18.0,26/125,70,112.0
68,F#2,18.0,26/125,70,112.0
69,G3,19.0,77/250,61,112.0
70,C3,19.0,77/250,61,112.0
71,F#2,19.0,26/125,80,112.0
72,C#2,19.0,26/125,80,112.0
73,A1,19.733,183/1000,82,112.0
74,F#2,19.733,26/125,50,112.0
