,note_name,start_time,duration,velocity,tempo
0,B2,3.5,0.125,92,111.0
1,B2,3.625,0.125,97,111.0
2,B2,3.75,0.125,90,111.0
3,F3,4.0,1.0,85,111.0
4,C#3,4.0,0.125,104,111.0
5,B3,4.0,1.0,67,111.0
6,E3,4.0,1.0,67,111.0
7,B3,4.0,1.0,67,111.0
8,E3,4.0,1.0,67,111.0
9,E4,4.5,0.5,50,111.0
10,E4,4.5,0.5,50,111.0
11,G#4,5.0,0.25,49,111.0
12,G#4,5.0,0.25,49,111.0
13,F3,5.0,0.125,83,111.0
14,E3,5.5,1.0,62,111.0
15,A2,5.5,1.5,64,111.0
16,E3,5.5,1.0,62,111.0
17,A2,5.5,1.5,64,111.0
18,A3,6.0,1.0,69,111.0
19,A3,6.0,1.0,69,111.0
20,F3,6.0,0.125,85,111.0
21,C#4,6.5,0.5,44,111.0
22,C#4,6.5,0.5,44,111.0
23,B2,7.0,1.0,66,111.0
24,F#3,7.0,1.0,79,111.0
25,B2,7.0,1.0,66,111.0
26,F#3,7.0,1.0,79,111.0
27,F3,7.0,0.125,92,111.0
28,B3,7.5,0.5,62,111.0
29,B3,7.5,0.5,62,111.0
30,D4,8.0,4.0,76,111.0
31,B2,8.0,4.0,66,111.0
32,F#3,8.0,4.0,79,111.0
33,B3,8.0,4.0,62,111.0
34,D4,8.0,4.0,76,111.0
35,B2,8.0,4.0,66,111.0
36,F#3,8.0,4.0,79,111.0
37,B3,8.0,4.0,62,111.0
38,F3,8.0,0.125,88,111.0
39,E-3,8.0,121/500,49,111.0
40,E4,8.0,4.0,48,111.0
41,E-3,8.5,1/20,27,111.0
42,E-3,8.75,121/500,38,111.0
43,F3,9.0,0.125,80,111.0
44,E-3,9.5,9/40,41,111.0
45,F3,10.0,0.125,79,111.0
46,E-3,10.25,26/125,33,111.0
47,F3,11.0,0.125,75,111.0
48,E-3,11.0,71/500,26,111.0
49,E-3,11.5,117/1000,40,111.0
50,E-3,11.75,24/125,27,111.0
51,D4,12.0,3.0,76,111.0
52,B2,12.0,3.25,66,111.0
53,F#3,12.0,3.0,79,111.0
54,B3,12.0,3.0,62,111.0
55,D4,12.0,3.0,76,111.0
56,B2,12.0,3.25,66,111.0
57,F#3,12.0,3.0,79,111.0
58,B3,12.0,3.0,62,111.0
59,F3,12.0,0.125,82,111.0
60,E4,12.0,4.0,48,111.0
61,C3,12.25,0.25,66,111.0
62,E-3,12.5,23/250,32,111.0
63,C3,13.0,0.75,73,111.0
64,F3,13.0,0.125,80,111.0
65,E-3,13.25,133/1000,32,111.0
66,F3,14.0,0.125,79,111.0
67,E-3,14.0,9/40,37,111.0
68,B2,14.5,0.5,73,111.0
69,E-3,14.75,0.375,7,111.0
70,F3,15.0,0.125,83,111.0
71,A2,15.25,0.5,72,111.0
72,E-3,15.5,117/1000,30,111.0
73,E-3,15.75,0.25,28,111.0
74,F3,16.0,0.125,79,111.0
75,E-3,16.0,67/1000,28,111.0
76,E4,16.0,4.0,48,111.0
77,E3,16.0,1.25,76,111.0
78,B3,16.0,1.25,76,111.0
79,E3,16.0,1.25,76,111.0
80,B3,16.0,1.25,76,111.0
81,B2,16.0,0.25,58,111.0
82,C3,16.0,0.25,58,111.0
83,E4,16.5,0.75,58,111.0
84,E4,16.5,0.75,58,111.0
85,E-3,16.5,133/1000,34,111.0
86,E-3,16.75,283/1000,46,111.0
87,G#4,17.0,0.25,58,111.0
88,G#4,17.0,0.25,58,111.0
89,F3,17.0,0.125,85,111.0
90,A4,17.0,3.0,50,111.0
91,A2,17.5,1.5,92,111.0
92,E3,17.5,1.25,67,111.0
93,A2,17.5,1.5,92,111.0
94,E3,17.5,1.25,67,111.0
95,E-3,17.5,71/500,38,111.0
96,E-3,17.75,0.25,34,111.0
97,A3,18.0,1.0,66,111.0
98,A3,18.0,1.0,66,111.0
99,F3,18.0,0.25,80,111.0
100,C#4,18.5,0.5,51,111.0
101,C#4,18.5,0.5,51,111.0
102,B2,19.0,1.0,104,111.0
103,F#3,19.0,1.0,71,111.0
104,B2,19.0,1.0,104,111.0
105,F#3,19.0,1.0,71,111.0
106,F3,19.0,0.125,85,111.0
107,B3,19.5,0.5,62,111.0
108,B3,19.5,0.5,62,111.0
109,G2,19.5,0.25,88,111.0
110,G2,19.75,0.25,70,111.0
111,B3,19.875,0.125,86,111.0
112,E-3,19.875,0.125,86,111.0
113,D4,20.0,4.0,80,111.0
114,B2,20.0,4.0,104,111.0
115,F#3,20.0,4.0,71,111.0
116,B3,20.0,4.0,62,111.0
117,D4,20.0,4.0,80,111.0
118,B2,20.0,4.0,104,111.0
119,F#3,20.0,4.0,71,111.0
120,B3,20.0,4.0,62,111.0
121,F#2,20.0,0.5,85,111.0
122,C2,20.0,51/125,117,111.0
123,C2,20.0,0.5,104,111.0
124,E-3,20.0,7/40,56,111.0
125,E4,20.0,3683/1000,48,111.0
126,A4,20.0,4.0,50,111.0
127,F#4,20.0,0.25,112,111.0
128,D4,20.0,0.25,112,111.0
129,B3,20.0,0.25,112,111.0
130,F#4,20.0,0.25,87,111.0
131,D4,20.0,0.25,87,111.0
132,B3,20.0,0.25,87,111.0
133,B3,20.0,0.125,86,111.0
134,E-3,20.0,0.125,86,111.0
135,A3,20.0,0.25,76,111.0
136,C#3,20.0,0.25,76,111.0
137,B3,20.25,279/500,23,111.0
138,B3,20.5,0.25,73,111.0
139,B3,20.5,0.25,48,111.0
140,B-2,20.5,0.5,85,111.0
141,E-3,20.5,117/1000,52,111.0
142,C2,20.75,67/1000,94,111.0
143,E-3,20.75,23/250,37,111.0
144,F#4,20.75,0.25,103,111.0
145,B3,20.75,0.25,103,111.0
146,D4,20.75,0.25,103,111.0
147,F#4,20.75,0.25,78,111.0
148,B3,20.75,0.25,78,111.0
149,D4,20.75,0.25,78,111.0
150,B3,21.0,0.25,80,111.0
151,B3,21.0,0.25,55,111.0
152,F#2,21.0,0.25,109,111.0
153,C2,21.0,167/1000,79,111.0
154,E-3,21.0,23/250,37,111.0
155,B3,21.25,0.25,82,111.0
156,B3,21.25,0.25,57,111.0
157,B-2,21.5,0.25,46,111.0
158,C2,21.5,167/1000,101,111.0
159,E-3,21.5,3/40,51,111.0
160,F#4,21.5,0.25,111,111.0
161,B3,21.5,0.25,111,111.0
162,D4,21.5,0.25,111,111.0
163,F#4,21.5,0.25,86,111.0
164,B3,21.5,0.25,86,111.0
165,D4,21.5,0.25,86,111.0
166,E-3,21.75,71/500,21,111.0
167,G#2,22.0,0.25,84,111.0
168,C2,22.0,83/1000,90,111.0
169,C2,22.25,79/500,66,111.0
170,B-2,22.5,0.25,92,111.0
171,E-3,22.5,71/500,47,111.0
172,F#4,22.5,0.25,105,111.0
173,B3,22.5,0.25,105,111.0
174,D4,22.5,0.25,105,111.0
175,F#4,22.5,0.25,80,111.0
176,B3,22.5,0.25,80,111.0
177,D4,22.5,0.25,80,111.0
178,C2,22.75,67/1000,80,111.0
179,E-3,22.75,1/5,45,111.0
180,G#2,23.0,0.25,86,111.0
181,C2,23.0,9/40,73,111.0
182,B-2,23.5,0.25,100,111.0
183,C2,23.5,24/125,76,111.0
184,E-3,23.5,117/1000,54,111.0
185,E-3,23.75,1/5,51,111.0
186,D4,24.0,4.0,80,111.0
187,B2,24.0,4.0,104,111.0
188,F#3,24.0,4.0,71,111.0
189,B3,24.0,4.0,62,111.0
190,D4,24.0,4.0,80,111.0
191,B2,24.0,4.0,104,111.0
192,F#3,24.0,4.0,71,111.0
193,B3,24.0,4.0,62,111.0
