,note_name,start_time,duration,velocity,tempo
0,E-4,7.975,1/40,97,86.0
1,B1,8.0,721/500,76,86.0
2,E-4,8.0,517/1000,97,86.0
3,E-3,8.0,127/250,55,86.0
4,B3,8.0,3/10,64,86.0
5,B4,8.0,4.0,37,86.0
6,F#4,8.0,4.0,37,86.0
7,B3,8.0,4.0,37,86.0
8,B1,8.0,26/125,70,86.0
9,F#2,8.0,26/125,70,86.0
10,E-5,8.233,3767/1000,39,86.0
11,E4,8.558,129/500,97,86.0
12,G5,8.775,24/125,104,86.0
13,E4,9.0,483/1000,97,86.0
14,B3,9.0,233/1000,49,86.0
15,E-3,9.0,167/1000,41,86.0
16,F#2,9.0,26/125,80,86.0
17,C#2,9.0,26/125,80,86.0
18,G#5,9.117,283/1000,73,86.0
19,E-4,9.525,79/500,97,86.0
20,F#2,9.725,26/125,40,86.0
21,B1,9.733,417/1000,84,86.0
22,D5,9.808,71/500,70,86.0
23,E-4,9.933,77/250,97,86.0
24,F#2,10.0,7/5,68,86.0
25,E-3,10.0,1.0,56,86.0
26,B3,10.0,1.0,56,86.0
27,B1,10.0,26/125,70,86.0
28,F#2,10.0,26/125,70,86.0
29,G#4,10.1,267/1000,49,86.0
30,F#3,10.525,7/10,97,86.0
31,D4,10.8,26/125,89,86.0
32,E-3,11.0,217/1000,56,86.0
33,B3,11.0,217/1000,56,86.0
34,F#2,11.0,26/125,88,86.0
35,C#2,11.0,26/125,88,86.0
36,G#3,11.067,617/1000,52,86.0
37,G#3,11.258,24/125,97,86.0
38,B3,11.575,7/40,97,86.0
39,B1,11.725,26/125,50,86.0
40,F#2,11.725,26/125,50,86.0
41,F#2,11.733,9/40,65,86.0
42,E-4,11.975,1/40,97,86.0
43,E-2,12.0,1029/500,89,86.0
44,E-4,12.0,221/500,97,86.0
45,E-3,12.0,127/250,55,86.0
46,B3,12.0,3/10,64,86.0
47,B-2,12.0,26/125,54,86.0
48,B4,12.0,3983/1000,37,86.0
49,E-4,12.0,3983/1000,37,86.0
50,E-3,12.0,3983/1000,37,86.0
51,E-5,12.0,3983/1000,37,86.0
52,G5,12.0,3983/1000,37,86.0
53,G#4,12.075,183/1000,45,86.0
54,B4,12.092,271/500,63,86.0
55,F#4,12.092,73/250,68,86.0
56,G4,12.258,51/125,54,86.0
57,E4,12.583,417/1000,97,86.0
58,B-2,12.792,401/125,53,86.0
59,B3,13.0,233/1000,49,86.0
60,E-3,13.0,167/1000,41,86.0
61,F#2,13.0,26/125,75,86.0
62,C#2,13.0,26/125,75,86.0
63,E4,13.258,283/1000,97,86.0
64,E-4,13.517,117/1000,97,86.0
65,F#2,13.717,26/125,40,86.0
66,E-4,13.892,3/10,97,86.0
67,E-3,14.0,1.0,56,86.0
68,B3,14.0,1.0,56,86.0
69,B1,14.0,26/125,70,86.0
70,F#2,14.0,26/125,70,86.0
71,B-2,14.058,879/500,82,86.0
72,G3,14.558,1.25,97,86.0
73,E-3,15.0,217/1000,56,86.0
74,B3,15.0,217/1000,56,86.0
75,B1,15.0,26/125,70,86.0
76,F#2,15.0,26/125,70,86.0
77,F#2,15.717,26/125,50,86.0
78,G#2,16.0,1029/500,89,86.0
79,G#3,16.0,127/250,55,86.0
80,E-4,16.0,3/10,64,86.0
81,F#2,16.0,26/125,70,86.0
82,E-5,16.0,4.0,37,86.0
83,B4,16.0,4.0,37,86.0
84,G#3,16.0,4.0,37,86.0
85,G#5,16.233,3767/1000,39,86.0
86,G#5,16.783,171/500,82,86.0
87,E-4,17.0,233/1000,49,86.0
88,G#3,17.0,167/1000,41,86.0
89,F#2,17.0,26/125,75,86.0
90,C#2,17.0,26/125,75,86.0
91,B4,17.692,121/500,49,86.0
92,F#2,17.717,26/125,40,86.0
93,B-4,17.95,19/20,97,86.0
94,G#5,18.0,0.625,68,86.0
95,G#3,18.0,1.0,56,86.0
96,E-4,18.0,1.0,56,86.0
97,B1,18.0,26/125,70,86.0
98,F#2,18.0,26/125,70,86.0
99,E-2,18.058,879/500,82,86.0
100,G#4,18.908,983/1000,97,86.0
101,G#3,19.0,217/1000,56,86.0
102,E-4,19.0,217/1000,56,86.0
103,B1,19.0,26/125,70,86.0
104,F#2,19.0,26/125,70,86.0
105,F#2,19.717,26/125,50,86.0
106,B4,19.792,26/125,47,86.0
107,C#2,20.0,2.0,85,86.0
108,F3,20.0,127/250,55,86.0
109,B3,20.0,3/10,64,86.0
110,F5,20.0,159/40,36,86.0
111,B4,20.0,159/40,36,86.0
112,G4,20.0,159/40,36,86.0
113,C#4,20.0,159/40,36,86.0
114,E-5,20.0,159/40,36,86.0
115,F4,20.0,159/40,36,86.0
116,B1,20.0,26/125,70,86.0
117,F#2,20.0,26/125,70,86.0
118,E-4,20.008,3533/1000,97,86.0
119,G#6,20.05,467/1000,43,86.0
120,B3,20.05,467/1000,43,86.0
121,F3,20.05,467/1000,43,86.0
122,G#5,20.058,77/250,35,86.0
123,D6,20.067,7/40,36,86.0
124,E-6,20.308,7/20,46,86.0
125,G#6,20.783,217/1000,58,86.0
126,B3,20.783,217/1000,58,86.0
127,F3,20.783,217/1000,58,86.0
128,E-6,20.808,217/1000,62,86.0
129,B3,20.808,217/1000,62,86.0
130,G#5,20.808,217/1000,62,86.0
131,F3,20.808,217/1000,62,86.0
132,B3,21.0,233/1000,49,86.0
133,F3,21.0,167/1000,41,86.0
134,F#2,21.0,26/125,70,86.0
135,C#2,21.0,26/125,70,86.0
136,F#2,21.717,26/125,40,86.0
137,G#2,22.0,31/20,85,86.0
138,F3,22.0,1.0,56,86.0
139,B3,22.0,1.0,56,86.0
140,B1,22.0,26/125,70,86.0
141,F#2,22.0,26/125,70,86.0
142,F3,23.0,217/1000,56,86.0
143,B3,23.0,217/1000,56,86.0
144,F#2,23.0,26/125,78,86.0
145,C#2,23.0,26/125,78,86.0
146,F#2,23.717,26/125,50,86.0
147,G2,23.733,267/1000,80,86.0
148,F#2,24.0,1617/1000,80,86.0
149,E3,24.0,127/250,55,86.0
150,B-3,24.0,3/10,64,86.0
151,E5,24.0,79/40,36,86.0
152,B-4,24.0,79/40,36,86.0
153,F#4,24.0,79/40,36,86.0
154,F#3,24.0,79/40,36,86.0
155,C#5,24.0,79/40,36,86.0
156,E4,24.0,79/40,36,86.0
157,B1,24.0,26/125,70,86.0
158,F#2,24.0,26/125,70,86.0
159,F#4,24.008,433/1000,97,86.0
160,F#6,24.05,467/1000,43,86.0
161,B-3,24.05,467/1000,43,86.0
162,E3,24.05,467/1000,43,86.0
163,F#5,24.058,77/250,35,86.0
164,D6,24.067,7/40,31,86.0
165,E-6,24.308,7/20,55,86.0
166,G#4,24.633,183/1000,97,86.0
167,F#6,24.783,217/1000,58,86.0
168,B-3,24.783,217/1000,58,86.0
169,E3,24.783,217/1000,58,86.0
170,E-6,24.808,217/1000,62,86.0
171,B-3,24.808,217/1000,62,86.0
172,F#5,24.808,217/1000,62,86.0
173,E3,24.808,217/1000,62,86.0
174,B-3,25.0,233/1000,49,86.0
175,E3,25.0,167/1000,41,86.0
176,F#2,25.0,26/125,80,86.0
177,C#2,25.0,26/125,80,86.0
178,G#4,25.017,51/125,97,86.0
179,F#4,25.633,3/20,97,86.0
180,F#2,25.725,26/125,40,86.0
181,C2,25.733,267/1000,81,86.0
182,C#2,26.0,1617/1000,80,86.0
183,E3,26.0,127/250,55,86.0
184,B3,26.0,3/10,64,86.0
185,B4,26.0,2.0,37,86.0
186,G#4,26.0,2.0,37,86.0
187,C#4,26.0,2.0,37,86.0
188,B1,26.0,26/125,70,86.0
189,F#2,26.0,26/125,70,86.0
190,F#4,26.008,229/500,97,86.0
191,G5,26.067,267/1000,69,86.0
192,C#2,26.1,473/250,52,86.0
193,E3,26.1,473/250,52,86.0
194,B5,26.1,473/250,52,86.0
195,E5,26.233,1767/1000,39,86.0
196,G#5,26.383,1617/1000,44,86.0
197,C#4,26.608,49/125,97,86.0
198,E-4,27.0,583/1000,97,86.0
199,B3,27.0,233/1000,49,86.0
200,E3,27.0,167/1000,41,86.0
201,F#2,27.0,26/125,88,86.0
202,C#2,27.0,26/125,88,86.0
203,E4,27.6,26/125,97,86.0
204,B1,27.725,26/125,50,86.0
