,note_name,start_time,duration,velocity,tempo
0,A4,0.0,667/1000,95,140.0
1,C4,0.0,667/1000,95,140.0
2,D3,0.0,667/1000,95,140.0
3,B4,0.667,333/1000,95,140.0
4,A4,1.0,1.0,95,140.0
5,G#4,2.0,667/1000,95,140.0
6,B3,2.0,667/1000,95,140.0
7,C#3,2.0,667/1000,95,140.0
8,B-4,2.667,333/1000,95,140.0
9,G#4,3.0,1.0,95,140.0
10,G4,4.0,667/1000,95,140.0
11,B-3,4.0,667/1000,95,140.0
12,C3,4.0,667/1000,95,140.0
13,A4,4.667,333/1000,95,140.0
14,G4,5.0,667/1000,95,140.0
15,F#4,5.667,333/1000,95,140.0
16,A3,5.667,333/1000,95,140.0
17,B2,5.667,333/1000,95,140.0
18,F4,8.0,667/1000,95,140.0
19,G#3,8.0,667/1000,95,140.0
20,B-2,8.0,667/1000,95,140.0
21,F4,8.667,833/1000,95,140.0
22,G#3,8.667,833/1000,95,140.0
23,E4,9.667,833/1000,95,140.0
24,C#4,9.667,833/1000,95,140.0
25,G3,9.667,833/1000,95,140.0
26,D4,10.667,333/1000,95,140.0
27,B3,11.0,1.0,95,140.0
28,D4,12.0,1.0,95,140.0
29,A3,12.0,1.0,95,140.0
30,F#3,12.0,1.0,95,140.0
31,D2,12.0,1.0,95,140.0
32,E-2,13.0,1.0,95,140.0
33,B3,14.0,1.0,95,140.0
34,G#3,14.0,1.0,95,140.0
35,D3,14.0,1.0,95,140.0
36,E2,14.0,1.0,95,140.0
37,B2,15.0,667/1000,95,140.0
38,B-2,15.667,333/1000,95,140.0
39,A2,16.0,1.0,95,140.0
40,D4,17.0,667/1000,95,140.0
41,G3,17.0,667/1000,95,140.0
42,B3,17.667,333/1000,95,140.0
43,D4,18.0,667/1000,95,140.0
44,E2,18.0,667/1000,95,140.0
45,B3,18.667,333/1000,95,140.0
46,G3,19.0,667/1000,95,140.0
47,C#4,19.667,333/1000,95,140.0
48,A2,20.0,667/1000,95,140.0
49,C4,20.667,333/1000,95,140.0
50,C#4,21.0,667/1000,95,140.0
51,G3,21.0,667/1000,95,140.0
52,C4,21.667,333/1000,95,140.0
53,C#4,22.0,667/1000,95,140.0
54,E2,22.0,667/1000,95,140.0
55,A4,22.667,333/1000,95,140.0
56,G3,23.0,1.0,95,140.0
57,A2,24.0,1.0,95,140.0
58,D4,25.0,667/1000,95,140.0
59,G3,25.0,667/1000,95,140.0
60,B3,25.667,333/1000,95,140.0
61,D4,26.0,667/1000,95,140.0
62,E2,26.0,667/1000,95,140.0
63,B3,26.667,333/1000,95,140.0
64,G3,27.0,667/1000,95,140.0
65,C#4,27.667,333/1000,95,140.0
66,A2,28.0,667/1000,95,140.0
67,C4,28.667,333/1000,95,140.0
68,C#4,29.0,667/1000,95,140.0
69,G3,29.0,667/1000,95,140.0
70,C4,29.667,333/1000,95,140.0
71,C#4,30.0,667/1000,95,140.0
72,E2,30.0,667/1000,95,140.0
73,E4,30.667,333/1000,95,140.0
74,B3,31.0,667/1000,95,140.0
75,G3,31.0,667/1000,95,140.0
76,B-3,31.667,333/1000,95,140.0
77,A3,32.0,1.0,95,140.0
78,D2,32.0,1.0,95,140.0
79,F#4,33.0,667/1000,95,140.0
80,D4,33.0,667/1000,95,140.0
81,A3,33.667,333/1000,95,140.0
82,F#4,34.0,667/1000,95,140.0
83,C#4,34.0,667/1000,95,140.0
84,A3,34.0,667/1000,95,140.0
85,A2,34.0,667/1000,95,140.0
86,F#4,34.667,333/1000,95,140.0
87,D4,34.667,333/1000,95,140.0
88,C#4,35.0,667/1000,95,140.0
89,F#4,35.667,333/1000,95,140.0
90,B3,35.667,333/1000,95,140.0
91,D3,36.0,667/1000,95,140.0
92,A4,36.667,333/1000,95,140.0
93,F#4,37.0,1.0,95,140.0
94,B4,38.0,667/1000,95,140.0
95,G3,38.0,667/1000,95,140.0
96,A2,38.0,667/1000,95,140.0
97,A4,38.667,333/1000,95,140.0
98,F4,39.0,667/1000,95,140.0
99,E4,39.667,333/1000,95,140.0
100,D2,40.0,1.0,95,140.0
101,D4,41.0,667/1000,95,140.0
102,A3,41.0,667/1000,95,140.0
103,F#3,41.0,667/1000,95,140.0
104,A2,41.667,333/1000,95,140.0
105,C#4,42.0,667/1000,95,140.0
106,A3,42.0,667/1000,95,140.0
107,F3,42.0,667/1000,95,140.0
108,D4,42.667,333/1000,95,140.0
109,A3,42.667,333/1000,95,140.0
