,note_name,start_time,duration,velocity,tempo
0,E-4,4.725,1117/1000,113,150.0
1,F4,6.075,229/500,82,150.0
2,G4,7.058,517/1000,110,150.0
3,B-1,8.0,721/500,76,150.0
4,D3,8.0,127/250,55,150.0
5,G#3,8.0,3/10,64,150.0
6,B-2,8.0,159/40,36,150.0
7,F#3,8.0,159/40,36,150.0
8,G#3,8.0,159/40,36,150.0
9,D4,8.0,159/40,36,150.0
10,B3,8.0,159/40,36,150.0
11,D3,8.0,159/40,36,150.0
12,B1,8.0,26/125,65,150.0
13,F#2,8.0,26/125,65,150.0
14,F6,8.05,467/1000,43,150.0
15,G#3,8.05,467/1000,43,150.0
16,D3,8.05,467/1000,43,150.0
17,F5,8.058,77/250,35,150.0
18,B5,8.067,7/40,36,150.0
19,G#4,8.075,1271/500,116,150.0
20,B5,8.308,7/20,46,150.0
21,F6,8.783,217/1000,58,150.0
22,G#3,8.783,217/1000,58,150.0
23,D3,8.783,217/1000,58,150.0
24,B5,8.808,217/1000,62,150.0
25,G#3,8.808,217/1000,62,150.0
26,F5,8.808,217/1000,62,150.0
27,D3,8.808,217/1000,62,150.0
28,G#3,9.0,233/1000,49,150.0
29,D3,9.0,167/1000,41,150.0
30,F#2,9.0,26/125,80,150.0
31,C#2,9.0,26/125,80,150.0
32,B-1,9.733,417/1000,84,150.0
33,F#2,9.733,26/125,40,150.0
34,F2,10.0,7/5,68,150.0
35,D3,10.0,1.0,56,150.0
36,G#3,10.0,1.0,56,150.0
37,B1,10.0,26/125,70,150.0
38,F#2,10.0,26/125,70,150.0
39,G4,10.725,521/500,110,150.0
40,D3,11.0,217/1000,56,150.0
41,G#3,11.0,217/1000,56,150.0
42,F#2,11.0,26/125,85,150.0
43,C#2,11.0,26/125,85,150.0
44,F2,11.733,9/40,65,150.0
45,F#2,11.733,26/125,50,150.0
46,E-2,12.0,2117/1000,76,150.0
47,D3,12.0,127/250,55,150.0
48,G3,12.0,3/10,64,150.0
49,E-2,12.0,159/40,36,150.0
50,E-3,12.0,159/40,36,150.0
51,G3,12.0,159/40,36,150.0
52,D4,12.0,159/40,36,150.0
53,B-3,12.0,159/40,36,150.0
54,D3,12.0,159/40,36,150.0
55,B1,12.0,26/125,70,150.0
56,F#2,12.0,26/125,70,150.0
57,G4,12.108,1279/500,102,150.0
58,B5,12.775,24/125,104,150.0
59,G3,13.0,233/1000,49,150.0
60,D3,13.0,167/1000,41,150.0
61,F#2,13.0,26/125,80,150.0
62,C#2,13.0,26/125,80,150.0
63,C6,13.117,283/1000,73,150.0
64,F#2,13.733,26/125,40,150.0
65,F#5,13.808,71/500,70,150.0
66,B-2,14.0,2.0,61,150.0
67,D3,14.0,1.0,56,150.0
68,G3,14.0,1.0,56,150.0
69,B1,14.0,26/125,70,150.0
70,F#2,14.0,26/125,70,150.0
71,C5,14.1,267/1000,49,150.0
72,F#4,14.8,26/125,89,150.0
73,B-3,14.8,6/5,100,150.0
74,D3,15.0,217/1000,56,150.0
75,G3,15.0,217/1000,56,150.0
76,F#2,15.0,26/125,86,150.0
77,C#2,15.0,26/125,86,150.0
78,C4,15.067,617/1000,52,150.0
79,F#2,15.733,26/125,50,150.0
80,B-1,16.0,21/10,80,150.0
81,B-3,16.0,1/40,100,150.0
82,D3,16.0,127/250,55,150.0
83,G#3,16.0,3/10,64,150.0
84,B-2,16.0,4.0,36,150.0
85,F#3,16.0,4.0,36,150.0
86,G#3,16.0,4.0,36,150.0
87,D4,16.0,4.0,36,150.0
88,B3,16.0,4.0,36,150.0
89,D3,16.0,4.0,36,150.0
90,B1,16.0,26/125,65,150.0
91,F#2,16.0,26/125,65,150.0
92,B3,16.075,183/1000,45,150.0
93,B3,16.075,53/20,102,150.0
94,F4,16.092,271/500,63,150.0
95,C#4,16.092,73/250,68,150.0
96,D4,16.258,51/125,54,150.0
97,F3,16.733,3267/1000,73,150.0
98,G#3,17.0,233/1000,49,150.0
99,D3,17.0,167/1000,41,150.0
100,F#2,17.0,26/125,80,150.0
101,C#2,17.0,26/125,80,150.0
102,F#2,17.733,26/125,40,150.0
103,F2,18.0,151/125,73,150.0
104,D3,18.0,1.0,56,150.0
105,G#3,18.0,1.0,56,150.0
106,B1,18.0,26/125,70,150.0
107,F#2,18.0,26/125,70,150.0
108,G#4,18.75,1.0,116,150.0
109,D3,19.0,217/1000,56,150.0
110,G#3,19.0,217/1000,56,150.0
111,F#2,19.0,26/125,85,150.0
112,C#2,19.0,26/125,85,150.0
113,F2,19.733,267/1000,77,150.0
114,F#2,19.733,26/125,50,150.0
115,B-2,20.0,21/20,66,150.0
116,F2,20.0,7/40,77,150.0
117,F3,20.0,0.75,73,150.0
118,D3,20.0,11/40,57,150.0
119,G#3,20.0,11/40,57,150.0
120,B1,20.0,26/125,70,150.0
121,F#2,20.0,26/125,70,150.0
122,G#4,20.05,2433/1000,105,150.0
123,F2,21.0,126/125,78,150.0
124,D3,21.0,129/500,58,150.0
125,G#3,21.0,129/500,58,150.0
