,note_name,start_time,duration,velocity,tempo
0,C5,0.0,1/5,80,140.0
1,C5,0.25,1/5,80,140.0
2,C5,0.5,1/5,80,140.0
3,C5,0.75,1/5,80,140.0
4,C5,1.0,1/5,80,140.0
5,D5,1.25,1/5,80,140.0
6,E5,1.5,1/5,80,140.0
7,C5,1.75,1/5,80,140.0
8,D5,2.0,2/5,80,140.0
9,D5,2.5,133/1000,80,140.0
10,D5,2.667,133/1000,80,140.0
11,D5,2.833,133/1000,80,140.0
12,D5,3.0,1/5,80,140.0
13,E5,3.25,1/5,80,140.0
14,F5,3.5,1/5,80,140.0
15,G5,3.75,1/5,80,140.0
16,F5,4.0,1/5,80,140.0
17,E5,4.25,1/5,80,140.0
18,E5,4.5,4/5,80,140.0
19,C5,5.5,1/5,80,140.0
20,E5,5.75,1/5,80,140.0
21,D5,6.0,1/5,80,140.0
22,G4,6.25,1/5,80,140.0
23,F#4,6.5,1/5,80,140.0
24,B4,6.75,1/5,80,140.0
25,G#4,7.0,1/5,80,140.0
26,F4,7.25,1/5,80,140.0
27,B-4,7.5,1/5,80,140.0
28,C#4,7.75,1/5,80,140.0
29,C4,8.0,1/5,80,140.0
30,F4,8.25,1/5,80,140.0
31,F4,8.5,1/5,80,140.0
32,E-4,8.75,1/5,80,140.0
33,G#4,9.0,1/5,80,140.0
34,G4,9.25,1/5,80,140.0
35,F4,9.5,1/5,80,140.0
36,C#5,9.75,1/5,80,140.0
37,C5,10.0,1/5,80,140.0
38,F5,10.25,1/5,80,140.0
39,E5,10.5,1/5,80,140.0
40,G5,10.75,1/5,80,140.0
41,A5,11.0,1/5,80,140.0
42,F5,11.25,1/5,80,140.0
43,F5,11.5,1/5,80,140.0
44,B-5,11.75,1/5,80,140.0
45,F#5,12.0,1/5,80,140.0
46,C#5,12.25,1/5,80,140.0
47,C#5,12.5,1/5,80,140.0
48,C5,12.75,1/5,80,140.0
49,B4,13.0,1/5,80,140.0
50,G4,13.25,1/5,80,140.0
51,G4,13.5,1/5,80,140.0
52,D4,13.75,1/5,80,140.0
53,C#4,14.0,1/5,80,140.0
54,E4,14.25,1/5,80,140.0
55,D4,14.5,1/5,80,140.0
56,B-3,14.75,1/5,80,140.0
57,G4,15.0,1/5,80,140.0
58,C4,15.25,1/5,80,140.0
59,B-4,15.5,1/5,80,140.0
60,G#4,15.75,1/5,80,140.0
61,G4,16.0,1/5,80,140.0
62,G4,16.25,1/5,80,140.0
63,G4,16.5,1/5,80,140.0
64,G4,16.75,1/5,80,140.0
65,G4,17.0,1/5,80,140.0
66,A4,17.25,1/5,80,140.0
67,B4,17.5,1/5,80,140.0
68,G4,17.75,1/5,80,140.0
69,A4,18.0,2/5,80,140.0
70,A4,18.5,133/1000,80,140.0
71,A4,18.667,133/1000,80,140.0
72,A4,18.833,133/1000,80,140.0
73,A4,19.0,1/5,80,140.0
74,B4,19.25,1/5,80,140.0
75,C5,19.5,1/5,80,140.0
76,D5,19.75,1/5,80,140.0
77,E-5,20.0,1/5,80,140.0
78,D5,20.25,1/5,80,140.0
79,B-4,20.5,1/5,80,140.0
80,F4,20.75,1/5,80,140.0
81,C5,21.0,1/5,80,140.0
82,G#4,21.25,1/5,80,140.0
83,E-4,21.5,1/5,80,140.0
84,B-3,21.75,1/5,80,140.0
85,C4,22.0,1/5,80,140.0
86,D4,22.25,1/5,80,140.0
87,E-4,22.5,1/5,80,140.0
88,F4,22.75,1/5,80,140.0
89,E4,23.0,1/5,80,140.0
90,F#4,23.25,1/5,80,140.0
91,G#4,23.5,1/5,80,140.0
92,B-4,23.75,1/5,80,140.0
93,C5,24.0,1/5,80,140.0
94,E4,24.25,1/5,80,140.0
95,B-4,24.5,1/5,80,140.0
96,D4,24.75,1/5,80,140.0
97,G4,25.0,1/5,80,140.0
98,B3,25.25,1/5,80,140.0
99,B-3,25.5,1/5,80,140.0
100,C#4,25.75,1/5,80,140.0
101,E4,26.0,1/5,80,140.0
102,F4,26.25,1/5,80,140.0
103,E-5,26.5,1/5,80,140.0
104,D5,26.75,1/5,80,140.0
105,C#5,27.0,1/5,80,140.0
106,D4,27.25,1/5,80,140.0
107,B4,27.5,1/5,80,140.0
108,B-4,27.75,1/5,80,140.0
109,A4,28.0,1/5,80,140.0
110,C5,28.25,1/5,80,140.0
111,B-4,28.5,1/5,80,140.0
112,F#4,28.75,1/5,80,140.0
113,F4,29.0,1/5,80,140.0
114,D4,29.25,1/5,80,140.0
115,F#4,29.5,1/5,80,140.0
116,E-4,29.75,1/5,80,140.0
117,C4,30.0,1/5,80,140.0
118,B3,30.25,1/5,80,140.0
119,D4,30.5,1/5,80,140.0
120,C4,30.75,1/5,80,140.0
121,F4,31.0,1/5,80,140.0
122,E4,31.25,1/5,80,140.0
123,D4,31.5,1/5,80,140.0
124,G4,31.75,1/5,80,140.0
125,C5,32.0,1/5,80,140.0
126,C5,32.25,1/5,80,140.0
127,C5,32.5,1/5,80,140.0
128,C5,32.5,1/5,80,140.0
129,C5,32.75,1/5,80,140.0
130,C5,33.0,1/5,80,140.0
131,D5,33.25,1/5,80,140.0
132,E5,33.5,1/5,80,140.0
133,C5,33.75,1/5,80,140.0
134,D5,34.0,2/5,80,140.0
135,D5,34.5,133/1000,80,140.0
136,D5,34.667,133/1000,80,140.0
137,D5,34.833,133/1000,80,140.0
138,D5,35.0,1/5,80,140.0
139,E5,35.25,1/5,80,140.0
140,F5,35.5,1/5,80,140.0
141,G5,35.75,1/5,80,140.0
142,F5,36.0,1/5,80,140.0
143,E5,36.25,1/5,80,140.0
144,E5,36.5,4/5,80,140.0
145,C5,37.5,1/5,80,140.0
146,E5,37.75,1/5,80,140.0
147,D5,38.0,1/5,80,140.0
148,G4,38.25,1/5,80,140.0
149,F#4,38.5,1/5,80,140.0
150,B4,38.75,1/5,80,140.0
151,G#4,39.0,1/5,80,140.0
152,F4,39.25,1/5,80,140.0
153,B-4,39.5,1/5,80,140.0
154,C#4,39.75,1/5,80,140.0
155,C4,40.0,1/5,80,140.0
156,F4,40.25,1/5,80,140.0
157,F4,40.5,1/5,80,140.0
158,E-4,40.75,1/5,80,140.0
159,G#4,41.0,1/5,80,140.0
160,G4,41.25,1/5,80,140.0
161,F4,41.5,1/5,80,140.0
162,C#5,41.75,1/5,80,140.0
163,C5,42.0,1/5,80,140.0
164,F5,42.25,1/5,80,140.0
165,E5,42.5,1/5,80,140.0
166,G5,42.75,1/5,80,140.0
167,A5,43.0,1/5,80,140.0
168,F5,43.25,1/5,80,140.0
169,F5,43.5,1/5,80,140.0
170,B-5,43.75,1/5,80,140.0
171,F#5,44.0,1/5,80,140.0
172,C#5,44.25,1/5,80,140.0
173,C#5,44.5,1/5,80,140.0
174,C5,44.75,1/5,80,140.0
175,B4,45.0,1/5,80,140.0
176,G4,45.25,1/5,80,140.0
177,G4,45.5,1/5,80,140.0
178,D4,45.75,1/5,80,140.0
179,C#4,46.0,1/5,80,140.0
180,E4,46.25,1/5,80,140.0
181,D4,46.5,1/5,80,140.0
182,B-3,46.75,1/5,80,140.0
183,G4,47.0,1/5,80,140.0
184,C4,47.25,1/5,80,140.0
185,B-4,47.5,1/5,80,140.0
186,G#4,47.75,1/5,80,140.0
187,F#4,48.0,1/5,80,140.0
188,E4,48.25,1/5,80,140.0
189,A4,48.5,1/5,80,140.0
190,G4,48.75,1/5,80,140.0
191,B4,49.0,1/5,80,140.0
192,A4,49.25,1/5,80,140.0
193,C#5,49.5,1/5,80,140.0
194,B4,49.75,1/5,80,140.0
195,E-5,50.0,1/5,80,140.0
196,C#5,50.25,1/5,80,140.0
197,F#5,50.5,1/5,80,140.0
198,E5,50.75,1/5,80,140.0
199,G5,51.0,1/5,80,140.0
200,F#5,51.25,1/5,80,140.0
201,A5,51.5,1/5,80,140.0
202,G5,51.75,1/5,80,140.0
203,B5,52.0,1/5,80,140.0
204,B-5,52.25,1/5,80,140.0
205,F#5,52.5,1/5,80,140.0
206,F5,52.75,1/5,80,140.0
207,D5,53.0,1/5,80,140.0
208,C#5,53.25,1/5,80,140.0
209,C5,53.5,1/5,80,140.0
210,F5,53.75,1/5,80,140.0
211,E-5,54.0,1/5,80,140.0
212,B-4,54.25,1/5,80,140.0
213,C#5,54.5,1/5,80,140.0
214,G#4,54.75,1/5,80,140.0
215,B-4,55.0,1/5,80,140.0
216,C#5,55.25,1/5,80,140.0
217,G#4,55.5,1/5,80,140.0
218,F4,55.75,1/5,80,140.0
219,F#4,56.0,1/5,80,140.0
220,G#4,56.25,1/5,80,140.0
221,E-4,56.5,1/5,80,140.0
222,F4,56.75,1/5,80,140.0
223,C#4,57.0,1/5,80,140.0
224,E-4,57.25,1/5,80,140.0
225,B3,57.5,1/5,80,140.0
226,C#4,57.75,1/5,80,140.0
227,A3,58.0,1/5,80,140.0
228,B3,58.25,1/5,80,140.0
229,G3,58.5,1/5,80,140.0
230,A3,58.75,1/5,80,140.0
231,F#3,59.0,1/5,80,140.0
232,G#3,59.25,1/5,80,140.0
233,E-3,59.5,1/5,80,140.0
234,E3,59.75,1/5,80,140.0
235,F#3,60.0,1/5,80,140.0
236,G#3,60.25,1/5,80,140.0
237,C#4,60.5,1/5,80,140.0
238,C4,60.75,1/5,80,140.0
239,B3,61.0,1/5,80,140.0
240,A4,61.25,1/5,80,140.0
241,B-4,61.5,1/5,80,140.0
242,F4,61.75,1/5,80,140.0
243,F#4,62.0,1/5,80,140.0
244,D4,62.25,1/5,80,140.0
245,B-4,62.5,1/5,80,140.0
246,C#4,62.75,1/5,80,140.0
247,C4,63.0,1/5,80,140.0
248,B4,63.25,1/5,80,140.0
249,G#4,63.5,1/5,80,140.0
250,A3,63.75,1/5,80,140.0
251,C5,64.0,1/5,80,140.0
252,C5,64.25,1/5,80,140.0
