,note_name,start_time,duration,velocity,tempo
0,A1,0.0,3.0,127,120.0
1,F#2,0.0,167/1000,127,120.0
2,B1,0.0,167/1000,127,120.0
3,F#2,0.167,167/1000,95,120.0
4,F#2,0.333,167/1000,95,120.0
5,F#2,0.5,167/1000,95,120.0
6,F#2,0.667,167/1000,95,120.0
7,F#2,0.833,167/1000,95,120.0
8,F#2,1.0,167/1000,127,120.0
9,B1,1.0,167/1000,127,120.0
10,F#2,1.167,167/1000,95,120.0
11,F#2,1.333,167/1000,95,120.0
12,F#2,1.5,167/1000,95,120.0
13,F#2,1.667,167/1000,95,120.0
14,F#2,1.833,167/1000,95,120.0
15,F#2,2.0,167/1000,127,120.0
16,B1,2.0,167/1000,127,120.0
17,F#2,2.167,167/1000,95,120.0
18,F#2,2.333,167/1000,95,120.0
19,F#2,2.5,167/1000,95,120.0
20,F#2,2.667,167/1000,95,120.0
21,F#2,2.833,167/1000,95,120.0
22,A1,3.0,1.0,111,120.0
23,F#2,3.0,167/1000,127,120.0
24,B1,3.0,167/1000,127,120.0
25,F#2,3.167,167/1000,95,120.0
26,F#2,3.333,167/1000,95,120.0
27,F#2,3.5,167/1000,95,120.0
28,F#2,3.667,167/1000,95,120.0
29,F#2,3.833,167/1000,95,120.0
30,A2,4.0,3.0,127,120.0
31,F#2,4.0,167/1000,127,120.0
32,B1,4.0,167/1000,127,120.0
33,F#2,4.167,167/1000,95,120.0
34,F#2,4.333,167/1000,95,120.0
35,F#2,4.5,167/1000,95,120.0
36,F#2,4.667,167/1000,95,120.0
37,F#2,4.833,167/1000,95,120.0
38,F#2,5.0,167/1000,127,120.0
39,B1,5.0,167/1000,127,120.0
40,F#2,5.167,167/1000,95,120.0
41,F#2,5.333,167/1000,95,120.0
42,F#2,5.5,167/1000,95,120.0
43,F#2,5.667,167/1000,95,120.0
44,F#2,5.833,167/1000,95,120.0
45,F#2,6.0,167/1000,127,120.0
46,B1,6.0,167/1000,127,120.0
47,F#2,6.167,167/1000,95,120.0
48,F#2,6.333,167/1000,95,120.0
49,F#2,6.5,167/1000,95,120.0
50,F#2,6.667,167/1000,95,120.0
51,F#2,6.833,167/1000,95,120.0
52,A2,7.0,1.0,63,120.0
53,F#2,7.0,167/1000,127,120.0
54,B1,7.0,167/1000,127,120.0
55,F#2,7.167,167/1000,95,120.0
56,F#2,7.333,167/1000,95,120.0
57,F#2,7.5,167/1000,95,120.0
58,F#2,7.667,167/1000,95,120.0
59,F#2,7.833,167/1000,95,120.0
60,A1,8.0,3.0,127,120.0
61,F#2,8.0,167/1000,127,120.0
62,B1,8.0,167/1000,127,120.0
63,F#2,8.167,167/1000,95,120.0
64,F#2,8.333,167/1000,95,120.0
65,F#2,8.5,167/1000,95,120.0
66,F#2,8.667,167/1000,95,120.0
67,F#2,8.833,167/1000,95,120.0
68,F#2,9.0,167/1000,127,120.0
69,B1,9.0,167/1000,127,120.0
70,F#2,9.167,167/1000,95,120.0
71,F#2,9.333,167/1000,95,120.0
72,F#2,9.5,167/1000,95,120.0
73,F#2,9.667,167/1000,95,120.0
74,F#2,9.833,167/1000,95,120.0
75,F#2,10.0,167/1000,127,120.0
76,B1,10.0,167/1000,127,120.0
77,F#2,10.167,167/1000,95,120.0
78,F#2,10.333,167/1000,95,120.0
79,F#2,10.5,167/1000,95,120.0
80,F#2,10.667,167/1000,95,120.0
81,F#2,10.833,167/1000,95,120.0
82,A1,11.0,1.0,111,120.0
83,F#2,11.0,167/1000,127,120.0
84,B1,11.0,167/1000,127,120.0
85,F#2,11.167,167/1000,95,120.0
86,F#2,11.333,167/1000,95,120.0
87,F#2,11.5,167/1000,95,120.0
88,F#2,11.667,167/1000,95,120.0
89,F#2,11.833,167/1000,95,120.0
90,A2,12.0,3.0,127,120.0
91,F#2,12.0,167/1000,127,120.0
92,B1,12.0,167/1000,127,120.0
93,F#2,12.167,167/1000,95,120.0
94,F#2,12.333,167/1000,95,120.0
95,F#2,12.5,167/1000,95,120.0
96,F#2,12.667,167/1000,95,120.0
