,note_name,start_time,duration,velocity,tempo
0,C#4,2.5,49/100,100,132.5
1,E-4,2.964,49/100,100,132.5
2,E4,3.484,99/200,100,132.5
3,G#3,4.484,99/200,85,132.5
4,G#1,4.5,49/100,85,132.5
5,G#3,4.505,99/200,85,132.5
6,G#3,4.516,49/100,85,132.5
7,G#3,4.531,49/100,85,132.5
8,C#2,4.948,199/200,85,132.5
9,E2,4.958,0.125,100,132.5
10,C#4,4.995,99/200,85,132.5
11,C#4,5.0,49/100,85,132.5
12,C#4,5.0,49/100,85,132.5
13,C#4,5.0,49/100,85,132.5
14,C2,5.026,0.125,100,132.5
15,F#2,5.026,0.125,100,132.5
16,C#4,5.5,99/200,85,132.5
17,F#2,5.5,0.125,100,132.5
18,C#4,5.5,49/100,85,132.5
19,C#4,5.51,99/200,85,132.5
20,C#4,5.51,49/100,85,132.5
21,E-2,5.953,49/100,85,132.5
22,E-4,5.99,49/100,85,132.5
23,E-4,5.99,99/200,85,132.5
24,E-4,6.01,99/200,85,132.5
25,C2,6.016,0.125,100,132.5
26,F#2,6.016,0.125,100,132.5
27,E-4,6.026,49/100,85,132.5
28,E4,6.479,199/200,85,132.5
29,E4,6.495,99/100,85,132.5
30,E2,6.5,199/200,85,132.5
31,E4,6.505,99/100,85,132.5
32,F#2,6.505,0.125,100,132.5
33,E4,6.51,99/100,85,132.5
34,E2,6.958,0.125,100,132.5
35,F#2,6.958,0.125,100,132.5
36,C2,6.958,0.125,100,132.5
37,G#3,7.495,99/200,85,132.5
38,G#3,7.5,49/100,85,132.5
39,G#3,7.516,0.484,85,132.5
40,F#2,7.521,0.125,100,132.5
41,G#3,7.531,0.469,85,132.5
42,G#1,7.536,58/125,85,132.5
43,C#4,7.953,0.047,85,132.5
44,C#4,7.958,21/500,85,132.5
45,F#2,7.969,0.031,100,132.5
46,C2,7.969,0.031,100,132.5
47,C#4,7.984,0.016,85,132.5
48,G#3,8.0,1/200,85,132.5
49,C#4,8.0,56/125,85,132.5
50,C#4,8.0,479/1000,85,132.5
51,C#2,8.0,199/200,85,132.5
52,G#1,8.0,13/500,85,132.5
53,G#3,8.0,21/1000,85,132.5
54,C#4,8.0,443/1000,85,132.5
55,F#2,8.0,0.094,100,132.5
56,C2,8.0,0.094,100,132.5
57,C#4,8.026,99/200,85,132.5
58,C#4,8.047,49/100,100,132.5
59,C#4,8.469,49/100,85,132.5
60,C#4,8.505,99/200,100,132.5
61,C#4,8.51,49/100,85,132.5
62,F#2,8.51,0.125,100,132.5
63,C#4,8.542,99/200,85,132.5
64,C#4,8.542,49/100,85,132.5
65,C2,8.974,0.125,100,132.5
66,F#2,8.974,0.125,100,132.5
67,E2,8.974,0.125,100,132.5
68,E-2,8.984,49/100,85,132.5
69,E-4,8.995,99/200,85,132.5
70,E-4,9.01,49/100,85,132.5
71,E-4,9.016,49/100,100,132.5
72,E-4,9.031,99/200,85,132.5
73,E-4,9.047,49/100,85,132.5
74,E4,9.453,199/200,85,132.5
75,E4,9.495,99/100,85,132.5
76,E4,9.5,99/100,85,132.5
77,E4,9.5,99/100,85,132.5
78,F#2,9.5,0.125,100,132.5
79,E4,9.505,99/100,100,132.5
80,E2,9.536,199/200,85,132.5
81,F#2,9.969,0.125,100,132.5
82,C2,9.969,0.125,100,132.5
83,F#2,10.469,0.125,100,132.5
84,F#4,10.469,49/100,100,132.5
85,F#4,10.49,49/100,85,132.5
86,F#4,10.495,49/100,85,132.5
87,F#4,10.5,49/100,85,132.5
88,F#4,10.542,49/100,85,132.5
89,E4,10.979,99/100,100,132.5
90,E4,10.99,199/200,85,132.5
91,C2,10.99,0.125,100,132.5
92,F#2,10.99,0.125,100,132.5
93,E2,10.99,0.125,100,132.5
94,E4,11.0,99/100,85,132.5
95,E4,11.005,199/200,85,132.5
96,E4,11.042,479/500,85,132.5
97,B-2,11.51,0.125,100,132.5
98,E4,11.984,0.016,85,132.5
99,F#2,11.99,1/100,100,132.5
100,C2,11.99,1/100,100,132.5
101,E4,12.0,49/100,85,132.5
102,E4,12.0,0.031,85,132.5
103,E4,12.0,479/1000,85,132.5
104,E4,12.0,99/200,100,132.5
105,F#2,12.0,23/200,100,132.5
106,C2,12.0,23/200,100,132.5
107,E4,12.01,49/100,85,132.5
108,E4,12.042,49/100,85,132.5
109,E-4,12.479,49/100,100,132.5
110,F#2,12.484,0.125,100,132.5
111,E-4,12.495,99/200,85,132.5
112,F#1,12.5,49/100,85,132.5
113,E-4,12.5,49/100,85,132.5
114,E-4,12.542,99/200,85,132.5
115,E-4,12.547,49/100,85,132.5
116,B3,12.964,199/200,85,132.5
117,B1,12.969,199/200,85,132.5
118,E2,12.979,0.125,100,132.5
119,F#2,12.979,0.125,100,132.5
120,C2,12.979,0.125,100,132.5
121,B3,13.0,99/100,85,132.5
122,B3,13.0,199/200,85,132.5
123,B3,13.0,99/100,85,132.5
124,F#2,13.51,0.125,100,132.5
125,C#4,13.948,99/200,85,132.5
126,C#2,13.995,99/200,85,132.5
127,C#4,14.0,49/100,85,132.5
128,F#2,14.0,0.125,100,132.5
129,C2,14.0,0.125,100,132.5
130,C#4,14.026,99/200,85,132.5
131,C#4,14.036,99/200,85,132.5
132,F#2,14.448,0.125,100,132.5
133,E-4,14.484,199/200,85,132.5
134,E-4,14.5,99/100,85,132.5
135,E-4,14.505,199/200,85,132.5
136,E-2,14.51,99/100,85,132.5
137,E-4,14.521,99/100,85,132.5
138,E2,14.995,0.125,100,132.5
139,C2,14.995,0.125,100,132.5
140,F#2,14.995,0.125,100,132.5
141,F#3,15.448,99/200,85,132.5
142,F#3,15.464,49/100,85,132.5
143,F#1,15.484,49/100,85,132.5
144,F#3,15.495,49/100,85,132.5
145,F#3,15.5,49/100,85,132.5
146,F#2,15.531,0.125,100,132.5
147,B3,15.948,13/250,85,132.5
148,B3,16.0,99/100,85,132.5
149,B3,16.0,943/1000,85,132.5
150,B1,16.0,99/100,85,132.5
151,B3,16.0,99/100,85,132.5
152,F#2,16.016,0.125,100,132.5
153,C2,16.016,0.125,100,132.5
154,B3,16.031,99/100,85,132.5
155,F#2,16.521,0.125,100,132.5
156,C#4,16.953,99/200,85,132.5
157,E2,16.958,0.125,100,132.5
158,F#2,16.958,0.125,100,132.5
159,C2,16.958,0.125,100,132.5
160,C#4,16.995,99/200,85,132.5
161,C#4,16.995,99/200,85,132.5
162,C#4,17.0,99/200,85,132.5
163,C#2,17.016,49/100,85,132.5
164,F#2,17.479,0.125,100,132.5
165,E-4,17.49,199/200,85,132.5
166,E-4,17.495,199/200,85,132.5
167,E-4,17.5,199/200,85,132.5
168,E-2,17.5,199/200,85,132.5
169,E-4,17.547,99/100,85,132.5
170,F#2,17.99,0.125,100,132.5
171,C2,17.99,0.125,100,132.5
172,F#2,18.505,0.125,100,132.5
173,C#4,18.531,49/100,100,132.5
174,F#2,18.958,0.125,100,132.5
175,E2,18.958,0.125,100,132.5
176,C2,19.021,0.125,100,132.5
177,E-4,19.036,99/200,100,132.5
178,B-2,19.453,0.125,100,132.5
179,E4,19.516,0.484,100,132.5
180,C2,19.995,1/200,100,132.5
181,F#2,19.995,1/200,100,132.5
182,E4,20.0,1/100,100,132.5
183,C2,20.0,3/25,100,132.5
184,F#2,20.0,3/25,100,132.5
185,G#3,20.464,99/200,85,132.5
186,G#3,20.469,99/200,85,132.5
187,F#2,20.469,0.125,100,132.5
188,G#3,20.495,49/100,85,132.5
189,G#3,20.505,99/200,85,132.5
190,G#1,20.521,99/200,85,132.5
191,F#2,20.964,0.125,100,132.5
192,C2,20.964,0.125,100,132.5
193,E2,20.964,0.125,100,132.5
194,C#4,20.99,99/200,85,132.5
195,C#4,20.995,99/200,85,132.5
196,C#4,20.995,99/200,85,132.5
197,C#2,21.021,99/100,85,132.5
198,C#4,21.031,49/100,85,132.5
199,F#2,21.479,0.125,100,132.5
200,C#4,21.5,49/100,85,132.5
201,C#4,21.505,49/100,85,132.5
202,C#4,21.51,99/200,85,132.5
203,C#4,21.531,49/100,85,132.5
204,E-4,21.964,49/100,85,132.5
205,E-4,21.995,99/200,85,132.5
206,E-2,21.995,99/200,85,132.5
207,E-4,22.0,49/100,85,132.5
208,F#2,22.0,0.125,100,132.5
209,C2,22.0,0.125,100,132.5
210,E-4,22.036,49/100,85,132.5
211,E2,22.458,199/200,85,132.5
212,E4,22.484,99/100,85,132.5
213,E4,22.5,99/100,85,132.5
214,F#2,22.5,0.125,100,132.5
215,E4,22.51,199/200,85,132.5
216,E4,22.531,199/200,85,132.5
217,C2,22.964,0.125,100,132.5
218,E2,22.964,0.125,100,132.5
219,F#2,22.964,0.125,100,132.5
220,G#3,23.453,49/100,85,132.5
221,G#3,23.458,49/100,85,132.5
222,G#1,23.479,49/100,85,132.5
223,G#3,23.5,49/100,85,132.5
224,G#3,23.5,49/100,85,132.5
225,F#2,23.5,0.125,100,132.5
226,C#4,23.964,9/250,100,132.5
227,C#4,23.99,1/100,85,132.5
228,C#2,23.995,1/200,85,132.5
229,C2,23.995,1/200,100,132.5
230,F#2,23.995,1/200,100,132.5
231,C#4,24.0,49/100,85,132.5
232,C#4,24.0,49/100,85,132.5
233,C#2,24.0,99/100,85,132.5
234,C#4,24.0,0.484,85,132.5
235,C#4,24.0,0.453,100,132.5
236,C2,24.0,3/25,100,132.5
237,F#2,24.0,3/25,100,132.5
238,C#4,24.042,49/100,85,132.5
239,C#4,24.458,49/100,85,132.5
240,C#4,24.479,49/100,85,132.5
241,F#2,24.49,0.125,100,132.5
242,C#4,24.5,99/200,85,132.5
243,C#4,24.5,49/100,100,132.5
244,C#4,24.505,49/100,85,132.5
245,F#2,24.953,0.125,100,132.5
246,C2,24.953,0.125,100,132.5
247,E-4,24.979,99/200,100,132.5
248,E-4,24.99,99/200,85,132.5
249,E-4,25.0,49/100,85,132.5
250,E-4,25.0,49/100,85,132.5
251,E-4,25.0,49/100,85,132.5
252,E-2,25.016,99/200,85,132.5
253,E2,25.031,0.125,100,132.5
254,E2,25.448,199/200,85,132.5
255,F#2,25.448,0.125,100,132.5
256,E4,25.469,99/100,85,132.5
257,E4,25.5,99/100,100,132.5
258,E4,25.51,99/100,85,132.5
259,E4,25.536,199/200,85,132.5
260,E4,25.542,99/100,85,132.5
261,C2,25.979,0.125,100,132.5
262,F#2,25.979,0.125,100,132.5
263,F#4,26.464,49/100,100,132.5
264,F#4,26.484,49/100,85,132.5
265,F#4,26.49,99/200,85,132.5
266,F#2,26.5,0.125,100,132.5
267,F#4,26.5,49/100,85,132.5
268,F#4,26.536,99/200,85,132.5
269,E4,26.953,99/100,85,132.5
270,C2,26.984,0.125,100,132.5
271,F#2,26.984,0.125,100,132.5
272,E2,26.984,0.125,100,132.5
273,E4,26.99,99/100,85,132.5
274,E4,27.0,99/100,85,132.5
275,E4,27.0,99/100,100,132.5
276,E4,27.026,487/500,85,132.5
277,B-2,27.484,0.125,100,132.5
278,F#2,27.969,0.031,100,132.5
279,E4,27.99,1/100,100,132.5
280,E4,27.995,1/200,85,132.5
281,E4,28.0,0.484,85,132.5
282,E4,28.0,21/1000,85,132.5
283,E4,28.0,49/100,85,132.5
284,F#2,28.0,0.094,100,132.5
285,E4,28.0,0.484,100,132.5
286,E4,28.016,49/100,85,132.5
287,E4,28.036,99/200,85,132.5
288,C2,28.036,0.125,100,132.5
289,E-4,28.453,99/200,85,132.5
290,F#2,28.5,0.125,100,132.5
291,E-4,28.5,49/100,85,132.5
292,E-4,28.5,49/100,100,132.5
293,F#1,28.51,49/100,85,132.5
294,E-4,28.526,99/200,85,132.5
295,E-4,28.547,49/100,85,132.5
296,E2,28.979,0.125,100,132.5
297,F#2,28.979,0.125,100,132.5
298,C2,28.979,0.125,100,132.5
299,B3,28.995,99/100,85,132.5
300,B3,29.01,99/100,85,132.5
301,B3,29.021,99/100,85,132.5
302,B1,29.031,199/200,85,132.5
303,B3,29.036,199/200,85,132.5
304,F#2,29.479,0.125,100,132.5
