,note_name,start_time,duration,velocity,tempo
0,E4,0.0,4.0,79,130.0
1,A2,0.0,4.0,79,130.0
2,E4,8.0,4.0,79,130.0
3,A2,8.0,4.0,79,130.0
4,C#4,12.0,1.0,95,130.0
5,A2,13.0,0.5,95,130.0
6,E2,13.5,0.5,95,130.0
7,G3,14.0,0.5,95,130.0
8,A3,14.5,0.5,95,130.0
9,A2,15.0,0.5,95,130.0
10,C#4,15.5,0.5,95,130.0
11,C#4,16.0,0.5,95,130.0
12,A2,16.5,1.0,95,130.0
13,G3,17.5,0.5,95,130.0
14,A3,18.0,0.5,95,130.0
15,A2,18.5,0.5,95,130.0
16,C#3,19.0,27/200,95,130.0
17,D3,19.25,27/200,95,130.0
18,E3,19.5,27/200,95,130.0
19,C#4,20.0,1.0,95,130.0
20,A2,21.0,0.5,95,130.0
21,E2,21.5,0.5,95,130.0
22,G3,22.0,0.5,95,130.0
23,A3,22.5,0.5,95,130.0
24,A3,23.5,0.5,95,130.0
25,A3,24.0,0.5,95,130.0
26,A2,24.5,0.5,95,130.0
27,B-2,25.0,0.5,95,130.0
28,C#3,25.5,0.5,95,130.0
29,D3,26.0,0.5,95,130.0
30,F3,26.5,0.5,95,130.0
31,E3,27.0,0.125,95,130.0
32,F3,27.125,0.125,70,130.0
33,E3,27.25,0.25,70,130.0
34,D3,27.5,0.5,95,130.0
35,C#4,28.0,1.0,95,130.0
36,A2,29.0,0.5,95,130.0
37,E2,29.5,0.5,95,130.0
38,G3,30.0,0.5,95,130.0
39,A3,30.5,0.5,95,130.0
40,A2,31.0,0.5,95,130.0
41,C#4,31.5,0.5,95,130.0
42,C#4,32.0,0.5,95,130.0
43,A3,32.5,0.5,95,130.0
44,C#4,33.0,0.5,95,130.0
45,D4,33.5,0.5,95,130.0
46,G4,34.0,0.5,95,130.0
47,E4,34.5,0.5,95,130.0
48,B-3,35.0,0.5,95,130.0
49,A3,35.5,0.5,95,130.0
50,C#4,36.0,1.0,95,130.0
51,A2,37.0,0.5,95,130.0
52,C#3,37.0,0.25,95,130.0
53,C#2,37.0,0.25,95,130.0
54,D3,37.25,0.25,95,130.0
55,D2,37.25,0.25,95,130.0
56,E2,37.5,0.5,95,130.0
57,E3,37.5,0.25,95,130.0
58,E2,37.5,0.25,95,130.0
59,F3,37.75,0.25,95,130.0
60,F2,37.75,0.25,95,130.0
61,G3,38.0,0.5,95,130.0
62,G3,38.0,0.25,95,130.0
63,G2,38.0,0.25,95,130.0
64,G#3,38.25,0.25,95,130.0
65,A2,38.25,0.25,95,130.0
66,A3,38.5,0.5,95,130.0
67,G3,38.5,0.25,95,130.0
68,G2,38.5,0.25,95,130.0
69,F3,38.75,0.25,95,130.0
70,F2,38.75,0.25,95,130.0
71,E3,39.0,0.25,95,130.0
72,E2,39.0,0.25,95,130.0
73,D3,39.25,0.25,95,130.0
74,D2,39.25,0.25,95,130.0
75,A3,39.5,0.5,95,130.0
76,C#3,39.5,0.25,95,130.0
77,C#2,39.5,0.25,95,130.0
78,B-2,39.75,0.25,95,130.0
79,B-1,39.75,0.25,95,130.0
80,A3,40.0,1.0,95,130.0
81,G5,40.0,2.0,95,130.0
82,B4,40.0,2.0,95,130.0
83,A1,40.0,0.5,95,130.0
