,note_name,start_time,duration,velocity,tempo
0,F#2,0.0,333/1000,100,132.0
1,F#3,0.5,333/1000,100,132.0
2,F#2,0.5,333/1000,100,132.0
3,F#2,1.0,333/1000,100,132.0
4,F#3,1.5,333/1000,100,132.0
5,F#2,1.5,333/1000,100,132.0
6,F#2,2.0,333/1000,100,132.0
7,F#3,2.5,333/1000,100,132.0
8,F#2,2.5,333/1000,100,132.0
9,F#2,3.0,333/1000,100,132.0
10,F#3,3.5,333/1000,100,132.0
11,F#2,3.5,333/1000,100,132.0
12,F#2,4.0,333/1000,100,132.0
13,F#3,4.5,333/1000,100,132.0
14,F#2,4.5,333/1000,100,132.0
15,F#2,5.0,333/1000,100,132.0
16,F#3,5.5,333/1000,100,132.0
17,F#2,5.5,333/1000,100,132.0
18,F#2,6.0,333/1000,100,132.0
19,F#3,6.5,333/1000,100,132.0
20,F#2,6.5,333/1000,100,132.0
21,F#2,7.0,333/1000,100,132.0
22,F#3,7.5,333/1000,100,132.0
23,F#2,7.5,333/1000,100,132.0
24,A4,8.0,199/100,100,132.0
25,E4,8.0,199/100,100,132.0
26,C4,8.0,199/100,100,132.0
27,A2,8.0,333/1000,100,132.0
28,F#2,8.0,333/1000,100,132.0
29,A4,8.5,0.5,100,132.0
30,D4,8.5,0.5,100,132.0
31,A2,8.5,333/1000,100,132.0
32,F#3,8.5,333/1000,100,132.0
33,F#2,8.5,333/1000,100,132.0
34,A2,9.0,333/1000,100,132.0
35,F#2,9.0,333/1000,100,132.0
36,A4,9.25,0.5,100,132.0
37,C4,9.25,0.5,100,132.0
38,A2,9.5,333/1000,100,132.0
39,F#3,9.5,333/1000,100,132.0
40,F#2,9.5,333/1000,100,132.0
41,A4,10.0,0.5,100,132.0
42,A3,10.0,0.5,100,132.0
43,G4,10.0,199/100,100,132.0
44,D4,10.0,199/100,100,132.0
45,B3,10.0,199/100,100,132.0
46,G2,10.0,333/1000,100,132.0
47,F#2,10.0,333/1000,100,132.0
48,G2,10.5,333/1000,100,132.0
49,F#3,10.5,333/1000,100,132.0
50,F#2,10.5,333/1000,100,132.0
51,A4,10.75,167/1000,100,132.0
52,A3,10.75,167/1000,100,132.0
53,G2,11.0,333/1000,100,132.0
54,F#2,11.0,333/1000,100,132.0
55,A4,11.5,333/1000,100,132.0
56,A3,11.5,333/1000,100,132.0
57,G2,11.5,333/1000,100,132.0
58,F#3,11.5,333/1000,100,132.0
59,F#2,11.5,333/1000,100,132.0
60,A4,12.0,399/100,100,132.0
61,F#4,12.0,399/100,100,132.0
62,D4,12.0,399/100,100,132.0
63,D2,12.0,333/1000,100,132.0
64,F#2,12.0,333/1000,100,132.0
