,note_name,start_time,duration,velocity,tempo
0,D3,9.0,117/1000,101,177.0
1,F#2,9.5,117/1000,89,177.0
2,C3,10.0,117/1000,106,177.0
3,F#2,10.5,117/1000,89,177.0
4,B2,11.0,117/1000,96,177.0
5,A2,11.5,117/1000,96,177.0
6,F1,12.0,471/500,84,177.0
7,F3,12.0,421/500,117,177.0
8,F#2,12.0,117/1000,84,177.0
9,C#3,12.0,117/1000,100,177.0
10,A3,12.0,2.0,82,177.0
11,C4,12.0,2.0,82,177.0
12,E4,12.0,2.0,82,177.0
13,F3,12.0,1933/1000,82,177.0
14,A3,12.0,1933/1000,82,177.0
15,C4,12.0,1933/1000,82,177.0
16,E4,12.0,1933/1000,82,177.0
17,F#2,12.5,117/1000,68,177.0
18,F1,13.0,221/500,92,177.0
19,F3,13.0,171/500,125,177.0
20,F#2,13.0,117/1000,56,177.0
21,E2,13.5,117/1000,116,177.0
22,F#2,13.5,117/1000,84,177.0
23,C1,14.0,221/500,90,177.0
24,C3,14.0,171/500,123,177.0
25,F#2,14.0,117/1000,68,177.0
26,D1,14.5,221/500,90,177.0
27,D3,14.5,171/500,123,177.0
28,F#2,14.5,117/1000,56,177.0
29,B-3,14.5,3.5,82,177.0
30,D4,14.5,3.5,82,177.0
31,F4,14.5,3.5,82,177.0
32,F3,14.5,3.5,82,177.0
33,B-3,14.5,3.5,82,177.0
34,D4,14.5,3.5,82,177.0
35,F4,14.5,3.5,82,177.0
36,F1,15.0,471/500,84,177.0
37,F3,15.0,421/500,117,177.0
38,B1,15.0,117/1000,102,177.0
39,F#2,15.0,117/1000,84,177.0
40,F#2,15.5,117/1000,68,177.0
41,F1,16.0,221/500,92,177.0
42,F3,16.0,171/500,125,177.0
43,B1,16.0,117/1000,112,177.0
44,F#2,16.0,117/1000,56,177.0
45,E2,16.5,117/1000,116,177.0
46,F#2,16.5,117/1000,84,177.0
47,C1,17.0,221/500,90,177.0
48,C3,17.0,171/500,123,177.0
49,F#2,17.0,117/1000,68,177.0
50,D1,17.5,221/500,90,177.0
51,D3,17.5,171/500,123,177.0
52,F#2,17.5,117/1000,56,177.0
53,F1,18.0,471/500,84,177.0
54,F3,18.0,421/500,117,177.0
55,B1,18.0,117/1000,112,177.0
56,F#2,18.0,117/1000,84,177.0
57,B-3,18.0,3.0,82,177.0
58,D4,18.0,3.0,82,177.0
59,F4,18.0,3.0,82,177.0
