,note_name,start_time,duration,velocity,tempo
0,E4,4.683,1217/1000,109,138.0
1,F#4,6.042,0.375,109,138.0
2,G4,7.042,633/1000,109,138.0
3,C5,7.842,79/500,118,138.0
4,C5,8.0,4.0,118,138.0
5,D2,8.0,26/125,55,138.0
6,C#3,8.0,26/125,55,138.0
7,A1,8.05,251/125,80,138.0
8,D2,8.742,26/125,30,138.0
9,G3,8.992,267/1000,46,138.0
10,C4,8.992,267/1000,46,138.0
11,G4,9.0,317/1000,47,138.0
12,E4,9.0,317/1000,47,138.0
13,C4,9.0,317/1000,47,138.0
14,A4,9.0,317/1000,47,138.0
15,D2,9.0,26/125,85,138.0
16,F#2,9.0,26/125,85,138.0
17,D2,9.742,26/125,90,138.0
18,D2,10.0,26/125,80,138.0
19,E1,10.083,1917/1000,72,138.0
20,G4,10.7,367/1000,45,138.0
21,E4,10.7,367/1000,45,138.0
22,C4,10.7,367/1000,45,138.0
23,A4,10.7,367/1000,45,138.0
24,D2,10.742,26/125,54,138.0
25,C4,11.0,267/1000,59,138.0
26,G3,11.0,267/1000,59,138.0
27,D2,11.0,26/125,90,138.0
28,F#2,11.0,26/125,90,138.0
29,D2,11.742,26/125,70,138.0
30,C5,12.0,51/125,118,138.0
31,D2,12.0,26/125,80,138.0
32,D2,12.05,251/125,80,138.0
33,D2,12.717,26/125,30,138.0
34,D4,12.817,471/500,109,138.0
35,C4,12.992,267/1000,46,138.0
36,F#4,12.992,267/1000,46,138.0
37,F#4,13.0,317/1000,46,138.0
38,E4,13.0,317/1000,46,138.0
39,C4,13.0,317/1000,46,138.0
40,A4,13.0,317/1000,46,138.0
41,D2,13.0,26/125,85,138.0
42,F#2,13.0,26/125,85,138.0
43,D2,13.717,26/125,90,138.0
44,D2,14.0,26/125,80,138.0
45,A1,14.083,1917/1000,72,138.0
46,E4,14.133,51/125,100,138.0
47,D2,14.717,26/125,20,138.0
48,F#4,15.0,367/1000,49,138.0
49,E4,15.0,367/1000,49,138.0
50,C4,15.0,367/1000,49,138.0
51,A4,15.0,367/1000,49,138.0
52,F#4,15.0,267/1000,59,138.0
53,C4,15.0,267/1000,59,138.0
54,D2,15.0,26/125,80,138.0
55,F#2,15.0,26/125,80,138.0
56,C#2,15.0,26/125,80,138.0
57,F#4,15.033,0.625,98,138.0
58,D2,15.717,26/125,70,138.0
59,G2,16.0,87/40,78,138.0
60,D2,16.0,26/125,80,138.0
61,B4,16.075,51/40,111,138.0
62,D2,16.717,26/125,30,138.0
63,F#4,16.733,217/1000,45,138.0
64,D4,16.733,217/1000,45,138.0
65,B3,16.733,217/1000,45,138.0
66,A4,16.733,217/1000,45,138.0
67,B3,16.992,267/1000,46,138.0
68,F#4,16.992,267/1000,46,138.0
69,D2,17.0,26/125,85,138.0
70,F#2,17.0,26/125,85,138.0
71,D2,17.717,26/125,90,138.0
72,B4,17.767,2233/1000,100,138.0
73,D2,18.0,2.0,73,138.0
74,D2,18.0,26/125,80,138.0
75,F#4,18.058,1867/1000,55,138.0
76,D4,18.058,1867/1000,55,138.0
77,B3,18.058,1867/1000,55,138.0
78,A4,18.058,1867/1000,55,138.0
79,D2,18.717,26/125,20,138.0
80,F#4,19.0,267/1000,59,138.0
81,B3,19.0,267/1000,59,138.0
82,D2,19.0,26/125,80,138.0
83,F#2,19.0,26/125,80,138.0
84,C#2,19.0,26/125,80,138.0
85,D2,19.717,26/125,70,138.0
86,C2,20.0,527/250,80,138.0
87,B4,20.0,517/1000,100,138.0
88,D2,20.0,26/125,80,138.0
89,D2,20.717,26/125,30,138.0
90,E4,20.733,217/1000,45,138.0
91,D4,20.733,217/1000,45,138.0
92,B3,20.733,217/1000,45,138.0
93,G4,20.733,217/1000,45,138.0
94,C4,20.817,783/1000,115,138.0
95,B3,20.992,267/1000,46,138.0
96,E4,20.992,267/1000,46,138.0
97,D2,21.0,26/125,85,138.0
98,F#2,21.0,26/125,85,138.0
99,D2,21.717,26/125,90,138.0
100,G1,22.0,621/500,67,138.0
101,D2,22.0,26/125,80,138.0
102,E4,22.058,1867/1000,55,138.0
103,D4,22.058,1867/1000,55,138.0
104,B3,22.058,1867/1000,55,138.0
105,G4,22.058,1867/1000,55,138.0
106,D4,22.1,51/125,105,138.0
107,D2,22.717,26/125,20,138.0
108,E4,23.0,267/1000,59,138.0
109,B3,23.0,267/1000,59,138.0
110,D2,23.0,26/125,80,138.0
111,F#2,23.0,26/125,80,138.0
112,C#2,23.0,26/125,80,138.0
113,E4,23.033,633/1000,98,138.0
114,G1,23.717,283/1000,74,138.0
115,D2,23.717,26/125,70,138.0
116,A4,23.742,129/500,102,138.0
117,A4,24.0,4.0,102,138.0
118,D2,24.0,26/125,80,138.0
119,F#2,24.05,251/125,80,138.0
120,D2,24.717,26/125,20,138.0
121,F#4,24.733,217/1000,45,138.0
122,E4,24.733,217/1000,45,138.0
123,C4,24.733,217/1000,45,138.0
124,A4,24.733,217/1000,45,138.0
125,A3,24.992,267/1000,46,138.0
126,E4,24.992,267/1000,46,138.0
127,D2,25.0,26/125,85,138.0
128,F#2,25.0,26/125,85,138.0
129,D2,25.717,26/125,90,138.0
130,D2,26.0,26/125,80,138.0
131,F#4,26.058,1867/1000,55,138.0
132,E4,26.058,1867/1000,55,138.0
133,C4,26.058,1867/1000,55,138.0
134,A4,26.058,1867/1000,55,138.0
135,C2,26.083,1917/1000,72,138.0
136,D2,26.717,26/125,20,138.0
137,E4,27.0,267/1000,59,138.0
138,A3,27.0,267/1000,59,138.0
139,D2,27.0,26/125,80,138.0
140,F#2,27.0,26/125,80,138.0
141,C#2,27.0,26/125,80,138.0
142,D2,27.717,26/125,70,138.0
143,B1,28.0,83/40,73,138.0
144,A4,28.0,279/500,102,138.0
145,D2,28.0,26/125,80,138.0
146,D2,28.742,26/125,30,138.0
147,B3,28.808,1167/1000,102,138.0
148,A3,28.992,267/1000,46,138.0
149,E-4,28.992,267/1000,46,138.0
150,E-4,29.0,317/1000,46,138.0
151,B3,29.0,317/1000,46,138.0
152,A3,29.0,317/1000,46,138.0
153,F#4,29.0,317/1000,46,138.0
154,D2,29.0,26/125,85,138.0
155,F#2,29.0,26/125,85,138.0
156,D2,29.742,26/125,90,138.0
157,F#2,30.0,1667/1000,76,138.0
158,D2,30.0,26/125,80,138.0
159,C#4,30.058,1483/1000,102,138.0
160,D2,30.742,26/125,20,138.0
161,E-4,31.0,367/1000,49,138.0
162,B3,31.0,367/1000,49,138.0
163,A3,31.0,367/1000,49,138.0
164,F#4,31.0,367/1000,49,138.0
165,E-4,31.0,267/1000,59,138.0
166,A3,31.0,267/1000,59,138.0
167,D2,31.0,26/125,90,138.0
168,F#2,31.0,26/125,90,138.0
169,E-4,31.458,21/40,98,138.0
170,B1,31.667,183/1000,73,138.0
171,D2,31.742,26/125,70,138.0
172,E2,32.0,2033/1000,79,138.0
173,D2,32.0,26/125,80,138.0
174,G4,32.117,3883/1000,105,138.0
175,D2,32.717,26/125,20,138.0
176,G3,32.992,267/1000,46,138.0
177,D4,32.992,267/1000,46,138.0
