,note_name,start_time,duration,velocity,tempo
0,B1,8.0,26/125,55,120.0
1,D2,8.0,26/125,55,120.0
2,F#2,8.0,26/125,55,120.0
3,C#3,8.0,26/125,55,120.0
4,A4,8.058,517/1000,60,120.0
5,G4,8.567,517/1000,67,120.0
6,F#2,9.0,26/125,80,120.0
7,C#2,9.0,26/125,80,120.0
8,F4,9.05,127/250,67,120.0
9,D4,9.517,517/1000,69,120.0
10,F#2,9.717,26/125,50,120.0
11,A1,10.0,1617/1000,80,120.0
12,B1,10.0,26/125,70,120.0
13,F#2,10.0,26/125,70,120.0
14,C4,10.058,971/500,63,120.0
15,F#2,11.0,26/125,85,120.0
16,C#2,11.0,26/125,85,120.0
17,G3,11.708,73/250,60,120.0
18,B-3,11.708,73/250,60,120.0
19,D4,11.708,73/250,60,120.0
20,F4,11.708,73/250,60,120.0
21,F#2,11.717,26/125,50,120.0
22,A1,11.733,267/1000,81,120.0
23,B-1,12.0,21/40,81,120.0
24,C4,12.0,26/125,63,120.0
25,G3,12.0,1983/1000,60,120.0
26,B-3,12.0,1983/1000,60,120.0
27,D4,12.0,1983/1000,60,120.0
28,F4,12.0,1983/1000,60,120.0
29,B1,12.0,26/125,65,120.0
30,F#2,12.0,26/125,65,120.0
31,D4,12.592,517/1000,72,120.0
32,B-1,12.733,333/1000,71,120.0
33,F2,13.0,1.0,73,120.0
34,G3,13.0,129/500,60,120.0
35,D3,13.0,129/500,60,120.0
36,F#2,13.0,26/125,75,120.0
37,C#2,13.0,26/125,75,120.0
38,F4,13.083,9/20,73,120.0
39,B-4,13.567,123/250,84,120.0
40,F#2,13.733,26/125,40,120.0
41,C2,14.0,2.0,82,120.0
42,B-3,14.0,2.0,60,120.0
43,D5,14.0,2.0,60,120.0
44,E4,14.0,2.0,60,120.0
45,G4,14.0,2.0,60,120.0
46,B1,14.0,26/125,70,120.0
47,F#2,14.0,26/125,70,120.0
48,D5,14.042,19/40,81,120.0
49,D5,14.675,833/1000,81,120.0
50,B-3,15.0,129/500,60,120.0
51,E3,15.0,129/500,60,120.0
52,F#2,15.0,26/125,80,120.0
53,C#2,15.0,26/125,80,120.0
54,C5,15.533,467/1000,81,120.0
55,F#2,15.733,26/125,50,120.0
56,F2,16.0,1617/1000,80,120.0
57,C5,16.0,83/1000,81,120.0
58,E4,16.0,1.625,60,120.0
59,G4,16.0,1.625,60,120.0
60,A3,16.0,1.625,60,120.0
61,C5,16.0,1.625,60,120.0
62,B1,16.0,26/125,65,120.0
63,F#2,16.0,26/125,65,120.0
64,D5,16.067,249/125,74,120.0
65,A3,17.0,129/500,60,120.0
66,E3,17.0,129/500,60,120.0
67,F#2,17.0,26/125,75,120.0
68,C#2,17.0,26/125,75,120.0
69,F4,17.708,91/40,60,120.0
70,A4,17.708,91/40,60,120.0
71,B-3,17.708,91/40,60,120.0
72,D5,17.708,91/40,60,120.0
73,F#2,17.733,267/1000,81,120.0
74,F#2,17.733,26/125,40,120.0
75,G2,18.0,21/40,81,120.0
76,B1,18.0,26/125,70,120.0
77,F#2,18.0,26/125,70,120.0
78,A4,18.033,1967/1000,68,120.0
79,G2,18.733,333/1000,71,120.0
80,D3,19.0,1.0,73,120.0
81,B-3,19.0,129/500,60,120.0
82,F3,19.0,129/500,60,120.0
83,F#2,19.0,26/125,80,120.0
84,C#2,19.0,26/125,80,120.0
85,F#2,19.733,26/125,50,120.0
86,A1,20.0,2.0,82,120.0
87,A4,20.0,473/250,68,120.0
88,G4,20.0,1.625,60,120.0
89,A4,20.0,1.625,60,120.0
90,C4,20.0,1.625,60,120.0
91,E5,20.0,1.625,60,120.0
92,B1,20.0,26/125,70,120.0
93,F#2,20.0,26/125,70,120.0
94,G3,21.0,129/500,60,120.0
95,C3,21.0,129/500,60,120.0
96,F#2,21.0,26/125,80,120.0
97,C#2,21.0,26/125,80,120.0
98,C4,21.708,91/40,60,120.0
99,E-4,21.708,91/40,60,120.0
100,F#4,21.708,91/40,60,120.0
101,B-4,21.708,91/40,60,120.0
102,F#2,21.725,26/125,40,120.0
103,D2,22.0,2.0,70,120.0
104,B1,22.0,26/125,70,120.0
105,F#2,22.0,26/125,70,120.0
106,C#2,22.725,26/125,90,120.0
107,C4,23.0,233/1000,68,120.0
108,F#2,23.0,26/125,90,120.0
109,F#2,23.725,26/125,50,120.0
110,G2,24.0,1667/1000,85,120.0
111,F#2,24.0,26/125,70,120.0
112,F4,24.0,2.0,60,120.0
113,A4,24.0,2.0,60,120.0
114,B-3,24.0,2.0,60,120.0
115,D5,24.0,2.0,60,120.0
