,note_name,start_time,duration,velocity,tempo
0,D3,2.008,6/125,126,132.67
1,B2,2.163,1/25,98,132.67
2,D3,2.342,6/125,100,132.67
3,B2,2.515,21/500,113,132.67
4,D3,2.679,11/250,114,132.67
5,B2,2.825,11/250,114,132.67
6,E2,2.985,21/500,120,132.67
7,C#2,2.985,21/500,120,132.67
8,D2,2.985,21/500,120,132.67
9,G4,3.981,19/1000,81,132.67
10,B-4,3.981,19/1000,81,132.67
11,F4,3.981,19/1000,81,132.67
12,C5,3.981,19/1000,81,132.67
13,E-5,3.994,3/500,108,132.67
14,D4,3.994,3/500,108,132.67
15,A3,3.994,3/500,108,132.67
16,B1,3.994,3/500,108,132.67
17,B-5,3.994,3/500,108,132.67
18,C2,3.998,1/500,104,132.67
19,C2,4.0,33/50,104,132.67
20,G4,4.0,4.0,81,132.67
21,B-4,4.0,4.0,81,132.67
22,F4,4.0,4.0,81,132.67
23,C5,4.0,4.0,81,132.67
24,E-5,4.0,11/250,108,132.67
25,D4,4.0,11/250,108,132.67
26,A3,4.0,11/250,108,132.67
27,B1,4.0,11/250,108,132.67
28,B-5,4.0,11/250,108,132.67
29,G3,4.002,1999/500,114,132.67
30,B-4,4.006,723/500,82,132.67
31,E-4,4.006,723/500,82,132.67
32,C5,4.006,723/500,82,132.67
33,C4,4.006,723/500,82,132.67
34,G4,4.006,723/500,82,132.67
35,F#2,4.5,1/20,79,132.67
36,B-5,4.5,1/20,79,132.67
37,E-4,4.5,1/20,79,132.67
38,E5,4.733,1/25,74,132.67
39,B1,4.733,1/25,74,132.67
40,E-4,4.733,1/25,74,132.67
41,F#2,4.733,1/25,74,132.67
42,B-5,4.733,1/25,74,132.67
43,G1,4.754,0.656,88,132.67
44,B-5,4.994,21/500,97,132.67
45,D4,4.994,21/500,97,132.67
46,F#2,4.994,21/500,97,132.67
47,E4,5.246,1/25,64,132.67
48,E-4,5.477,361/250,65,132.67
49,C5,5.477,361/250,65,132.67
50,G4,5.477,361/250,65,132.67
51,C4,5.477,361/250,65,132.67
52,B-4,5.477,361/250,65,132.67
53,E-4,5.49,6/125,80,132.67
54,B1,5.49,6/125,80,132.67
55,F#2,5.49,6/125,80,132.67
56,B-5,5.49,6/125,80,132.67
57,B-1,5.496,87/200,93,132.67
58,E5,5.735,11/250,95,132.67
59,D4,5.735,11/250,95,132.67
60,F#2,5.735,11/250,95,132.67
61,B-5,5.735,11/250,95,132.67
62,F#2,5.985,11/250,97,132.67
63,B-5,5.985,11/250,97,132.67
64,E4,5.985,11/250,97,132.67
65,C2,6.013,81/125,102,132.67
66,E5,6.494,11/250,78,132.67
67,F#2,6.494,11/250,78,132.67
68,E-4,6.494,11/250,78,132.67
69,B-5,6.494,11/250,78,132.67
70,F#2,6.744,11/250,81,132.67
71,B-5,6.744,11/250,81,132.67
72,D4,6.744,11/250,81,132.67
73,B1,6.744,11/250,81,132.67
74,G1,6.767,161/250,96,132.67
75,C4,6.985,239/250,76,132.67
76,E-4,6.985,239/250,76,132.67
77,B-4,6.985,239/250,76,132.67
78,G4,6.985,239/250,76,132.67
79,C5,6.985,239/250,76,132.67
80,D2,6.992,21/500,95,132.67
81,B-5,6.992,21/500,95,132.67
82,E-4,6.992,21/500,95,132.67
83,F#2,6.992,21/500,95,132.67
84,E5,7.494,11/250,82,132.67
85,B-5,7.494,11/250,82,132.67
86,F#2,7.494,11/250,82,132.67
87,E4,7.494,11/250,82,132.67
88,B1,7.494,11/250,82,132.67
89,B-1,7.51,421/1000,91,132.67
90,F#2,7.737,13/250,82,132.67
91,B-5,7.737,13/250,82,132.67
92,E-4,7.985,3/200,81,132.67
93,C5,7.985,3/200,81,132.67
94,B-4,7.985,3/200,81,132.67
95,G4,7.985,3/200,81,132.67
96,C4,7.985,3/200,81,132.67
97,E5,7.998,1/500,109,132.67
98,B-5,7.998,1/500,109,132.67
99,F#2,7.998,1/500,109,132.67
100,D4,7.998,1/500,109,132.67
101,B1,7.998,1/500,109,132.67
102,G3,8.0,1481/500,114,132.67
103,E-4,8.0,1931/1000,81,132.67
104,C5,8.0,1931/1000,81,132.67
105,B-4,8.0,1931/1000,81,132.67
106,G4,8.0,1931/1000,81,132.67
107,C4,8.0,1931/1000,81,132.67
108,E5,8.0,19/500,109,132.67
109,B-5,8.0,19/500,109,132.67
110,F#2,8.0,19/500,109,132.67
111,D4,8.0,19/500,109,132.67
112,B1,8.0,19/500,109,132.67
113,C2,8.006,327/500,107,132.67
114,B-5,8.498,13/250,73,132.67
115,E-4,8.498,13/250,73,132.67
116,F#2,8.498,13/250,73,132.67
