,note_name,start_time,duration,velocity,tempo
0,D2,5.99,1/100,100,124.0
1,E2,5.99,1/100,100,124.0
2,E2,6.74,1/100,100,124.0
3,D2,6.74,1/100,100,124.0
4,B2,6.99,1/100,114,124.0
5,E2,7.49,1/100,100,124.0
6,D2,7.49,1/100,100,124.0
7,G#1,8.0,0.844,93,124.0
8,G#5,8.0,3.719,104,124.0
9,C6,8.0,3.719,104,124.0
10,E-6,8.0,3.719,104,124.0
11,E-5,8.0,3.719,104,124.0
12,G#3,8.0,3.719,104,124.0
13,C4,8.0,3.719,104,124.0
14,G#3,8.0,3.719,104,124.0
15,C4,8.0,3.719,104,124.0
16,E-4,8.0,3.719,104,124.0
17,E-4,8.0,3.719,104,124.0
18,F#2,8.0,1/100,102,124.0
19,B1,8.0,1/100,102,124.0
20,F#2,8.49,1/100,43,124.0
21,D2,8.99,1/100,100,124.0
22,E2,8.99,1/100,100,124.0
23,F#2,8.99,1/100,100,124.0
24,G#1,9.0,0.781,87,124.0
25,F#3,9.0,13/125,100,124.0
26,G#3,9.5,51/100,91,124.0
27,F#2,9.5,1/100,86,124.0
28,B1,9.5,1/100,86,124.0
29,F#2,9.99,1/100,93,124.0
30,G#1,10.0,0.781,81,124.0
31,C4,10.01,49/100,88,124.0
32,F#2,10.49,1/100,67,124.0
33,D2,10.49,1/100,67,124.0
34,E2,10.49,1/100,67,124.0
35,C#4,10.5,49/100,80,124.0
36,C4,10.99,0.5,80,124.0
37,D2,10.99,1/100,100,124.0
38,E2,10.99,1/100,100,124.0
39,F#2,10.99,1/100,100,124.0
40,G#1,11.0,99/125,77,124.0
41,F#3,11.0,13/125,97,124.0
42,E-4,11.49,51/100,81,124.0
43,F#2,11.5,1/100,74,124.0
44,B1,11.5,1/100,74,124.0
45,F#6,11.99,1/100,96,124.0
46,B-5,11.99,1/100,96,124.0
47,C#6,11.99,1/100,96,124.0
48,F#5,11.99,1/100,99,124.0
49,B-5,11.99,1/100,99,124.0
50,C#6,11.99,1/100,99,124.0
51,F#4,11.99,1/100,106,124.0
52,F#4,11.99,1/100,106,124.0
53,C#4,11.99,1/100,106,124.0
54,C#4,11.99,1/100,106,124.0
55,F#2,11.99,1/100,94,124.0
56,B1,11.99,1/100,94,124.0
57,G#1,12.0,19/25,87,124.0
58,E-4,12.0,1.5,81,124.0
59,G#3,12.0,1.812,90,124.0
60,C#4,12.0,1.812,90,124.0
61,G#3,12.0,1.812,90,124.0
62,C#4,12.0,1.812,90,124.0
63,F#6,12.0,181/125,96,124.0
64,B-5,12.0,181/125,96,124.0
65,C#6,12.0,181/125,96,124.0
66,F#5,12.0,181/125,99,124.0
67,B-5,12.0,181/125,99,124.0
68,C#6,12.0,181/125,99,124.0
69,F#4,12.0,901/500,106,124.0
70,F#4,12.0,901/500,106,124.0
71,C#4,12.0,901/500,106,124.0
72,C#4,12.0,901/500,106,124.0
73,F#2,12.5,1/100,53,124.0
74,D2,12.99,1/100,103,124.0
75,E2,12.99,1/100,103,124.0
76,F#2,12.99,1/100,103,124.0
77,G#1,13.0,823/1000,71,124.0
78,F#3,13.0,23/200,97,124.0
79,F#2,13.49,1/100,80,124.0
80,B1,13.49,1/100,80,124.0
81,C#4,13.5,51/100,90,124.0
82,F#2,13.99,1/100,103,124.0
83,F#5,13.99,49/100,102,124.0
84,C#5,13.99,49/100,102,124.0
85,B-5,13.99,49/100,102,124.0
86,C#4,13.99,49/100,102,124.0
87,B-3,13.99,49/100,102,124.0
88,C#4,13.99,49/100,102,124.0
89,B-3,13.99,49/100,102,124.0
90,C4,13.99,49/100,102,124.0
91,C#6,13.99,49/100,91,124.0
92,G#3,13.99,49/100,91,124.0
93,B-3,13.99,49/100,91,124.0
94,G#3,13.99,49/100,91,124.0
95,B-3,13.99,49/100,91,124.0
96,C4,13.99,49/100,91,124.0
97,G#1,14.0,0.875,71,124.0
98,E2,14.49,1/100,67,124.0
99,D2,14.49,1/100,67,124.0
100,F#2,14.49,1/100,67,124.0
101,G#3,14.5,1.5,85,124.0
102,C#6,14.99,573/1000,101,124.0
103,F5,14.99,573/1000,101,124.0
104,F6,14.99,573/1000,101,124.0
105,G#5,14.99,573/1000,101,124.0
106,G#3,14.99,573/1000,101,124.0
107,C#4,14.99,573/1000,101,124.0
108,G#3,14.99,573/1000,101,124.0
