,note_name,start_time,duration,velocity,tempo
0,A1,7.24,151/500,92,102.0
1,E3,7.24,151/500,92,102.0
2,E2,7.49,0.281,89,102.0
3,A3,7.49,0.281,89,102.0
4,G2,7.74,13/50,105,102.0
5,B3,7.75,0.219,68,102.0
6,E-3,7.969,0.031,70,102.0
7,B-4,7.969,0.031,70,102.0
8,F#2,7.969,0.031,70,102.0
9,B1,7.969,0.031,70,102.0
10,A2,7.99,1/100,89,102.0
11,C4,7.99,1/100,89,102.0
12,G3,7.99,1/100,65,102.0
13,C4,7.99,1/100,65,102.0
14,A3,7.99,1/100,65,102.0
15,E4,7.99,1/100,65,102.0
16,G2,8.0,21/500,105,102.0
17,E-3,8.0,0.031,70,102.0
18,B-4,8.0,0.031,70,102.0
19,F#2,8.0,0.031,70,102.0
20,B1,8.0,0.031,70,102.0
21,A2,8.0,27/200,89,102.0
22,C4,8.0,27/200,89,102.0
23,G3,8.0,5979/1000,65,102.0
24,C4,8.0,5979/1000,65,102.0
25,A3,8.0,5979/1000,65,102.0
26,E4,8.0,5979/1000,65,102.0
27,B-4,8.219,0.062,29,102.0
28,F#2,8.219,0.062,29,102.0
29,A2,8.25,26/125,88,102.0
30,C4,8.25,26/125,88,102.0
31,B-4,8.469,0.062,33,102.0
32,F#2,8.469,0.062,33,102.0
33,G2,8.49,6/25,86,102.0
34,B3,8.49,6/25,86,102.0
35,B-4,8.729,0.062,32,102.0
36,F#2,8.729,0.062,32,102.0
37,A2,8.74,6/25,84,102.0
38,C4,8.74,6/25,84,102.0
39,E-3,8.969,0.062,64,102.0
40,C#2,8.969,0.062,64,102.0
41,F#2,8.969,0.062,64,102.0
42,B-4,8.969,0.062,64,102.0
43,E3,9.24,26/125,64,102.0
44,B-4,9.24,0.062,28,102.0
45,F#2,9.24,0.062,28,102.0
46,A3,9.49,271/1000,68,102.0
47,B-4,9.49,0.062,36,102.0
48,F#2,9.49,0.062,36,102.0
49,B3,9.74,229/1000,63,102.0
50,F#2,9.74,0.062,30,102.0
51,B-4,9.74,0.062,30,102.0
52,E-3,9.969,0.062,50,102.0
53,F#2,9.969,0.062,50,102.0
54,B-4,9.969,0.062,50,102.0
55,C4,10.01,13/50,68,102.0
56,F#2,10.229,0.062,28,102.0
57,B-4,10.229,0.062,28,102.0
58,F#2,10.49,0.062,38,102.0
59,B-4,10.49,0.062,38,102.0
60,A3,10.521,0.219,57,102.0
61,F#2,10.74,0.062,34,102.0
62,B-4,10.74,0.062,34,102.0
63,C4,10.76,0.219,71,102.0
64,E-3,10.979,0.062,50,102.0
65,F#2,10.979,0.062,50,102.0
66,B-4,10.979,0.062,50,102.0
67,F#2,11.24,0.062,26,102.0
68,B-4,11.24,0.062,26,102.0
69,A1,11.24,229/1000,85,102.0
70,E3,11.24,229/1000,85,102.0
71,F#2,11.5,0.062,38,102.0
72,B-4,11.5,0.062,38,102.0
73,E2,11.5,0.25,88,102.0
74,A3,11.5,0.25,88,102.0
75,G2,11.729,13/50,106,102.0
76,B1,11.74,0.062,59,102.0
77,B-4,11.74,0.062,59,102.0
78,F#2,11.74,0.062,59,102.0
79,C4,11.75,0.156,70,102.0
80,A2,11.979,21/1000,109,102.0
81,E-3,11.979,21/1000,65,102.0
82,B-4,11.979,21/1000,65,102.0
83,B1,11.979,21/1000,65,102.0
84,F#2,11.979,21/1000,65,102.0
85,A2,13.979,73/500,109,102.0
86,E-3,13.979,21/500,65,102.0
87,B-4,13.979,21/500,65,102.0
88,B1,13.979,21/500,65,102.0
89,F#2,13.979,21/500,65,102.0
90,A2,14.208,99/500,88,102.0
91,E3,14.208,99/500,88,102.0
