,note_name,start_time,duration,velocity,tempo
0,E-2,4.0,667/1000,110,112.0
1,E-6,4.0,0.5,100,112.0
2,F#3,4.0,417/1000,80,112.0
3,C2,4.0,1.0,63,112.0
4,B-3,4.0,37/50,100,112.0
5,E-4,4.0,37/50,100,112.0
6,G4,4.0,37/50,100,112.0
7,B-4,4.0,667/1000,100,112.0
8,G4,4.0,667/1000,100,112.0
9,E-4,4.0,667/1000,100,112.0
10,E-6,4.0,417/1000,100,112.0
11,B-5,4.0,417/1000,100,112.0
12,F#3,4.125,417/1000,80,112.0
13,F#3,4.25,417/1000,80,112.0
14,F#3,4.375,417/1000,80,112.0
15,E-6,4.5,0.5,100,112.0
16,F#3,4.5,417/1000,80,112.0
17,E-6,4.5,417/1000,100,112.0
18,B-5,4.5,417/1000,100,112.0
19,F#3,4.625,417/1000,80,112.0
20,F#3,4.75,417/1000,80,112.0
21,F#3,4.875,417/1000,80,112.0
22,E-2,5.0,667/1000,110,112.0
23,E-6,5.0,0.5,100,112.0
24,F#3,5.0,417/1000,80,112.0
25,C2,5.0,1.0,63,112.0
26,B-3,5.0,37/50,100,112.0
27,E-4,5.0,37/50,100,112.0
28,G4,5.0,37/50,100,112.0
29,B-4,5.0,667/1000,100,112.0
30,G4,5.0,667/1000,100,112.0
31,E-4,5.0,667/1000,100,112.0
32,E-6,5.0,417/1000,100,112.0
33,B-5,5.0,417/1000,100,112.0
34,F#3,5.125,417/1000,80,112.0
35,F#3,5.25,417/1000,80,112.0
36,F#3,5.375,417/1000,80,112.0
37,E-6,5.5,0.5,100,112.0
38,F#3,5.5,417/1000,80,112.0
39,E-6,5.5,417/1000,100,112.0
40,B-5,5.5,417/1000,100,112.0
41,F#3,5.625,417/1000,80,112.0
42,F#3,5.75,417/1000,80,112.0
43,F#3,5.875,417/1000,80,112.0
44,E-2,6.0,667/1000,110,112.0
45,E-6,6.0,0.5,100,112.0
46,F#3,6.0,417/1000,80,112.0
47,C2,6.0,1.0,63,112.0
48,B-3,6.0,37/50,100,112.0
49,E-4,6.0,37/50,100,112.0
50,G4,6.0,37/50,100,112.0
51,B-4,6.0,667/1000,100,112.0
52,G4,6.0,667/1000,100,112.0
53,E-4,6.0,667/1000,100,112.0
54,E-6,6.0,417/1000,100,112.0
55,B-5,6.0,417/1000,100,112.0
56,F#3,6.125,417/1000,80,112.0
57,F#3,6.25,417/1000,80,112.0
58,F#3,6.375,417/1000,80,112.0
59,E-6,6.5,0.5,100,112.0
60,F#3,6.5,417/1000,80,112.0
61,E-6,6.5,417/1000,100,112.0
62,B-5,6.5,417/1000,100,112.0
63,F#3,6.625,417/1000,80,112.0
64,F#3,6.75,417/1000,80,112.0
65,F#3,6.875,417/1000,80,112.0
66,E-2,7.0,667/1000,110,112.0
67,E-6,7.0,0.5,100,112.0
68,F#3,7.0,417/1000,80,112.0
69,C2,7.0,1.0,63,112.0
70,B-3,7.0,37/50,100,112.0
71,E-4,7.0,37/50,100,112.0
72,G4,7.0,37/50,100,112.0
73,B-4,7.0,667/1000,100,112.0
74,G4,7.0,667/1000,100,112.0
75,E-4,7.0,667/1000,100,112.0
76,E-6,7.0,417/1000,100,112.0
77,B-5,7.0,417/1000,100,112.0
78,F#3,7.125,417/1000,80,112.0
79,F#3,7.25,417/1000,80,112.0
80,F#3,7.375,417/1000,80,112.0
