,note_name,start_time,duration,velocity,tempo
0,E1,0.0,0.5,95,136.0
1,B3,0.0,0.5,95,136.0
2,E3,0.0,0.5,95,136.0
3,E2,0.0,0.5,95,136.0
4,C#3,0.0,4.0,95,136.0
5,B1,0.0,4.0,95,136.0
6,E3,1.0,0.5,95,136.0
7,B3,1.5,0.5,95,136.0
8,E3,2.0,0.5,95,136.0
9,C4,2.5,0.25,95,136.0
10,C#4,2.75,0.75,70,136.0
11,B3,3.5,0.5,95,136.0
12,B1,4.0,0.5,95,136.0
13,F#3,4.0,0.5,95,136.0
14,B2,4.0,0.5,95,136.0
15,C#3,4.0,4.0,95,136.0
16,B1,4.0,4.0,95,136.0
17,B2,5.0,0.5,95,136.0
18,F#3,5.5,0.5,95,136.0
19,B2,6.0,0.5,95,136.0
20,A3,6.5,0.5,95,136.0
21,G#3,7.0,0.5,95,136.0
22,F#3,7.5,0.5,95,136.0
23,A1,8.0,0.5,95,136.0
24,E3,8.0,0.5,95,136.0
25,A2,8.0,0.5,95,136.0
26,C#3,8.0,4.0,95,136.0
27,B1,8.0,4.0,95,136.0
28,E3,9.0,0.5,95,136.0
29,B3,9.5,0.5,95,136.0
30,E3,10.0,0.5,95,136.0
31,G#3,10.5,0.5,95,136.0
32,E3,11.0,0.5,95,136.0
33,A3,11.5,0.5,95,136.0
34,E3,12.0,0.5,95,136.0
35,C#4,12.5,0.5,95,136.0
36,A3,13.0,0.5,95,136.0
37,E-4,13.5,0.5,95,136.0
38,A3,14.0,0.5,95,136.0
39,E4,14.5,0.5,95,136.0
40,E-4,15.0,0.5,95,136.0
41,C#4,15.5,0.5,95,136.0
42,C#2,16.0,0.5,95,136.0
43,C#4,16.0,0.5,95,136.0
44,G#3,16.0,0.5,95,136.0
45,C#3,16.0,0.5,95,136.0
46,C#3,16.0,4.0,95,136.0
47,B1,16.0,4.0,95,136.0
48,C#4,17.0,0.5,95,136.0
49,G#3,17.0,0.5,95,136.0
50,C#3,17.0,0.5,95,136.0
51,E4,17.5,0.5,95,136.0
52,C#4,17.5,0.5,95,136.0
53,G#3,17.5,0.5,95,136.0
54,F#4,18.5,1.0,95,136.0
55,C#4,18.5,1.0,95,136.0
56,G#3,18.5,1.0,95,136.0
57,E4,19.5,0.5,95,136.0
58,C#4,19.5,0.5,95,136.0
59,G#3,19.5,0.5,95,136.0
60,B1,20.0,0.5,95,136.0
61,B3,20.0,0.5,95,136.0
62,F#3,20.0,0.5,95,136.0
63,B2,20.0,0.5,95,136.0
64,C#3,20.0,4.0,95,136.0
65,B1,20.0,4.0,95,136.0
66,B3,21.0,0.5,95,136.0
67,F#3,21.0,0.5,95,136.0
68,B2,21.0,0.5,95,136.0
69,E-4,21.5,0.5,95,136.0
70,B3,21.5,0.5,95,136.0
71,F#3,21.5,0.5,95,136.0
72,E4,22.5,1.0,95,136.0
73,B3,22.5,1.0,95,136.0
74,F#3,22.5,1.0,95,136.0
75,E-4,23.5,0.5,95,136.0
76,B3,23.5,0.5,95,136.0
77,F#3,23.5,0.5,95,136.0
78,A1,24.0,0.5,95,136.0
79,E3,24.0,1.0,95,136.0
80,A2,24.0,1.0,95,136.0
81,C#3,24.0,4.0,95,136.0
82,B1,24.0,4.0,95,136.0
83,E3,25.0,0.5,95,136.0
84,E-4,25.5,0.5,95,136.0
85,A3,26.0,0.5,95,136.0
86,E4,26.5,0.5,95,136.0
87,E-4,27.0,0.5,95,136.0
88,A3,27.5,0.5,95,136.0
89,E3,28.0,1.0,95,136.0
90,E3,29.0,0.5,95,136.0
91,E-4,29.5,0.5,95,136.0
92,A3,30.0,0.5,95,136.0
93,D2,30.0,1.0,95,136.0
94,E4,30.5,0.5,95,136.0
95,G#1,31.0,0.5,95,136.0
96,G#3,31.0,0.5,95,136.0
97,E-3,31.0,0.5,95,136.0
98,G#2,31.0,0.5,95,136.0
99,C#3,31.0,0.5,95,136.0
100,B1,31.0,0.5,95,136.0
101,F#1,31.5,0.5,95,136.0
102,F#3,31.5,0.5,95,136.0
103,C#3,31.5,0.5,95,136.0
104,F#2,31.5,0.5,95,136.0
105,A3,31.5,0.5,95,136.0
106,B1,31.5,0.5,95,136.0
107,E1,32.0,0.5,95,136.0
108,B3,32.0,0.5,95,136.0
109,E3,32.0,0.5,95,136.0
110,E2,32.0,0.5,95,136.0
111,C#3,32.0,4.0,95,136.0
112,B1,32.0,4.0,95,136.0
113,E3,33.0,0.5,95,136.0
114,B3,33.5,0.5,95,136.0
115,E3,34.0,0.5,95,136.0
116,C4,34.5,0.25,95,136.0
117,C#4,34.75,0.75,70,136.0
118,B3,35.5,0.5,95,136.0
119,B1,36.0,0.5,95,136.0
120,F#3,36.0,0.5,95,136.0
121,B2,36.0,0.5,95,136.0
122,C#3,36.0,4.0,95,136.0
123,B1,36.0,4.0,95,136.0
124,B2,37.0,0.5,95,136.0
125,F#3,37.5,0.5,95,136.0
